gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,attOboxBlocked,shotFastbreak,totalFastbreak,attSvLowLeft,freekickCross,freekickTotal,contentiousDecision,attHdTarget,accurateLaunches,expectedGoalsFreekick,accurateFreekickCross,attSetpiece,totalOffside,attFastbreak,attSvLowRight,attCmissLeft,overrun,attCmissHighRight,attBxLeft,accurateKeeperSweeper,attSvHighLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,foulThrowIn,attSvHighCentre,totalHighClaim,handBall,goalAssistSetplay,goalAssistDeadball,sixYardBlock,ptsGainedLosingPos,errorLeadToGoal,hitWoodwork,postScoringAtt,goalFastbreak,attIboxPost,attOboxTarget,attHdPost,attFreekickTarget,attPostHigh,attSvHighRight,ptsDroppedWinningPos,attOneOnOne,attCmissHighLeft,attLgCentre,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,secondYellow,attPostLeft,attOboxPost,attObxRight,penaltyWon,attObxdRight,attPostRight,attFreekickMiss,attObxdLeft,fastestPlayer
25,2562142,2026-02-07 12:30:00,"Old Trafford, Manchester",73985.0,Away,Tottenham Hotspur,Manchester United,0,2,L,0.0,1.0,1,0,0.0,,,41.0,0.0,0.0,5.0,3.0,0.1871,17.0,30.0,3.0,2.0,4.0,8.0,0.0,1.0,114.0,0.0,4.0,6.0,0.0,3.0,5.0,,1.0,1.0,89.0,108.0,40.0,7.0,9.0,1.0,,,1.0,,10.0,6.0,0.0,30.0,,5.0,21.0,1.4886,123.0,,,0.0,0.0,71.0,11.0,0.0,3.0,0.0,43.0,43.0,5.0,58.0,1.0,10.0,12.0,3.0,0.0,0.0,2.0,1.0,108.0,1.0,10.0,0.0,81.0,527.0,5.0,3.0,17.0,9.0,269.0,16.0,,13.0,,2.0,6.0,,0.545181,8.0,318.0,38.0,,3.0,33.62,616221,3.0,164.0,1.0,5.0,180.0,6.0,101045.21,0.0,,5.0,8.0,47.0,,0.0,,0.0,6.0,0.0,20.0,13.0,4.0,,0.0,46.0,283.0,12.0,9.0,,22.0,,46.0,0.0,0.0,0.0,,0.0,7.0,3.0,0.0,2.0,,1.0,4.0,,,,34.8,7.0,,1.0,6.0,5.0,21.0,,342.0,9.0,7.0,15.0,1.0,17.0,,1.0,172.0,5.0,5.0,6.0,51.0,12.0,,,13.0,16.0,0.0,2.0,7.0,5.0,17.0,0.4861,,5.0,,,2.0,,,,3.0,,,,5.0,,2.0,1.0,1.0,,,,3.0,,1.0,1.0,,3.0,2.0,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
26,2562153,2026-02-10 19:30:00,"Tottenham Hotspur Stadium, London",59773.0,Home,Tottenham Hotspur,Newcastle United,1,2,L,0.0,1.0,0,0,0.0,,1.0,44.0,0.0,0.0,1.0,4.0,0.7275,23.0,42.0,6.0,5.0,10.0,3.0,0.0,1.0,130.0,0.0,7.0,9.0,1.0,2.0,15.0,1.0,,2.0,110.0,116.0,48.0,16.0,18.0,1.0,1.0,,1.0,2.0,13.0,11.0,0.0,42.0,2.0,8.0,25.0,1.5867,184.0,,,0.0,0.0,108.0,15.0,0.0,2.0,0.0,57.0,57.0,10.0,44.0,1.0,11.0,13.0,6.0,1.0,0.0,3.0,1.0,116.0,2.0,17.0,0.0,123.0,624.0,13.0,4.0,29.0,7.0,320.0,19.0,,26.0,1.0,3.0,9.0,5.0,1.3511,15.0,380.0,56.0,,1.0,35.23,232859,5.0,164.0,1.0,6.0,180.0,7.0,109202.63,1.0,1.0,5.0,13.0,57.0,,0.0,,1.0,2.0,0.0,18.0,4.0,10.0,3.0,0.0,51.0,341.0,11.0,3.0,1.0,17.0,2.0,59.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,1.0,2.0,2.0,0.0,5.0,1.0,1.0,1.0,52.8,13.0,1.0,2.0,2.0,8.0,31.0,2.0,407.0,7.0,14.0,10.0,6.0,22.0,2.0,5.0,240.0,10.0,8.0,12.0,75.0,19.0,,3.0,26.0,16.0,0.0,2.0,13.0,3.0,18.0,1.8504,3.0,5.0,2.0,,4.0,,,,2.0,,,1.0,4.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
27,2562163,2026-02-22 16:30:00,"Tottenham Hotspur Stadium, London",61439.0,Home,Tottenham Hotspur,Arsenal,1,4,L,1.0,1.0,0,0,1.0,,,49.0,0.0,0.0,1.0,,1.657,10.0,42.0,3.0,,3.0,2.0,0.0,3.0,135.0,1.0,2.0,2.0,1.0,2.0,4.0,,,5.0,69.0,158.0,49.0,6.0,20.0,2.0,,,1.0,,11.0,13.0,0.0,42.0,2.0,7.0,33.0,2.0643,82.0,,,0.0,0.0,50.0,17.0,0.0,,0.0,40.0,28.0,4.0,51.0,,9.0,23.0,3.0,0.0,0.0,3.0,,158.0,,13.0,0.0,65.0,558.0,4.0,4.0,7.0,15.0,211.0,26.0,,20.0,,2.0,8.0,,0.549405,30.0,293.0,29.0,,3.0,33.56,232859,2.0,152.0,,6.0,190.0,9.0,113339.98,1.0,,13.0,10.0,71.0,,0.0,1.0,0.0,2.0,1.0,22.0,7.0,8.0,,0.0,50.0,232.0,11.0,4.0,,29.0,,51.0,0.0,0.0,0.0,,0.0,5.0,2.0,1.0,4.0,1.0,0.0,2.0,,1.0,1.0,39.9,23.0,,3.0,3.0,1.0,18.0,2.0,320.0,15.0,17.0,14.0,,14.0,,,141.0,5.0,6.0,12.0,28.0,15.0,1.0,,20.0,24.0,0.0,3.0,6.0,3.0,16.0,0.7631,,13.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,2.0,,,2.0,2.0,,1.0,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,
28,2562169,2026-03-01 14:00:00,"Craven Cottage, London",27439.0,Away,Tottenham Hotspur,Fulham,1,2,L,0.0,2.0,0,0,1.0,,1.0,50.0,0.0,1.0,,5.0,0.7587,21.0,18.0,3.0,4.0,10.0,2.0,0.0,,156.0,0.0,6.0,6.0,1.0,,8.0,1.0,,1.0,90.0,161.0,47.0,13.0,23.0,,2.0,1.0,,2.0,21.0,11.0,0.0,18.0,7.0,5.0,26.0,0.7878,113.0,,,0.0,0.0,94.0,14.0,0.0,1.0,0.0,23.0,61.0,4.0,57.0,1.0,14.0,23.0,3.0,0.0,0.0,6.0,1.0,161.0,1.0,15.0,1.0,92.0,583.0,5.0,6.0,30.0,10.0,276.0,21.0,1.0,8.0,1.0,3.0,4.0,4.0,0.488802,22.0,370.0,51.0,,1.0,32.17,247693,6.0,186.0,,7.0,213.0,6.0,116103.59,0.0,2.0,12.0,9.0,55.0,,0.0,,0.0,4.0,1.0,23.0,3.0,6.0,1.0,0.0,64.0,293.0,11.0,8.0,2.0,32.0,5.0,72.0,0.0,0.0,0.0,,0.0,5.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,,2.0,45.9,14.0,1.0,6.0,4.0,7.0,30.0,8.0,395.0,10.0,9.0,12.0,5.0,32.0,2.0,4.0,203.0,7.0,5.0,14.0,51.0,17.0,,1.0,8.0,16.0,1.0,1.0,6.0,5.0,9.0,0.8809,1.0,12.0,8.0,,2.0,,,,1.0,,,,4.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2562183,2026-03-05 20:00:00,"Tottenham Hotspur Stadium, London",60213.0,Home,Tottenham Hotspur,Crystal Palace,1,3,L,1.0,3.0,1,0,0.0,,1.0,31.0,0.0,0.0,,4.0,1.0932,19.0,28.0,2.0,3.0,10.0,1.0,1.0,2.0,104.0,0.0,5.0,7.0,1.0,4.0,10.0,,2.0,4.0,92.0,123.0,60.0,12.0,21.0,3.0,1.0,,2.0,,12.0,10.0,1.0,28.0,4.0,6.0,32.0,1.5444,116.0,,,0.0,0.0,76.0,14.0,0.0,1.0,0.0,26.0,47.0,7.0,41.0,3.0,8.0,10.0,2.0,0.0,0.0,1.0,1.0,123.0,1.0,8.0,0.0,74.0,504.0,5.0,8.0,23.0,10.0,226.0,15.0,,17.0,1.0,3.0,3.0,3.0,0.930484,22.0,289.0,43.0,,,35.03,511499,5.0,131.0,,6.0,141.0,5.0,105329.41,0.0,,2.0,3.0,62.0,,0.0,2.0,0.0,1.0,0.0,12.0,1.0,2.0,,0.0,41.0,242.0,13.0,3.0,4.0,12.0,4.0,57.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,3.0,40.0,14.0,1.0,3.0,1.0,5.0,30.0,6.0,311.0,10.0,14.0,13.0,3.0,22.0,2.0,2.0,182.0,6.0,5.0,23.0,42.0,11.0,1.0,1.0,17.0,17.0,0.0,3.0,3.0,4.0,17.0,1.0879,1.0,2.0,6.0,1.0,1.0,,,,1.0,1.0,,1.0,5.0,0.1273,1.0,1.0,1.0,,,,2.0,,2.0,3.0,,,2.0,3.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,
30,2562190,2026-03-15 16:30:00,"Anfield, Liverpool",60386.0,Away,Tottenham Hotspur,Liverpool,1,1,D,0.0,1.0,0,0,1.0,2.0,1.0,51.0,1.0,0.0,1.0,,1.9431,26.0,36.0,6.0,2.0,7.0,3.0,0.0,3.0,128.0,0.0,4.0,12.0,1.0,,9.0,,2.0,7.0,78.0,129.0,47.0,13.0,14.0,3.0,1.0,1.0,2.0,1.0,12.0,11.0,0.0,36.0,4.0,8.0,30.0,1.1826,115.0,,,0.0,0.0,99.0,13.0,0.0,2.0,0.0,62.0,22.0,7.0,36.0,2.0,9.0,19.0,6.0,0.0,0.0,3.0,,129.0,2.0,10.0,0.0,78.0,537.0,7.0,8.0,18.0,12.0,213.0,24.0,,16.0,1.0,0.0,6.0,2.0,0.54613,25.0,294.0,46.0,1.0,1.0,34.84,232859,5.0,122.0,1.0,6.0,145.0,4.0,117827.39,1.0,1.0,12.0,15.0,49.0,,0.0,1.0,0.0,3.0,1.0,16.0,7.0,11.0,,0.0,68.0,233.0,8.0,12.0,1.0,30.0,4.0,50.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,3.0,36.7,21.0,2.0,4.0,3.0,3.0,20.0,4.0,320.0,12.0,8.0,13.0,3.0,23.0,2.0,3.0,187.0,8.0,8.0,8.0,60.0,18.0,1.0,,16.0,20.0,0.0,0.0,9.0,4.0,16.0,1.1757,,12.0,4.0,,3.0,,,1.0,,,,1.0,7.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,3.0,,,2.0,,1.0,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
31,2562203,2026-03-22 14:15:00,"Tottenham Hotspur Stadium, London",61519.0,Home,Tottenham Hotspur,Nottingham Forest,0,3,L,0.0,1.0,0,0,0.0,,,48.0,0.0,0.0,1.0,2.0,1.2249,14.0,14.0,7.0,1.0,7.0,4.0,0.0,2.0,159.0,0.0,6.0,13.0,0.0,2.0,10.0,,,3.0,132.0,162.0,72.0,14.0,18.0,1.0,,,1.0,1.0,31.0,11.0,0.0,14.0,13.0,5.0,37.0,2.1722,172.0,1.0,,0.0,0.0,150.0,13.0,0.0,1.0,0.0,63.0,52.0,7.0,62.0,2.0,18.0,19.0,7.0,0.0,0.0,9.0,1.0,162.0,2.0,6.0,0.0,106.0,669.0,7.0,5.0,27.0,7.0,347.0,13.0,1.0,8.0,,1.0,1.0,3.0,0.696463,16.0,437.0,61.0,,,34.45,232859,5.0,199.0,3.0,8.0,219.0,10.0,107431.06,0.0,1.0,8.0,5.0,57.0,,0.0,3.0,0.0,8.0,0.0,15.0,2.0,5.0,1.0,0.0,42.0,365.0,12.0,6.0,3.0,20.0,5.0,59.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,,,5.0,58.9,12.0,3.0,3.0,8.0,6.0,33.0,13.0,459.0,7.0,10.0,14.0,5.0,38.0,3.0,4.0,271.0,8.0,5.0,28.0,98.0,23.0,,1.0,8.0,19.0,0.0,3.0,7.0,5.0,24.0,1.2526,1.0,8.0,13.0,,4.0,,,1.0,1.0,,,1.0,4.0,,,1.0,2.0,,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
32,2562213,2026-04-12 14:00:00,"Stadium of Light, Sunderland",47010.0,Away,Tottenham Hotspur,Sunderland,0,1,L,0.0,0.0,0,0,1.0,1.0,,41.0,0.0,0.0,,1.0,1.82,22.0,28.0,1.0,1.0,10.0,1.0,0.0,5.0,118.0,0.0,8.0,5.0,0.0,2.0,9.0,,,7.0,113.0,124.0,43.0,11.0,7.0,6.0,3.0,,3.0,1.0,24.0,5.0,0.0,28.0,5.0,3.0,28.0,0.61,122.0,,,0.0,0.0,76.0,15.0,0.0,1.0,0.0,46.0,43.0,6.0,37.0,1.0,19.0,18.0,1.0,0.0,0.0,5.0,,124.0,,8.0,0.0,97.0,565.0,8.0,4.0,25.0,8.0,274.0,19.0,,14.0,,3.0,3.0,3.0,0.457821,16.0,336.0,39.0,1.0,,33.36,487053,3.0,187.0,1.0,13.0,207.0,7.0,110083.53,0.0,1.0,10.0,13.0,50.0,,0.0,2.0,0.0,4.0,0.0,19.0,5.0,13.0,1.0,0.0,46.0,301.0,13.0,8.0,1.0,15.0,3.0,54.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,,2.0,3.0,47.9,15.0,2.0,4.0,4.0,1.0,28.0,6.0,365.0,8.0,11.0,13.0,3.0,30.0,2.0,3.0,182.0,7.0,3.0,15.0,53.0,11.0,,1.0,14.0,10.0,0.0,0.0,7.0,5.0,16.0,0.836,1.0,10.0,6.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,0.0291,,,,1.0,,,2.0,,2.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,
33,2562224,2026-04-18 17:30:00,"Tottenham Hotspur Stadium, London",61167.0,Home,Tottenham Hotspur,Brighton and Hove Albion,2,2,D,1.0,1.0,0,0,0.0,,1.0,40.0,0.0,0.0,,2.0,1.6027,12.0,32.0,3.0,1.0,10.0,1.0,0.0,3.0,124.0,1.0,3.0,13.0,2.0,1.0,8.0,,,6.0,68.0,123.0,53.0,13.0,23.0,4.0,3.0,2.0,3.0,1.0,14.0,10.0,1.0,32.0,5.0,3.0,23.0,1.0588,91.0,,,1.0,0.0,76.0,14.0,0.0,1.0,0.0,32.0,34.0,6.0,71.0,1.0,9.0,11.0,3.0,0.0,0.0,4.0,1.0,123.0,3.0,8.0,0.0,65.0,534.0,6.0,7.0,32.0,11.0,241.0,21.0,1.0,13.0,2.0,3.0,3.0,2.0,0.541269,15.0,299.0,34.0,,,34.56,247693,6.0,175.0,2.0,5.0,195.0,8.0,112461.05,1.0,,5.0,7.0,56.0,,0.0,,1.0,2.0,2.0,24.0,2.0,3.0,,0.0,42.0,263.0,13.0,5.0,,16.0,3.0,50.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,2.0,6.0,0.0,2.0,1.0,1.0,2.0,42.4,11.0,,3.0,2.0,3.0,22.0,7.0,328.0,11.0,6.0,10.0,4.0,32.0,1.0,2.0,147.0,10.0,3.0,13.0,51.0,11.0,1.0,3.0,13.0,14.0,1.0,2.0,9.0,5.0,21.0,1.0942,3.0,5.0,7.0,,1.0,1.0,1.0,,,,,1.0,3.0,,,1.0,2.0,1.0,,,3.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
34,2562234,2026-04-25 15:00:00,"Molineux Stadium, Wolverhampton",31253.0,Away,Tottenham Hotspur,Wolverhampton Wanderers,1,0,W,0.0,0.0,0,0,0.0,,1.0,47.0,0.0,1.0,1.0,,1.0963,36.0,23.0,5.0,1.0,6.0,2.0,0.0,,158.0,0.0,1.0,12.0,1.0,1.0,9.0,1.0,1.0,2.0,125.0,141.0,69.0,11.0,13.0,1.0,1.0,,,1.0,16.0,19.0,0.0,23.0,4.0,9.0,28.0,0.6004,223.0,2.0,1.0,0.0,0.0,139.0,14.0,0.0,2.0,0.0,56.0,89.0,4.0,72.0,3.0,13.0,18.0,5.0,0.0,0.0,3.0,3.0,141.0,2.0,6.0,1.0,113.0,700.0,5.0,5.0,24.0,15.0,381.0,16.0,1.0,15.0,1.0,4.0,4.0,4.0,0.388454,16.0,445.0,73.0,,1.0,36.62,232859,4.0,179.0,1.0,10.0,194.0,10.0,105681.41,1.0,1.0,8.0,8.0,69.0,,0.0,1.0,0.0,,0.0,21.0,5.0,7.0,1.0,0.0,56.0,401.0,8.0,10.0,2.0,15.0,4.0,62.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,,1.0,1.0,59.1,15.0,,9.0,,2.0,46.0,5.0,468.0,15.0,16.0,17.0,7.0,24.0,2.0,4.0,290.0,9.0,9.0,21.0,99.0,19.0,,1.0,15.0,29.0,0.0,0.0,7.0,5.0,28.0,0.9206,1.0,8.0,5.0,,2.0,1.0,1.0,,,,,1.0,5.0,,,,2.0,1.0,1.0,,3.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2562237,2026-05-03 19:00:00,"Villa Park, Birmingham",42767.0,Away,Tottenham Hotspur,Aston Villa,2,1,W,2.0,0.0,0,0,0.0,,1.0,42.0,1.0,0.0,,2.0,1.8735,14.0,16.0,4.0,,6.0,,0.0,2.0,122.0,0.0,8.0,7.0,2.0,,5.0,,,5.0,130.0,112.0,46.0,10.0,8.0,2.0,,,,1.0,13.0,13.0,0.0,16.0,5.0,9.0,22.0,0.24,173.0,3.0,,1.0,0.0,97.0,12.0,0.0,,1.0,48.0,71.0,3.0,110.0,,8.0,21.0,4.0,1.0,0.0,3.0,2.0,112.0,2.0,2.0,0.0,104.0,650.0,3.0,1.0,18.0,10.0,383.0,16.0,,8.0,1.0,5.0,3.0,2.0,0.713799,17.0,443.0,46.0,,,34.36,232859,3.0,235.0,1.0,5.0,253.0,6.0,106870.87,1.0,,11.0,7.0,45.0,,0.0,,0.0,1.0,0.0,17.0,3.0,6.0,,0.0,44.0,400.0,11.0,6.0,1.0,21.0,3.0,59.0,0.0,0.0,0.0,1.0,0.0,5.0,,1.0,1.0,1.0,0.0,5.0,1.0,2.0,2.0,55.2,16.0,1.0,5.0,1.0,2.0,33.0,5.0,466.0,10.0,6.0,11.0,3.0,18.0,3.0,1.0,226.0,8.0,7.0,5.0,69.0,20.0,1.0,3.0,8.0,23.0,1.0,1.0,6.0,4.0,20.0,0.9891,3.0,11.0,5.0,,,,,1.0,,,,1.0,1.0,,,,4.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
37,2562259,2026-05-19 20:15:00,"Stamford Bridge, London",,Away,Tottenham Hotspur,Chelsea,0,0,D,0.0,0.0,0,0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2562273,2026-05-24 16:00:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Everton,0,0,D,,,0,0,0.0,1.0,1.0,42.0,0.0,0.0,,5.0,0.7712,14.0,35.0,5.0,6.0,15.0,1.0,1.0,,132.0,1.0,9.0,8.0,1.0,4.0,12.0,,,2.0,93.0,122.0,70.0,20.0,23.0,1.0,2.0,,,4.0,24.0,15.0,0.0,35.0,7.0,9.0,18.0,0.0461,142.0,1.0,1.0,0.0,0.0,84.0,15.0,0.0,1.0,1.0,54.0,49.0,6.0,70.0,2.0,17.0,14.0,5.0,0.0,0.0,6.0,1.0,122.0,2.0,8.0,0.0,86.0,610.0,7.0,7.0,30.0,10.0,305.0,16.0,,27.0,,3.0,3.0,6.0,0.527324,13.0,359.0,38.0,,,34.75,232859,9.0,188.0,2.0,8.0,211.0,6.0,102562.38,0.0,,4.0,5.0,64.0,,0.0,,0.0,3.0,0.0,13.0,2.0,4.0,2.0,0.0,39.0,321.0,18.0,7.0,5.0,20.0,10.0,51.0,0.0,0.0,0.0,,0.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,,,7.0,49.8,6.0,4.0,6.0,3.0,9.0,29.0,7.0,381.0,10.0,12.0,9.0,9.0,21.0,7.0,7.0,194.0,7.0,8.0,23.0,63.0,16.0,,5.0,27.0,21.0,0.0,0.0,7.0,5.0,18.0,1.1473,5.0,4.0,7.0,,4.0,,,,3.0,,,,3.0,,,1.0,,,1.0,1.0,5.0,,2.0,,,,,,,,,2.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
