gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowCentre,attCmissRight,shotFastbreak,attMissLeft,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attMissRight,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,attFastbreak,shieldBallOop,attHdMiss,attSvHighCentre,totalHighClaim,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvHighLeft,freekickTotal,goalAssist,fastestPlayer_topSpeed,totalDistance,attCmissLeft,attFreekickTarget,goalAssistIntentional,clearanceOffLine,attHdGoal,expectedGoalsOnTarget,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,expectedGoalsOnTargetConceded,attOboxGoal,divingSave,subsGoals,totalKeeperSweeper,expectedAssists,errorLeadToShot,expectedGoals,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,secondYellow,attPenGoal,foulThrowIn,accurateFreekickCross,attSetpiece,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostRight,attLgCentre,attCmissHigh,attLfGoal,accuratePullBack,defenderGoals,attGoalHighLeft,attFreekickMiss,attObxLeft,attGoalHighCentre,attOneOnOne,attGoalHighRight,attPostHigh,contentiousDecision,attObxdLeft,attFreekickPost,attOboxPost,errorLeadToGoal,expectedGoalsFreekick,attObpGoal
26,2444728,2025-02-23 14:00:00,"St. James' Park, Newcastle",52223,Away,Nottingham Forest,Newcastle United,3,4,L,1,4,0,0,,2.0,54.0,2.0,,3.0,12.0,25.0,6.0,1.0,10.0,1.0,2.0,143.0,8.0,6.0,3.0,2.0,11.0,5.0,74.0,147.0,58.0,17.0,4.0,20.0,,,1.0,20.0,20.0,2.0,25.0,6.0,4.0,33.0,172.0,,0.0,122.0,13.0,,1.0,73.0,48.0,6.0,58.0,14.0,19.0,7.0,4.0,,147.0,13.0,70.0,555.0,8.0,8.0,27.0,,3.0,237.0,24.0,,5.0,13.0,4.0,5.0,5.0,19.0,324.0,61.0,449434,6.0,89.0,9.0,105.0,4.0,3.0,1.0,13.0,5.0,63.0,2.0,,2.0,,1.0,20.0,,3.0,1.0,50.0,253.0,10.0,13.0,2.0,23.0,6.0,61.0,1.0,1.0,0.0,,7.0,1.0,2.0,4.0,4.0,0.0,5.0,4.0,42.9,16.0,5.0,1.0,2.0,7.0,16.0,6.0,345.0,3.0,6.0,11.0,5.0,30.0,3.0,5.0,260.0,12.0,3.0,15.0,78.0,23.0,,1.0,13.0,28.0,4.0,9.0,2.0,20.0,3.0,1.0,13.0,6.0,2.0,,1.0,,2.0,,,,1.0,,,2.0,3.0,,2.0,1.0,,,3.0,,1.0,,1.0,,,,,1.0,32.29,103469.48,,,1.0,,,1.9912,,,,2.6398,1.0,1.0,1.0,,1.40501,1.0,1.7871,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
27,2444733,2025-02-26 19:30:00,"The City Ground, Nottingham",30200,Home,Nottingham Forest,Arsenal,0,0,D,0,0,0,0,1.0,,39.0,,,2.0,19.0,31.0,2.0,3.0,4.0,1.0,1.0,104.0,4.0,5.0,,1.0,4.0,2.0,59.0,116.0,52.0,6.0,1.0,16.0,1.0,2.0,,18.0,10.0,1.0,31.0,2.0,2.0,24.0,104.0,,0.0,92.0,10.0,1.0,3.0,39.0,49.0,3.0,47.0,16.0,10.0,2.0,2.0,,116.0,8.0,58.0,438.0,4.0,6.0,16.0,,8.0,182.0,24.0,,10.0,19.0,1.0,9.0,1.0,16.0,240.0,44.0,159506,2.0,99.0,11.0,113.0,4.0,,,2.0,7.0,51.0,1.0,1.0,,,,11.0,5.0,3.0,1.0,47.0,199.0,15.0,12.0,,24.0,,58.0,1.0,,0.0,1.0,11.0,1.0,,,3.0,0.0,4.0,1.0,34.9,10.0,5.0,,,3.0,25.0,3.0,268.0,8.0,10.0,11.0,1.0,20.0,,1.0,173.0,2.0,2.0,14.0,58.0,5.0,,2.0,19.0,18.0,,4.0,3.0,9.0,,2.0,2.0,3.0,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,34.19,100252.38,,,,,,0.3842,,,,0.3866,,,,,0.31532,1.0,0.4023,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2444746,2025-03-08 12:30:00,"The City Ground, Nottingham",30252,Home,Nottingham Forest,Manchester City,1,0,W,0,0,0,0,1.0,,42.0,1.0,3.0,1.0,17.0,25.0,3.0,3.0,6.0,3.0,2.0,125.0,7.0,7.0,1.0,1.0,9.0,4.0,47.0,106.0,41.0,9.0,1.0,8.0,2.0,2.0,,18.0,8.0,1.0,25.0,2.0,2.0,32.0,129.0,,0.0,108.0,9.0,,2.0,77.0,30.0,6.0,43.0,16.0,15.0,3.0,5.0,1.0,106.0,6.0,46.0,444.0,6.0,4.0,18.0,,5.0,193.0,19.0,,3.0,7.0,3.0,3.0,3.0,15.0,241.0,50.0,449434,2.0,86.0,9.0,96.0,3.0,1.0,1.0,10.0,12.0,47.0,1.0,1.0,4.0,,1.0,19.0,8.0,9.0,,46.0,208.0,7.0,13.0,2.0,11.0,1.0,56.0,1.0,,0.0,,2.0,,1.0,,2.0,0.0,6.0,1.0,30.9,11.0,2.0,,4.0,2.0,32.0,3.0,261.0,5.0,13.0,14.0,3.0,23.0,1.0,2.0,183.0,5.0,2.0,10.0,72.0,15.0,,5.0,7.0,17.0,,7.0,4.0,12.0,,5.0,10.0,3.0,,,,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,,,,,,2.0,2.0,1.0,1.0,,,,,,,,1.0,34.42,103969.03,,,,,,0.8592,,1.0,,0.5451,,2.0,,,0.377092,2.0,0.7263,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,2444755,2025-03-15 15:00:00,"Portman Road, Ipswich",29878,Away,Nottingham Forest,Ipswich Town,4,2,W,3,0,0,0,1.0,3.0,44.0,,2.0,,21.0,33.0,5.0,3.0,6.0,1.0,,153.0,1.0,4.0,4.0,,7.0,6.0,47.0,125.0,36.0,11.0,1.0,13.0,2.0,1.0,2.0,11.0,11.0,,33.0,3.0,4.0,17.0,184.0,1.0,0.0,131.0,13.0,,,121.0,30.0,5.0,87.0,8.0,13.0,5.0,2.0,3.0,125.0,4.0,69.0,519.0,4.0,4.0,19.0,1.0,3.0,271.0,16.0,,7.0,21.0,1.0,3.0,2.0,22.0,336.0,58.0,159506,4.0,97.0,6.0,111.0,5.0,3.0,,1.0,9.0,44.0,1.0,1.0,2.0,,3.0,20.0,7.0,4.0,1.0,58.0,280.0,3.0,9.0,,28.0,3.0,66.0,,,0.0,1.0,6.0,,3.0,2.0,2.0,0.0,1.0,1.0,44.3,15.0,2.0,1.0,2.0,1.0,32.0,3.0,356.0,3.0,6.0,7.0,4.0,25.0,,1.0,256.0,7.0,4.0,14.0,95.0,20.0,,3.0,21.0,15.0,1.0,8.0,5.0,8.0,,3.0,1.0,3.0,,1.0,1.0,2.0,,,,4.0,2.0,,1.0,2.0,2.0,,,,2.0,2.0,,,,1.0,,,,,,3.0,33.41,103898.23,,,1.0,1.0,,2.6686,,3.0,2.0,0.6986,1.0,,1.0,,0.634017,1.0,1.517,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,
30,2444763,2025-04-01 20:00:00,"The City Ground, Nottingham",30249,Home,Nottingham Forest,Manchester United,1,0,W,1,0,0,0,,,59.0,1.0,1.0,1.0,17.0,42.0,2.0,3.0,6.0,5.0,,120.0,3.0,15.0,1.0,1.0,7.0,2.0,70.0,134.0,59.0,8.0,1.0,21.0,1.0,2.0,,11.0,7.0,,42.0,2.0,6.0,21.0,152.0,,0.0,124.0,5.0,,1.0,59.0,43.0,4.0,67.0,9.0,17.0,2.0,3.0,1.0,134.0,16.0,53.0,523.0,6.0,6.0,17.0,1.0,6.0,213.0,23.0,2.0,6.0,25.0,1.0,9.0,3.0,14.0,280.0,62.0,449434,4.0,78.0,5.0,92.0,3.0,,,8.0,11.0,56.0,1.0,1.0,,,1.0,18.0,7.0,3.0,1.0,52.0,227.0,12.0,11.0,,25.0,1.0,60.0,,,0.0,2.0,10.0,5.0,1.0,,3.0,0.0,3.0,2.0,31.8,11.0,8.0,,,2.0,28.0,3.0,310.0,6.0,9.0,10.0,4.0,19.0,,3.0,229.0,3.0,5.0,17.0,82.0,20.0,,6.0,25.0,16.0,,6.0,5.0,25.0,,6.0,8.0,3.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,36.66,110390.83,,,,1.0,,0.9684,,1.0,1.0,0.4077,,1.0,,,0.657893,1.0,0.4753,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
31,2444770,2025-04-05 17:30:00,"Villa Park, Birmingham",42743,Away,Nottingham Forest,Aston Villa,1,2,L,0,2,0,0,,,55.0,1.0,1.0,1.0,19.0,20.0,9.0,3.0,10.0,6.0,1.0,148.0,3.0,5.0,1.0,,17.0,3.0,79.0,108.0,45.0,19.0,1.0,7.0,1.0,2.0,,17.0,12.0,1.0,20.0,3.0,7.0,23.0,198.0,1.0,0.0,110.0,15.0,,,83.0,56.0,5.0,60.0,14.0,12.0,9.0,7.0,6.0,108.0,13.0,102.0,561.0,15.0,4.0,23.0,1.0,9.0,312.0,15.0,,7.0,5.0,2.0,3.0,12.0,7.0,369.0,55.0,485047,6.0,132.0,7.0,149.0,11.0,,1.0,7.0,10.0,45.0,3.0,5.0,6.0,,1.0,9.0,4.0,7.0,,43.0,327.0,7.0,9.0,1.0,17.0,2.0,60.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,3.0,2.0,47.9,5.0,4.0,2.0,6.0,2.0,32.0,4.0,389.0,9.0,8.0,11.0,14.0,25.0,,7.0,257.0,14.0,7.0,12.0,88.0,30.0,,,5.0,21.0,2.0,16.0,3.0,11.0,,,7.0,4.0,,,6.0,1.0,5.0,,,1.0,,,1.0,7.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,33.12,102687.94,2.0,,1.0,,,0.7509,1.0,1.0,,2.8762,,2.0,1.0,1.0,0.611163,1.0,1.4806,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,
32,2444787,2025-04-12 15:00:00,"The City Ground, Nottingham",30199,Home,Nottingham Forest,Everton,0,1,L,0,0,0,0,,,37.0,,,,10.0,43.0,5.0,2.0,5.0,4.0,4.0,127.0,4.0,1.0,,1.0,8.0,5.0,80.0,122.0,48.0,10.0,3.0,24.0,5.0,,3.0,12.0,9.0,,43.0,1.0,6.0,31.0,120.0,,0.0,86.0,9.0,,,61.0,41.0,7.0,43.0,11.0,12.0,5.0,6.0,2.0,122.0,8.0,83.0,506.0,8.0,6.0,8.0,1.0,5.0,230.0,18.0,,1.0,26.0,0.0,3.0,1.0,18.0,307.0,50.0,227444,4.0,133.0,5.0,152.0,5.0,,,8.0,9.0,47.0,2.0,2.0,3.0,,,8.0,5.0,5.0,,47.0,249.0,13.0,5.0,,19.0,,71.0,1.0,,0.0,2.0,7.0,4.0,,1.0,1.0,0.0,4.0,1.0,42.4,9.0,,1.0,3.0,3.0,36.0,1.0,333.0,5.0,4.0,11.0,2.0,20.0,,,193.0,7.0,6.0,19.0,49.0,15.0,,1.0,26.0,15.0,1.0,8.0,2.0,6.0,,1.0,8.0,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,1.0,,,33.64,99677.76,,,,,,0.7796,,,,1.3467,,1.0,,,0.349029,,0.5165,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
33,2444798,2025-04-21 20:00:00,"Tottenham Hotspur Stadium, London",59314,Away,Nottingham Forest,Tottenham Hotspur,2,1,W,2,0,0,0,,1.0,36.0,2.0,2.0,,24.0,54.0,3.0,1.0,1.0,4.0,1.0,104.0,1.0,6.0,2.0,2.0,4.0,3.0,48.0,118.0,67.0,4.0,,9.0,,,,5.0,17.0,1.0,54.0,1.0,,30.0,77.0,,0.0,76.0,12.0,,,44.0,24.0,3.0,37.0,4.0,9.0,3.0,3.0,1.0,118.0,16.0,54.0,460.0,2.0,6.0,4.0,,9.0,152.0,16.0,,4.0,31.0,4.0,5.0,1.0,23.0,215.0,48.0,449434,1.0,89.0,1.0,101.0,4.0,1.0,,5.0,14.0,43.0,2.0,3.0,1.0,,,12.0,6.0,6.0,,66.0,165.0,11.0,8.0,,23.0,1.0,63.0,1.0,1.0,0.0,2.0,7.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,30.0,18.0,3.0,,1.0,,20.0,1.0,243.0,9.0,9.0,12.0,1.0,10.0,,,147.0,2.0,,20.0,36.0,14.0,1.0,5.0,31.0,30.0,1.0,2.0,5.0,11.0,,5.0,5.0,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,2.0,34.46,110443.15,,,1.0,1.0,1.0,1.4045,,1.0,,1.1071,1.0,3.0,,,0.376329,1.0,0.4804,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
34,2444807,2025-05-01 19:30:00,"The City Ground, Nottingham",29040,Home,Nottingham Forest,Brentford,0,2,L,0,1,0,0,,,57.0,,,5.0,26.0,32.0,2.0,1.0,11.0,1.0,4.0,134.0,5.0,8.0,,3.0,11.0,5.0,105.0,136.0,43.0,14.0,,17.0,3.0,,2.0,28.0,4.0,2.0,32.0,4.0,7.0,33.0,175.0,1.0,0.0,135.0,10.0,,2.0,78.0,61.0,8.0,45.0,24.0,11.0,3.0,11.0,1.0,136.0,10.0,97.0,575.0,8.0,5.0,35.0,1.0,8.0,291.0,24.0,1.0,4.0,19.0,3.0,3.0,3.0,20.0,366.0,44.0,449434,6.0,136.0,11.0,149.0,5.0,,1.0,3.0,4.0,51.0,,4.0,4.0,1.0,,14.0,1.0,4.0,,50.0,306.0,12.0,10.0,3.0,17.0,3.0,58.0,2.0,1.0,0.0,,5.0,1.0,,2.0,,0.0,4.0,5.0,54.6,16.0,4.0,3.0,4.0,5.0,30.0,4.0,381.0,8.0,13.0,17.0,4.0,36.0,1.0,3.0,260.0,8.0,6.0,15.0,102.0,24.0,,,19.0,8.0,2.0,7.0,5.0,11.0,,,3.0,4.0,2.0,,,,1.0,,,,,,,1.0,,,,3.0,,,2.0,1.0,,,,,,,,,34.02,98604.99,1.0,,,,,0.8483,,,,1.7403,,1.0,,,0.814783,,0.8987,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
35,2444815,2025-05-05 20:00:00,"Selhurst Park, London",25096,Away,Nottingham Forest,Crystal Palace,1,1,D,0,0,0,0,1.0,,48.0,,,3.0,24.0,54.0,4.0,4.0,7.0,2.0,2.0,144.0,4.0,2.0,1.0,3.0,7.0,4.0,91.0,125.0,46.0,12.0,3.0,16.0,1.0,1.0,1.0,16.0,6.0,2.0,54.0,4.0,12.0,27.0,200.0,,0.0,123.0,15.0,1.0,1.0,118.0,32.0,5.0,75.0,12.0,16.0,5.0,7.0,,125.0,14.0,100.0,626.0,6.0,3.0,16.0,,10.0,325.0,22.0,,12.0,29.0,8.0,6.0,2.0,20.0,392.0,71.0,159506,3.0,141.0,4.0,161.0,5.0,,1.0,8.0,8.0,52.0,1.0,1.0,1.0,,,15.0,6.0,4.0,,49.0,337.0,9.0,11.0,,22.0,2.0,59.0,,1.0,0.0,4.0,7.0,2.0,1.0,1.0,,0.0,4.0,,50.7,11.0,3.0,2.0,1.0,6.0,36.0,4.0,410.0,10.0,5.0,11.0,2.0,28.0,,2.0,265.0,8.0,11.0,22.0,89.0,21.0,,2.0,29.0,13.0,1.0,7.0,3.0,8.0,,2.0,8.0,4.0,,,,2.0,2.0,1.0,,2.0,,2.0,1.0,,,1.0,,,2.0,,,,2.0,,1.0,,1.0,,1.0,1.0,34.6,102162.84,1.0,1.0,,,,1.5013,,,,1.0346,,1.0,,,0.669938,2.0,0.7299,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.0409,
36,2444826,2025-05-11 14:15:00,"The City Ground, Nottingham",30245,Home,Nottingham Forest,Leicester City,2,2,D,1,1,0,0,,2.0,39.0,,2.0,3.0,16.0,25.0,5.0,1.0,10.0,4.0,1.0,136.0,8.0,4.0,2.0,4.0,10.0,4.0,114.0,115.0,49.0,15.0,2.0,17.0,2.0,2.0,1.0,27.0,8.0,,25.0,4.0,6.0,17.0,191.0,1.0,0.0,110.0,11.0,,3.0,104.0,47.0,7.0,58.0,23.0,18.0,5.0,6.0,3.0,115.0,7.0,125.0,604.0,6.0,4.0,18.0,1.0,4.0,356.0,15.0,,3.0,14.0,3.0,,2.0,16.0,414.0,53.0,449434,5.0,185.0,14.0,201.0,4.0,,,6.0,7.0,46.0,,1.0,1.0,,1.0,14.0,3.0,3.0,4.0,32.0,368.0,11.0,7.0,1.0,10.0,1.0,70.0,,1.0,0.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,6.0,6.0,55.7,12.0,2.0,1.0,1.0,5.0,47.0,4.0,433.0,4.0,9.0,12.0,6.0,27.0,2.0,3.0,259.0,8.0,6.0,17.0,81.0,20.0,1.0,1.0,14.0,17.0,2.0,11.0,3.0,6.0,2.0,1.0,6.0,4.0,,,,1.0,,,,1.0,1.0,,,1.0,3.0,,2.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,35.83,98818.59,,,2.0,,2.0,1.722,,1.0,,2.4377,,1.0,,,0.619495,1.0,1.3026,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,0.0484,
37,2444839,2025-05-18 14:15:00,"London Stadium, London",62466,Away,Nottingham Forest,West Ham United,2,1,W,1,0,0,0,,1.0,48.0,,,1.0,19.0,43.0,3.0,2.0,7.0,4.0,3.0,128.0,6.0,2.0,2.0,3.0,7.0,5.0,69.0,127.0,61.0,10.0,2.0,19.0,2.0,,2.0,21.0,19.0,1.0,43.0,6.0,13.0,30.0,150.0,,0.0,110.0,7.0,1.0,1.0,75.0,34.0,5.0,52.0,15.0,8.0,3.0,6.0,,127.0,13.0,77.0,558.0,5.0,5.0,29.0,1.0,17.0,240.0,24.0,,7.0,23.0,3.0,5.0,2.0,22.0,300.0,56.0,449434,4.0,112.0,8.0,129.0,4.0,1.0,2.0,4.0,9.0,56.0,7.0,2.0,,,1.0,13.0,3.0,5.0,,47.0,256.0,14.0,11.0,1.0,26.0,1.0,58.0,,1.0,0.0,1.0,8.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,39.3,15.0,3.0,1.0,,3.0,33.0,7.0,326.0,17.0,13.0,17.0,2.0,31.0,3.0,1.0,218.0,5.0,12.0,12.0,75.0,20.0,,1.0,23.0,33.0,1.0,4.0,5.0,8.0,,1.0,4.0,7.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,4.0,1.0,2.0,4.0,3.0,,1.0,,1.0,,,,1.0,1.0,,,,1.0,34.67,106455.46,,,1.0,,1.0,2.576,,,,1.0556,,3.0,,,1.2916,,1.9581,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,1.0
38,2444846,2025-05-25 16:00:00,"The City Ground, Nottingham",30263,Home,Nottingham Forest,Chelsea,0,1,L,0,0,0,0,,,48.0,,,4.0,21.0,22.0,2.0,2.0,8.0,1.0,2.0,152.0,7.0,2.0,,2.0,6.0,2.0,104.0,133.0,37.0,10.0,,9.0,1.0,,2.0,33.0,9.0,1.0,22.0,6.0,9.0,25.0,180.0,1.0,0.0,134.0,10.0,1.0,1.0,60.0,73.0,4.0,65.0,27.0,14.0,2.0,12.0,1.0,133.0,4.0,99.0,607.0,5.0,3.0,28.0,,3.0,337.0,23.0,1.0,5.0,10.0,2.0,2.0,2.0,25.0,405.0,64.0,449434,5.0,179.0,14.0,194.0,5.0,,2.0,8.0,3.0,38.0,2.0,5.0,4.0,,,14.0,2.0,3.0,1.0,49.0,352.0,11.0,4.0,1.0,20.0,5.0,58.0,1.0,,0.0,1.0,4.0,1.0,,1.0,2.0,0.0,4.0,2.0,51.8,21.0,4.0,1.0,4.0,4.0,38.0,7.0,420.0,3.0,8.0,12.0,4.0,37.0,3.0,3.0,259.0,6.0,8.0,10.0,92.0,16.0,,1.0,10.0,14.0,1.0,4.0,3.0,9.0,,1.0,8.0,7.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,35.96,103241.99,,1.0,,,,0.1179,1.0,,,1.1095,,,,1.0,0.848475,,1.1952,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,0.0339,
