gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,penaltySave,attFreekickTotal,shotFastbreak,attBxRight,cleanSheet,totalFastbreak,freekickTotal,penaltyConceded,attFastbreak,penaltyFaced,attFreekickMiss,attCmissRight,attSvHighRight,attCmissLeft,punches,attCmissHighRight,goalsConcededObox,attGoalLowLeft,attOboxGoal,contentiousDecision,postScoringAtt,attIboxPost,attOneOnOne,hitWoodwork,attPostHigh,attSvHighCentre,bigChanceScored,attLfGoal,attGoalLowCentre,forwardGoals,errorLeadToShot,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,penaltyWon,attPostLeft,attHdPost,sixYardBlock,attPenGoal,attGoalLowRight,attFreekickPost,attOboxPost,attPostRight,attHdGoal,accurateThroughBall,ptsGainedLosingPos,attMissHighLeft,accuratePullBack,attObxdLeft,clearanceOffLine,goalAssistSetplay,goalFastbreak,subsGoals,penGoalsConceded,errorLeadToGoal,attGoalHighCentre,defenderGoals,secondYellow,attLgCentre,attGoalHighLeft,attCmissHighLeft,goalAssistDeadball
27,2293077,2023-03-12 16:30:00,"St. James' Park, Newcastle",52240,Away,Wolverhampton Wanderers,Newcastle United,1,2,L,0,1,0,0,,1.0,10.0,59.0,2.0,,30.0,25.0,4.0,2.0,3.0,6.0,2.0,138.0,5.0,3.0,11.0,1.0,2.0,4.0,4.0,104.0,131.0,53.0,7.0,,12.0,1.0,,,,23.0,12.0,,2.0,25.0,2.0,5.0,47.0,157.0,,0.0,114.0,10.0,1.0,1.0,,1.0,1.0,2.0,52.0,59.0,2.0,76.0,2.0,1.0,21.0,17.0,4.0,5.0,1.0,131.0,,13.0,107.0,624.0,3.0,2.0,16.0,,6.0,330.0,28.0,3.0,15.0,,2.0,8.0,2.0,14.0,403.0,50.0,,79602,2.0,191.0,,15.0,,221.0,8.0,,,4.0,7.0,48.0,,,,,9.0,1.0,13.0,6.0,3.0,,61.0,345.0,11.0,13.0,1.0,12.0,,62.0,1.0,0.0,4.0,10.0,4.0,1.0,2.0,1.0,0.0,2.0,,,,57.9,14.0,,2.0,,10.0,,39.0,3.0,3.0,425.0,6.0,5.0,22.0,3.0,26.0,1.0,1.0,227.0,5.0,5.0,11.0,83.0,17.0,1.0,,15.0,20.0,2.0,6.0,5.0,19.0,,1.0,4.0,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,
28,2293089,2023-03-18 15:00:00,"Molineux Stadium, Wolverhampton",31570,Home,Wolverhampton Wanderers,Leeds United,2,4,L,0,1,2,0,2.0,2.0,24.0,70.0,,3.0,25.0,7.0,6.0,7.0,16.0,,3.0,160.0,11.0,5.0,10.0,2.0,4.0,15.0,8.0,183.0,157.0,55.0,23.0,3.0,11.0,6.0,,3.0,4.0,24.0,15.0,,,7.0,5.0,5.0,47.0,224.0,1.0,0.0,156.0,15.0,,,,1.0,1.0,,53.0,102.0,9.0,78.0,,1.0,19.0,26.0,7.0,6.0,3.0,157.0,4.0,7.0,159.0,781.0,12.0,6.0,41.0,1.0,9.0,465.0,29.0,2.0,5.0,,3.0,2.0,6.0,22.0,559.0,73.0,1.0,88484,8.0,263.0,4.0,12.0,2.0,286.0,7.0,2.0,1.0,12.0,9.0,52.0,,,2.0,2.0,2.0,1.0,17.0,4.0,7.0,1.0,48.0,482.0,8.0,7.0,3.0,8.0,3.0,71.0,,0.0,,4.0,,1.0,4.0,2.0,2.0,4.0,,,4.0,65.9,22.0,2.0,5.0,1.0,2.0,6.0,46.0,5.0,,580.0,9.0,12.0,21.0,9.0,33.0,1.0,6.0,318.0,12.0,4.0,16.0,105.0,34.0,1.0,,5.0,21.0,4.0,17.0,5.0,19.0,,1.0,12.0,5.0,,1.0,,2.0,,,1.0,,,,1.0,,1.0,2.0,,,,,1.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,3.0,,1.0,,,,,1.0,,2.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,
29,2293098,2023-04-01 15:00:00,"The City Ground, Nottingham",29368,Away,Wolverhampton Wanderers,Nottingham Forest,1,1,D,0,1,0,0,,,22.0,55.0,2.0,3.0,28.0,22.0,3.0,3.0,5.0,6.0,,189.0,6.0,7.0,11.0,1.0,2.0,6.0,1.0,186.0,137.0,54.0,8.0,1.0,17.0,,,,,22.0,6.0,,,22.0,3.0,6.0,49.0,204.0,,0.0,153.0,13.0,1.0,,,,3.0,1.0,69.0,92.0,4.0,101.0,2.0,1.0,19.0,20.0,3.0,3.0,2.0,137.0,,14.0,160.0,832.0,5.0,6.0,14.0,,6.0,522.0,24.0,,12.0,,5.0,3.0,2.0,20.0,614.0,73.0,2.0,88484,4.0,344.0,,13.0,3.0,363.0,4.0,1.0,,4.0,7.0,56.0,,,1.0,,9.0,,11.0,3.0,6.0,1.0,58.0,541.0,13.0,11.0,1.0,7.0,,88.0,,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,6.0,,1.0,1.0,72.4,20.0,,3.0,,9.0,4.0,55.0,3.0,1.0,636.0,6.0,9.0,26.0,3.0,25.0,1.0,1.0,295.0,4.0,5.0,16.0,100.0,19.0,2.0,,12.0,14.0,1.0,5.0,5.0,17.0,,2.0,4.0,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,
30,2293109,2023-04-08 15:00:00,"Molineux Stadium, Wolverhampton",31614,Home,Wolverhampton Wanderers,Chelsea,1,0,W,1,0,0,0,,1.0,22.0,68.0,1.0,,18.0,28.0,2.0,1.0,6.0,1.0,1.0,128.0,9.0,3.0,11.0,1.0,2.0,5.0,4.0,71.0,147.0,51.0,9.0,2.0,16.0,3.0,,2.0,1.0,26.0,13.0,,,28.0,6.0,1.0,33.0,124.0,,0.0,102.0,14.0,,,1.0,1.0,3.0,1.0,47.0,63.0,3.0,43.0,1.0,,20.0,30.0,3.0,7.0,1.0,147.0,,8.0,72.0,539.0,2.0,4.0,18.0,1.0,10.0,223.0,25.0,2.0,12.0,,2.0,8.0,2.0,16.0,294.0,50.0,1.0,88484,2.0,113.0,1.0,10.0,2.0,134.0,11.0,1.0,,18.0,4.0,71.0,,,2.0,2.0,4.0,1.0,13.0,5.0,1.0,2.0,44.0,234.0,9.0,14.0,3.0,10.0,3.0,47.0,,0.0,,8.0,,1.0,,2.0,0.0,2.0,,,2.0,37.6,14.0,1.0,9.0,1.0,4.0,2.0,26.0,8.0,1.0,314.0,10.0,15.0,15.0,3.0,36.0,1.0,2.0,206.0,6.0,,9.0,59.0,24.0,3.0,,12.0,22.0,,4.0,5.0,23.0,,3.0,18.0,8.0,,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
31,2293119,2023-04-15 15:00:00,"Molineux Stadium, Wolverhampton",30769,Home,Wolverhampton Wanderers,Brentford,2,0,W,1,0,0,0,1.0,1.0,17.0,66.0,1.0,,28.0,20.0,5.0,1.0,6.0,3.0,5.0,160.0,11.0,2.0,9.0,2.0,,6.0,9.0,107.0,139.0,48.0,11.0,2.0,20.0,4.0,,,,16.0,11.0,,3.0,20.0,4.0,2.0,48.0,135.0,,0.0,99.0,12.0,2.0,,,1.0,1.0,2.0,52.0,52.0,6.0,78.0,,,12.0,12.0,5.0,3.0,,139.0,,8.0,108.0,633.0,5.0,7.0,16.0,1.0,4.0,354.0,25.0,2.0,11.0,,1.0,4.0,,16.0,434.0,53.0,,88484,2.0,227.0,,8.0,,253.0,6.0,2.0,1.0,7.0,5.0,61.0,,,2.0,,4.0,2.0,8.0,2.0,,,79.0,360.0,7.0,7.0,1.0,22.0,1.0,72.0,3.0,0.0,,2.0,2.0,2.0,,5.0,0.0,1.0,,1.0,1.0,50.6,15.0,,4.0,2.0,4.0,2.0,32.0,5.0,2.0,453.0,4.0,15.0,25.0,,21.0,1.0,,216.0,9.0,1.0,11.0,63.0,28.0,2.0,,11.0,21.0,,10.0,5.0,17.0,,2.0,7.0,5.0,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,
32,2293126,2023-04-22 15:00:00,"King Power Stadium, Leicester",32053,Away,Wolverhampton Wanderers,Leicester City,1,2,L,1,1,0,0,,,18.0,75.0,,2.0,25.0,11.0,10.0,5.0,6.0,5.0,1.0,166.0,9.0,3.0,16.0,1.0,4.0,10.0,3.0,127.0,149.0,62.0,16.0,4.0,21.0,1.0,1.0,,2.0,20.0,8.0,,1.0,11.0,6.0,3.0,39.0,215.0,,0.0,131.0,16.0,1.0,,,,3.0,1.0,52.0,88.0,6.0,78.0,1.0,1.0,15.0,22.0,10.0,4.0,4.0,149.0,,10.0,126.0,705.0,8.0,6.0,14.0,1.0,7.0,392.0,31.0,4.0,6.0,1.0,3.0,3.0,4.0,22.0,473.0,57.0,,88484,1.0,194.0,,8.0,1.0,222.0,7.0,1.0,,12.0,5.0,71.0,3.0,,,3.0,6.0,1.0,14.0,5.0,1.0,3.0,54.0,406.0,17.0,12.0,1.0,15.0,5.0,53.0,,0.0,2.0,1.0,6.0,,2.0,2.0,0.0,2.0,,,3.0,58.2,22.0,2.0,8.0,,6.0,6.0,32.0,7.0,1.0,497.0,7.0,14.0,17.0,7.0,33.0,2.0,3.0,295.0,8.0,2.0,17.0,88.0,28.0,,,6.0,12.0,2.0,8.0,5.0,24.0,3.0,,12.0,7.0,,2.0,,1.0,,,2.0,1.0,,1.0,1.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,
33,2293136,2023-04-25 19:30:00,"Molineux Stadium, Wolverhampton",30792,Home,Wolverhampton Wanderers,Crystal Palace,2,0,W,1,0,0,0,,1.0,17.0,59.0,2.0,1.0,30.0,28.0,3.0,2.0,6.0,4.0,1.0,111.0,8.0,5.0,9.0,2.0,2.0,5.0,3.0,79.0,120.0,63.0,9.0,1.0,15.0,1.0,,1.0,1.0,13.0,8.0,,1.0,28.0,6.0,2.0,50.0,106.0,1.0,0.0,79.0,13.0,2.0,,1.0,,1.0,1.0,43.0,56.0,3.0,47.0,,,7.0,18.0,3.0,2.0,1.0,120.0,,8.0,83.0,511.0,2.0,1.0,17.0,,8.0,227.0,31.0,3.0,19.0,,5.0,6.0,2.0,12.0,299.0,35.0,,88484,4.0,135.0,,4.0,,160.0,3.0,1.0,,11.0,5.0,51.0,,,1.0,2.0,2.0,,11.0,6.0,2.0,2.0,65.0,236.0,14.0,12.0,3.0,15.0,3.0,60.0,1.0,0.0,2.0,11.0,2.0,2.0,,1.0,0.0,2.0,,,3.0,41.2,10.0,2.0,2.0,,2.0,2.0,30.0,6.0,1.0,320.0,8.0,5.0,21.0,4.0,22.0,3.0,3.0,173.0,4.0,2.0,19.0,46.0,21.0,2.0,,19.0,21.0,,5.0,5.0,15.0,,2.0,11.0,6.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
34,2293143,2023-04-29 15:00:00,"American Express Stadium, Falmer",31584,Away,Wolverhampton Wanderers,Brighton and Hove Albion,0,6,L,0,4,0,0,,1.0,13.0,55.0,,2.0,15.0,13.0,4.0,4.0,6.0,2.0,1.0,115.0,7.0,2.0,9.0,,1.0,8.0,2.0,99.0,108.0,40.0,10.0,1.0,9.0,2.0,,2.0,1.0,15.0,9.0,,,13.0,4.0,6.0,52.0,111.0,1.0,0.0,83.0,11.0,1.0,,,,1.0,1.0,43.0,40.0,4.0,72.0,2.0,1.0,11.0,16.0,4.0,5.0,3.0,108.0,,15.0,95.0,543.0,7.0,2.0,15.0,,10.0,288.0,23.0,,3.0,,1.0,7.0,4.0,14.0,349.0,28.0,,88484,4.0,201.0,,5.0,1.0,231.0,3.0,,,7.0,9.0,42.0,,,3.0,,4.0,,8.0,7.0,4.0,1.0,45.0,310.0,14.0,7.0,1.0,8.0,3.0,52.0,,0.0,,2.0,2.0,,6.0,2.0,0.0,1.0,,1.0,2.0,42.8,13.0,2.0,8.0,1.0,4.0,3.0,30.0,5.0,1.0,381.0,10.0,7.0,17.0,5.0,20.0,1.0,2.0,165.0,4.0,6.0,1.0,59.0,20.0,,,3.0,16.0,4.0,6.0,5.0,17.0,,,7.0,5.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,
35,2293159,2023-05-06 15:00:00,"Molineux Stadium, Wolverhampton",31641,Home,Wolverhampton Wanderers,Aston Villa,1,0,W,1,0,0,0,,1.0,16.0,45.0,1.0,,17.0,23.0,2.0,2.0,4.0,3.0,,101.0,10.0,2.0,15.0,1.0,2.0,5.0,2.0,60.0,102.0,46.0,6.0,2.0,19.0,1.0,,,1.0,13.0,9.0,,,23.0,5.0,2.0,28.0,70.0,,0.0,59.0,20.0,1.0,,,1.0,,,39.0,37.0,3.0,51.0,1.0,,8.0,18.0,2.0,5.0,,102.0,1.0,12.0,52.0,428.0,4.0,1.0,8.0,,9.0,185.0,23.0,3.0,14.0,1.0,3.0,7.0,2.0,14.0,243.0,33.0,,88484,2.0,126.0,1.0,3.0,,148.0,6.0,,,13.0,9.0,56.0,1.0,,4.0,3.0,3.0,,6.0,4.0,1.0,1.0,54.0,194.0,9.0,7.0,,16.0,1.0,44.0,,0.0,,6.0,2.0,1.0,,,0.0,1.0,1.0,1.0,1.0,38.0,12.0,,2.0,1.0,3.0,2.0,15.0,5.0,,264.0,9.0,8.0,10.0,2.0,14.0,1.0,2.0,129.0,3.0,2.0,9.0,30.0,16.0,1.0,,14.0,13.0,,5.0,4.0,17.0,,1.0,13.0,5.0,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0
36,2293168,2023-05-13 15:00:00,"Old Trafford, Manchester",73570,Away,Wolverhampton Wanderers,Manchester United,0,2,L,0,1,0,0,,,14.0,58.0,3.0,,36.0,15.0,,2.0,5.0,8.0,,148.0,7.0,7.0,16.0,,1.0,5.0,,128.0,136.0,47.0,5.0,,16.0,,,,3.0,22.0,7.0,,,15.0,6.0,4.0,43.0,143.0,,0.0,106.0,9.0,3.0,,,,1.0,1.0,48.0,70.0,,72.0,1.0,,16.0,24.0,,3.0,,136.0,,13.0,121.0,655.0,2.0,10.0,23.0,,7.0,355.0,31.0,2.0,10.0,,2.0,5.0,5.0,21.0,444.0,36.0,,88484,4.0,241.0,,12.0,,269.0,6.0,,1.0,13.0,13.0,51.0,,,2.0,1.0,3.0,,11.0,14.0,11.0,,67.0,377.0,9.0,13.0,3.0,17.0,4.0,61.0,,0.0,1.0,11.0,4.0,,2.0,1.0,0.0,3.0,,3.0,3.0,52.0,19.0,3.0,5.0,,4.0,,29.0,7.0,1.0,469.0,7.0,8.0,23.0,5.0,28.0,4.0,5.0,222.0,,4.0,14.0,69.0,18.0,1.0,,10.0,8.0,2.0,1.0,5.0,21.0,,1.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,
37,2293179,2023-05-20 15:00:00,"Molineux Stadium, Wolverhampton",31684,Home,Wolverhampton Wanderers,Everton,1,1,D,1,0,0,0,,,21.0,73.0,3.0,1.0,22.0,28.0,3.0,2.0,10.0,3.0,4.0,168.0,9.0,1.0,6.0,1.0,1.0,7.0,5.0,113.0,134.0,42.0,13.0,1.0,25.0,4.0,,,2.0,9.0,5.0,,,28.0,,6.0,50.0,107.0,,0.0,89.0,18.0,,,,2.0,,3.0,40.0,48.0,3.0,66.0,,2.0,9.0,10.0,3.0,,2.0,134.0,,10.0,104.0,625.0,7.0,3.0,19.0,,5.0,339.0,33.0,,16.0,,5.0,6.0,4.0,10.0,428.0,41.0,,88484,5.0,249.0,,9.0,,287.0,9.0,1.0,,6.0,10.0,68.0,1.0,,1.0,1.0,10.0,1.0,9.0,9.0,8.0,1.0,56.0,355.0,9.0,6.0,,13.0,,60.0,2.0,0.0,,7.0,,1.0,1.0,1.0,0.0,1.0,,,1.0,53.2,9.0,1.0,3.0,,10.0,2.0,28.0,1.0,4.0,451.0,5.0,6.0,20.0,6.0,17.0,,4.0,173.0,10.0,4.0,15.0,61.0,23.0,2.0,,16.0,12.0,1.0,12.0,5.0,19.0,2.0,2.0,6.0,1.0,,1.0,4.0,4.0,,4.0,1.0,,4.0,,,2.0,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,
38,2293180,2023-05-28 16:30:00,"Emirates Stadium, London",60095,Away,Wolverhampton Wanderers,Arsenal,0,5,L,0,3,0,0,1.0,,17.0,41.0,1.0,1.0,19.0,22.0,1.0,1.0,4.0,3.0,,119.0,8.0,3.0,16.0,,3.0,5.0,,118.0,93.0,45.0,6.0,1.0,11.0,,,,,15.0,4.0,,,22.0,4.0,3.0,37.0,128.0,,0.0,76.0,11.0,1.0,,,,3.0,2.0,26.0,53.0,1.0,82.0,,2.0,11.0,15.0,2.0,3.0,1.0,93.0,,11.0,113.0,590.0,3.0,,12.0,,2.0,370.0,22.0,,13.0,,0.0,2.0,4.0,14.0,416.0,36.0,1.0,88484,2.0,255.0,,5.0,1.0,275.0,5.0,,,5.0,5.0,49.0,,,,,7.0,,10.0,3.0,2.0,1.0,40.0,380.0,8.0,11.0,2.0,5.0,1.0,52.0,,0.0,2.0,8.0,2.0,,5.0,,0.0,2.0,,1.0,3.0,49.0,14.0,3.0,1.0,,7.0,2.0,35.0,4.0,2.0,432.0,2.0,9.0,18.0,4.0,16.0,1.0,3.0,172.0,2.0,3.0,12.0,55.0,11.0,1.0,,13.0,9.0,5.0,3.0,5.0,24.0,,1.0,5.0,4.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,
