gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attOneOnOne,attSvHighRight,attMissRight,secondYellow,subsGoals,goalAssist,attCmissHigh,attMissHigh,attIboxGoal,attPostHigh,attCmissHighRight,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowLeft,attCmissRight,attFreekickTotal,accurateKeeperSweeper,goalAssistOpenplay,cleanSheet,freekickTotal,totalKeeperSweeper,goalsOpenplay,attObpGoal,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,errorLeadToShot,forwardGoals,attGoalLowCentre,midfielderGoals,attLgCentre,attRfGoal,ownGoals,attCmissLeft,attIboxOwnGoal,ptsDroppedWinningPos,attLfGoal,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededObox,foulThrowIn,ptsGainedLosingPos,attMissHighLeft,sixYardBlock,attCmissHighLeft,attOboxPost,errorLeadToGoal,attFreekickMiss,penaltyWon,attGoalHighCentre,attPenGoal,attGoalHighLeft,accuratePullBack,attObxdLeft,attPostRight,defenderGoals,attObxdRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
26,2367797,2024-02-25 13:30:00,"Molineux Stadium, Wolverhampton",30789.0,Home,Wolverhampton Wanderers,Sheffield United,1,0,W,1,0,0,0,,57.0,3.0,26.0,25.0,3.0,5.0,10.0,4.0,1.0,183.0,5.0,8.0,3.0,9.0,2.0,160.0,131.0,57.0,13.0,,22.0,,,2.0,,1.0,3.0,21.0,,15.0,1.0,25.0,3.0,10.0,34.0,227.0,1.0,0.0,139.0,8.0,1.0,,,2.0,,102.0,81.0,5.0,109.0,,18.0,14.0,3.0,6.0,2.0,131.0,1.0,,9.0,,156.0,795.0,7.0,4.0,27.0,,,4.0,518.0,23.0,1.0,19.0,2.0,4.0,4.0,21.0,595.0,50.0,,1.0,88484,5.0,307.0,,10.0,2.0,330.0,7.0,,6.0,7.0,51.0,1.0,1.0,6.0,14.0,3.0,6.0,48.0,529.0,4.0,4.0,1.0,12.0,1.0,66.0,,,1.0,0.0,,6.0,3.0,,1.0,0.0,5.0,,3.0,63.5,18.0,1.0,5.0,1.0,,7.0,3.0,,44.0,5.0,,608.0,4.0,8.0,20.0,8.0,29.0,,6.0,299.0,5.0,8.0,22.0,104.0,21.0,1.0,19.0,23.0,,10.0,3.0,17.0,1.0,6.0,5.0,,1.0,,,1.0,,,2.0,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
27,2367804,2024-03-02 15:00:00,"St. James' Park, Newcastle",52206.0,Away,Wolverhampton Wanderers,Newcastle United,0,3,L,0,2,0,0,1.0,58.0,1.0,22.0,13.0,4.0,5.0,8.0,3.0,1.0,148.0,5.0,14.0,,10.0,3.0,167.0,141.0,36.0,12.0,2.0,16.0,2.0,1.0,1.0,,1.0,1.0,19.0,,7.0,1.0,13.0,3.0,6.0,27.0,245.0,1.0,0.0,145.0,11.0,1.0,1.0,1.0,,,75.0,64.0,5.0,80.0,1.0,16.0,26.0,4.0,6.0,1.0,141.0,,,8.0,,169.0,769.0,9.0,3.0,21.0,1.0,,11.0,465.0,24.0,2.0,4.0,1.0,4.0,5.0,27.0,545.0,36.0,,,88484,5.0,240.0,,10.0,,270.0,10.0,2.0,10.0,4.0,51.0,,2.0,10.0,15.0,6.0,3.0,52.0,480.0,8.0,5.0,1.0,19.0,3.0,48.0,1.0,1.0,,0.0,4.0,3.0,2.0,3.0,1.0,0.0,4.0,1.0,5.0,55.8,24.0,4.0,4.0,,,10.0,3.0,1.0,27.0,5.0,,564.0,11.0,13.0,12.0,6.0,27.0,1.0,5.0,313.0,2.0,5.0,6.0,114.0,19.0,2.0,4.0,8.0,3.0,9.0,5.0,20.0,2.0,10.0,5.0,,2.0,,,,,,2.0,,,,,2.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
28,2367817,2024-03-09 15:00:00,"Molineux Stadium, Wolverhampton",30860.0,Home,Wolverhampton Wanderers,Fulham,2,1,W,0,0,0,0,2.0,50.0,,15.0,20.0,3.0,3.0,5.0,5.0,,129.0,1.0,10.0,4.0,8.0,3.0,122.0,119.0,39.0,8.0,,12.0,1.0,1.0,1.0,,,,16.0,,2.0,1.0,20.0,3.0,7.0,28.0,176.0,1.0,0.0,125.0,7.0,2.0,1.0,2.0,2.0,,87.0,69.0,3.0,81.0,,13.0,20.0,3.0,3.0,2.0,119.0,3.0,,16.0,,119.0,630.0,6.0,3.0,18.0,,,6.0,370.0,16.0,,13.0,2.0,8.0,5.0,18.0,432.0,47.0,1.0,,88484,1.0,208.0,2.0,8.0,1.0,225.0,7.0,1.0,12.0,8.0,44.0,1.0,3.0,5.0,10.0,7.0,5.0,44.0,383.0,11.0,4.0,1.0,12.0,1.0,51.0,1.0,,,0.0,1.0,4.0,3.0,1.0,1.0,0.0,,,1.0,47.8,17.0,1.0,5.0,2.0,,5.0,,1.0,31.0,3.0,,451.0,6.0,13.0,11.0,5.0,22.0,1.0,3.0,242.0,4.0,6.0,10.0,92.0,23.0,,13.0,9.0,1.0,6.0,3.0,18.0,,12.0,3.0,,3.0,1.0,,2.0,1.0,,3.0,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,
29,2367827,2024-04-24 19:45:00,"Molineux Stadium, Wolverhampton",25541.0,Home,Wolverhampton Wanderers,Bournemouth,0,1,L,0,1,0,1,1.0,48.0,3.0,20.0,21.0,9.0,5.0,6.0,5.0,1.0,177.0,4.0,10.0,2.0,11.0,4.0,148.0,157.0,67.0,15.0,4.0,22.0,2.0,,1.0,,2.0,2.0,18.0,,10.0,2.0,21.0,5.0,14.0,35.0,192.0,,0.0,144.0,10.0,4.0,,1.0,2.0,,48.0,78.0,9.0,84.0,1.0,13.0,22.0,9.0,4.0,3.0,157.0,,1.0,13.0,,126.0,751.0,9.0,5.0,29.0,2.0,,4.0,410.0,30.0,6.0,11.0,4.0,8.0,2.0,25.0,505.0,52.0,2.0,,88484,2.0,247.0,,7.0,1.0,281.0,5.0,2.0,9.0,9.0,65.0,2.0,2.0,2.0,15.0,8.0,7.0,48.0,435.0,17.0,13.0,2.0,17.0,4.0,58.0,,1.0,,0.0,2.0,12.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,62.8,23.0,1.0,1.0,1.0,,2.0,7.0,,30.0,8.0,,535.0,4.0,19.0,11.0,4.0,33.0,2.0,1.0,272.0,7.0,13.0,23.0,101.0,13.0,1.0,11.0,17.0,1.0,10.0,5.0,13.0,1.0,9.0,8.0,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
30,2367829,2024-03-30 17:30:00,"Villa Park, Birmingham",42640.0,Away,Wolverhampton Wanderers,Aston Villa,0,2,L,0,1,0,0,2.0,49.0,3.0,28.0,12.0,3.0,5.0,10.0,3.0,,111.0,6.0,8.0,1.0,10.0,3.0,119.0,96.0,53.0,13.0,,8.0,2.0,,3.0,,1.0,3.0,15.0,,14.0,1.0,12.0,4.0,7.0,33.0,174.0,,0.0,92.0,19.0,2.0,,1.0,,2.0,35.0,79.0,5.0,77.0,,11.0,16.0,3.0,4.0,2.0,96.0,2.0,,7.0,,132.0,607.0,8.0,,19.0,1.0,,4.0,365.0,15.0,2.0,7.0,4.0,2.0,5.0,15.0,418.0,45.0,1.0,,88484,5.0,216.0,3.0,7.0,,237.0,18.0,1.0,7.0,7.0,54.0,2.0,2.0,9.0,13.0,4.0,5.0,45.0,384.0,10.0,11.0,2.0,9.0,3.0,42.0,,,,0.0,1.0,5.0,3.0,2.0,,0.0,4.0,,4.0,51.7,15.0,3.0,4.0,1.0,,9.0,3.0,,30.0,4.0,2.0,439.0,4.0,7.0,21.0,7.0,25.0,2.0,5.0,217.0,4.0,6.0,11.0,69.0,21.0,1.0,7.0,24.0,1.0,9.0,5.0,17.0,1.0,7.0,4.0,,,,,,1.0,,2.0,,,,1.0,2.0,,,,,,,,1.0,1.0,2.0,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
31,2367841,2024-04-02 19:45:00,"Turf Moor, Burnley",21528.0,Away,Wolverhampton Wanderers,Burnley,1,1,D,1,1,0,0,1.0,54.0,1.0,13.0,29.0,1.0,5.0,7.0,5.0,,137.0,4.0,12.0,1.0,6.0,2.0,124.0,124.0,52.0,8.0,1.0,14.0,1.0,,1.0,,1.0,3.0,14.0,,8.0,,29.0,4.0,7.0,22.0,129.0,,0.0,67.0,12.0,3.0,,,,,30.0,57.0,2.0,79.0,,10.0,13.0,1.0,3.0,,124.0,3.0,,8.0,,128.0,665.0,5.0,8.0,20.0,,,7.0,376.0,27.0,2.0,17.0,2.0,2.0,4.0,12.0,443.0,28.0,,,88484,5.0,270.0,2.0,7.0,1.0,307.0,11.0,1.0,6.0,8.0,49.0,,5.0,5.0,17.0,5.0,6.0,44.0,395.0,10.0,8.0,,16.0,3.0,42.0,,,,0.0,2.0,7.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,49.1,11.0,2.0,2.0,,,5.0,2.0,,22.0,4.0,,468.0,7.0,12.0,13.0,4.0,19.0,2.0,4.0,175.0,,7.0,13.0,47.0,17.0,3.0,17.0,18.0,1.0,4.0,3.0,16.0,3.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
32,2367857,2024-04-06 15:00:00,"Molineux Stadium, Wolverhampton",31504.0,Home,Wolverhampton Wanderers,West Ham United,1,2,L,1,0,0,0,2.0,46.0,,16.0,16.0,10.0,5.0,4.0,2.0,4.0,158.0,2.0,9.0,2.0,10.0,7.0,165.0,134.0,58.0,14.0,2.0,13.0,2.0,,,,1.0,3.0,12.0,,21.0,4.0,16.0,4.0,9.0,28.0,208.0,,0.0,104.0,15.0,1.0,,,,,63.0,63.0,6.0,99.0,1.0,8.0,20.0,10.0,4.0,4.0,134.0,1.0,1.0,5.0,,173.0,798.0,10.0,2.0,21.0,,,7.0,506.0,23.0,3.0,9.0,5.0,3.0,4.0,22.0,578.0,29.0,,,88484,2.0,312.0,1.0,4.0,,351.0,15.0,,9.0,7.0,57.0,,3.0,3.0,19.0,6.0,4.0,44.0,518.0,7.0,8.0,,19.0,2.0,56.0,,3.0,,0.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,,58.3,21.0,,1.0,1.0,,4.0,2.0,,37.0,4.0,,595.0,7.0,10.0,14.0,5.0,23.0,1.0,1.0,256.0,9.0,8.0,7.0,83.0,16.0,3.0,9.0,35.0,1.0,10.0,5.0,21.0,3.0,9.0,4.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,
33,2367866,2024-04-13 15:00:00,"The City Ground, Nottingham",29604.0,Away,Wolverhampton Wanderers,Nottingham Forest,2,2,D,1,1,0,0,,42.0,2.0,25.0,30.0,3.0,1.0,8.0,7.0,1.0,155.0,3.0,5.0,,8.0,4.0,146.0,115.0,45.0,11.0,1.0,21.0,2.0,,1.0,,1.0,1.0,5.0,,8.0,,30.0,1.0,16.0,28.0,141.0,,0.0,77.0,10.0,1.0,,,,1.0,32.0,65.0,5.0,90.0,1.0,4.0,14.0,3.0,1.0,2.0,115.0,1.0,,13.0,,134.0,719.0,6.0,2.0,13.0,1.0,,8.0,434.0,15.0,5.0,17.0,3.0,3.0,3.0,21.0,498.0,37.0,,,88484,3.0,315.0,2.0,3.0,,343.0,6.0,2.0,6.0,8.0,53.0,,1.0,7.0,19.0,5.0,5.0,59.0,453.0,15.0,9.0,1.0,22.0,3.0,61.0,,1.0,3.0,0.0,3.0,10.0,5.0,2.0,1.0,0.0,2.0,2.0,2.0,53.8,17.0,,1.0,2.0,,7.0,3.0,,33.0,1.0,1.0,525.0,8.0,10.0,15.0,4.0,10.0,1.0,2.0,187.0,8.0,15.0,11.0,55.0,18.0,2.0,17.0,14.0,2.0,8.0,5.0,9.0,2.0,6.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,1.0,2.0,2.0,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,2.0,2.0,1.0,,,2.0,,,,2.0,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,
34,2367877,2024-04-20 19:30:00,"Molineux Stadium, Wolverhampton",31621.0,Home,Wolverhampton Wanderers,Arsenal,0,2,L,0,1,0,0,1.0,50.0,,21.0,23.0,3.0,2.0,2.0,7.0,2.0,147.0,,4.0,1.0,2.0,3.0,116.0,112.0,46.0,5.0,,24.0,2.0,,1.0,,,,6.0,,15.0,1.0,23.0,1.0,9.0,31.0,127.0,,0.0,58.0,14.0,5.0,,,1.0,,26.0,70.0,2.0,86.0,,5.0,17.0,3.0,1.0,2.0,112.0,,,14.0,,116.0,612.0,2.0,3.0,6.0,,1.0,1.0,361.0,24.0,3.0,7.0,3.0,9.0,,8.0,438.0,32.0,,,88484,,254.0,,3.0,,290.0,7.0,,12.0,11.0,52.0,,1.0,5.0,8.0,10.0,6.0,63.0,381.0,9.0,5.0,,25.0,1.0,63.0,,1.0,,0.0,2.0,2.0,6.0,2.0,1.0,0.0,,,,46.3,8.0,,3.0,,2.0,5.0,,,34.0,1.0,,465.0,1.0,7.0,13.0,2.0,10.0,,,181.0,3.0,9.0,11.0,31.0,15.0,,7.0,23.0,2.0,4.0,3.0,8.0,,12.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2367887,2024-04-27 15:00:00,"Molineux Stadium, Wolverhampton",31531.0,Home,Wolverhampton Wanderers,Luton Town,2,1,W,1,0,0,0,2.0,57.0,1.0,29.0,17.0,7.0,2.0,6.0,5.0,1.0,148.0,3.0,10.0,,9.0,5.0,172.0,134.0,56.0,13.0,3.0,11.0,2.0,1.0,1.0,,2.0,2.0,13.0,,10.0,1.0,17.0,2.0,9.0,35.0,176.0,,0.0,93.0,14.0,1.0,1.0,1.0,,1.0,64.0,69.0,6.0,109.0,1.0,11.0,15.0,7.0,1.0,3.0,134.0,3.0,,6.0,,184.0,808.0,6.0,4.0,16.0,,,5.0,514.0,25.0,9.0,11.0,3.0,1.0,3.0,25.0,587.0,53.0,1.0,,88484,3.0,362.0,2.0,10.0,,388.0,7.0,2.0,9.0,6.0,63.0,1.0,2.0,1.0,13.0,3.0,5.0,68.0,535.0,14.0,10.0,1.0,27.0,2.0,77.0,1.0,,,0.0,2.0,4.0,4.0,1.0,,0.0,2.0,,3.0,57.8,24.0,1.0,3.0,1.0,,1.0,4.0,,44.0,4.0,1.0,613.0,5.0,18.0,19.0,4.0,18.0,1.0,1.0,238.0,8.0,8.0,10.0,57.0,24.0,2.0,11.0,22.0,1.0,11.0,2.0,20.0,2.0,9.0,4.0,,1.0,1.0,,2.0,,,,,,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,0.8557,0.9636,0.609535,1.2099
36,2367896,2024-05-04 17:30:00,"Etihad Stadium, Manchester",52439.0,Away,Wolverhampton Wanderers,Manchester City,1,5,L,0,3,0,0,,44.0,1.0,16.0,11.0,,,2.0,7.0,,136.0,1.0,11.0,1.0,1.0,1.0,129.0,107.0,36.0,2.0,,9.0,,,,,,,7.0,,14.0,,11.0,,8.0,17.0,129.0,,0.0,52.0,17.0,5.0,,,,,46.0,61.0,1.0,76.0,1.0,7.0,19.0,,2.0,,107.0,,,17.0,,113.0,603.0,1.0,2.0,5.0,,,7.0,374.0,18.0,4.0,7.0,4.0,3.0,,9.0,434.0,23.0,,,88484,,256.0,,5.0,,280.0,12.0,1.0,11.0,7.0,52.0,,2.0,6.0,15.0,3.0,2.0,47.0,384.0,4.0,13.0,,20.0,,56.0,,,,0.0,1.0,6.0,6.0,5.0,,0.0,1.0,,,42.1,9.0,,3.0,1.0,,6.0,1.0,,33.0,,,454.0,7.0,6.0,7.0,,15.0,,,181.0,2.0,8.0,2.0,31.0,15.0,2.0,7.0,20.0,5.0,2.0,4.0,18.0,2.0,11.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,2.0,2.0,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,
37,2367907,2024-05-11 15:00:00,"Molineux Stadium, Wolverhampton",31424.0,Home,Wolverhampton Wanderers,Crystal Palace,1,3,L,0,2,0,1,3.0,52.0,2.0,26.0,8.0,3.0,3.0,11.0,,3.0,171.0,9.0,9.0,4.0,7.0,8.0,143.0,155.0,56.0,14.0,1.0,21.0,5.0,,3.0,,1.0,1.0,30.0,,12.0,2.0,8.0,8.0,14.0,34.0,214.0,,0.0,130.0,13.0,,,,5.0,,50.0,104.0,6.0,77.0,,22.0,19.0,3.0,3.0,,155.0,,2.0,9.0,,154.0,753.0,6.0,7.0,25.0,1.0,1.0,9.0,432.0,20.0,7.0,2.0,3.0,4.0,1.0,26.0,520.0,66.0,,2.0,88484,7.0,246.0,1.0,14.0,4.0,264.0,9.0,,8.0,9.0,65.0,,3.0,1.0,11.0,4.0,7.0,63.0,451.0,11.0,8.0,1.0,28.0,5.0,70.0,,2.0,,0.0,1.0,3.0,,3.0,,0.0,4.0,3.0,2.0,61.7,25.0,1.0,3.0,,3.0,1.0,3.0,,45.0,8.0,,545.0,9.0,14.0,13.0,3.0,31.0,5.0,3.0,311.0,9.0,14.0,15.0,80.0,26.0,1.0,2.0,22.0,2.0,5.0,4.0,19.0,1.0,8.0,8.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
38,2367914,2024-05-19 16:00:00,"Anfield, Liverpool",60059.0,Away,Wolverhampton Wanderers,Liverpool,0,2,L,0,2,1,0,2.0,48.0,1.0,17.0,24.0,1.0,3.0,3.0,11.0,1.0,117.0,,15.0,2.0,4.0,3.0,65.0,115.0,56.0,4.0,,14.0,2.0,2.0,,,1.0,,5.0,,11.0,1.0,24.0,2.0,5.0,17.0,83.0,,0.0,64.0,10.0,3.0,2.0,2.0,1.0,3.0,53.0,15.0,4.0,53.0,,3.0,12.0,1.0,2.0,,115.0,1.0,1.0,27.0,,68.0,491.0,3.0,2.0,13.0,,,3.0,211.0,20.0,3.0,11.0,1.0,11.0,,17.0,265.0,38.0,,,87835,2.0,148.0,1.0,,,168.0,8.0,,4.0,13.0,51.0,2.0,2.0,5.0,8.0,9.0,5.0,52.0,231.0,14.0,5.0,1.0,17.0,,54.0,2.0,,,0.0,3.0,10.0,8.0,2.0,,1.0,,,,32.6,14.0,,2.0,1.0,,5.0,1.0,1.0,19.0,2.0,3.0,303.0,3.0,11.0,9.0,,13.0,,,140.0,1.0,5.0,4.0,39.0,13.0,,11.0,23.0,2.0,3.0,5.0,26.0,,4.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
