gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,postScoringAtt,attMissLeft,attIboxPost,attSvHighLeft,freekickCross,interceptionsInBox,attPostLeft,hitWoodwork,outfielderBlock,sixYardBlock,ownGoals,attCmissLeft,attOboxPost,attPostHigh,attHdMiss,attIboxMiss,attIboxOwnGoal,goalAssistSetplay,shotFastbreak,totalFastbreak,attSvLowLeft,attCmissHigh,defenderGoals,attFastbreak,attObpGoal,foulThrowIn,attBxLeft,ptsDroppedWinningPos,attSvHighRight,cleanSheet,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,totalPullBack,attAssistSetplay,attGoalLowLeft,accuratePullBack,attCmissHighRight,shieldBallOop,accurateCornersIntobox,handBall,attLfGoal,attGoalHighLeft,attGoalHighCentre,attFreekickMiss,attCmissRight,contentiousDecision,penaltyWon,attPenGoal,attLgCentre,punches,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attObxLeft,attFreekickTarget,goalFastbreak,totalKeeperSweeper,accurateKeeperSweeper,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,errorLeadToGoal,attCorner,attHdPost,attCmissHighLeft
27,987852,2019-02-23 15:00:00,"Vitality Stadium, Bournemouth",10671,Away,Wolverhampton Wanderers,Bournemouth,1,1,D,0,1,0,0,,1.0,69.0,1.0,,,30.0,17.0,4.0,1.0,6.0,2.0,,177.0,4.0,10.0,1.0,3.0,8.0,2.0,101.0,167.0,61.0,,10.0,3.0,27.0,1.0,,,,21.0,11.0,,,17.0,8.0,8.0,52.0,,187.0,,,0.0,147.0,15.0,1.0,2.0,,1.0,68.0,70.0,3.0,81.0,1.0,13.0,19.0,4.0,,4.0,1.0,167.0,,9.0,109.0,669.0,6.0,2.0,18.0,7.0,343.0,23.0,4.0,8.0,,5.0,5.0,31.0,447.0,59.0,,,94147,3.0,169.0,,7.0,193.0,10.0,1.0,19.0,6.0,73.0,,3.0,2.0,,5.0,1.0,3.0,2.0,81.0,352.0,10.0,11.0,23.0,89.0,,,0.0,2.0,9.0,2.0,1.0,1.0,1.0,0.0,2.0,,2.0,55.4,28.0,7.0,2.0,3.0,42.0,8.0,1.0,468.0,7.0,16.0,18.0,5.0,33.0,296.0,5.0,8.0,21.0,94.0,32.0,1.0,2.0,8.0,21.0,,1.0,5.0,3.0,15.0,2.0,12.0,8.0,,,2.0,,1.0,2.0,1.0,,,2.0,,,,,,1.0,4.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,2.0,2.0,,,,,2.0,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,2.0,2.0,1.0,,4.0,,
28,987865,2019-02-26 19:45:00,"Accu Stadium, Huddersfield",22714,Away,Wolverhampton Wanderers,Huddersfield Town,0,1,L,0,0,0,0,,,57.0,,,1.0,37.0,16.0,3.0,,4.0,2.0,,175.0,3.0,12.0,,1.0,6.0,,107.0,160.0,62.0,,7.0,1.0,34.0,,,,,10.0,10.0,,,16.0,5.0,9.0,41.0,,213.0,1.0,,0.0,142.0,10.0,,2.0,,1.0,94.0,66.0,2.0,73.0,2.0,5.0,18.0,3.0,,1.0,2.0,160.0,1.0,8.0,106.0,666.0,4.0,5.0,14.0,13.0,337.0,23.0,6.0,8.0,,2.0,4.0,33.0,435.0,55.0,,,94147,2.0,145.0,1.0,3.0,178.0,5.0,,18.0,14.0,69.0,1.0,4.0,2.0,,16.0,7.0,8.0,1.0,69.0,355.0,9.0,5.0,18.0,70.0,,,0.0,4.0,3.0,2.0,,1.0,2.0,0.0,1.0,,2.0,50.1,31.0,1.0,2.0,2.0,37.0,5.0,1.0,461.0,13.0,6.0,20.0,5.0,16.0,293.0,5.0,9.0,21.0,101.0,29.0,,5.0,8.0,20.0,,1.0,4.0,3.0,27.0,5.0,5.0,5.0,,,1.0,,,1.0,1.0,,,3.0,,,,,,2.0,3.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,2.0,,1.0,,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,
29,987881,2019-03-02 15:00:00,"Molineux Stadium, Wolverhampton",31309,Home,Wolverhampton Wanderers,Cardiff City,2,0,W,2,0,0,0,4.0,2.0,72.0,,,2.0,35.0,38.0,2.0,6.0,11.0,3.0,,165.0,4.0,16.0,2.0,,12.0,6.0,102.0,145.0,83.0,,13.0,,20.0,4.0,,2.0,2.0,12.0,11.0,,,38.0,6.0,5.0,46.0,1.0,177.0,,,0.0,85.0,11.0,,,,1.0,76.0,53.0,7.0,87.0,3.0,6.0,29.0,2.0,,1.0,2.0,145.0,6.0,6.0,119.0,702.0,8.0,6.0,26.0,8.0,368.0,35.0,4.0,25.0,2.0,1.0,5.0,25.0,457.0,35.0,,,94147,7.0,205.0,5.0,5.0,240.0,6.0,2.0,29.0,7.0,53.0,1.0,1.0,2.0,2.0,13.0,6.0,3.0,1.0,65.0,378.0,6.0,7.0,16.0,83.0,1.0,,0.0,4.0,8.0,4.0,2.0,,3.0,0.0,1.0,2.0,1.0,56.3,18.0,2.0,2.0,2.0,51.0,7.0,1.0,473.0,8.0,9.0,25.0,5.0,17.0,245.0,5.0,3.0,41.0,64.0,30.0,2.0,4.0,25.0,20.0,,,9.0,3.0,24.0,4.0,20.0,7.0,,1.0,,1.0,,,,1.0,1.0,4.0,,,,,,1.0,2.0,,,4.0,4.0,,,,4.0,,,2.0,,,1.0,,,,,1.0,2.0,2.0,,,1.0,3.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
30,987884,2019-03-10 14:05:00,"Stamford Bridge, London",40692,Away,Wolverhampton Wanderers,Chelsea,1,1,D,0,0,0,0,,1.0,62.0,,3.0,,21.0,47.0,1.0,1.0,1.0,5.0,,113.0,,4.0,1.0,1.0,2.0,1.0,65.0,108.0,58.0,,2.0,,8.0,,,1.0,,1.0,15.0,,,47.0,,1.0,31.0,,72.0,,,0.0,61.0,14.0,,3.0,,1.0,22.0,38.0,1.0,29.0,1.0,1.0,24.0,1.0,,,1.0,108.0,1.0,10.0,70.0,473.0,,2.0,2.0,24.0,181.0,40.0,4.0,29.0,1.0,4.0,1.0,6.0,257.0,29.0,1.0,1.0,94147,1.0,124.0,,1.0,159.0,11.0,1.0,24.0,9.0,56.0,1.0,2.0,,1.0,9.0,12.0,6.0,,58.0,196.0,8.0,21.0,20.0,44.0,,,0.0,,13.0,2.0,1.0,1.0,,0.0,,1.0,,24.4,5.0,2.0,,,18.0,,1.0,277.0,24.0,8.0,12.0,1.0,7.0,119.0,1.0,,12.0,35.0,17.0,1.0,4.0,29.0,34.0,,,1.0,2.0,10.0,4.0,11.0,,1.0,,,,,,3.0,,,14.0,,,,,,,,,,1.0,2.0,,,,1.0,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
31,987901,2019-04-24 19:45:00,"Molineux Stadium, Wolverhampton",31436,Home,Wolverhampton Wanderers,Arsenal,3,1,W,3,0,0,0,,1.0,46.0,,,2.0,22.0,18.0,3.0,4.0,8.0,,,121.0,4.0,6.0,3.0,4.0,8.0,3.0,50.0,100.0,43.0,2.0,11.0,1.0,17.0,,3.0,,,9.0,7.0,,,18.0,3.0,5.0,40.0,,100.0,,1.0,0.0,69.0,12.0,,,2.0,,48.0,44.0,3.0,55.0,2.0,6.0,12.0,3.0,2.0,1.0,1.0,100.0,1.0,5.0,59.0,445.0,5.0,8.0,12.0,22.0,195.0,23.0,2.0,7.0,1.0,2.0,5.0,14.0,259.0,30.0,,1.0,94147,3.0,116.0,,4.0,135.0,3.0,1.0,12.0,11.0,45.0,,1.0,3.0,1.0,11.0,6.0,7.0,2.0,52.0,212.0,8.0,10.0,18.0,54.0,,1.0,0.0,,5.0,,2.0,1.0,3.0,0.0,2.0,1.0,2.0,29.6,11.0,1.0,3.0,3.0,21.0,5.0,,285.0,22.0,5.0,21.0,5.0,14.0,159.0,5.0,4.0,14.0,48.0,14.0,1.0,3.0,7.0,15.0,1.0,1.0,5.0,3.0,8.0,3.0,7.0,5.0,,,1.0,,,1.0,5.0,,,6.0,,,,,,1.0,4.0,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,2.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
32,987904,2019-03-30 15:00:00,"Turf Moor, Burnley",20990,Away,Wolverhampton Wanderers,Burnley,0,2,L,0,1,0,0,,,51.0,,,3.0,24.0,10.0,2.0,1.0,6.0,,,181.0,6.0,16.0,,,5.0,1.0,123.0,170.0,69.0,,8.0,1.0,36.0,1.0,,,,22.0,10.0,,,10.0,3.0,1.0,48.0,,217.0,,,0.0,129.0,10.0,,,,,64.0,92.0,3.0,91.0,1.0,19.0,24.0,2.0,,6.0,1.0,170.0,,6.0,139.0,719.0,5.0,6.0,19.0,5.0,396.0,25.0,4.0,5.0,,1.0,2.0,36.0,511.0,57.0,,,94147,4.0,202.0,,13.0,242.0,4.0,,24.0,5.0,67.0,1.0,2.0,3.0,,6.0,1.0,3.0,2.0,63.0,413.0,11.0,6.0,18.0,89.0,,,0.0,3.0,1.0,,,2.0,2.0,0.0,6.0,,2.0,62.8,30.0,1.0,3.0,4.0,50.0,5.0,,534.0,5.0,8.0,13.0,3.0,29.0,314.0,5.0,1.0,27.0,79.0,20.0,,2.0,5.0,16.0,,2.0,6.0,3.0,23.0,2.0,14.0,5.0,,,,,,,,,,2.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,987921,2019-04-02 19:45:00,"Molineux Stadium, Wolverhampton",31302,Home,Wolverhampton Wanderers,Manchester United,2,1,W,1,1,0,1,,1.0,58.0,,,2.0,37.0,25.0,2.0,3.0,7.0,3.0,1.0,179.0,2.0,9.0,2.0,1.0,8.0,2.0,122.0,133.0,58.0,,9.0,,23.0,,2.0,1.0,,12.0,8.0,,1.0,25.0,,3.0,48.0,1.0,190.0,1.0,,0.0,101.0,5.0,3.0,2.0,,,70.0,88.0,3.0,90.0,,12.0,22.0,2.0,,4.0,1.0,133.0,3.0,7.0,119.0,683.0,6.0,4.0,16.0,14.0,401.0,28.0,5.0,13.0,1.0,1.0,5.0,11.0,481.0,42.0,1.0,,94147,4.0,229.0,2.0,6.0,251.0,2.0,1.0,22.0,9.0,49.0,1.0,4.0,2.0,1.0,10.0,11.0,3.0,2.0,79.0,417.0,11.0,8.0,21.0,89.0,,,0.0,1.0,5.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,49.8,10.0,2.0,2.0,2.0,49.0,3.0,,510.0,14.0,8.0,23.0,5.0,18.0,271.0,4.0,3.0,21.0,68.0,22.0,1.0,1.0,13.0,17.0,,,6.0,3.0,15.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,7.0,1.0,,,,1.0,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
34,987929,2019-04-13 15:00:00,"St. Mary's Stadium, Southampton",31708,Away,Wolverhampton Wanderers,Southampton,1,3,L,1,2,0,0,1.0,,60.0,1.0,1.0,2.0,28.0,16.0,9.0,6.0,8.0,3.0,,218.0,4.0,13.0,1.0,2.0,8.0,2.0,161.0,179.0,69.0,,17.0,5.0,21.0,,,,,21.0,14.0,,1.0,16.0,7.0,5.0,35.0,,220.0,,,0.0,116.0,8.0,,2.0,,,85.0,91.0,4.0,85.0,3.0,14.0,21.0,9.0,,5.0,3.0,179.0,,9.0,161.0,844.0,5.0,3.0,25.0,15.0,487.0,34.0,3.0,9.0,1.0,3.0,4.0,30.0,602.0,41.0,,1.0,94147,7.0,289.0,,8.0,322.0,4.0,,21.0,5.0,63.0,,2.0,3.0,,16.0,3.0,2.0,,58.0,505.0,13.0,11.0,14.0,90.0,1.0,,0.0,1.0,4.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,4.0,69.3,30.0,4.0,3.0,7.0,56.0,9.0,,625.0,15.0,11.0,12.0,8.0,29.0,324.0,7.0,4.0,27.0,74.0,18.0,,,9.0,17.0,1.0,3.0,6.0,3.0,25.0,,5.0,9.0,,,5.0,,,1.0,,,,2.0,,,1.0,,,3.0,5.0,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,3.0,,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
35,987941,2019-04-20 15:00:00,"Molineux Stadium, Wolverhampton",31096,Home,Wolverhampton Wanderers,Brighton and Hove Albion,0,0,D,0,0,0,0,,,62.0,,,1.0,34.0,9.0,5.0,3.0,18.0,,4.0,148.0,12.0,9.0,,3.0,18.0,5.0,181.0,137.0,49.0,,23.0,3.0,26.0,4.0,2.0,,2.0,38.0,8.0,,1.0,9.0,9.0,2.0,44.0,,342.0,1.0,,0.0,200.0,,,,,1.0,81.0,92.0,7.0,76.0,6.0,29.0,18.0,5.0,,8.0,1.0,137.0,2.0,2.0,210.0,818.0,15.0,2.0,41.0,6.0,532.0,25.0,2.0,6.0,,0.0,11.0,22.0,601.0,71.0,,,94147,12.0,216.0,3.0,18.0,233.0,,,18.0,2.0,55.0,1.0,,3.0,,14.0,3.0,2.0,1.0,50.0,546.0,8.0,5.0,6.0,53.0,2.0,,0.0,3.0,1.0,,,,1.0,0.0,10.0,,8.0,68.2,21.0,6.0,3.0,4.0,39.0,14.0,1.0,615.0,6.0,15.0,28.0,14.0,52.0,420.0,10.0,2.0,22.0,164.0,28.0,,,6.0,12.0,,,14.0,3.0,18.0,,9.0,14.0,,2.0,3.0,2.0,,3.0,1.0,1.0,2.0,1.0,1.0,,2.0,,1.0,6.0,11.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,3.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
36,987951,2019-04-27 15:00:00,"Vicarage Road, Watford",20323,Away,Wolverhampton Wanderers,Watford,2,1,W,1,0,0,0,,2.0,67.0,,,3.0,34.0,34.0,3.0,2.0,8.0,,2.0,147.0,5.0,12.0,2.0,3.0,7.0,4.0,92.0,152.0,63.0,,11.0,1.0,17.0,1.0,1.0,2.0,1.0,16.0,14.0,,1.0,34.0,3.0,5.0,43.0,,157.0,1.0,,0.0,108.0,11.0,,,,1.0,62.0,76.0,6.0,65.0,,13.0,19.0,3.0,,5.0,1.0,152.0,3.0,5.0,82.0,597.0,4.0,5.0,23.0,11.0,278.0,30.0,4.0,19.0,2.0,2.0,1.0,24.0,366.0,36.0,,,94147,5.0,138.0,2.0,5.0,162.0,7.0,,19.0,7.0,55.0,1.0,5.0,2.0,2.0,14.0,5.0,2.0,1.0,64.0,290.0,10.0,12.0,16.0,74.0,,,0.0,2.0,4.0,,2.0,1.0,1.0,0.0,4.0,2.0,2.0,43.5,17.0,3.0,2.0,4.0,39.0,5.0,1.0,386.0,11.0,11.0,24.0,3.0,33.0,240.0,6.0,4.0,19.0,67.0,29.0,2.0,3.0,19.0,22.0,1.0,1.0,5.0,2.0,18.0,3.0,10.0,5.0,,,1.0,,1.0,3.0,1.0,,,4.0,,,,,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,,,
37,987961,2019-05-04 15:00:00,"Molineux Stadium, Wolverhampton",30456,Home,Wolverhampton Wanderers,Fulham,1,0,W,0,0,0,0,,1.0,53.0,1.0,1.0,,20.0,13.0,7.0,4.0,12.0,2.0,4.0,138.0,6.0,5.0,1.0,4.0,12.0,6.0,83.0,140.0,54.0,,19.0,4.0,24.0,4.0,,1.0,,16.0,13.0,,1.0,13.0,5.0,6.0,41.0,,153.0,1.0,,0.0,116.0,10.0,,,1.0,,38.0,76.0,5.0,60.0,2.0,11.0,8.0,7.0,,3.0,2.0,140.0,3.0,3.0,95.0,546.0,8.0,4.0,24.0,8.0,269.0,19.0,4.0,8.0,1.0,1.0,7.0,21.0,354.0,44.0,,1.0,94147,5.0,138.0,2.0,4.0,157.0,4.0,1.0,8.0,7.0,62.0,1.0,1.0,2.0,1.0,13.0,3.0,5.0,1.0,46.0,285.0,13.0,16.0,13.0,62.0,3.0,,0.0,4.0,1.0,1.0,1.0,,2.0,0.0,5.0,1.0,4.0,39.2,13.0,5.0,2.0,4.0,31.0,7.0,,376.0,8.0,8.0,19.0,9.0,35.0,235.0,10.0,6.0,17.0,75.0,26.0,,,8.0,19.0,,,10.0,3.0,10.0,,6.0,7.0,,1.0,2.0,1.0,,4.0,,,2.0,1.0,,,,,1.0,2.0,6.0,,,1.0,1.0,1.0,,,1.0,,,4.0,,,1.0,1.0,2.0,3.0,4.0,,3.0,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0
38,987967,2019-05-12 15:00:00,"Anfield, Liverpool",53331,Away,Wolverhampton Wanderers,Liverpool,0,2,L,0,1,0,0,1.0,,74.0,,2.0,1.0,47.0,20.0,,1.0,7.0,3.0,,172.0,,4.0,,,7.0,2.0,101.0,145.0,38.0,,7.0,,12.0,2.0,1.0,,2.0,7.0,8.0,,,20.0,1.0,1.0,53.0,1.0,133.0,1.0,,0.0,95.0,11.0,,2.0,,1.0,59.0,55.0,3.0,56.0,1.0,6.0,16.0,,,1.0,,145.0,2.0,9.0,98.0,581.0,7.0,10.0,22.0,9.0,309.0,36.0,9.0,10.0,,2.0,4.0,19.0,407.0,47.0,1.0,2.0,94147,5.0,191.0,2.0,5.0,217.0,8.0,,16.0,9.0,45.0,1.0,1.0,3.0,,15.0,4.0,6.0,,81.0,324.0,3.0,6.0,23.0,87.0,,,0.0,1.0,4.0,1.0,,2.0,3.0,0.0,,,1.0,41.0,17.0,2.0,3.0,1.0,51.0,1.0,1.0,427.0,9.0,10.0,24.0,4.0,21.0,217.0,5.0,1.0,17.0,60.0,28.0,,1.0,10.0,14.0,,2.0,6.0,3.0,10.0,1.0,8.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,3.0,,,,,1.0,,3.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
