gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attLfGoal,goals,attFreekickTotal,cleanSheet,penaltyWon,attSvHighLeft,attSvLowLeft,freekickTotal,attSetpiece,attPenGoal,attGoalHighLeft,attSvLowRight,punches,attFreekickTarget,attIboxGoal,attHdTotal,attHdMiss,attIboxMiss,forwardGoals,attMissHighRight,attHdTarget,totalOffside,attSvHighCentre,attGoalLowCentre,midfielderGoals,attLgCentre,goalsConcededObox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,attemptsIbox,saves,fouledFinalThird,attBxRight,attGoalHighRight,expectedGoalsOnTargetConceded,attSvHighRight,attOboxGoal,winningGoal,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,goalAssist,expectedAssists,openPlayPass,attBxCentre,attRfGoal,ownGoals,defenderGoals,goalsOpenplay,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,goalAssistIntentional,attBxLeft,attHdGoal,attOpenplay,expectedGoals,postScoringAtt,goalAssistOpenplay,attIboxPost,attObxdRight,hitWoodwork,attMissHighLeft,attPostHigh,freekickCross,foulThrowIn,attPenTarget,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attObxLeft,goalFastbreak,accuratePullBack,totalPullBack,accurateFreekickCross,attIboxOwnGoal,attHdPost,attPostLeft,errorLeadToGoal,attObxdLeft
29,284282,2010-03-24 20:00:00,"Ewood Park, Blackburn",23856.0,Away,Birmingham City,Blackburn Rovers,1,2,L,0,1,0,0,,1.0,48.0,,1.0,35.0,26.0,5.0,5.0,,4.0,3.0,5.0,2.0,190.0,57.0,9.0,1.0,30.0,,,,,1.0,28.0,14.0,1.0,16.0,6.0,19.0,40.0,192.0,0.0,165.0,10.0,,3.0,69.0,90.0,2.0,3.0,1.0,22.0,7.0,2.0,180.0,5.0,659.0,1.0,17.0,21.0,23.0,7.0,19.0,,1.0,4.0,3.0,32.0,101.0,,,8358,102.0,11.0,,129.0,5.0,59.0,2.0,2.0,4.0,2.0,1.0,71.0,290.0,18.0,6.0,4.0,50.0,96.0,,0.0,5.0,1.0,2.0,7.0,0.0,2.0,2.0,58.2,26.0,,3.0,2.0,,37.0,6.0,3.0,423.0,19.0,6.0,17.0,5.0,19.0,2.0,322.0,1.0,14.0,19.0,99.0,17.0,,11.0,17.0,1.0,3.0,10.0,,6.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,,,,1.0,,,3.0,3.0,3.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,284290,2010-03-13 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",24579.0,Home,Birmingham City,Everton,2,2,D,1,2,0,0,4.0,2.0,69.0,2.0,,33.0,25.0,3.0,5.0,,3.0,2.0,6.0,4.0,190.0,52.0,9.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,25.0,14.0,1.0,14.0,5.0,17.0,50.0,161.0,0.0,169.0,15.0,3.0,1.0,46.0,57.0,4.0,1.0,,20.0,8.0,,179.0,6.0,647.0,4.0,12.0,18.0,20.0,14.0,14.0,1.0,1.0,3.0,2.0,15.0,120.0,2.0,,8358,121.0,10.0,,153.0,5.0,48.0,3.0,,8.0,2.0,1.0,75.0,279.0,11.0,4.0,,47.0,96.0,1.0,0.0,4.0,2.0,2.0,4.0,0.0,3.0,,48.7,12.0,1.0,,1.0,,32.0,5.0,1.0,417.0,16.0,7.0,18.0,4.0,24.0,,289.0,2.0,16.0,21.0,87.0,33.0,6.0,7.0,18.0,2.0,2.0,8.0,6.0,5.0,1.0,2.0,,,,,1.0,,1.0,,,,,,1.0,2.0,2.0,4.0,1.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
31,284308,2010-03-20 15:00:00,"Stadium of Light, Sunderland",37962.0,Away,Birmingham City,Sunderland,1,3,L,0,2,0,0,,1.0,56.0,1.0,4.0,34.0,22.0,7.0,6.0,4.0,13.0,11.0,22.0,9.0,183.0,58.0,26.0,4.0,13.0,7.0,1.0,1.0,1.0,1.0,23.0,13.0,1.0,15.0,9.0,11.0,36.0,172.0,0.0,151.0,9.0,2.0,4.0,48.0,74.0,14.0,1.0,3.0,14.0,4.0,2.0,176.0,12.0,709.0,14.0,9.0,16.0,24.0,9.0,14.0,1.0,1.0,7.0,8.0,37.0,97.0,3.0,,8358,133.0,9.0,1.0,166.0,7.0,57.0,3.0,3.0,4.0,2.0,4.0,75.0,292.0,8.0,8.0,7.0,33.0,98.0,1.0,0.0,7.0,3.0,3.0,2.0,0.0,7.0,3.0,56.5,31.0,3.0,3.0,8.0,1.0,48.0,10.0,4.0,420.0,16.0,14.0,16.0,9.0,18.0,6.0,277.0,11.0,11.0,18.0,81.0,19.0,2.0,9.0,21.0,3.0,3.0,24.0,2.0,10.0,,1.0,1.0,,,1.0,2.0,1.0,3.0,,,1.0,1.0,,1.0,8.0,5.0,7.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
32,284310,2010-03-27 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",27039.0,Home,Birmingham City,Arsenal,1,1,D,0,0,0,0,1.0,1.0,75.0,5.0,,29.0,32.0,5.0,4.0,2.0,1.0,8.0,5.0,4.0,173.0,71.0,9.0,,21.0,1.0,,2.0,1.0,,16.0,19.0,2.0,14.0,2.0,26.0,34.0,127.0,0.0,131.0,14.0,3.0,6.0,42.0,49.0,3.0,3.0,1.0,14.0,5.0,3.0,155.0,6.0,630.0,3.0,12.0,27.0,23.0,9.0,16.0,2.0,3.0,3.0,2.0,16.0,92.0,1.0,1.0,8358,112.0,4.0,,133.0,9.0,70.0,3.0,1.0,9.0,6.0,2.0,78.0,238.0,14.0,15.0,2.0,38.0,101.0,,0.0,6.0,2.0,1.0,6.0,0.0,1.0,2.0,43.7,15.0,4.0,1.0,,,44.0,2.0,6.0,347.0,27.0,11.0,12.0,5.0,24.0,,230.0,4.0,23.0,17.0,65.0,29.0,4.0,4.0,32.0,,2.0,18.0,4.0,2.0,,1.0,,,,,1.0,,4.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,
33,284321,2010-04-04 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",27909.0,Home,Birmingham City,Liverpool,1,1,D,0,0,0,0,,,66.0,,,25.0,37.0,4.0,3.0,2.0,7.0,5.0,8.0,3.0,185.0,53.0,10.0,,7.0,1.0,,,1.0,1.0,17.0,14.0,1.0,20.0,4.0,16.0,41.0,155.0,0.0,158.0,15.0,2.0,5.0,83.0,46.0,3.0,3.0,2.0,13.0,5.0,4.0,168.0,11.0,650.0,6.0,26.0,26.0,20.0,8.0,18.0,,2.0,6.0,5.0,27.0,114.0,1.0,,8358,108.0,6.0,,129.0,10.0,48.0,2.0,1.0,9.0,3.0,3.0,63.0,256.0,9.0,7.0,1.0,31.0,102.0,,0.0,4.0,2.0,1.0,13.0,0.0,5.0,1.0,41.5,22.0,4.0,1.0,,,45.0,4.0,5.0,382.0,26.0,12.0,15.0,7.0,17.0,2.0,270.0,5.0,12.0,18.0,75.0,29.0,2.0,9.0,21.0,1.0,1.0,12.0,2.0,5.0,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
34,284335,2010-04-11 16:00:00,"Etihad Stadium, Manchester",45209.0,Away,Birmingham City,Manchester City,1,5,L,1,3,0,0,,,40.0,1.0,2.0,33.0,24.0,4.0,3.0,1.0,3.0,5.0,8.0,2.0,152.0,52.0,9.0,2.0,8.0,1.0,,2.0,1.0,2.0,19.0,17.0,,11.0,3.0,24.0,36.0,189.0,0.0,127.0,10.0,2.0,3.0,45.0,53.0,5.0,3.0,1.0,16.0,6.0,2.0,139.0,16.0,645.0,7.0,13.0,23.0,14.0,4.0,14.0,2.0,3.0,3.0,3.0,16.0,63.0,1.0,,8358,150.0,8.0,,164.0,13.0,46.0,1.0,4.0,7.0,5.0,,60.0,336.0,11.0,7.0,,26.0,82.0,,0.0,8.0,2.0,5.0,5.0,0.0,3.0,,47.0,14.0,,4.0,4.0,,38.0,4.0,3.0,427.0,22.0,15.0,16.0,3.0,26.0,,282.0,4.0,19.0,14.0,77.0,19.0,5.0,8.0,22.0,5.0,3.0,11.0,5.0,4.0,,1.0,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,
35,284340,2010-04-17 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",26669.0,Home,Birmingham City,Hull City,0,0,D,0,0,0,0,1.0,,42.0,1.0,2.0,32.0,37.0,7.0,6.0,2.0,7.0,2.0,11.0,2.0,185.0,58.0,13.0,4.0,15.0,,1.0,2.0,,2.0,27.0,18.0,2.0,21.0,8.0,19.0,33.0,162.0,0.0,153.0,12.0,2.0,1.0,47.0,76.0,6.0,1.0,1.0,19.0,6.0,1.0,169.0,3.0,624.0,10.0,22.0,8.0,14.0,18.0,27.0,2.0,0.0,1.0,5.0,40.0,92.0,,,8358,100.0,12.0,,126.0,15.0,48.0,2.0,1.0,9.0,3.0,2.0,61.0,255.0,12.0,5.0,1.0,45.0,102.0,1.0,0.0,1.0,2.0,,9.0,0.0,5.0,1.0,49.9,35.0,1.0,1.0,6.0,,39.0,8.0,1.0,369.0,8.0,15.0,17.0,5.0,21.0,2.0,270.0,5.0,14.0,22.0,94.0,17.0,3.0,15.0,22.0,,2.0,4.0,3.0,8.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36,284351,2010-04-25 12:00:00,"Villa Park, Birmingham",42788.0,Away,Birmingham City,Aston Villa,0,1,L,0,0,0,0,,3.0,50.0,2.0,3.0,25.0,19.0,5.0,5.0,3.0,3.0,6.0,6.0,7.0,163.0,60.0,16.0,4.0,22.0,4.0,,2.0,1.0,1.0,13.0,24.0,3.0,13.0,5.0,15.0,34.0,110.0,0.0,99.0,17.0,4.0,2.0,46.0,45.0,4.0,1.0,,8.0,3.0,,157.0,8.0,561.0,5.0,14.0,18.0,22.0,13.0,11.0,2.0,4.0,2.0,2.0,25.0,84.0,2.0,,8358,99.0,3.0,1.0,116.0,18.0,70.0,4.0,4.0,4.0,5.0,1.0,56.0,206.0,12.0,6.0,1.0,39.0,105.0,,0.0,7.0,3.0,1.0,3.0,0.0,2.0,1.0,49.2,20.0,1.0,4.0,7.0,,46.0,5.0,2.0,309.0,15.0,17.0,15.0,2.0,18.0,1.0,206.0,9.0,12.0,11.0,43.0,17.0,3.0,7.0,31.0,1.0,3.0,14.0,3.0,5.0,,,2.0,,,,3.0,2.0,2.0,,,3.0,1.0,,,2.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0
37,284360,2010-05-01 12:45:00,"St. Andrew's @ Knighthead Park, Birmingham",24578.0,Home,Birmingham City,Burnley,2,1,W,2,0,0,0,,,69.0,3.0,3.0,25.0,26.0,4.0,6.0,1.0,6.0,9.0,12.0,3.0,164.0,55.0,14.0,,17.0,1.0,2.0,,,3.0,23.0,16.0,,21.0,7.0,17.0,25.0,141.0,0.0,132.0,12.0,,1.0,42.0,61.0,6.0,,2.0,16.0,3.0,4.0,159.0,7.0,700.0,9.0,16.0,19.0,30.0,14.0,9.0,,2.0,4.0,6.0,28.0,98.0,3.0,,8358,196.0,11.0,,218.0,9.0,50.0,8.0,3.0,6.0,2.0,2.0,58.0,331.0,11.0,6.0,1.0,38.0,101.0,2.0,0.0,8.0,,1.0,7.0,0.0,4.0,2.0,52.9,23.0,4.0,3.0,3.0,,43.0,7.0,1.0,441.0,19.0,11.0,6.0,8.0,18.0,2.0,246.0,4.0,16.0,15.0,72.0,24.0,3.0,6.0,20.0,1.0,3.0,13.0,3.0,6.0,,2.0,,,,,,,1.0,,,,1.0,,2.0,2.0,2.0,4.0,2.0,,,5.0,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,2.0,,,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
38,284372,2010-05-09 16:00:00,"Toughsheet Community Stadium, Bolton",22863.0,Away,Birmingham City,Bolton Wanderers,1,2,L,0,1,0,0,3.0,1.0,52.0,2.0,,32.0,23.0,2.0,2.0,4.0,6.0,10.0,8.0,7.0,184.0,44.0,14.0,1.0,25.0,5.0,,,3.0,1.0,23.0,6.0,1.0,10.0,6.0,35.0,39.0,195.0,0.0,171.0,17.0,1.0,,55.0,52.0,2.0,2.0,2.0,17.0,5.0,,171.0,7.0,670.0,6.0,15.0,19.0,21.0,6.0,14.0,,5.0,2.0,6.0,27.0,100.0,,,8358,130.0,8.0,,152.0,11.0,66.0,2.0,4.0,8.0,3.0,2.0,71.0,319.0,18.0,4.0,2.0,37.0,89.0,,0.0,3.0,2.0,2.0,8.0,0.0,4.0,1.0,58.5,20.0,1.0,4.0,1.0,,38.0,6.0,,432.0,18.0,12.0,23.0,6.0,24.0,2.0,303.0,8.0,32.0,9.0,103.0,17.0,5.0,9.0,7.0,2.0,2.0,21.0,5.0,6.0,,1.0,1.0,,1.0,,,1.0,4.0,,,2.0,,,1.0,4.0,3.0,6.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,,
