gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,goalAssistSetplay,goals,attCmissRight,attIboxTarget,attBxRight,attMissHighRight,cleanSheet,crosses18yardplus,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateFreekickCross,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attIboxGoal,accurateFlickOn,goalAssistIntentional,attBxLeft,accurateCornersIntobox,attHdGoal,bigChanceScored,attGoalLowRight,goalAssistDeadball,attLfGoal,attGoalLowCentre,goalAssistOpenplay,midfielderGoals,bigChanceCreated,accurateThroughBall,errorLeadToShot,bigChanceMissed,attRfGoal,totalThroughBall,goalsOpenplay,attCmissHighRight,clearanceOffLine,forwardGoals,effectiveBlockedCross,blockedCross,postScoringAtt,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,contentiousDecision,hitWoodwork,attPostHigh,accuratePullBack,shieldBallOop,attFreekickMiss,attSvHighRight,penaltyWon,attSvHighLeft,attPenGoal,goalFastbreak,sixYardBlock,attCmissHighLeft,attPenPost,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,winningGoal,attGoalHighCentre,keeperGoals,secondYellow,subsGoals,ownGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attPostLeft,attHdPost,attOboxPost,attPostRight,ptsGainedLosingPos,attObxdRight,punches,ptsDroppedWinningPos,attObxRight,errorLeadToGoal,foulThrowIn,attLgCentre,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attIboxOwnGoal,attObxdLeft
26,2128539,2021-02-27 17:30:00,"Elland Road, Leeds",,Away,Aston Villa,Leeds United,1,0,W,1,0,0,0,,1.0,1.0,27.0,65.0,,2.0,24.0,21.0,3.0,2.0,6.0,3.0,2.0,133.0,15.0,5.0,10.0,2.0,6.0,4.0,30.0,145.0,60.0,,9.0,,16.0,2.0,1.0,1.0,11.0,13.0,2.0,21.0,5.0,3.0,41.0,80.0,0.0,84.0,14.0,,2.0,,3.0,4.0,50.0,29.0,3.0,25.0,2.0,1.0,6.0,11.0,3.0,,145.0,7.0,39.0,431.0,2.0,5.0,12.0,13.0,123.0,30.0,2.0,9.0,2.0,5.0,3.0,18.0,195.0,58.0,98980,4.0,62.0,3.0,1.0,,80.0,9.0,,11.0,13.0,55.0,,5.0,20.0,6.0,6.0,72.0,137.0,13.0,8.0,17.0,68.0,2.0,1.0,1.0,0.0,1.0,7.0,3.0,,0.0,2.0,3.0,30.8,8.0,1.0,7.0,1.0,5.0,2.0,24.0,5.0,,4.0,227.0,,13.0,11.0,13.0,3.0,15.0,2.0,158.0,4.0,3.0,21.0,41.0,14.0,9.0,16.0,,5.0,2.0,17.0,10.0,5.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2128546,2021-03-06 17:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Wolverhampton Wanderers,0,0,D,0,0,0,0,,1.0,1.0,22.0,53.0,,1.0,30.0,16.0,3.0,1.0,6.0,2.0,,154.0,11.0,3.0,6.0,1.0,5.0,1.0,99.0,139.0,57.0,,9.0,2.0,15.0,,,,21.0,12.0,,16.0,5.0,3.0,44.0,139.0,0.0,113.0,13.0,2.0,,,1.0,1.0,70.0,45.0,2.0,56.0,1.0,1.0,16.0,7.0,3.0,,139.0,5.0,101.0,585.0,4.0,4.0,15.0,7.0,303.0,20.0,5.0,10.0,1.0,2.0,3.0,21.0,388.0,60.0,98980,4.0,183.0,10.0,1.0,,207.0,6.0,,7.0,9.0,46.0,3.0,3.0,10.0,5.0,7.0,62.0,319.0,13.0,8.0,17.0,62.0,,1.0,,0.0,3.0,3.0,2.0,,0.0,2.0,1.0,49.2,20.0,1.0,6.0,,3.0,3.0,33.0,5.0,,1.0,410.0,,7.0,5.0,24.0,5.0,27.0,3.0,224.0,7.0,2.0,16.0,70.0,24.0,10.0,23.0,,5.0,3.0,13.0,3.0,5.0,,,,,1.0,1.0,1.0,,1.0,5.0,,,1.0,,,,,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
28,2128563,2021-03-12 20:00:00,"St. James' Park, Newcastle",,Away,Aston Villa,Newcastle United,1,1,D,0,0,0,0,,1.0,1.0,25.0,75.0,1.0,1.0,29.0,30.0,7.0,3.0,7.0,3.0,5.0,162.0,10.0,3.0,10.0,3.0,13.0,6.0,87.0,158.0,64.0,,15.0,4.0,23.0,1.0,2.0,1.0,19.0,7.0,3.0,30.0,,6.0,42.0,186.0,0.0,132.0,10.0,2.0,1.0,1.0,2.0,,88.0,42.0,9.0,67.0,,1.0,19.0,20.0,8.0,,158.0,9.0,95.0,635.0,11.0,5.0,22.0,11.0,303.0,30.0,6.0,19.0,3.0,4.0,4.0,30.0,389.0,50.0,98980,2.0,129.0,9.0,2.0,,159.0,3.0,1.0,20.0,5.0,63.0,4.0,3.0,14.0,3.0,1.0,69.0,312.0,9.0,11.0,21.0,69.0,1.0,1.0,,0.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,50.8,28.0,2.0,4.0,1.0,3.0,5.0,30.0,2.0,,,411.0,,11.0,18.0,25.0,4.0,23.0,3.0,271.0,10.0,5.0,29.0,98.0,31.0,19.0,16.0,1.0,13.0,3.0,12.0,8.0,2.0,,,,1.0,1.0,3.0,3.0,1.0,,8.0,1.0,,1.0,,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
29,2128572,2021-03-03 18:00:00,"Bramall Lane, Sheffield",,Away,Aston Villa,Sheffield United,0,1,L,0,1,0,1,,,2.0,34.0,56.0,1.0,4.0,48.0,9.0,4.0,7.0,12.0,1.0,1.0,182.0,18.0,7.0,15.0,4.0,13.0,4.0,170.0,166.0,56.0,1.0,16.0,3.0,15.0,,,2.0,44.0,7.0,1.0,9.0,7.0,13.0,64.0,306.0,0.0,226.0,6.0,,,1.0,3.0,1.0,109.0,87.0,8.0,95.0,,,37.0,10.0,4.0,1.0,166.0,6.0,194.0,838.0,11.0,3.0,34.0,9.0,528.0,28.0,2.0,6.0,0.0,2.0,5.0,30.0,628.0,83.0,98980,8.0,242.0,10.0,,,265.0,2.0,2.0,10.0,1.0,36.0,1.0,6.0,13.0,3.0,1.0,78.0,541.0,13.0,2.0,11.0,78.0,,2.0,1.0,0.0,1.0,2.0,,1.0,0.0,4.0,4.0,71.8,29.0,2.0,1.0,1.0,6.0,7.0,52.0,7.0,,1.0,641.0,,9.0,6.0,42.0,5.0,66.0,4.0,420.0,5.0,11.0,19.0,172.0,21.0,6.0,9.0,1.0,12.0,3.0,22.0,1.0,7.0,,,,,,3.0,1.0,1.0,,24.0,,1.0,,,1.0,,,1.0,2.0,3.0,,1.0,,1.0,3.0,,,,,,,,,3.0,,,3.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
30,2128577,2021-04-04 16:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Fulham,3,1,W,0,0,0,0,,1.0,1.0,31.0,64.0,3.0,1.0,32.0,11.0,7.0,5.0,7.0,6.0,,141.0,16.0,7.0,12.0,6.0,10.0,4.0,103.0,154.0,65.0,,14.0,4.0,19.0,,,1.0,23.0,7.0,1.0,11.0,2.0,7.0,48.0,167.0,0.0,124.0,14.0,3.0,,1.0,6.0,,72.0,53.0,7.0,59.0,2.0,2.0,21.0,19.0,7.0,,154.0,8.0,115.0,633.0,7.0,8.0,25.0,14.0,313.0,24.0,4.0,9.0,1.0,3.0,3.0,18.0,394.0,63.0,98980,5.0,174.0,5.0,3.0,,197.0,6.0,,19.0,4.0,67.0,5.0,3.0,19.0,7.0,3.0,67.0,334.0,19.0,12.0,17.0,72.0,,,1.0,0.0,3.0,4.0,3.0,1.0,0.0,7.0,2.0,52.5,15.0,2.0,11.0,,4.0,5.0,39.0,4.0,,,418.0,,14.0,11.0,23.0,5.0,31.0,3.0,244.0,7.0,5.0,19.0,81.0,22.0,9.0,15.0,1.0,9.0,3.0,24.0,12.0,4.0,,3.0,,3.0,,,1.0,1.0,,10.0,2.0,,1.0,3.0,1.0,,,,,2.0,3.0,4.0,3.0,,,,2.0,,,1.0,,3.0,,2.0,,1.0,,2.0,,3.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,
31,2128590,2021-04-10 15:00:00,"Anfield, Liverpool",,Away,Aston Villa,Liverpool,1,2,L,1,0,0,0,1.0,,1.0,25.0,60.0,2.0,,35.0,23.0,3.0,3.0,6.0,8.0,2.0,133.0,13.0,3.0,8.0,2.0,8.0,5.0,67.0,135.0,60.0,,9.0,,21.0,,3.0,3.0,8.0,5.0,3.0,23.0,,6.0,53.0,106.0,0.0,97.0,11.0,5.0,,,2.0,,57.0,40.0,5.0,45.0,2.0,,8.0,21.0,3.0,,135.0,17.0,53.0,513.0,5.0,9.0,16.0,17.0,179.0,14.0,9.0,10.0,4.0,7.0,3.0,31.0,263.0,58.0,98980,4.0,101.0,3.0,1.0,,122.0,5.0,1.0,16.0,12.0,57.0,2.0,5.0,12.0,6.0,10.0,73.0,204.0,15.0,11.0,18.0,67.0,,1.0,2.0,0.0,2.0,7.0,6.0,2.0,0.0,3.0,3.0,33.9,25.0,2.0,6.0,,5.0,,35.0,,,,298.0,,17.0,9.0,20.0,4.0,15.0,3.0,184.0,3.0,3.0,19.0,47.0,28.0,10.0,18.0,1.0,8.0,3.0,13.0,16.0,,,,,1.0,,1.0,,,,3.0,,1.0,,1.0,1.0,,,,2.0,,1.0,4.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,0.5901,2.7282,0.437048,0.546223,,
32,2128597,2021-04-21 20:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Manchester City,1,2,L,1,2,1,1,,1.0,,14.0,47.0,,2.0,19.0,20.0,1.0,4.0,7.0,1.0,2.0,113.0,5.0,5.0,7.0,1.0,8.0,3.0,70.0,93.0,40.0,,8.0,,14.0,,,1.0,14.0,6.0,1.0,20.0,1.0,2.0,44.0,94.0,0.0,67.0,12.0,1.0,,,1.0,1.0,46.0,28.0,5.0,51.0,1.0,2.0,13.0,10.0,1.0,,93.0,6.0,70.0,441.0,6.0,2.0,13.0,5.0,225.0,23.0,3.0,9.0,0.0,3.0,3.0,14.0,284.0,36.0,98980,3.0,150.0,5.0,1.0,,176.0,4.0,,10.0,6.0,41.0,1.0,4.0,11.0,7.0,3.0,52.0,239.0,7.0,12.0,10.0,50.0,,,1.0,0.0,1.0,11.0,1.0,2.0,1.0,4.0,2.0,28.0,13.0,2.0,2.0,1.0,4.0,2.0,24.0,1.0,,1.0,304.0,,5.0,3.0,14.0,3.0,16.0,3.0,142.0,2.0,2.0,14.0,45.0,14.0,9.0,12.0,2.0,6.0,3.0,9.0,5.0,1.0,,,,1.0,,1.0,1.0,,,7.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,
33,2128607,2021-04-25 19:00:00,"Villa Park, Birmingham",,Home,Aston Villa,West Bromwich Albion,2,2,D,1,1,0,0,,,2.0,31.0,68.0,2.0,3.0,29.0,14.0,8.0,8.0,16.0,3.0,4.0,177.0,18.0,11.0,10.0,2.0,20.0,11.0,134.0,147.0,54.0,,24.0,3.0,17.0,,4.0,2.0,42.0,6.0,4.0,14.0,9.0,4.0,49.0,320.0,0.0,227.0,14.0,3.0,,3.0,1.0,1.0,95.0,49.0,13.0,89.0,1.0,2.0,33.0,7.0,8.0,,147.0,5.0,151.0,756.0,16.0,4.0,52.0,7.0,447.0,30.0,5.0,8.0,0.0,1.0,7.0,14.0,529.0,74.0,98980,9.0,159.0,15.0,1.0,1.0,182.0,9.0,,7.0,7.0,47.0,2.0,4.0,20.0,6.0,7.0,51.0,468.0,9.0,6.0,14.0,62.0,,1.0,,0.0,,4.0,1.0,2.0,0.0,8.0,6.0,70.2,13.0,2.0,8.0,,4.0,6.0,42.0,11.0,1.0,1.0,551.0,1.0,7.0,3.0,30.0,7.0,56.0,4.0,411.0,10.0,3.0,22.0,186.0,24.0,8.0,13.0,2.0,17.0,3.0,17.0,5.0,11.0,,1.0,,2.0,,5.0,3.0,1.0,,17.0,1.0,3.0,,,1.0,,,,4.0,5.0,2.0,2.0,,,3.0,,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,,,,,2.0,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,1.0,,,,,,,1.0,
34,2128620,2021-05-01 20:00:00,"Goodison Park, Liverpool",,Away,Aston Villa,Everton,2,1,W,1,1,0,0,,1.0,2.0,25.0,62.0,,2.0,32.0,18.0,6.0,7.0,7.0,2.0,1.0,176.0,13.0,4.0,8.0,2.0,7.0,5.0,92.0,150.0,49.0,1.0,13.0,1.0,11.0,1.0,2.0,,16.0,9.0,,18.0,5.0,6.0,39.0,175.0,0.0,128.0,13.0,,1.0,,2.0,,80.0,50.0,4.0,78.0,,,11.0,15.0,6.0,1.0,150.0,8.0,123.0,664.0,6.0,4.0,27.0,7.0,366.0,25.0,8.0,11.0,2.0,6.0,3.0,22.0,442.0,62.0,98980,2.0,213.0,6.0,,,236.0,5.0,,15.0,13.0,48.0,2.0,3.0,25.0,8.0,8.0,69.0,384.0,10.0,6.0,27.0,78.0,1.0,,,0.0,3.0,3.0,2.0,1.0,0.0,3.0,,52.5,19.0,,7.0,,3.0,3.0,46.0,6.0,,,469.0,,7.0,12.0,16.0,5.0,25.0,,249.0,6.0,6.0,16.0,90.0,25.0,11.0,15.0,1.0,12.0,2.0,16.0,6.0,6.0,,1.0,,2.0,,3.0,3.0,,,3.0,3.0,,,1.0,1.0,1.0,,3.0,,,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,3.0,,1.0,3.0,2.0,,2.0,,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
35,2128627,2021-05-09 14:05:00,"Villa Park, Birmingham",,Home,Aston Villa,Manchester United,1,3,L,1,0,1,0,,,1.0,30.0,58.0,2.0,2.0,19.0,20.0,6.0,4.0,5.0,4.0,2.0,144.0,12.0,2.0,8.0,2.0,7.0,5.0,102.0,119.0,47.0,,11.0,1.0,15.0,,3.0,2.0,16.0,5.0,2.0,20.0,4.0,4.0,31.0,129.0,0.0,106.0,13.0,3.0,,,1.0,,63.0,30.0,5.0,54.0,,,12.0,14.0,6.0,,119.0,11.0,83.0,560.0,7.0,3.0,22.0,10.0,285.0,24.0,4.0,5.0,1.0,7.0,2.0,12.0,353.0,58.0,98980,3.0,180.0,4.0,1.0,1.0,197.0,6.0,2.0,14.0,4.0,46.0,,8.0,13.0,7.0,4.0,57.0,307.0,17.0,9.0,21.0,65.0,,1.0,,0.0,1.0,6.0,2.0,3.0,1.0,2.0,2.0,41.1,9.0,1.0,4.0,,10.0,3.0,33.0,5.0,1.0,,383.0,1.0,10.0,6.0,9.0,3.0,31.0,,202.0,5.0,4.0,9.0,59.0,16.0,5.0,14.0,3.0,10.0,3.0,12.0,11.0,5.0,,,,1.0,,2.0,1.0,,,7.0,3.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,
36,2128642,2021-05-16 12:00:00,"Selhurst Park, London",,Away,Aston Villa,Crystal Palace,2,3,L,2,1,0,0,,,1.0,34.0,55.0,3.0,4.0,49.0,30.0,5.0,5.0,12.0,5.0,2.0,161.0,22.0,7.0,1.0,6.0,12.0,5.0,80.0,144.0,55.0,2.0,19.0,2.0,19.0,,,3.0,22.0,7.0,2.0,30.0,7.0,2.0,57.0,170.0,0.0,156.0,13.0,3.0,,2.0,3.0,1.0,57.0,70.0,5.0,58.0,1.0,,15.0,18.0,7.0,2.0,144.0,15.0,94.0,625.0,7.0,5.0,27.0,8.0,286.0,22.0,4.0,15.0,2.0,12.0,7.0,26.0,362.0,60.0,98980,10.0,144.0,5.0,3.0,,177.0,6.0,2.0,18.0,3.0,58.0,2.0,6.0,24.0,8.0,,76.0,307.0,23.0,11.0,11.0,63.0,,,,0.0,,7.0,2.0,3.0,0.0,4.0,4.0,54.5,24.0,4.0,6.0,,6.0,6.0,43.0,7.0,,2.0,393.0,,8.0,8.0,30.0,8.0,37.0,6.0,238.0,9.0,2.0,18.0,114.0,17.0,15.0,13.0,3.0,11.0,3.0,8.0,7.0,7.0,,1.0,,2.0,,1.0,1.0,3.0,,7.0,2.0,,2.0,1.0,1.0,,,,4.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0
37,2128654,2021-05-19 18:00:00,"Tottenham Hotspur Stadium, London",10000.0,Away,Aston Villa,Tottenham Hotspur,2,1,W,2,1,0,0,,,,24.0,70.0,,7.0,22.0,15.0,5.0,9.0,15.0,3.0,2.0,134.0,14.0,4.0,17.0,2.0,16.0,4.0,86.0,124.0,61.0,,20.0,,12.0,,,2.0,9.0,9.0,1.0,15.0,3.0,2.0,36.0,165.0,0.0,143.0,13.0,3.0,,1.0,2.0,1.0,80.0,30.0,9.0,72.0,2.0,3.0,6.0,20.0,5.0,,124.0,7.0,75.0,570.0,13.0,,36.0,11.0,279.0,24.0,3.0,7.0,1.0,4.0,7.0,18.0,341.0,63.0,98980,7.0,134.0,4.0,1.0,,150.0,8.0,,20.0,4.0,57.0,3.0,7.0,17.0,3.0,2.0,53.0,295.0,14.0,11.0,16.0,58.0,,1.0,1.0,0.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,39.2,14.0,1.0,7.0,,7.0,7.0,33.0,5.0,,1.0,367.0,,11.0,15.0,16.0,9.0,26.0,5.0,226.0,9.0,2.0,13.0,106.0,28.0,7.0,18.0,1.0,16.0,3.0,23.0,12.0,5.0,,,,2.0,1.0,2.0,5.0,2.0,,,3.0,1.0,,1.0,1.0,,,1.0,2.0,3.0,2.0,,,3.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,,,,1.0,,,,,,,,
38,2128657,2021-05-23 16:00:00,"Villa Park, Birmingham",10000.0,Home,Aston Villa,Chelsea,2,1,W,1,0,0,1,,,1.0,26.0,66.0,2.0,,24.0,36.0,2.0,4.0,4.0,6.0,,125.0,14.0,1.0,8.0,4.0,4.0,3.0,44.0,118.0,54.0,,6.0,,12.0,,,3.0,6.0,11.0,,36.0,2.0,1.0,30.0,76.0,0.0,76.0,11.0,2.0,,,2.0,,44.0,29.0,2.0,34.0,2.0,,5.0,23.0,2.0,,118.0,15.0,47.0,431.0,2.0,6.0,19.0,7.0,160.0,30.0,4.0,22.0,3.0,5.0,2.0,12.0,224.0,45.0,98980,3.0,99.0,3.0,1.0,,116.0,8.0,,23.0,10.0,44.0,,4.0,10.0,8.0,5.0,55.0,174.0,12.0,3.0,17.0,61.0,,1.0,1.0,0.0,5.0,9.0,4.0,1.0,0.0,1.0,1.0,28.8,8.0,1.0,4.0,,4.0,,29.0,2.0,,,250.0,,7.0,10.0,13.0,3.0,16.0,1.0,140.0,1.0,1.0,20.0,40.0,23.0,22.0,14.0,1.0,3.0,2.0,16.0,10.0,2.0,,,1.0,2.0,,1.0,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
