gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,shotFastbreak,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attCmissRight,attFreekickTotal,attOboxBlocked,divingSave,goodHighClaim,attMissRight,freekickTotal,attCmissHigh,punches,overrun,savedIbox,totalHighClaim,attFreekickMiss,attLfTarget,attGoalLowRight,attLfGoal,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attSvLowLeft,attFreekickPost,attPostLeft,attHdTarget,hitWoodwork,goalAssist,attCmissLeft,attOboxPost,attPostHigh,goalsConceded,goalAssistIntentional,goalsConcededIbox,accurateKeeperSweeper,attMissHighRight,sixYardBlock,attRfTarget,attOboxTarget,contentiousDecision,ownGoals,attSvLowRight,attIboxOwnGoal,clearanceOffLine,goalsConcededObox,totalThroughBall,attLgCentre,errorLeadToShot,errorLeadToGoal,accurateThroughBall,attCmissHighLeft,bigChanceScored,attSvHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,attOboxGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attOneOnOne,defenderGoals,attGoalHighLeft,attHdGoal,attSvHighCentre,attCmissHighRight,attSvHighLeft,attFreekickTarget,secondYellow,attGoalHighRight,attemptsIbox,penaltyWon,attemptsObox,touchesInOppBox,attObxdLeft,attPenGoal,attPostRight,goalFastbreak,attGoalHighCentre,attFreekickGoal,midfielderGoals
28,755573,2015-03-03 19:45:00,"Villa Park, Birmingham",31272,Home,Aston Villa,West Bromwich Albion,2,1,W,1,0,0,0,58.0,,,,24.0,46.0,9.0,5.0,,184.0,4.0,9.0,2.0,7.0,10.0,,8.0,126.0,142.0,66.0,16.0,29.0,,1.0,1.0,14.0,10.0,46.0,,21.0,36.0,231.0,,0.0,150.0,15.0,,2.0,71.0,84.0,7.0,74.0,1.0,14.0,20.0,8.0,5.0,142.0,1.0,2.0,122.0,701.0,9.0,19.0,9.0,386.0,21.0,,6.0,24.0,1.0,2.0,,3.0,19.0,483.0,72.0,1.0,88554,3.0,174.0,2.0,4.0,,189.0,7.0,2.0,,20.0,11.0,59.0,3.0,4.0,1.0,6.0,1.0,5.0,3.0,59.0,401.0,13.0,2.0,,24.0,77.0,,0.0,3.0,2.0,6.0,0.0,4.0,2.0,,,58.2,17.0,,3.0,1.0,4.0,2.0,39.0,,506.0,9.0,9.0,15.0,6.0,24.0,,,331.0,11.0,20.0,32.0,91.0,27.0,2.0,4.0,24.0,14.0,12.0,3.0,15.0,4.0,8.0,,,,3.0,2.0,,,,3.0,,,1.0,,,2.0,4.0,1.0,,4.0,1.0,1.0,3.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,,,,3.0,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,6.0,1.0,10.0,15.0,1.0,1.0,1.0,,,,
29,755590,2015-03-14 15:00:00,"Stadium of Light, Sunderland",45746,Away,Aston Villa,Sunderland,4,0,W,4,0,0,0,71.0,2.0,2.0,1.0,36.0,17.0,8.0,8.0,2.0,195.0,2.0,14.0,4.0,2.0,13.0,1.0,8.0,117.0,148.0,56.0,14.0,14.0,2.0,2.0,,13.0,11.0,17.0,4.0,10.0,25.0,288.0,1.0,0.0,181.0,9.0,3.0,,96.0,115.0,9.0,116.0,1.0,9.0,15.0,4.0,3.0,148.0,2.0,5.0,128.0,749.0,9.0,6.0,9.0,449.0,29.0,,13.0,9.0,3.0,1.0,3.0,4.0,28.0,534.0,80.0,,88554,3.0,177.0,1.0,5.0,1.0,200.0,6.0,1.0,1.0,15.0,8.0,68.0,,2.0,4.0,11.0,7.0,2.0,2.0,75.0,463.0,10.0,15.0,,40.0,87.0,2.0,0.0,2.0,4.0,5.0,0.0,2.0,,1.0,,59.6,27.0,,9.0,1.0,2.0,2.0,49.0,5.0,556.0,9.0,22.0,14.0,4.0,11.0,,1.0,369.0,5.0,10.0,16.0,142.0,27.0,4.0,3.0,9.0,17.0,12.0,3.0,22.0,3.0,9.0,5.0,,1.0,,1.0,1.0,2.0,2.0,,,,2.0,,2.0,,3.0,1.0,2.0,,,4.0,2.0,,,,,,,4.0,,,,,2.0,,3.0,,,1.0,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,
30,755593,2015-03-21 15:00:00,"Villa Park, Birmingham",35598,Home,Aston Villa,Swansea City,0,1,L,0,0,0,0,58.0,,1.0,4.0,31.0,15.0,2.0,6.0,4.0,159.0,6.0,7.0,,3.0,10.0,,3.0,77.0,155.0,53.0,12.0,15.0,,3.0,,20.0,15.0,15.0,4.0,7.0,21.0,148.0,,0.0,134.0,13.0,,3.0,44.0,63.0,6.0,50.0,,16.0,10.0,5.0,2.0,155.0,,7.0,74.0,539.0,8.0,9.0,10.0,245.0,28.0,1.0,10.0,12.0,,0.0,2.0,4.0,21.0,341.0,66.0,2.0,88554,5.0,118.0,,8.0,,140.0,5.0,,,10.0,4.0,55.0,1.0,6.0,,22.0,2.0,3.0,2.0,78.0,260.0,8.0,14.0,2.0,48.0,62.0,,0.0,9.0,,4.0,0.0,4.0,1.0,2.0,,42.6,18.0,1.0,4.0,1.0,6.0,4.0,27.0,4.0,360.0,10.0,7.0,16.0,5.0,24.0,2.0,3.0,240.0,4.0,7.0,21.0,78.0,19.0,,3.0,12.0,17.0,9.0,3.0,14.0,3.0,4.0,4.0,,,,,3.0,,2.0,,1.0,,1.0,4.0,1.0,,2.0,,,3.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
31,755609,2015-04-04 15:00:00,"Old Trafford, Manchester",75397,Away,Aston Villa,Manchester United,1,3,L,0,1,0,0,50.0,,2.0,1.0,34.0,35.0,1.0,1.0,4.0,107.0,3.0,6.0,1.0,3.0,5.0,1.0,2.0,47.0,104.0,49.0,5.0,15.0,,,1.0,6.0,11.0,35.0,2.0,10.0,28.0,80.0,,0.0,66.0,12.0,,2.0,36.0,13.0,3.0,23.0,5.0,4.0,14.0,,,104.0,,14.0,57.0,412.0,3.0,7.0,17.0,147.0,29.0,,17.0,19.0,,1.0,4.0,2.0,14.0,207.0,43.0,1.0,88554,2.0,89.0,,2.0,2.0,108.0,6.0,1.0,1.0,14.0,9.0,50.0,2.0,1.0,,8.0,6.0,4.0,1.0,70.0,166.0,15.0,10.0,1.0,30.0,64.0,,0.0,10.0,1.0,1.0,0.0,2.0,,1.0,,23.6,8.0,1.0,2.0,1.0,2.0,1.0,33.0,2.0,234.0,17.0,11.0,11.0,2.0,15.0,1.0,2.0,132.0,3.0,9.0,12.0,33.0,11.0,1.0,8.0,19.0,16.0,2.0,3.0,11.0,8.0,9.0,2.0,1.0,,,,2.0,4.0,,,,2.0,,2.0,4.0,,,1.0,,,,,,,,,,,,1.0,,,,3.0,1.0,3.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
32,755620,2015-04-11 15:00:00,"White Hart Lane, London",35687,Away,Aston Villa,Tottenham Hotspur,1,0,W,1,0,1,0,55.0,1.0,2.0,1.0,35.0,20.0,3.0,1.0,3.0,147.0,6.0,7.0,1.0,3.0,9.0,,3.0,76.0,156.0,71.0,11.0,16.0,,2.0,1.0,12.0,24.0,20.0,5.0,4.0,35.0,153.0,1.0,0.0,133.0,12.0,,,79.0,59.0,5.0,66.0,3.0,7.0,12.0,3.0,1.0,156.0,1.0,9.0,74.0,553.0,7.0,11.0,17.0,225.0,18.0,,11.0,10.0,,2.0,2.0,4.0,20.0,329.0,75.0,,80979,5.0,100.0,1.0,4.0,1.0,126.0,8.0,,,12.0,15.0,64.0,2.0,1.0,1.0,9.0,5.0,9.0,,87.0,247.0,11.0,19.0,1.0,37.0,87.0,,0.0,9.0,1.0,2.0,1.0,2.0,1.0,3.0,,43.0,17.0,2.0,5.0,,2.0,2.0,41.0,6.0,363.0,17.0,13.0,13.0,6.0,18.0,4.0,4.0,249.0,7.0,4.0,21.0,75.0,26.0,1.0,3.0,10.0,32.0,7.0,3.0,13.0,3.0,9.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,
33,755624,2015-04-07 19:45:00,"Villa Park, Birmingham",33708,Home,Aston Villa,Queens Park Rangers,3,3,D,2,1,0,0,55.0,2.0,1.0,2.0,53.0,20.0,8.0,6.0,2.0,178.0,6.0,12.0,3.0,4.0,14.0,,7.0,103.0,185.0,67.0,21.0,30.0,1.0,2.0,2.0,25.0,10.0,20.0,6.0,9.0,23.0,226.0,,0.0,188.0,8.0,2.0,2.0,108.0,73.0,7.0,78.0,,19.0,14.0,5.0,2.0,185.0,1.0,7.0,105.0,684.0,11.0,18.0,7.0,329.0,16.0,1.0,12.0,14.0,1.0,0.0,3.0,7.0,37.0,441.0,87.0,,80979,8.0,125.0,1.0,12.0,3.0,149.0,3.0,3.0,,14.0,7.0,70.0,4.0,3.0,2.0,11.0,4.0,4.0,1.0,106.0,345.0,11.0,6.0,1.0,48.0,96.0,1.0,0.0,3.0,2.0,8.0,0.0,4.0,1.0,3.0,,63.8,33.0,3.0,5.0,2.0,3.0,5.0,50.0,7.0,464.0,7.0,23.0,7.0,9.0,17.0,2.0,7.0,340.0,12.0,9.0,30.0,120.0,24.0,3.0,5.0,14.0,15.0,14.0,3.0,16.0,5.0,10.0,7.0,,1.0,2.0,3.0,1.0,4.0,5.0,2.0,,,1.0,1.0,5.0,,,,,2.0,,2.0,1.0,,1.0,,,,,2.0,1.0,,,3.0,,3.0,1.0,,1.0,4.0,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,
34,755637,2015-04-25 17:30:00,"Etihad Stadium, Manchester",45036,Away,Aston Villa,Manchester City,2,3,L,0,1,0,0,45.0,1.0,1.0,,32.0,12.0,7.0,3.0,1.0,158.0,5.0,15.0,2.0,4.0,10.0,,4.0,142.0,131.0,59.0,13.0,13.0,,1.0,,23.0,8.0,12.0,6.0,7.0,29.0,251.0,,0.0,133.0,11.0,,2.0,88.0,73.0,4.0,90.0,1.0,17.0,23.0,6.0,2.0,131.0,,6.0,129.0,690.0,9.0,8.0,10.0,417.0,20.0,1.0,8.0,3.0,,2.0,4.0,6.0,21.0,497.0,62.0,,80979,5.0,187.0,1.0,9.0,1.0,217.0,6.0,2.0,,23.0,6.0,41.0,6.0,4.0,,11.0,5.0,5.0,2.0,61.0,433.0,13.0,8.0,1.0,21.0,76.0,,0.0,7.0,1.0,5.0,0.0,4.0,,2.0,,55.1,20.0,2.0,3.0,,4.0,3.0,55.0,6.0,519.0,10.0,7.0,16.0,6.0,27.0,1.0,4.0,325.0,8.0,6.0,18.0,98.0,14.0,,2.0,3.0,13.0,7.0,2.0,17.0,2.0,11.0,6.0,,1.0,,3.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,3.0,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0
35,755643,2015-05-02 15:00:00,"Villa Park, Birmingham",37859,Home,Aston Villa,Everton,3,2,W,2,0,0,0,51.0,1.0,2.0,2.0,35.0,22.0,4.0,4.0,3.0,156.0,4.0,6.0,3.0,4.0,9.0,,4.0,98.0,134.0,54.0,11.0,6.0,,1.0,,16.0,10.0,22.0,5.0,11.0,28.0,240.0,,0.0,156.0,13.0,,1.0,94.0,70.0,6.0,85.0,5.0,11.0,13.0,5.0,2.0,134.0,2.0,6.0,102.0,624.0,4.0,8.0,18.0,335.0,17.0,,9.0,11.0,,2.0,3.0,3.0,24.0,417.0,74.0,,80979,2.0,115.0,1.0,5.0,,135.0,4.0,2.0,,13.0,6.0,38.0,,2.0,2.0,12.0,3.0,2.0,,73.0,351.0,12.0,8.0,2.0,34.0,88.0,,0.0,3.0,3.0,3.0,0.0,1.0,,3.0,,50.4,20.0,2.0,5.0,2.0,2.0,3.0,50.0,5.0,441.0,18.0,10.0,18.0,4.0,15.0,3.0,2.0,322.0,4.0,11.0,19.0,109.0,20.0,2.0,3.0,11.0,18.0,7.0,3.0,10.0,3.0,10.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,,2.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,3.0,,,,2.0,3.0,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,1.0
36,755654,2015-05-09 15:00:00,"Villa Park, Birmingham",39294,Home,Aston Villa,West Ham United,1,0,W,1,0,0,0,49.0,,,1.0,36.0,32.0,7.0,4.0,1.0,170.0,5.0,4.0,1.0,4.0,9.0,,5.0,120.0,148.0,39.0,14.0,15.0,1.0,2.0,1.0,24.0,8.0,32.0,2.0,13.0,30.0,263.0,1.0,0.0,181.0,6.0,1.0,,100.0,88.0,5.0,77.0,1.0,22.0,15.0,9.0,3.0,148.0,1.0,3.0,108.0,674.0,8.0,6.0,11.0,369.0,17.0,1.0,8.0,14.0,,1.0,1.0,4.0,31.0,449.0,64.0,,80979,2.0,127.0,,13.0,1.0,142.0,4.0,1.0,,15.0,8.0,42.0,1.0,1.0,1.0,16.0,3.0,3.0,1.0,70.0,385.0,12.0,2.0,,24.0,85.0,1.0,0.0,6.0,1.0,1.0,0.0,4.0,1.0,,,58.2,29.0,,2.0,,1.0,2.0,50.0,2.0,475.0,11.0,15.0,16.0,7.0,40.0,1.0,4.0,357.0,10.0,12.0,14.0,136.0,24.0,,3.0,14.0,10.0,11.0,3.0,8.0,3.0,6.0,2.0,,2.0,1.0,1.0,,2.0,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,3.0,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
37,755667,2015-05-16 12:45:00,"St. Mary's Stadium, Southampton",31636,Away,Aston Villa,Southampton,1,6,L,1,5,0,0,54.0,,,1.0,23.0,25.0,3.0,1.0,5.0,173.0,5.0,10.0,1.0,6.0,6.0,,4.0,154.0,126.0,50.0,9.0,14.0,,,1.0,30.0,4.0,25.0,3.0,14.0,34.0,283.0,,0.0,171.0,7.0,,3.0,78.0,88.0,3.0,74.0,5.0,27.0,9.0,16.0,2.0,126.0,3.0,16.0,146.0,719.0,5.0,7.0,12.0,441.0,28.0,,4.0,11.0,1.0,1.0,3.0,3.0,19.0,515.0,55.0,,80979,4.0,188.0,2.0,8.0,1.0,206.0,4.0,,,9.0,4.0,37.0,1.0,4.0,1.0,7.0,2.0,3.0,1.0,45.0,466.0,18.0,6.0,,17.0,77.0,,0.0,6.0,1.0,2.0,0.0,5.0,1.0,1.0,,64.4,18.0,,2.0,2.0,4.0,1.0,54.0,3.0,547.0,12.0,7.0,17.0,4.0,34.0,,2.0,371.0,7.0,14.0,15.0,126.0,17.0,1.0,2.0,11.0,7.0,8.0,3.0,13.0,2.0,2.0,3.0,,,,,4.0,,,,,1.0,1.0,5.0,,,,,,2.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,6.0,1.0,5.0,1.0,2.0,,3.0,1.0,,,,,,1.0,3.0,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
38,755674,2015-05-24 15:00:00,"Villa Park, Birmingham",40792,Home,Aston Villa,Burnley,0,1,L,0,1,0,0,69.0,,1.0,1.0,46.0,32.0,6.0,8.0,2.0,151.0,6.0,14.0,,1.0,12.0,1.0,5.0,152.0,137.0,51.0,17.0,24.0,,1.0,3.0,32.0,8.0,32.0,7.0,6.0,32.0,299.0,,0.0,179.0,11.0,,1.0,84.0,110.0,5.0,78.0,1.0,25.0,14.0,11.0,3.0,137.0,,4.0,149.0,745.0,10.0,3.0,15.0,448.0,24.0,1.0,10.0,26.0,2.0,1.0,2.0,7.0,25.0,518.0,73.0,1.0,80979,7.0,161.0,,13.0,2.0,173.0,5.0,,1.0,14.0,4.0,51.0,1.0,8.0,,13.0,2.0,1.0,4.0,75.0,454.0,6.0,3.0,2.0,30.0,80.0,,0.0,2.0,,2.0,0.0,4.0,,4.0,,63.3,22.0,3.0,4.0,3.0,8.0,2.0,54.0,7.0,530.0,15.0,10.0,23.0,10.0,45.0,2.0,7.0,389.0,5.0,5.0,22.0,137.0,31.0,,3.0,26.0,9.0,13.0,2.0,20.0,3.0,9.0,7.0,1.0,,,1.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,,3.0,,,3.0,,,1.0,,2.0,,,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
