gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attRfTarget,attIboxTarget,attBxRight,attGoalHighRight,attOboxTarget,penaltyWon,divingSave,attSvLowLeft,bigChanceCreated,accurateThroughBall,bigChanceMissed,penaltyConceded,attRfGoal,totalThroughBall,attPenGoal,attSvLowRight,punches,attIboxGoal,accurateFlickOn,shieldBallOop,possWonAtt3rd,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,penaltySave,savedObox,accuratePullBack,contentiousDecision,attLgCentre,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHigh,ownGoals,clearanceOffLine,attIboxOwnGoal,handBall,attLfTarget,attCmissRight,attObxdLeft,attFreekickMiss,goalsConcededObox,attSvLowCentre,attOneOnOne,attHdTarget,accurateFreekickCross,attSetpiece,goalsOpenplay,attSvHighLeft,errorLeadToShot,attCmissHighLeft,attObxRight,ptsDroppedWinningPos,attGoalLowCentre,attFreekickTarget,attObxLeft,postScoringAtt,goalAssistOpenplay,cleanSheet,goalAssist,sixYardBlock,attOboxPost,attPostHigh,goalAssistIntentional,attHdGoal,goalAssistSetplay,attIboxPost,attPostLeft,attGoalHighLeft,attSvHighCentre,attPostRight,attCmissHighRight,attPenPost,attHdPost,attGoalLowLeft,defenderGoals,attSvHighRight,errorLeadToGoal,attGoalHighCentre,goalAssistDeadball,secondYellow,attPenMiss,attObpGoal
27,855435,2017-03-04 15:00:00,"bet365 Stadium, Stoke",27644,Home,Stoke City,Middlesbrough,2,0,W,2,0,0,0,75.0,1.0,41.0,17.0,2.0,2.0,11.0,2.0,,162.0,8.0,24.0,2.0,5.0,9.0,8.0,109.0,157.0,78.0,,13.0,,18.0,,,1.0,25.0,12.0,17.0,6.0,13.0,37.0,192.0,,,0.0,123.0,16.0,,,2.0,4.0,1.0,42.0,68.0,6.0,62.0,,3.0,19.0,10.0,2.0,,4.0,,157.0,4.0,102.0,650.0,4.0,12.0,33.0,11.0,316.0,32.0,19.0,8.0,,1.0,3.0,3.0,21.0,406.0,71.0,91972,8.0,156.0,11.0,179.0,6.0,10.0,6.0,69.0,1.0,6.0,12.0,4.0,4.0,,78.0,340.0,18.0,13.0,3.0,41.0,5.0,84.0,,,,0.0,1.0,1.0,2.0,,0.0,4.0,3.0,54.8,13.0,1.0,,6.0,,49.0,6.0,1.0,435.0,11.0,14.0,20.0,5.0,40.0,4.0,281.0,8.0,11.0,21.0,73.0,26.0,,8.0,16.0,,8.0,3.0,33.0,,3.0,6.0,2.0,,2.0,4.0,,,2.0,,,,4.0,,2.0,,2.0,,,3.0,,2.0,4.0,1.0,7.0,,,4.0,,,,,,,1.0,,,,,,,1.0,2.0,,,,,3.0,1.0,2.0,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
28,855449,2017-03-08 20:00:00,"Etihad Stadium, Manchester",52625,Away,Stoke City,Manchester City,0,0,D,0,0,0,0,71.0,,33.0,25.0,,2.0,5.0,1.0,,140.0,3.0,11.0,,,4.0,2.0,65.0,159.0,58.0,,5.0,,16.0,,,,8.0,12.0,25.0,1.0,3.0,19.0,123.0,1.0,,0.0,100.0,11.0,,,,,1.0,33.0,44.0,3.0,44.0,6.0,,7.0,21.0,,,4.0,,159.0,5.0,82.0,531.0,3.0,17.0,15.0,24.0,213.0,40.0,13.0,12.0,,3.0,4.0,1.0,28.0,310.0,56.0,91972,3.0,108.0,3.0,138.0,4.0,21.0,10.0,63.0,1.0,5.0,16.0,7.0,8.0,1.0,78.0,228.0,6.0,15.0,1.0,46.0,,70.0,,,,0.0,2.0,8.0,,,0.0,2.0,1.0,34.7,17.0,1.0,,5.0,1.0,34.0,1.0,1.0,331.0,24.0,15.0,7.0,2.0,19.0,2.0,201.0,2.0,3.0,21.0,55.0,22.0,2.0,12.0,20.0,,3.0,3.0,17.0,2.0,11.0,1.0,,1.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,6.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
29,855457,2017-03-18 15:00:00,"bet365 Stadium, Stoke",27724,Home,Stoke City,Chelsea,1,2,L,1,1,1,0,62.0,,19.0,17.0,,,5.0,5.0,,128.0,3.0,7.0,1.0,3.0,3.0,1.0,63.0,157.0,49.0,,5.0,,16.0,,,1.0,12.0,13.0,17.0,5.0,11.0,29.0,109.0,,,0.0,101.0,16.0,,,,,1.0,41.0,41.0,1.0,43.0,2.0,1.0,7.0,17.0,,,2.0,,157.0,13.0,56.0,479.0,2.0,6.0,21.0,16.0,181.0,39.0,7.0,7.0,,4.0,8.0,2.0,22.0,263.0,70.0,91972,3.0,88.0,5.0,109.0,9.0,17.0,10.0,64.0,3.0,1.0,11.0,7.0,6.0,,62.0,194.0,9.0,11.0,1.0,33.0,2.0,55.0,,,,0.0,3.0,11.0,3.0,2.0,1.0,1.0,1.0,36.2,10.0,1.0,1.0,1.0,2.0,19.0,5.0,1.0,290.0,16.0,20.0,8.0,2.0,19.0,2.0,193.0,4.0,9.0,13.0,47.0,19.0,2.0,7.0,21.0,1.0,2.0,2.0,10.0,2.0,10.0,5.0,1.0,2.0,,,1.0,,,1.0,3.0,,,,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,2.0,1.0,,2.0,,,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,
30,855466,2017-04-01 15:00:00,"King Power Stadium, Leicester",31958,Away,Stoke City,Leicester City,0,2,L,0,1,0,0,62.0,,29.0,40.0,1.0,2.0,9.0,8.0,,153.0,7.0,10.0,,1.0,9.0,2.0,102.0,178.0,68.0,,10.0,,25.0,,1.0,1.0,25.0,10.0,40.0,3.0,10.0,28.0,161.0,1.0,,0.0,110.0,11.0,,,,2.0,,65.0,29.0,4.0,59.0,,2.0,22.0,28.0,1.0,,10.0,1.0,178.0,12.0,104.0,664.0,8.0,19.0,31.0,13.0,294.0,26.0,11.0,21.0,1.0,4.0,6.0,5.0,30.0,397.0,57.0,91972,3.0,156.0,10.0,188.0,3.0,28.0,10.0,64.0,4.0,5.0,18.0,11.0,7.0,,62.0,310.0,7.0,8.0,1.0,33.0,2.0,73.0,,1.0,,0.0,8.0,10.0,3.0,2.0,0.0,6.0,3.0,51.7,28.0,1.0,1.0,5.0,3.0,45.0,4.0,,418.0,13.0,9.0,12.0,5.0,37.0,4.0,255.0,4.0,8.0,40.0,65.0,27.0,1.0,21.0,11.0,1.0,8.0,3.0,21.0,1.0,15.0,4.0,,3.0,1.0,2.0,2.0,,,,5.0,,2.0,1.0,2.0,,,2.0,,1.0,1.0,,6.0,,2.0,,,1.0,,,5.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,855473,2017-04-04 19:45:00,"Turf Moor, Burnley",19881,Away,Stoke City,Burnley,0,1,L,0,0,0,0,66.0,,26.0,40.0,7.0,7.0,8.0,2.0,,179.0,3.0,16.0,,1.0,10.0,2.0,79.0,174.0,72.0,,15.0,5.0,35.0,,,3.0,20.0,9.0,40.0,4.0,12.0,42.0,143.0,,,0.0,144.0,16.0,,,,1.0,1.0,62.0,46.0,7.0,59.0,3.0,3.0,16.0,14.0,7.0,,7.0,1.0,174.0,4.0,83.0,610.0,8.0,15.0,24.0,20.0,261.0,35.0,14.0,25.0,,2.0,3.0,2.0,27.0,379.0,69.0,91972,6.0,135.0,8.0,166.0,5.0,14.0,5.0,68.0,3.0,3.0,10.0,3.0,5.0,,74.0,275.0,9.0,9.0,1.0,43.0,2.0,66.0,,1.0,,0.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,51.9,20.0,2.0,1.0,3.0,6.0,27.0,5.0,1.0,400.0,20.0,5.0,15.0,7.0,43.0,6.0,254.0,4.0,10.0,38.0,78.0,24.0,,25.0,10.0,1.0,11.0,2.0,21.0,,6.0,5.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,,,3.0,,,1.0,,9.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,855487,2017-04-08 15:00:00,"bet365 Stadium, Stoke",27568,Home,Stoke City,Liverpool,1,2,L,1,0,0,0,66.0,,25.0,25.0,3.0,4.0,6.0,2.0,,159.0,6.0,13.0,1.0,2.0,6.0,4.0,84.0,164.0,59.0,,9.0,,19.0,,1.0,1.0,23.0,17.0,25.0,5.0,6.0,38.0,160.0,,,0.0,107.0,7.0,,,,1.0,,65.0,59.0,5.0,49.0,,1.0,18.0,16.0,3.0,,8.0,2.0,164.0,9.0,88.0,593.0,4.0,11.0,18.0,14.0,262.0,26.0,6.0,10.0,1.0,0.0,5.0,1.0,22.0,352.0,69.0,91972,1.0,127.0,9.0,148.0,3.0,16.0,11.0,53.0,7.0,2.0,15.0,6.0,6.0,1.0,55.0,281.0,11.0,6.0,1.0,22.0,2.0,75.0,,1.0,,0.0,1.0,8.0,1.0,2.0,0.0,5.0,3.0,44.3,20.0,1.0,,2.0,1.0,45.0,5.0,,380.0,14.0,19.0,22.0,4.0,26.0,2.0,255.0,2.0,5.0,15.0,62.0,36.0,2.0,10.0,20.0,1.0,6.0,3.0,17.0,2.0,10.0,5.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,3.0,,3.0,,,,,2.0,1.0,1.0,4.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,3.0,,,,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
33,855497,2017-04-15 15:00:00,"bet365 Stadium, Stoke",27505,Home,Stoke City,Hull City,3,1,W,1,0,0,0,44.0,,26.0,25.0,3.0,6.0,10.0,2.0,1.0,152.0,4.0,9.0,3.0,1.0,10.0,4.0,74.0,145.0,42.0,1.0,14.0,1.0,9.0,,1.0,1.0,14.0,6.0,25.0,3.0,13.0,29.0,162.0,,1.0,0.0,115.0,12.0,,,,1.0,2.0,41.0,75.0,7.0,57.0,,3.0,11.0,23.0,4.0,1.0,6.0,2.0,145.0,10.0,76.0,559.0,7.0,10.0,21.0,10.0,252.0,18.0,2.0,4.0,1.0,0.0,5.0,3.0,24.0,337.0,50.0,91972,9.0,106.0,4.0,123.0,8.0,23.0,13.0,50.0,4.0,5.0,14.0,4.0,8.0,1.0,57.0,264.0,5.0,11.0,,22.0,,72.0,,,,0.0,,7.0,2.0,1.0,0.0,4.0,2.0,44.9,20.0,,,5.0,4.0,33.0,3.0,2.0,359.0,10.0,13.0,16.0,6.0,27.0,4.0,250.0,6.0,12.0,14.0,78.0,18.0,4.0,4.0,14.0,1.0,13.0,3.0,14.0,4.0,13.0,3.0,,3.0,,1.0,,1.0,,,2.0,,2.0,2.0,3.0,,1.0,3.0,,1.0,1.0,2.0,4.0,,1.0,,,,2.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,3.0,,1.0,1.0,,,,,,,3.0,,3.0,,,,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,
34,855510,2017-04-22 15:00:00,"Swansea.com Stadium, Swansea",20566,Away,Stoke City,Swansea City,0,2,L,0,1,0,0,54.0,,42.0,21.0,3.0,2.0,6.0,4.0,,148.0,6.0,16.0,,1.0,6.0,3.0,129.0,125.0,51.0,,9.0,,10.0,,,1.0,23.0,8.0,21.0,3.0,7.0,30.0,222.0,,,0.0,145.0,14.0,,,,1.0,,90.0,58.0,2.0,70.0,,1.0,20.0,17.0,3.0,,11.0,1.0,125.0,8.0,108.0,649.0,5.0,6.0,19.0,9.0,381.0,24.0,13.0,15.0,,2.0,2.0,4.0,22.0,443.0,64.0,91972,5.0,173.0,8.0,192.0,8.0,17.0,4.0,49.0,1.0,5.0,13.0,2.0,2.0,2.0,64.0,389.0,5.0,4.0,1.0,28.0,2.0,68.0,,,,0.0,1.0,11.0,3.0,2.0,0.0,5.0,2.0,54.6,18.0,1.0,1.0,5.0,1.0,58.0,4.0,2.0,455.0,9.0,16.0,20.0,5.0,31.0,4.0,286.0,4.0,6.0,16.0,110.0,20.0,5.0,15.0,15.0,1.0,5.0,2.0,23.0,5.0,7.0,4.0,,1.0,2.0,1.0,,,2.0,1.0,3.0,1.0,2.0,,3.0,,,1.0,,,,,3.0,1.0,4.0,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
35,855517,2017-04-29 15:00:00,"bet365 Stadium, Stoke",27628,Home,Stoke City,West Ham United,0,0,D,0,0,0,0,65.0,,38.0,24.0,9.0,12.0,9.0,4.0,,167.0,5.0,9.0,,1.0,15.0,4.0,140.0,151.0,53.0,,19.0,5.0,21.0,,1.0,1.0,15.0,13.0,24.0,5.0,16.0,36.0,245.0,,,0.0,171.0,12.0,,,,,2.0,80.0,58.0,10.0,69.0,1.0,3.0,10.0,25.0,10.0,,6.0,3.0,151.0,8.0,131.0,688.0,14.0,2.0,30.0,8.0,392.0,26.0,4.0,12.0,1.0,1.0,4.0,5.0,13.0,491.0,85.0,91972,6.0,162.0,4.0,188.0,11.0,25.0,8.0,62.0,2.0,3.0,11.0,4.0,4.0,2.0,76.0,402.0,3.0,12.0,1.0,21.0,2.0,70.0,,1.0,,0.0,4.0,3.0,2.0,,0.0,3.0,2.0,57.1,11.0,2.0,,3.0,8.0,42.0,5.0,2.0,507.0,8.0,7.0,20.0,7.0,37.0,4.0,334.0,5.0,15.0,22.0,117.0,28.0,,12.0,19.0,,15.0,2.0,19.0,,8.0,5.0,,3.0,3.0,2.0,2.0,,2.0,,2.0,2.0,1.0,,2.0,,,1.0,,,1.0,,1.0,,4.0,,,2.0,,,2.0,1.0,,,,1.0,2.0,,,,,,1.0,,,,,1.0,,,,2.0,,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
36,855522,2017-05-06 15:00:00,"Vitality Stadium, Bournemouth",11046,Away,Stoke City,Bournemouth,2,2,D,1,0,0,0,58.0,,32.0,15.0,7.0,6.0,7.0,1.0,,155.0,4.0,8.0,2.0,1.0,9.0,3.0,74.0,133.0,49.0,,14.0,2.0,14.0,,,1.0,25.0,2.0,15.0,7.0,10.0,24.0,160.0,,,0.0,128.0,15.0,,,,4.0,4.0,73.0,52.0,4.0,56.0,4.0,1.0,18.0,11.0,7.0,,2.0,3.0,133.0,6.0,73.0,538.0,9.0,14.0,20.0,18.0,265.0,26.0,9.0,7.0,,0.0,3.0,5.0,23.0,333.0,63.0,91972,3.0,124.0,12.0,134.0,8.0,11.0,6.0,50.0,2.0,4.0,11.0,6.0,3.0,3.0,66.0,280.0,10.0,9.0,,23.0,2.0,80.0,,,,0.0,2.0,,,2.0,0.0,4.0,2.0,42.2,17.0,2.0,1.0,4.0,5.0,46.0,7.0,4.0,358.0,18.0,7.0,11.0,6.0,36.0,3.0,249.0,6.0,10.0,18.0,79.0,18.0,1.0,7.0,13.0,2.0,11.0,2.0,14.0,1.0,4.0,7.0,1.0,3.0,2.0,,1.0,,2.0,,,1.0,2.0,,2.0,,1.0,,,,,2.0,5.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,855537,2017-05-13 17:30:00,"bet365 Stadium, Stoke",27535,Home,Stoke City,Arsenal,1,4,L,0,1,0,0,56.0,,22.0,20.0,4.0,3.0,6.0,2.0,,127.0,4.0,11.0,1.0,2.0,8.0,4.0,66.0,145.0,52.0,1.0,10.0,2.0,21.0,,1.0,1.0,22.0,17.0,20.0,7.0,7.0,29.0,114.0,,,0.0,90.0,13.0,,,,2.0,1.0,53.0,37.0,6.0,43.0,2.0,1.0,15.0,17.0,4.0,1.0,7.0,1.0,145.0,10.0,51.0,472.0,6.0,10.0,24.0,9.0,183.0,27.0,4.0,15.0,1.0,1.0,1.0,2.0,24.0,262.0,42.0,91972,2.0,89.0,6.0,114.0,10.0,17.0,12.0,64.0,3.0,4.0,11.0,,4.0,1.0,56.0,199.0,7.0,14.0,1.0,14.0,2.0,64.0,,,,0.0,4.0,6.0,2.0,4.0,0.0,3.0,3.0,33.2,19.0,2.0,,4.0,3.0,27.0,7.0,1.0,287.0,9.0,9.0,7.0,3.0,29.0,2.0,195.0,3.0,6.0,13.0,58.0,17.0,4.0,15.0,21.0,4.0,7.0,3.0,18.0,4.0,6.0,7.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,2.0,,1.0,,1.0,4.0,1.0,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,2.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0
38,855549,2017-05-21 15:00:00,"St. Mary's Stadium, Southampton",31286,Away,Stoke City,Southampton,1,0,W,0,0,0,0,53.0,,34.0,29.0,3.0,4.0,11.0,6.0,,136.0,9.0,5.0,1.0,1.0,12.0,3.0,69.0,129.0,56.0,,14.0,2.0,14.0,,,,23.0,16.0,29.0,10.0,9.0,65.0,159.0,1.0,,0.0,111.0,10.0,,,,1.0,1.0,34.0,34.0,6.0,52.0,3.0,2.0,13.0,12.0,3.0,,4.0,1.0,129.0,11.0,62.0,510.0,7.0,8.0,25.0,22.0,223.0,27.0,2.0,12.0,,4.0,5.0,6.0,13.0,289.0,67.0,91972,4.0,89.0,8.0,108.0,5.0,12.0,10.0,39.0,2.0,3.0,16.0,4.0,5.0,1.0,68.0,239.0,12.0,4.0,4.0,10.0,7.0,66.0,,,,0.0,1.0,4.0,6.0,,0.0,4.0,6.0,39.0,8.0,3.0,2.0,3.0,5.0,41.0,10.0,1.0,319.0,22.0,11.0,34.0,6.0,41.0,5.0,234.0,4.0,9.0,23.0,65.0,14.0,2.0,12.0,16.0,,7.0,2.0,5.0,2.0,6.0,10.0,1.0,3.0,1.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,1.0,,,5.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,
