gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,savedObox,attemptsIbox,saves,shotFastbreak,cleanSheet,divingSave,totalFastbreak,attMissRight,attemptsObox,bigChanceCreated,contentiousDecision,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,bigChanceMissed,totalThroughBall,accurateKeeperThrows,attFastbreak,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,handBall,bigChanceScored,goalAssistSetplay,attGoalLowCentre,attCmissRight,attFreekickTotal,accurateKeeperSweeper,penaltyWon,attSvHighLeft,attSvLowLeft,interceptionsInBox,freekickTotal,hitWoodwork,goalAssist,totalKeeperSweeper,attPenGoal,attFreekickTarget,goalAssistIntentional,forwardGoals,attHdGoal,attOneOnOne,foulThrowIn,clearanceOffLine,postScoringAtt,attIboxPost,attHdPost,attHdTarget,attMissHighLeft,attPostHigh,goalAssistDeadball,attGoalHighCentre,attCorner,attSvHighRight,attLgLeft,attLfGoal,accuratePullBack,attGoalLowLeft,attLgCentre,attCmissHighLeft,attOboxPost,goalAssistOpenplay,punches,attCmissHighRight,attGoalHighLeft,attFreekickMiss,errorLeadToGoal,ownGoals,attPostRight,attIboxOwnGoal,attGoalHighRight,attOboxGoal,defenderGoals,goalsConcededObox,attPenPost,attObxLeft,goalFastbreak,attObxdRight,attPenTarget,attCmissHigh,attPostLeft,attObxRight
28,442274,2013-03-02 15:00:00,"bet365 Stadium, Stoke",22690,Home,Stoke City,West Ham United,0,1,L,0,1,0,0,48.0,,,30.0,31.0,6.0,5.0,2.0,164.0,3.0,3.0,,3.0,6.0,2.0,60.0,201.0,58.0,9.0,1.0,29.0,1.0,,,1.0,20.0,18.0,1.0,15.0,3.0,9.0,23.0,136.0,,0.0,152.0,12.0,,1.0,,36.0,59.0,1.0,48.0,17.0,8.0,4.0,,185.0,7.0,59.0,538.0,5.0,15.0,6.0,20.0,18.0,16.0,1.0,5.0,5.0,35.0,93.0,,1.0,5589,1.0,83.0,8.0,,,,103.0,,,14.0,69.0,2.0,,13.0,5.0,10.0,2.0,59.0,216.0,12.0,7.0,1.0,45.0,98.0,2.0,,0.0,2.0,2.0,1.0,,1.0,5.0,0.0,1.0,,52.1,24.0,,1.0,46.0,4.0,,2.0,331.0,,4.0,15.0,12.0,6.0,31.0,2.0,1.0,248.0,4.0,9.0,18.0,81.0,15.0,1.0,6.0,25.0,1.0,7.0,3.0,9.0,1.0,4.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,3.0,1.0,1.0,5.0,1.0,,3.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
29,442283,2013-03-10 15:00:00,"St. James' Park, Newcastle",50703,Away,Stoke City,Newcastle United,1,2,L,0,0,0,0,56.0,,2.0,25.0,31.0,4.0,,3.0,150.0,6.0,6.0,1.0,2.0,5.0,4.0,70.0,158.0,66.0,8.0,,19.0,,,,,23.0,15.0,3.0,18.0,4.0,17.0,37.0,140.0,,0.0,105.0,14.0,,2.0,8.0,28.0,72.0,4.0,41.0,19.0,10.0,2.0,,145.0,3.0,52.0,521.0,5.0,13.0,19.0,28.0,9.0,19.0,1.0,4.0,1.0,20.0,61.0,1.0,,5589,2.0,93.0,7.0,,,,112.0,1.0,1.0,10.0,66.0,3.0,,8.0,13.0,6.0,,45.0,227.0,10.0,16.0,,21.0,82.0,1.0,,0.0,2.0,14.0,1.0,1.0,2.0,7.0,0.0,5.0,,43.8,14.0,,2.0,44.0,4.0,,8.0,313.0,,12.0,9.0,20.0,2.0,16.0,1.0,,224.0,8.0,17.0,29.0,62.0,10.0,9.0,10.0,21.0,1.0,3.0,2.0,16.0,9.0,4.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,3.0,,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
30,442294,2013-03-16 15:00:00,"bet365 Stadium, Stoke",26317,Home,Stoke City,West Bromwich Albion,0,0,D,0,0,0,0,59.0,,2.0,31.0,21.0,6.0,3.0,1.0,134.0,5.0,5.0,,6.0,11.0,1.0,64.0,166.0,62.0,17.0,5.0,22.0,1.0,2.0,1.0,1.0,32.0,15.0,,12.0,7.0,1.0,18.0,139.0,1.0,0.0,126.0,15.0,,3.0,1.0,65.0,42.0,4.0,53.0,25.0,8.0,1.0,,157.0,2.0,91.0,529.0,7.0,16.0,10.0,19.0,21.0,12.0,2.0,1.0,7.0,28.0,66.0,,,5589,6.0,114.0,14.0,,1.0,,132.0,,,7.0,48.0,2.0,,11.0,7.0,1.0,4.0,62.0,248.0,11.0,2.0,4.0,50.0,78.0,,,0.0,2.0,1.0,2.0,,,5.0,0.0,2.0,6.0,48.5,22.0,6.0,7.0,37.0,7.0,,2.0,342.0,,9.0,6.0,10.0,9.0,28.0,3.0,8.0,242.0,8.0,1.0,28.0,76.0,23.0,1.0,8.0,18.0,,9.0,3.0,8.0,1.0,7.0,,2.0,,,,1.0,,,2.0,,1.0,,,,,,1.0,,8.0,,1.0,4.0,2.0,,8.0,,,,,1.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,442301,2013-03-30 17:30:00,"Goodison Park, Liverpool",33977,Away,Stoke City,Everton,0,1,L,0,1,0,0,60.0,,,23.0,37.0,4.0,2.0,1.0,153.0,4.0,5.0,,5.0,5.0,3.0,67.0,164.0,69.0,11.0,3.0,24.0,1.0,1.0,,1.0,22.0,22.0,2.0,22.0,3.0,12.0,19.0,129.0,1.0,0.0,104.0,18.0,,4.0,,38.0,52.0,3.0,40.0,19.0,7.0,,,149.0,8.0,70.0,553.0,2.0,24.0,23.0,32.0,10.0,23.0,3.0,5.0,2.0,20.0,65.0,2.0,1.0,5589,3.0,116.0,8.0,,2.0,,133.0,,,13.0,67.0,2.0,,8.0,10.0,6.0,,48.0,241.0,13.0,10.0,3.0,32.0,84.0,1.0,,0.0,,4.0,2.0,,1.0,8.0,0.0,4.0,4.0,46.0,10.0,3.0,3.0,45.0,3.0,,,330.0,,17.0,9.0,10.0,5.0,21.0,,4.0,219.0,5.0,9.0,25.0,59.0,16.0,,12.0,26.0,1.0,5.0,2.0,11.0,,3.0,1.0,3.0,,,,,1.0,,1.0,,,,,,,,2.0,6.0,4.0,,1.0,1.0,,,4.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,
32,442316,2013-04-06 15:00:00,"bet365 Stadium, Stoke",27544,Home,Stoke City,Aston Villa,1,3,L,0,1,0,0,57.0,,,31.0,22.0,5.0,2.0,,149.0,8.0,10.0,1.0,2.0,9.0,3.0,74.0,183.0,69.0,13.0,4.0,21.0,2.0,1.0,1.0,,27.0,11.0,,13.0,4.0,13.0,38.0,137.0,3.0,0.0,133.0,16.0,1.0,1.0,2.0,39.0,70.0,4.0,35.0,23.0,9.0,1.0,,174.0,7.0,75.0,529.0,6.0,9.0,17.0,17.0,15.0,11.0,3.0,3.0,5.0,30.0,75.0,1.0,,5589,7.0,100.0,13.0,,1.0,,123.0,,1.0,5.0,71.0,2.0,1.0,12.0,5.0,4.0,1.0,58.0,229.0,11.0,12.0,2.0,36.0,85.0,,,0.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,6.0,5.0,45.6,18.0,3.0,4.0,49.0,4.0,,2.0,333.0,,13.0,12.0,17.0,6.0,32.0,2.0,5.0,237.0,6.0,11.0,33.0,73.0,29.0,,6.0,15.0,2.0,7.0,3.0,20.0,,4.0,,,,3.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,,2.0,,,,2.0,,,,,1.0,,,1.0,1.0,2.0,,1.0,,3.0,1.0,,1.0,3.0,,,1.0,,,,1.0,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,
33,442327,2013-04-14 14:05:00,"bet365 Stadium, Stoke",27191,Home,Stoke City,Manchester United,0,2,L,0,1,0,0,55.0,,1.0,27.0,17.0,6.0,4.0,1.0,150.0,4.0,5.0,,1.0,12.0,3.0,80.0,150.0,59.0,13.0,,16.0,1.0,2.0,1.0,3.0,14.0,18.0,2.0,12.0,2.0,14.0,34.0,159.0,1.0,0.0,112.0,9.0,,2.0,,51.0,49.0,4.0,40.0,12.0,6.0,5.0,,145.0,8.0,73.0,507.0,9.0,8.0,15.0,17.0,9.0,10.0,1.0,,8.0,18.0,79.0,,1.0,5589,3.0,96.0,4.0,,2.0,1.0,110.0,,,11.0,50.0,,,11.0,3.0,5.0,3.0,55.0,251.0,9.0,6.0,3.0,31.0,93.0,,2.0,0.0,1.0,7.0,1.0,,2.0,5.0,0.0,3.0,2.0,42.2,12.0,2.0,1.0,43.0,3.0,1.0,,343.0,1.0,13.0,12.0,17.0,9.0,25.0,1.0,4.0,247.0,7.0,13.0,24.0,59.0,29.0,2.0,6.0,21.0,2.0,8.0,3.0,12.0,2.0,3.0,2.0,1.0,,,,,1.0,,2.0,,,,,,,,,1.0,3.0,,1.0,3.0,,,3.0,,,,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,442333,2013-04-20 15:00:00,"MATRADE Loftus Road, London",17391,Away,Stoke City,Queens Park Rangers,2,0,W,1,0,0,0,51.0,,2.0,22.0,20.0,4.0,4.0,2.0,122.0,5.0,1.0,2.0,3.0,10.0,4.0,47.0,172.0,65.0,14.0,,14.0,,3.0,1.0,3.0,21.0,18.0,2.0,9.0,5.0,6.0,26.0,137.0,,0.0,124.0,15.0,,2.0,1.0,40.0,67.0,4.0,47.0,16.0,3.0,3.0,,161.0,6.0,53.0,482.0,7.0,14.0,9.0,15.0,13.0,12.0,2.0,4.0,6.0,24.0,72.0,1.0,,5589,6.0,48.0,11.0,,1.0,,68.0,2.0,1.0,19.0,58.0,2.0,1.0,17.0,17.0,11.0,,45.0,180.0,9.0,9.0,2.0,29.0,77.0,,,0.0,,5.0,3.0,2.0,,3.0,0.0,4.0,3.0,51.1,16.0,2.0,2.0,40.0,5.0,,1.0,269.0,,8.0,11.0,16.0,8.0,23.0,1.0,4.0,222.0,7.0,5.0,30.0,71.0,25.0,3.0,5.0,25.0,,7.0,3.0,11.0,3.0,5.0,,2.0,,,,1.0,5.0,2.0,2.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,2.0,,,1.0,1.0,2.0,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,1.0,1.0,1.0,,2.0,,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0
35,442347,2013-04-27 15:00:00,"bet365 Stadium, Stoke",27488,Home,Stoke City,Norwich City,1,0,W,0,0,0,0,62.0,,1.0,28.0,19.0,5.0,4.0,1.0,169.0,7.0,6.0,1.0,2.0,11.0,3.0,71.0,181.0,78.0,12.0,,29.0,1.0,2.0,1.0,1.0,16.0,13.0,1.0,14.0,4.0,11.0,32.0,138.0,3.0,0.0,125.0,10.0,1.0,3.0,8.0,67.0,60.0,4.0,42.0,12.0,2.0,4.0,,176.0,4.0,55.0,507.0,6.0,19.0,13.0,14.0,16.0,9.0,4.0,1.0,6.0,19.0,80.0,,,5589,2.0,79.0,7.0,1.0,,,103.0,,,10.0,55.0,4.0,1.0,11.0,2.0,8.0,2.0,67.0,210.0,8.0,2.0,3.0,39.0,99.0,,,0.0,1.0,3.0,,1.0,,8.0,0.0,3.0,3.0,47.5,10.0,2.0,1.0,46.0,6.0,,8.0,337.0,,12.0,6.0,10.0,8.0,33.0,4.0,4.0,250.0,5.0,9.0,50.0,57.0,32.0,1.0,5.0,14.0,,6.0,3.0,14.0,1.0,6.0,,,7.0,,,1.0,,,2.0,5.0,2.0,,22.0,194.0,313.0,,1.0,,4.0,,1.0,1.0,1.0,1.0,5.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
36,442354,2013-05-06 20:00:00,"Stadium of Light, Sunderland",38130,Away,Stoke City,Sunderland,1,1,D,1,0,0,1,48.0,,3.0,30.0,23.0,4.0,5.0,1.0,152.0,3.0,6.0,1.0,,10.0,3.0,76.0,171.0,68.0,12.0,1.0,16.0,,,1.0,3.0,16.0,15.0,2.0,16.0,6.0,18.0,38.0,164.0,,0.0,113.0,11.0,,1.0,4.0,48.0,75.0,5.0,47.0,10.0,4.0,2.0,,164.0,3.0,92.0,551.0,9.0,31.0,8.0,22.0,13.0,12.0,2.0,6.0,5.0,24.0,68.0,,,5589,4.0,101.0,5.0,2.0,,,117.0,1.0,,15.0,49.0,3.0,,10.0,12.0,9.0,1.0,56.0,262.0,8.0,5.0,1.0,22.0,99.0,,,0.0,2.0,5.0,1.0,1.0,1.0,9.0,0.0,1.0,1.0,52.4,16.0,1.0,4.0,49.0,6.0,,4.0,367.0,,7.0,10.0,21.0,5.0,16.0,2.0,3.0,266.0,5.0,15.0,37.0,62.0,15.0,3.0,8.0,17.0,1.0,8.0,3.0,13.0,3.0,6.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,2.0,,2.0,1.0,,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
37,442367,2013-05-12 13:30:00,"bet365 Stadium, Stoke",27531,Home,Stoke City,Tottenham Hotspur,1,2,L,1,1,1,0,33.0,1.0,1.0,32.0,31.0,2.0,2.0,,101.0,7.0,3.0,1.0,4.0,3.0,1.0,43.0,143.0,58.0,6.0,1.0,10.0,,,,,23.0,16.0,,13.0,2.0,3.0,10.0,114.0,,0.0,110.0,12.0,1.0,4.0,3.0,33.0,49.0,1.0,44.0,21.0,8.0,1.0,1.0,125.0,10.0,43.0,431.0,1.0,16.0,16.0,14.0,17.0,14.0,3.0,10.0,2.0,20.0,66.0,2.0,,5589,1.0,53.0,9.0,1.0,2.0,,61.0,,,13.0,37.0,,,13.0,15.0,8.0,2.0,50.0,160.0,5.0,5.0,1.0,34.0,69.0,,,0.0,,11.0,3.0,1.0,2.0,3.0,1.0,5.0,3.0,32.7,11.0,2.0,2.0,39.0,2.0,,3.0,231.0,,9.0,7.0,5.0,3.0,22.0,2.0,2.0,193.0,1.0,2.0,25.0,60.0,10.0,4.0,6.0,25.0,1.0,3.0,3.0,7.0,4.0,2.0,,2.0,,,,,3.0,,,,2.0,,,,,,1.0,,3.0,,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,
38,442373,2013-05-19 16:00:00,"St. Mary's Stadium, Southampton",31539,Away,Stoke City,Southampton,1,1,D,0,0,0,0,39.0,,,31.0,35.0,4.0,3.0,,131.0,5.0,5.0,1.0,2.0,4.0,3.0,61.0,150.0,53.0,8.0,,7.0,2.0,1.0,,1.0,14.0,11.0,,20.0,4.0,4.0,28.0,131.0,1.0,0.0,107.0,7.0,,1.0,2.0,53.0,50.0,3.0,56.0,10.0,3.0,4.0,,135.0,7.0,48.0,482.0,2.0,32.0,13.0,17.0,10.0,19.0,2.0,1.0,1.0,21.0,66.0,,,84489,3.0,88.0,6.0,,1.0,,99.0,,,12.0,43.0,2.0,1.0,13.0,5.0,12.0,2.0,52.0,214.0,9.0,9.0,1.0,26.0,77.0,1.0,,0.0,1.0,3.0,5.0,1.0,1.0,12.0,0.0,4.0,2.0,37.0,13.0,,,49.0,4.0,,2.0,296.0,,10.0,10.0,15.0,5.0,17.0,1.0,1.0,211.0,3.0,3.0,22.0,59.0,15.0,2.0,9.0,17.0,1.0,4.0,3.0,15.0,2.0,4.0,1.0,1.0,,,,,5.0,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
