gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attLfGoal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,freekickCross,freekickTotal,attMissHighLeft,totalKeeperSweeper,bigChanceMissed,totalPullBack,totalOffside,attGoalHighLeft,attSvLowRight,attBxLeft,blockedScoringAtt,attIboxMiss,bigChanceScored,attGoalLowLeft,attIboxBlocked,attRfTarget,attCmissRight,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighLeft,attHdTarget,penaltyConceded,attCmissHigh,attMissHigh,attCmissLeft,attHdTotal,attHdMiss,penaltyFaced,penGoalsConceded,attGoalLowRight,attGoalLowCentre,attBxRight,attOboxGoal,ptsGainedLosingPos,bigChanceCreated,hitWoodwork,defenderGoals,attSvHighCentre,forwardGoals,accuratePullBack,attSvHighRight,penaltyWon,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,attPenGoal,attFreekickTarget,attSvLowLeft,sixYardBlock,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attHdGoal,cleanSheet,contentiousDecision,foulThrowIn,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attCmissHighLeft,attOboxPost,attPostHigh,attPostRight,attOneOnOne,attLgCentre,secondYellow,ownGoals,attIboxOwnGoal,attObxdRight,penaltySave,errorLeadToGoal,attCmissHighRight,clearanceOffLine,attObxLeft,attObxdLeft
27,855439,2017-03-04 15:00:00,"Vicarage Road, Watford",20670,Home,Watford,Southampton,3,4,L,1,2,0,0,,64.0,3.0,23.0,38.0,5.0,3.0,11.0,7.0,134.0,6.0,8.0,3.0,11.0,4.0,53.0,166.0,66.0,16.0,18.0,1.0,3.0,20.0,16.0,,38.0,6.0,1.0,25.0,87.0,0.0,103.0,16.0,6.0,,1.0,31.0,29.0,6.0,35.0,1.0,2.0,14.0,23.0,5.0,4.0,3.0,166.0,12.0,36.0,483.0,8.0,17.0,27.0,12.0,144.0,28.0,15.0,17.0,2.0,3.0,5.0,5.0,24.0,237.0,62.0,96764,6.0,75.0,9.0,95.0,5.0,2.0,23.0,6.0,56.0,,2.0,1.0,17.0,8.0,4.0,62.0,156.0,9.0,11.0,1.0,44.0,1.0,72.0,1.0,0.0,2.0,5.0,4.0,3.0,4.0,8.0,0.0,4.0,1.0,,37.8,10.0,7.0,4.0,28.0,6.0,2.0,258.0,12.0,4.0,9.0,7.0,43.0,2.0,183.0,11.0,1.0,27.0,51.0,22.0,3.0,17.0,22.0,4.0,10.0,2.0,16.0,3.0,3.0,13.0,6.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,2.0,,,2.0,,,,5.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,,,4.0,,,1.0,,,,2.0,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
28,855445,2017-05-15 20:00:00,"Stamford Bridge, London",41473,Away,Watford,Chelsea,3,4,L,1,2,1,0,,62.0,1.0,19.0,17.0,3.0,1.0,4.0,5.0,138.0,1.0,9.0,3.0,4.0,3.0,130.0,139.0,33.0,9.0,12.0,,3.0,8.0,8.0,,17.0,3.0,15.0,26.0,183.0,0.0,85.0,12.0,4.0,1.0,,87.0,56.0,1.0,96.0,2.0,,5.0,22.0,5.0,2.0,4.0,139.0,17.0,158.0,713.0,4.0,1.0,7.0,15.0,433.0,32.0,6.0,4.0,,4.0,8.0,3.0,25.0,500.0,44.0,96764,3.0,264.0,2.0,287.0,7.0,2.0,22.0,5.0,72.0,,2.0,3.0,16.0,7.0,2.0,45.0,446.0,6.0,16.0,,18.0,2.0,67.0,,0.0,2.0,8.0,4.0,3.0,4.0,,1.0,,,,52.9,21.0,3.0,2.0,40.0,3.0,,522.0,15.0,24.0,12.0,5.0,11.0,1.0,243.0,6.0,14.0,6.0,55.0,21.0,1.0,4.0,12.0,4.0,7.0,2.0,17.0,,1.0,11.0,3.0,,,1.0,,1.0,,,1.0,,,,,1.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,2.0,,2.0,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,
29,855453,2017-03-18 15:00:00,"Selhurst Park, London",25109,Away,Watford,Crystal Palace,0,1,L,0,0,0,0,1.0,57.0,,19.0,28.0,3.0,3.0,2.0,,165.0,2.0,9.0,,5.0,2.0,84.0,183.0,50.0,6.0,23.0,,1.0,10.0,11.0,,28.0,2.0,15.0,31.0,135.0,0.0,131.0,15.0,,,1.0,57.0,51.0,2.0,62.0,,,8.0,18.0,4.0,2.0,2.0,183.0,6.0,83.0,577.0,4.0,12.0,19.0,6.0,263.0,34.0,8.0,15.0,,2.0,2.0,3.0,36.0,374.0,73.0,96764,,139.0,5.0,163.0,5.0,,18.0,9.0,64.0,,1.0,,14.0,2.0,1.0,74.0,272.0,7.0,10.0,1.0,42.0,,76.0,1.0,0.0,1.0,3.0,,,1.0,3.0,0.0,2.0,,,57.0,20.0,1.0,4.0,27.0,2.0,1.0,394.0,6.0,7.0,14.0,4.0,34.0,,241.0,3.0,14.0,19.0,63.0,15.0,4.0,15.0,15.0,1.0,5.0,3.0,20.0,,4.0,6.0,2.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,2.0,,,,2.0,,,1.0,2.0,,,,3.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,
30,855471,2017-04-01 15:00:00,"Vicarage Road, Watford",20805,Home,Watford,Sunderland,1,0,W,0,0,0,0,,54.0,2.0,23.0,37.0,7.0,7.0,15.0,3.0,136.0,9.0,8.0,1.0,16.0,10.0,85.0,127.0,63.0,23.0,23.0,,2.0,40.0,14.0,1.0,37.0,12.0,10.0,29.0,179.0,0.0,130.0,12.0,2.0,,2.0,59.0,50.0,13.0,62.0,1.0,1.0,28.0,15.0,8.0,8.0,4.0,127.0,3.0,104.0,612.0,13.0,8.0,35.0,13.0,309.0,20.0,5.0,21.0,1.0,1.0,6.0,3.0,14.0,370.0,48.0,96764,7.0,148.0,19.0,166.0,6.0,,15.0,8.0,47.0,1.0,4.0,,14.0,8.0,3.0,58.0,318.0,8.0,3.0,2.0,21.0,7.0,65.0,1.0,0.0,2.0,9.0,1.0,1.0,,5.0,0.0,6.0,1.0,1.0,56.7,14.0,2.0,5.0,36.0,13.0,2.0,387.0,13.0,4.0,17.0,5.0,44.0,3.0,261.0,10.0,10.0,28.0,101.0,23.0,2.0,21.0,19.0,,16.0,3.0,13.0,,2.0,10.0,13.0,4.0,,,,3.0,8.0,1.0,1.0,,,,1.0,1.0,1.0,,4.0,5.0,8.0,1.0,1.0,,5.0,2.0,1.0,,3.0,1.0,,3.0,,,1.0,,6.0,1.0,,,,,2.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
31,855478,2017-04-04 19:45:00,"Vicarage Road, Watford",20090,Home,Watford,West Bromwich Albion,2,0,W,1,0,1,0,,48.0,,42.0,40.0,2.0,1.0,6.0,2.0,141.0,4.0,6.0,2.0,7.0,2.0,108.0,122.0,55.0,9.0,14.0,2.0,1.0,16.0,14.0,,40.0,4.0,20.0,29.0,158.0,0.0,91.0,11.0,1.0,1.0,3.0,81.0,53.0,5.0,83.0,1.0,1.0,12.0,11.0,3.0,1.0,1.0,122.0,11.0,109.0,636.0,4.0,8.0,11.0,7.0,359.0,20.0,11.0,19.0,2.0,1.0,5.0,2.0,22.0,414.0,37.0,96764,3.0,219.0,9.0,234.0,6.0,2.0,11.0,11.0,47.0,1.0,2.0,2.0,17.0,7.0,3.0,73.0,373.0,14.0,11.0,1.0,24.0,1.0,74.0,3.0,0.0,2.0,6.0,2.0,1.0,,4.0,1.0,3.0,1.0,,55.6,13.0,2.0,3.0,42.0,5.0,3.0,441.0,7.0,4.0,21.0,3.0,18.0,1.0,223.0,6.0,19.0,15.0,67.0,20.0,2.0,19.0,20.0,,7.0,3.0,14.0,,2.0,5.0,5.0,,,3.0,,1.0,,,2.0,,1.0,,,,1.0,,,2.0,4.0,2.0,1.0,,3.0,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0
32,855489,2017-04-08 12:30:00,"White Hart Lane, London",31706,Away,Watford,Tottenham Hotspur,0,4,L,0,3,0,0,1.0,55.0,1.0,23.0,15.0,4.0,3.0,4.0,2.0,131.0,3.0,14.0,,6.0,2.0,77.0,125.0,45.0,8.0,12.0,,2.0,17.0,12.0,,15.0,4.0,11.0,22.0,112.0,0.0,76.0,12.0,2.0,,1.0,51.0,38.0,3.0,67.0,3.0,1.0,13.0,13.0,4.0,2.0,1.0,125.0,8.0,68.0,535.0,6.0,5.0,13.0,17.0,261.0,29.0,6.0,5.0,,1.0,8.0,3.0,15.0,318.0,37.0,96764,1.0,167.0,7.0,191.0,9.0,,13.0,10.0,60.0,2.0,4.0,,11.0,11.0,4.0,48.0,276.0,11.0,14.0,,19.0,1.0,60.0,,0.0,3.0,7.0,1.0,,4.0,2.0,0.0,3.0,,1.0,41.3,12.0,4.0,7.0,32.0,5.0,1.0,343.0,17.0,9.0,13.0,4.0,18.0,,169.0,5.0,10.0,7.0,53.0,14.0,4.0,5.0,14.0,2.0,5.0,3.0,28.0,,4.0,8.0,5.0,1.0,,4.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,855500,2017-04-15 15:00:00,"Vicarage Road, Watford",20272,Home,Watford,Swansea City,1,0,W,1,0,0,0,,68.0,1.0,30.0,23.0,9.0,2.0,5.0,4.0,176.0,3.0,14.0,1.0,10.0,7.0,98.0,157.0,61.0,15.0,25.0,,1.0,14.0,9.0,,23.0,5.0,9.0,33.0,133.0,0.0,92.0,8.0,3.0,1.0,3.0,64.0,29.0,5.0,78.0,,2.0,9.0,18.0,10.0,2.0,5.0,157.0,9.0,94.0,634.0,9.0,17.0,14.0,3.0,328.0,33.0,10.0,14.0,,0.0,4.0,5.0,19.0,417.0,46.0,96764,3.0,217.0,6.0,247.0,3.0,,18.0,11.0,59.0,1.0,3.0,1.0,16.0,4.0,5.0,70.0,347.0,10.0,6.0,1.0,28.0,1.0,83.0,1.0,0.0,1.0,2.0,3.0,1.0,,4.0,0.0,2.0,,,53.0,15.0,1.0,4.0,47.0,6.0,3.0,446.0,3.0,13.0,17.0,6.0,21.0,1.0,213.0,11.0,8.0,21.0,49.0,24.0,2.0,14.0,16.0,,13.0,3.0,21.0,,2.0,7.0,6.0,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,4.0,1.0,1.0,,2.0,1.0,1.0,,1.0,6.0,2.0,,2.0,4.0,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
34,855506,2017-04-22 15:00:00,"The MKM Stadium, Hull",20432,Away,Watford,Hull City,0,2,L,0,0,0,1,4.0,68.0,1.0,26.0,12.0,7.0,4.0,7.0,1.0,164.0,6.0,7.0,,10.0,2.0,167.0,141.0,44.0,14.0,16.0,,2.0,24.0,9.0,,12.0,7.0,13.0,47.0,215.0,0.0,137.0,11.0,,,1.0,76.0,67.0,6.0,92.0,,1.0,17.0,12.0,7.0,6.0,3.0,141.0,3.0,150.0,749.0,5.0,12.0,19.0,6.0,469.0,25.0,2.0,7.0,,1.0,2.0,4.0,23.0,553.0,69.0,96764,7.0,278.0,10.0,292.0,2.0,,12.0,4.0,47.0,,5.0,,14.0,5.0,3.0,56.0,487.0,8.0,7.0,5.0,12.0,5.0,72.0,,0.0,1.0,4.0,,,2.0,6.0,0.0,2.0,,1.0,65.8,20.0,7.0,5.0,47.0,7.0,1.0,573.0,6.0,13.0,18.0,6.0,41.0,4.0,305.0,6.0,13.0,14.0,82.0,30.0,2.0,7.0,15.0,1.0,6.0,3.0,11.0,,2.0,8.0,7.0,,,3.0,,4.0,2.0,,1.0,,1.0,,2.0,2.0,2.0,,,,6.0,3.0,,,2.0,1.0,1.0,,,,,1.0,,1.0,2.0,,3.0,2.0,,,,,,,,2.0,,,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,855520,2017-05-01 20:00:00,"Vicarage Road, Watford",20959,Home,Watford,Liverpool,0,1,L,0,1,0,0,,66.0,3.0,37.0,30.0,6.0,3.0,2.0,7.0,156.0,2.0,9.0,,5.0,2.0,78.0,157.0,55.0,9.0,27.0,,2.0,14.0,16.0,,30.0,3.0,8.0,44.0,101.0,0.0,102.0,11.0,5.0,,1.0,43.0,34.0,3.0,47.0,,,11.0,21.0,7.0,4.0,3.0,157.0,5.0,76.0,556.0,5.0,7.0,12.0,14.0,245.0,40.0,11.0,10.0,,3.0,2.0,2.0,19.0,339.0,71.0,96764,,157.0,7.0,189.0,7.0,,21.0,7.0,65.0,,5.0,,13.0,7.0,3.0,81.0,256.0,7.0,15.0,,34.0,2.0,73.0,2.0,0.0,2.0,5.0,4.0,,1.0,1.0,0.0,2.0,,,40.0,9.0,,6.0,36.0,3.0,1.0,357.0,14.0,6.0,22.0,4.0,22.0,,182.0,6.0,7.0,19.0,50.0,16.0,2.0,10.0,20.0,1.0,7.0,3.0,15.0,,2.0,13.0,3.0,1.0,,2.0,,2.0,,,,,,1.0,,,6.0,,,1.0,3.0,,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,
36,855527,2017-05-06 15:00:00,"King Power Stadium, Leicester",31628,Away,Watford,Leicester City,0,3,L,0,1,0,0,,65.0,1.0,39.0,45.0,6.0,1.0,8.0,3.0,161.0,5.0,12.0,,12.0,7.0,119.0,149.0,53.0,14.0,24.0,,1.0,23.0,8.0,,45.0,1.0,16.0,27.0,222.0,0.0,122.0,10.0,3.0,,2.0,52.0,78.0,7.0,87.0,,1.0,22.0,16.0,6.0,8.0,2.0,149.0,6.0,120.0,709.0,11.0,5.0,27.0,14.0,383.0,26.0,10.0,28.0,,0.0,3.0,5.0,23.0,459.0,59.0,96764,6.0,187.0,14.0,211.0,6.0,,16.0,7.0,62.0,,1.0,,10.0,5.0,4.0,70.0,404.0,8.0,5.0,1.0,32.0,1.0,76.0,1.0,0.0,3.0,10.0,1.0,,3.0,2.0,0.0,4.0,,,58.1,16.0,,1.0,51.0,1.0,2.0,487.0,14.0,11.0,13.0,5.0,32.0,1.0,299.0,9.0,14.0,22.0,90.0,33.0,,28.0,12.0,3.0,12.0,3.0,25.0,,,7.0,1.0,,,,,,3.0,,,,1.0,,,1.0,4.0,,1.0,,2.0,3.0,,,2.0,5.0,,,1.0,4.0,1.0,2.0,,,2.0,,4.0,2.0,,,,,1.0,,,,,,3.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
37,855534,2017-05-12 19:45:00,"Goodison Park, Liverpool",38550,Away,Watford,Everton,0,1,L,0,0,0,0,,67.0,2.0,25.0,46.0,2.0,2.0,12.0,5.0,131.0,5.0,10.0,,13.0,2.0,63.0,140.0,58.0,14.0,31.0,,4.0,25.0,15.0,,46.0,6.0,5.0,31.0,141.0,0.0,136.0,11.0,3.0,,1.0,50.0,33.0,8.0,52.0,3.0,1.0,19.0,8.0,2.0,6.0,1.0,140.0,6.0,71.0,537.0,12.0,14.0,26.0,18.0,222.0,31.0,7.0,19.0,,3.0,5.0,5.0,15.0,296.0,63.0,96764,7.0,101.0,11.0,113.0,5.0,,8.0,7.0,62.0,1.0,7.0,,15.0,9.0,5.0,55.0,237.0,7.0,8.0,1.0,23.0,5.0,65.0,1.0,0.0,3.0,9.0,3.0,,1.0,6.0,0.0,4.0,,1.0,37.9,7.0,4.0,8.0,35.0,8.0,1.0,317.0,18.0,6.0,20.0,6.0,50.0,1.0,229.0,9.0,4.0,25.0,84.0,19.0,5.0,19.0,16.0,,9.0,3.0,16.0,,5.0,4.0,8.0,1.0,,1.0,,1.0,2.0,,2.0,,,2.0,2.0,,1.0,,,3.0,6.0,5.0,,,5.0,1.0,,2.0,2.0,,,,,1.0,1.0,1.0,3.0,2.0,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,855551,2017-05-21 15:00:00,"Vicarage Road, Watford",20829,Home,Watford,Manchester City,0,5,L,0,4,0,0,,47.0,,26.0,6.0,1.0,1.0,5.0,3.0,115.0,2.0,9.0,,4.0,3.0,73.0,116.0,44.0,6.0,8.0,,,10.0,13.0,,6.0,4.0,4.0,20.0,85.0,0.0,56.0,12.0,2.0,,,35.0,34.0,2.0,44.0,2.0,2.0,6.0,7.0,1.0,2.0,1.0,116.0,11.0,65.0,440.0,3.0,8.0,10.0,14.0,203.0,29.0,7.0,3.0,,1.0,2.0,2.0,19.0,269.0,36.0,96764,1.0,141.0,4.0,168.0,5.0,,7.0,9.0,56.0,,1.0,,10.0,4.0,5.0,56.0,224.0,10.0,17.0,1.0,29.0,2.0,62.0,,0.0,2.0,5.0,4.0,,5.0,1.0,0.0,1.0,,1.0,32.9,15.0,2.0,1.0,33.0,4.0,,297.0,14.0,11.0,12.0,2.0,13.0,1.0,139.0,5.0,3.0,5.0,31.0,10.0,2.0,3.0,20.0,5.0,3.0,3.0,17.0,,2.0,4.0,4.0,1.0,,,,,3.0,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
