gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,savedObox,attRfTarget,goals,attCmissRight,attObxLeft,shotFastbreak,attGoalHighRight,attOboxTarget,attSvHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,attSvLowLeft,bigChanceCreated,attHdTarget,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attRfGoal,totalPullBack,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attFastbreak,attFreekickGoal,punches,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,attFreekickMiss,accurateCornersIntobox,bigChanceScored,attGoalLowRight,attGoalLowCentre,accuratePullBack,goalAssistOpenplay,hitWoodwork,goalAssist,attObxdLeft,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,attSvHighCentre,forwardGoals,goalsConcededIbox,attLgCentre,attLfGoal,attBxRight,postScoringAtt,attOboxPost,attPostHigh,attGoalLowLeft,accurateThroughBall,accurateFreekickCross,attCmissHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,midfielderGoals,goalsConcededObox,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighLeft,penaltyWon,attGoalHighCentre,attPenGoal,attIboxPost,attPostLeft,errorLeadToGoal,secondYellow,penaltySave,attHdPost,attPostRight,attObxRight,goalFastbreak,attPenTarget,saves
28,360739,2012-03-12 20:00:00,"Emirates Stadium, London",60095,Away,Newcastle United,Arsenal,1,2,L,1,1,0,0,,53.0,2.0,27.0,32.0,1.0,1.0,135.0,,3.0,,3.0,2.0,75.0,159.0,55.0,,4.0,,9.0,,1.0,1.0,,12.0,18.0,15.0,2.0,8.0,14.0,116.0,,,0.0,107.0,12.0,1.0,,,33.0,40.0,3.0,56.0,,,10.0,,5.0,,142.0,16.0,82.0,529.0,2.0,11.0,13.0,22.0,,12.0,21.0,1.0,3.0,8.0,,17.0,64.0,7933,1.0,144.0,5.0,160.0,13.0,52.0,4.0,2.0,2.0,9.0,7.0,7.0,54.0,260.0,11.0,12.0,42.0,84.0,0.0,3.0,6.0,5.0,2.0,0.0,,39.1,14.0,3.0,2.0,2.0,1.0,44.0,3.0,,348.0,7.0,15.0,9.0,,,15.0,,200.0,3.0,7.0,19.0,61.0,19.0,2.0,7.0,22.0,3.0,3.0,7.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,,,,2.0,,1.0,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,360754,2012-03-18 16:00:00,"St. James' Park, Newcastle",47833,Home,Newcastle United,Norwich City,1,0,W,1,0,0,0,,68.0,2.0,17.0,16.0,6.0,1.0,175.0,6.0,2.0,2.0,10.0,6.0,91.0,161.0,47.0,,14.0,,14.0,3.0,,3.0,1.0,16.0,14.0,12.0,4.0,19.0,42.0,142.0,1.0,1.0,0.0,92.0,8.0,1.0,2.0,1.0,32.0,61.0,8.0,70.0,,3.0,12.0,,3.0,4.0,157.0,6.0,79.0,592.0,8.0,11.0,19.0,31.0,,7.0,8.0,,0.0,2.0,2.0,18.0,60.0,98746,6.0,174.0,7.0,198.0,10.0,46.0,4.0,,2.0,15.0,5.0,4.0,50.0,310.0,15.0,7.0,34.0,89.0,0.0,,5.0,3.0,3.0,0.0,4.0,44.2,14.0,2.0,2.0,2.0,,37.0,4.0,1.0,415.0,13.0,12.0,20.0,,6.0,20.0,2.0,233.0,13.0,18.0,10.0,46.0,26.0,1.0,5.0,20.0,13.0,3.0,7.0,1.0,4.0,,1.0,5.0,1.0,,,,,2.0,,,,,,2.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
30,360768,2012-03-25 16:00:00,"The Hawthorns, West Bromwich",25049,Away,Newcastle United,West Bromwich Albion,3,1,W,3,0,0,0,1.0,61.0,,20.0,42.0,7.0,4.0,163.0,1.0,6.0,1.0,5.0,7.0,93.0,182.0,43.0,1.0,11.0,1.0,18.0,1.0,,1.0,1.0,9.0,15.0,28.0,2.0,4.0,19.0,140.0,,,0.0,99.0,4.0,,,,87.0,36.0,4.0,86.0,1.0,,7.0,1.0,3.0,3.0,168.0,10.0,76.0,627.0,2.0,4.0,20.0,25.0,1.0,4.0,18.0,,1.0,5.0,1.0,22.0,65.0,98746,3.0,174.0,4.0,197.0,14.0,56.0,5.0,3.0,,12.0,7.0,4.0,59.0,313.0,11.0,12.0,46.0,102.0,0.0,3.0,10.0,1.0,1.0,0.0,1.0,48.9,17.0,2.0,,1.0,,39.0,4.0,,418.0,11.0,19.0,13.0,,3.0,11.0,,230.0,7.0,4.0,8.0,53.0,28.0,3.0,13.0,18.0,9.0,3.0,9.0,3.0,4.0,,,3.0,3.0,,,3.0,,3.0,,,5.0,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,3.0,,,3.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,3.0,,2.0,2.0,,3.0,1.0,2.0,1.0,2.0,1.0,,2.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,1.0
31,360774,2012-04-01 13:30:00,"St. James' Park, Newcastle",52363,Home,Newcastle United,Liverpool,2,0,W,1,0,0,1,,56.0,,32.0,28.0,3.0,,163.0,7.0,7.0,,10.0,3.0,113.0,149.0,44.0,,10.0,3.0,14.0,1.0,1.0,1.0,2.0,16.0,11.0,12.0,2.0,24.0,29.0,142.0,,1.0,0.0,92.0,10.0,1.0,,,45.0,48.0,6.0,90.0,2.0,,14.0,,7.0,,132.0,5.0,87.0,643.0,7.0,10.0,18.0,28.0,1.0,9.0,13.0,2.0,3.0,5.0,4.0,19.0,69.0,6240,5.0,227.0,5.0,256.0,7.0,50.0,7.0,2.0,2.0,8.0,4.0,5.0,59.0,362.0,10.0,7.0,33.0,81.0,0.0,,6.0,1.0,5.0,0.0,7.0,48.6,18.0,1.0,2.0,3.0,1.0,47.0,3.0,1.0,453.0,12.0,10.0,10.0,,4.0,17.0,3.0,213.0,4.0,22.0,10.0,45.0,20.0,2.0,5.0,17.0,,3.0,16.0,3.0,3.0,,1.0,,2.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,6.0,3.0,,,,1.0,1.0,,,2.0,1.0,2.0,,,,2.0,2.0,,2.0,,2.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
32,360787,2012-04-06 16:30:00,"Liberty Stadium, Swansea",19874,Away,Newcastle United,Swansea City,2,0,W,1,0,0,0,1.0,57.0,,18.0,18.0,2.0,2.0,126.0,,5.0,2.0,4.0,3.0,50.0,133.0,38.0,,5.0,1.0,3.0,,,1.0,1.0,3.0,15.0,10.0,,12.0,19.0,66.0,,1.0,0.0,48.0,9.0,2.0,1.0,,24.0,24.0,3.0,48.0,2.0,,3.0,,,,125.0,8.0,46.0,439.0,2.0,11.0,37.0,30.0,,9.0,10.0,,1.0,5.0,1.0,14.0,31.0,98746,2.0,115.0,2.0,150.0,8.0,38.0,2.0,1.0,1.0,13.0,11.0,4.0,38.0,181.0,10.0,14.0,29.0,59.0,0.0,,7.0,1.0,1.0,0.0,,23.0,12.0,2.0,1.0,1.0,,28.0,,,270.0,29.0,11.0,9.0,,1.0,6.0,1.0,123.0,3.0,10.0,7.0,20.0,17.0,4.0,5.0,16.0,5.0,3.0,7.0,4.0,,1.0,7.0,,2.0,,,,1.0,1.0,,,,,,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,,2.0,,2.0,,1.0,2.0,,2.0,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,360794,2012-04-09 15:00:00,"St. James' Park, Newcastle",52264,Home,Newcastle United,Bolton Wanderers,2,0,W,0,0,0,0,,51.0,,27.0,24.0,6.0,5.0,141.0,1.0,11.0,2.0,6.0,3.0,94.0,157.0,51.0,1.0,8.0,3.0,15.0,,1.0,,,22.0,10.0,14.0,6.0,12.0,22.0,139.0,,1.0,0.0,110.0,7.0,,2.0,2.0,44.0,42.0,6.0,74.0,6.0,1.0,16.0,1.0,4.0,2.0,147.0,5.0,92.0,581.0,4.0,4.0,24.0,22.0,,13.0,6.0,1.0,1.0,3.0,,12.0,72.0,98746,1.0,177.0,10.0,197.0,6.0,48.0,,7.0,5.0,13.0,4.0,3.0,57.0,315.0,18.0,10.0,31.0,79.0,0.0,,5.0,3.0,,0.0,1.0,50.9,11.0,1.0,5.0,3.0,,42.0,6.0,2.0,401.0,13.0,15.0,8.0,,2.0,24.0,,226.0,3.0,12.0,11.0,64.0,17.0,4.0,4.0,11.0,6.0,3.0,12.0,4.0,6.0,,,1.0,2.0,1.0,,1.0,,1.0,,,2.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,2.0,,1.0,,2.0,,2.0,,2.0,1.0,,2.0,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
34,360801,2012-05-02 19:45:00,"Stamford Bridge, London",41559,Away,Newcastle United,Chelsea,2,0,W,1,0,0,0,1.0,63.0,,26.0,39.0,6.0,3.0,118.0,2.0,10.0,,9.0,4.0,60.0,160.0,50.0,,13.0,1.0,14.0,1.0,,,3.0,12.0,13.0,18.0,3.0,4.0,17.0,95.0,,1.0,0.0,81.0,7.0,,,,31.0,25.0,5.0,51.0,,,10.0,,,5.0,139.0,7.0,80.0,522.0,5.0,11.0,21.0,28.0,1.0,6.0,25.0,,3.0,5.0,4.0,15.0,56.0,7933,5.0,132.0,8.0,148.0,18.0,44.0,,4.0,1.0,11.0,11.0,11.0,58.0,225.0,9.0,7.0,30.0,91.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,36.6,11.0,1.0,1.0,1.0,1.0,45.0,4.0,,309.0,15.0,12.0,10.0,1.0,8.0,11.0,2.0,173.0,9.0,4.0,10.0,39.0,24.0,3.0,13.0,21.0,,3.0,16.0,3.0,4.0,2.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,3.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,,,2.0,1.0,1.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
35,360816,2012-04-21 15:00:00,"St. James' Park, Newcastle",52162,Home,Newcastle United,Stoke City,3,0,W,2,0,0,0,,63.0,1.0,38.0,21.0,8.0,1.0,169.0,2.0,3.0,1.0,12.0,9.0,140.0,156.0,46.0,1.0,17.0,2.0,13.0,3.0,,1.0,2.0,8.0,15.0,16.0,4.0,17.0,27.0,164.0,,1.0,0.0,81.0,9.0,,1.0,,46.0,43.0,7.0,87.0,,,4.0,1.0,,2.0,151.0,4.0,131.0,699.0,10.0,7.0,13.0,37.0,,13.0,12.0,,0.0,2.0,5.0,19.0,61.0,7933,6.0,273.0,3.0,298.0,12.0,46.0,4.0,2.0,3.0,17.0,4.0,6.0,59.0,435.0,10.0,1.0,29.0,99.0,0.0,1.0,5.0,,1.0,0.0,1.0,58.1,15.0,1.0,3.0,3.0,,55.0,4.0,,527.0,11.0,18.0,12.0,,5.0,11.0,2.0,237.0,13.0,13.0,12.0,52.0,21.0,4.0,10.0,21.0,13.0,3.0,8.0,4.0,4.0,,,6.0,3.0,,,,,3.0,,1.0,,,2.0,2.0,,,1.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,3.0,1.0,2.0,,1.0,2.0,2.0,,,1.0,1.0,1.0,,3.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,
36,360828,2012-04-28 15:00:00,"DW Stadium, Wigan",22187,Away,Newcastle United,Wigan Athletic,0,4,L,0,4,0,0,1.0,40.0,,38.0,12.0,5.0,3.0,121.0,6.0,7.0,5.0,8.0,2.0,109.0,111.0,45.0,2.0,11.0,1.0,6.0,1.0,1.0,,1.0,13.0,10.0,6.0,,17.0,32.0,153.0,2.0,,0.0,84.0,12.0,2.0,3.0,,46.0,29.0,2.0,64.0,2.0,1.0,13.0,2.0,6.0,3.0,105.0,7.0,93.0,542.0,6.0,4.0,19.0,14.0,,6.0,3.0,1.0,1.0,2.0,6.0,26.0,51.0,7933,2.0,175.0,4.0,195.0,4.0,38.0,2.0,5.0,1.0,8.0,3.0,3.0,55.0,322.0,14.0,4.0,15.0,77.0,0.0,1.0,4.0,2.0,1.0,0.0,6.0,42.9,24.0,1.0,1.0,1.0,,53.0,1.0,,387.0,14.0,16.0,13.0,,8.0,19.0,3.0,205.0,6.0,16.0,8.0,54.0,20.0,1.0,3.0,16.0,6.0,3.0,7.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,2.0,2.0,,,1.0,,2.0,1.0,2.0,2.0,,,,,,,2.0,,,,1.0,1.0,,4.0,,,,3.0,,,,2.0,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,2.0,,1.0,,,1.0,1.0,,,,
37,360836,2012-05-06 13:30:00,"St. James' Park, Newcastle",52389,Home,Newcastle United,Manchester City,0,2,L,0,0,0,0,1.0,64.0,3.0,25.0,21.0,7.0,4.0,149.0,4.0,4.0,2.0,10.0,3.0,85.0,161.0,45.0,1.0,15.0,4.0,4.0,2.0,,2.0,1.0,15.0,18.0,11.0,2.0,18.0,26.0,145.0,1.0,,0.0,110.0,12.0,4.0,1.0,,54.0,26.0,5.0,60.0,1.0,1.0,13.0,1.0,6.0,2.0,151.0,12.0,89.0,591.0,10.0,11.0,14.0,29.0,,9.0,7.0,1.0,4.0,5.0,5.0,21.0,71.0,7933,5.0,142.0,6.0,165.0,13.0,46.0,4.0,1.0,1.0,11.0,9.0,9.0,57.0,283.0,7.0,10.0,29.0,86.0,0.0,2.0,6.0,4.0,3.0,0.0,4.0,43.7,19.0,1.0,1.0,7.0,1.0,40.0,2.0,,383.0,9.0,15.0,12.0,,5.0,23.0,3.0,233.0,9.0,17.0,7.0,60.0,25.0,4.0,4.0,27.0,12.0,3.0,9.0,4.0,2.0,,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,2.0,,,1.0,,2.0,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
38,360840,2012-05-13 15:00:00,"Goodison Park, Liverpool",39517,Away,Newcastle United,Everton,1,3,L,0,2,0,1,,55.0,2.0,31.0,16.0,5.0,4.0,179.0,4.0,2.0,4.0,10.0,3.0,107.0,136.0,44.0,,11.0,1.0,7.0,2.0,,1.0,2.0,11.0,17.0,10.0,2.0,2.0,61.0,183.0,,,0.0,141.0,16.0,2.0,2.0,2.0,65.0,42.0,5.0,67.0,1.0,2.0,9.0,,4.0,3.0,130.0,9.0,88.0,610.0,10.0,2.0,10.0,21.0,,3.0,9.0,,2.0,1.0,5.0,18.0,89.0,7933,4.0,177.0,3.0,193.0,7.0,48.0,1.0,1.0,5.0,9.0,8.0,3.0,65.0,356.0,15.0,5.0,18.0,88.0,0.0,3.0,4.0,2.0,1.0,0.0,4.0,53.1,17.0,,5.0,3.0,,51.0,3.0,2.0,441.0,9.0,10.0,27.0,,5.0,39.0,2.0,259.0,6.0,1.0,7.0,85.0,17.0,4.0,6.0,20.0,11.0,3.0,12.0,4.0,3.0,,5.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,3.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
