gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,interceptionsInBox,attOboxMiss,accurateFreekickCross,sixYardBlock,attGoalHighLeft,attCmissLeft,punches,goalsConceded,shieldBallOop,attHdMiss,goalsConcededIbox,attGoalLowRight,attGoalLowCentre,attMissHighLeft,attCmissHighLeft,attSvHighCentre,attHdGoal,attPenTarget,goalFastbreak,penaltyWon,attHdPost,attCmissHigh,attPostRight,errorLeadToShot,ownGoals,foulThrowIn,attIboxOwnGoal,clearanceOffLine,defenderGoals,goalsConcededObox,attLgCentre,attCmissHighRight,attObxdRight,penaltyConceded,penaltyFaced,penGoalsConceded,attLgRight,attPostLeft,attFreekickMiss,attPenGoal,secondYellow,attObpGoal,attObxLeft,attFreekickGoal,attObxdLeft,attSvHighRight,errorLeadToGoal,penaltySave,saves,attObxRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner
27,360732,2012-03-03 15:00:00,"Etihad Stadium, Manchester",47219,Home,Manchester City,Bolton Wanderers,2,0,W,1,0,0,0,3.0,1.0,63.0,,2.0,4.0,29.0,21.0,7.0,8.0,,4.0,206.0,,10.0,2.0,1.0,19.0,2.0,,8.0,153.0,126.0,38.0,1.0,24.0,,6.0,6.0,1.0,4.0,,1.0,1.0,3.0,4.0,13.0,,11.0,1.0,13.0,6.0,35.0,38.0,274.0,2.0,1.0,,0.0,159.0,14.0,1.0,1.0,,,1.0,,1.0,42.0,86.0,11.0,90.0,4.0,7.0,1.0,,2.0,118.0,6.0,6.0,147.0,788.0,18.0,4.0,,1.0,21.0,26.0,3.0,17.0,1.0,1.0,0.0,,8.0,13.0,63.0,3.0,7551,9.0,255.0,6.0,5.0,,264.0,1.0,3.0,5.0,48.0,14.0,2.0,10.0,1.0,12.0,2.0,3.0,2.0,45.0,529.0,7.0,9.0,,11.0,89.0,1.0,3.0,0.0,,2.0,4.0,3.0,2.0,,,3.0,0.0,,1.0,1.0,64.4,12.0,3.0,,10.0,4.0,59.0,7.0,1.0,596.0,20.0,11.0,17.0,12.0,26.0,,5.0,345.0,15.0,33.0,4.0,124.0,22.0,1.0,1.0,11.0,17.0,21.0,3.0,18.0,1.0,7.0,,,,,1.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
28,360747,2012-03-11 14:00:00,"Liberty Stadium, Swansea",20510,Away,Manchester City,Swansea City,0,1,L,0,0,0,0,,,49.0,,2.0,5.0,13.0,22.0,6.0,3.0,,5.0,139.0,6.0,6.0,,2.0,18.0,,1.0,6.0,117.0,135.0,39.0,,22.0,4.0,10.0,5.0,,4.0,,,,2.0,2.0,23.0,,15.0,1.0,14.0,6.0,16.0,23.0,244.0,1.0,,,0.0,144.0,15.0,2.0,,,,,1.0,,59.0,42.0,12.0,60.0,4.0,17.0,,,2.0,127.0,,7.0,114.0,646.0,14.0,6.0,1.0,,28.0,14.0,4.0,8.0,,,2.0,1.0,6.0,19.0,57.0,2.0,7459,7.0,121.0,,14.0,,133.0,,,8.0,41.0,12.0,1.0,3.0,,10.0,5.0,2.0,,28.0,359.0,9.0,3.0,4.0,18.0,72.0,,3.0,0.0,,2.0,7.0,2.0,,,,2.0,0.0,2.0,,3.0,44.6,13.0,4.0,1.0,3.0,9.0,41.0,9.0,,430.0,20.0,10.0,11.0,7.0,21.0,4.0,5.0,320.0,14.0,15.0,5.0,109.0,27.0,,5.0,4.0,19.0,12.0,3.0,10.0,5.0,9.0,1.0,,,,1.0,2.0,,3.0,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
29,360753,2012-03-21 19:45:00,"Etihad Stadium, Manchester",46324,Home,Manchester City,Chelsea,2,1,W,0,0,0,0,1.0,2.0,58.0,1.0,,4.0,38.0,20.0,10.0,6.0,,2.0,182.0,4.0,16.0,2.0,2.0,13.0,1.0,1.0,5.0,134.0,155.0,47.0,1.0,21.0,3.0,13.0,,,1.0,1.0,,1.0,,,38.0,,12.0,3.0,15.0,11.0,27.0,35.0,311.0,1.0,,,0.0,202.0,10.0,1.0,,,1.0,3.0,,1.0,110.0,69.0,6.0,98.0,2.0,27.0,1.0,,9.0,150.0,1.0,4.0,146.0,791.0,12.0,5.0,,2.0,20.0,22.0,4.0,13.0,1.0,,1.0,3.0,7.0,25.0,72.0,1.0,65807,5.0,183.0,1.0,18.0,,194.0,2.0,3.0,7.0,47.0,9.0,,2.0,1.0,17.0,3.0,4.0,4.0,53.0,490.0,7.0,7.0,,17.0,70.0,,,0.0,,1.0,4.0,1.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,,60.4,20.0,3.0,2.0,2.0,7.0,54.0,11.0,1.0,560.0,15.0,12.0,19.0,9.0,24.0,2.0,5.0,404.0,15.0,24.0,6.0,159.0,28.0,1.0,2.0,11.0,18.0,16.0,3.0,23.0,2.0,11.0,2.0,,,,,3.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
30,360765,2012-03-24 17:30:00,"bet365 Stadium, Stoke",27535,Away,Manchester City,Stoke City,1,1,D,0,0,0,0,1.0,,43.0,,,3.0,14.0,31.0,6.0,5.0,,3.0,167.0,9.0,3.0,1.0,4.0,13.0,1.0,,6.0,132.0,148.0,59.0,1.0,16.0,2.0,15.0,3.0,,1.0,,1.0,1.0,2.0,,25.0,,18.0,2.0,19.0,5.0,23.0,18.0,231.0,1.0,,1.0,0.0,138.0,14.0,,,,1.0,1.0,3.0,1.0,68.0,55.0,8.0,80.0,2.0,20.0,1.0,,8.0,136.0,2.0,5.0,125.0,710.0,12.0,9.0,1.0,,10.0,17.0,7.0,20.0,1.0,1.0,2.0,1.0,5.0,18.0,59.0,2.0,65807,5.0,200.0,2.0,9.0,,219.0,1.0,1.0,16.0,51.0,8.0,,4.0,1.0,13.0,6.0,9.0,2.0,35.0,422.0,15.0,7.0,,24.0,80.0,,2.0,0.0,,1.0,5.0,2.0,,,,5.0,0.0,7.0,,3.0,67.5,17.0,,3.0,4.0,5.0,45.0,7.0,2.0,504.0,6.0,12.0,10.0,5.0,30.0,2.0,3.0,310.0,8.0,20.0,16.0,102.0,17.0,,4.0,13.0,25.0,15.0,3.0,7.0,4.0,7.0,1.0,,,,1.0,2.0,1.0,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
31,360773,2012-03-31 15:00:00,"Etihad Stadium, Manchester",47007,Home,Manchester City,Sunderland,3,3,D,1,2,0,0,2.0,1.0,56.0,,,7.0,32.0,21.0,11.0,11.0,1.0,2.0,173.0,7.0,3.0,3.0,6.0,16.0,1.0,1.0,7.0,142.0,157.0,33.0,4.0,26.0,4.0,6.0,1.0,1.0,4.0,,,2.0,1.0,,46.0,,10.0,3.0,14.0,12.0,27.0,33.0,321.0,2.0,,1.0,0.0,212.0,12.0,,1.0,,,1.0,,1.0,78.0,78.0,10.0,63.0,3.0,35.0,4.0,,14.0,150.0,1.0,5.0,149.0,751.0,11.0,6.0,,,21.0,20.0,1.0,13.0,2.0,,1.0,2.0,6.0,30.0,79.0,2.0,7459,6.0,140.0,1.0,21.0,2.0,158.0,2.0,3.0,4.0,41.0,10.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,43.0,454.0,14.0,1.0,3.0,6.0,56.0,1.0,1.0,0.0,2.0,2.0,5.0,,2.0,,,,0.0,4.0,,2.0,64.1,30.0,2.0,2.0,2.0,11.0,43.0,17.0,1.0,527.0,13.0,11.0,20.0,8.0,32.0,4.0,4.0,415.0,12.0,22.0,4.0,167.0,32.0,2.0,2.0,9.0,12.0,15.0,3.0,14.0,2.0,17.0,,,,1.0,,4.0,,1.0,,,,3.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,
32,360779,2012-04-08 16:00:00,"Emirates Stadium, London",60096,Away,Manchester City,Arsenal,0,1,L,0,0,1,0,,,57.0,,1.0,2.0,14.0,43.0,1.0,2.0,,,133.0,5.0,12.0,,3.0,4.0,,,,64.0,165.0,54.0,1.0,6.0,1.0,12.0,,,,,,,,1.0,16.0,,11.0,,21.0,6.0,9.0,30.0,103.0,1.0,,,0.0,84.0,16.0,2.0,,,,,2.0,1.0,36.0,33.0,2.0,46.0,1.0,10.0,1.0,,3.0,143.0,1.0,10.0,54.0,528.0,2.0,6.0,,,23.0,25.0,2.0,22.0,,,3.0,3.0,2.0,25.0,47.0,,7551,2.0,125.0,1.0,5.0,,146.0,,,9.0,64.0,6.0,5.0,5.0,,8.0,3.0,1.0,,40.0,223.0,12.0,11.0,2.0,22.0,68.0,,,0.0,,3.0,7.0,3.0,,,,3.0,1.0,2.0,,1.0,35.5,18.0,1.0,1.0,5.0,3.0,27.0,6.0,1.0,297.0,15.0,20.0,16.0,3.0,11.0,3.0,2.0,167.0,3.0,7.0,13.0,53.0,24.0,,5.0,11.0,17.0,2.0,3.0,19.0,5.0,6.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
33,360793,2012-04-11 19:45:00,"Etihad Stadium, Manchester",46746,Home,Manchester City,West Bromwich Albion,4,0,W,1,0,0,0,3.0,3.0,66.0,1.0,1.0,2.0,37.0,11.0,7.0,9.0,1.0,,218.0,5.0,6.0,4.0,,19.0,1.0,1.0,7.0,214.0,139.0,37.0,,19.0,5.0,3.0,3.0,,,,,4.0,1.0,1.0,17.0,,12.0,,7.0,6.0,34.0,33.0,393.0,1.0,1.0,1.0,0.0,223.0,8.0,,,,1.0,1.0,,,99.0,71.0,14.0,90.0,2.0,11.0,,1.0,1.0,135.0,4.0,3.0,199.0,893.0,14.0,6.0,,,20.0,27.0,2.0,6.0,4.0,,0.0,1.0,5.0,22.0,79.0,4.0,7551,7.0,254.0,1.0,10.0,,272.0,3.0,1.0,7.0,35.0,11.0,1.0,4.0,4.0,14.0,2.0,3.0,1.0,52.0,642.0,10.0,4.0,1.0,12.0,79.0,,1.0,0.0,,2.0,2.0,,3.0,,,1.0,0.0,4.0,3.0,1.0,64.9,19.0,5.0,3.0,4.0,7.0,58.0,6.0,,721.0,15.0,14.0,17.0,5.0,29.0,1.0,4.0,466.0,8.0,33.0,6.0,180.0,28.0,3.0,,2.0,15.0,18.0,3.0,12.0,,6.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,360804,2012-04-14 12:45:00,"Carrow Road, Norwich",26812,Away,Manchester City,Norwich City,6,1,W,2,0,0,0,1.0,3.0,72.0,,2.0,5.0,20.0,39.0,7.0,6.0,1.0,4.0,176.0,4.0,18.0,6.0,1.0,19.0,,,11.0,152.0,162.0,55.0,,23.0,2.0,2.0,5.0,,4.0,2.0,,4.0,2.0,1.0,13.0,2.0,19.0,,16.0,4.0,26.0,38.0,281.0,,,2.0,0.0,182.0,5.0,1.0,,,1.0,,,1.0,82.0,49.0,15.0,80.0,1.0,9.0,,1.0,2.0,139.0,2.0,8.0,149.0,789.0,14.0,7.0,,2.0,20.0,26.0,6.0,24.0,4.0,,2.0,6.0,4.0,14.0,66.0,5.0,7551,8.0,195.0,1.0,7.0,1.0,214.0,4.0,1.0,9.0,30.0,23.0,4.0,6.0,6.0,10.0,8.0,1.0,1.0,42.0,472.0,10.0,6.0,1.0,19.0,84.0,,1.0,0.0,,2.0,3.0,3.0,4.0,,1.0,3.0,0.0,2.0,2.0,1.0,52.6,11.0,3.0,2.0,6.0,7.0,47.0,5.0,1.0,557.0,15.0,14.0,20.0,5.0,26.0,2.0,,356.0,15.0,24.0,5.0,138.0,33.0,5.0,6.0,7.0,22.0,19.0,3.0,22.0,6.0,5.0,,,,1.0,1.0,3.0,,1.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
35,360818,2012-04-22 16:00:00,"Molineux Stadium, Wolverhampton",24576,Away,Manchester City,Wolverhampton Wanderers,2,0,W,1,0,0,0,,2.0,66.0,1.0,2.0,2.0,22.0,35.0,5.0,3.0,,3.0,168.0,2.0,10.0,2.0,1.0,14.0,3.0,4.0,5.0,116.0,140.0,49.0,,17.0,2.0,4.0,3.0,,2.0,,,1.0,1.0,2.0,16.0,,18.0,,22.0,4.0,12.0,30.0,221.0,,1.0,,0.0,143.0,12.0,2.0,,,1.0,2.0,1.0,1.0,65.0,64.0,8.0,67.0,5.0,12.0,,,1.0,127.0,4.0,2.0,112.0,662.0,11.0,1.0,,,12.0,29.0,,19.0,2.0,,1.0,1.0,6.0,23.0,63.0,7.0,7551,7.0,166.0,3.0,10.0,1.0,183.0,2.0,4.0,6.0,34.0,12.0,4.0,3.0,1.0,5.0,4.0,2.0,1.0,46.0,385.0,6.0,4.0,1.0,22.0,85.0,,,0.0,,2.0,7.0,1.0,2.0,,,,0.0,1.0,2.0,1.0,48.2,19.0,6.0,2.0,3.0,4.0,44.0,4.0,1.0,463.0,10.0,11.0,23.0,8.0,23.0,1.0,5.0,296.0,13.0,12.0,8.0,104.0,23.0,1.0,4.0,11.0,25.0,15.0,3.0,15.0,4.0,4.0,2.0,1.0,,,,3.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,360821,2012-04-30 20:00:00,"Etihad Stadium, Manchester",47259,Home,Manchester City,Manchester United,1,0,W,1,0,0,0,2.0,,52.0,,,4.0,25.0,29.0,4.0,8.0,,,164.0,1.0,14.0,1.0,2.0,15.0,1.0,2.0,3.0,102.0,170.0,58.0,,15.0,1.0,8.0,2.0,1.0,2.0,,2.0,,1.0,3.0,26.0,,13.0,,16.0,7.0,19.0,29.0,248.0,1.0,1.0,,0.0,162.0,11.0,,1.0,,,,2.0,1.0,84.0,85.0,8.0,76.0,3.0,19.0,,1.0,1.0,157.0,1.0,4.0,107.0,690.0,13.0,8.0,,,18.0,21.0,5.0,7.0,1.0,2.0,3.0,3.0,7.0,26.0,49.0,2.0,7551,3.0,131.0,1.0,16.0,,143.0,,4.0,8.0,57.0,5.0,1.0,3.0,,17.0,1.0,4.0,,46.0,378.0,14.0,1.0,1.0,20.0,85.0,1.0,1.0,0.0,,,8.0,,1.0,,,3.0,0.0,,1.0,1.0,52.5,24.0,,3.0,3.0,5.0,54.0,8.0,2.0,449.0,16.0,27.0,19.0,7.0,16.0,1.0,4.0,332.0,6.0,18.0,12.0,128.0,25.0,,6.0,3.0,18.0,11.0,3.0,24.0,6.0,8.0,,1.0,1.0,,,3.0,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,360836,2012-05-06 13:30:00,"St. James' Park, Newcastle",52389,Away,Manchester City,Newcastle United,2,0,W,0,0,0,0,2.0,1.0,77.0,,1.0,1.0,23.0,27.0,8.0,9.0,1.0,4.0,170.0,3.0,10.0,2.0,4.0,16.0,1.0,1.0,8.0,138.0,163.0,46.0,2.0,21.0,4.0,7.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,20.0,,12.0,2.0,15.0,4.0,23.0,37.0,256.0,2.0,1.0,1.0,0.0,165.0,8.0,2.0,2.0,,2.0,1.0,2.0,,69.0,54.0,9.0,58.0,1.0,16.0,2.0,,3.0,151.0,4.0,8.0,135.0,715.0,12.0,5.0,,,18.0,36.0,3.0,16.0,2.0,1.0,3.0,7.0,7.0,15.0,61.0,3.0,7551,7.0,161.0,4.0,11.0,1.0,183.0,1.0,2.0,7.0,45.0,9.0,3.0,2.0,2.0,9.0,7.0,3.0,1.0,41.0,414.0,12.0,4.0,2.0,22.0,75.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,,,2.0,0.0,2.0,2.0,1.0,56.3,12.0,4.0,2.0,2.0,5.0,42.0,6.0,,501.0,13.0,21.0,24.0,8.0,25.0,1.0,6.0,338.0,11.0,20.0,4.0,121.0,32.0,,3.0,7.0,20.0,16.0,3.0,16.0,3.0,6.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
38,360841,2012-05-13 15:00:00,"Etihad Stadium, Manchester",48000,Home,Manchester City,Queens Park Rangers,3,2,W,1,0,0,1,4.0,2.0,56.0,1.0,1.0,11.0,40.0,5.0,16.0,12.0,,5.0,194.0,12.0,7.0,3.0,5.0,32.0,1.0,,15.0,232.0,145.0,34.0,4.0,44.0,8.0,2.0,10.0,,3.0,,4.0,2.0,3.0,2.0,67.0,,13.0,2.0,3.0,16.0,20.0,17.0,537.0,2.0,,,0.0,369.0,4.0,1.0,,4.0,,3.0,1.0,,125.0,155.0,24.0,80.0,4.0,52.0,4.0,,18.0,143.0,5.0,2.0,204.0,938.0,24.0,3.0,3.0,,11.0,20.0,,3.0,3.0,4.0,1.0,,8.0,30.0,69.0,,7551,11.0,126.0,3.0,33.0,2.0,132.0,2.0,1.0,,29.0,3.0,1.0,3.0,2.0,2.0,1.0,,1.0,45.0,651.0,6.0,1.0,5.0,4.0,54.0,,,0.0,,3.0,,,3.0,,,1.0,0.0,6.0,2.0,4.0,81.3,29.0,7.0,6.0,3.0,19.0,45.0,19.0,,710.0,9.0,15.0,13.0,10.0,93.0,7.0,3.0,645.0,27.0,19.0,6.0,326.0,26.0,1.0,,2.0,15.0,27.0,3.0,14.0,,19.0,,1.0,1.0,,,7.0,,1.0,,,,2.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,27.0,3.0,17.0,76.0,645.0,704.0,10.0
