gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,penaltySave,attFreekickTotal,cleanSheet,attSvLowLeft,freekickTotal,attLgCentre,attMissHighLeft,penaltyConceded,overrun,attHdTotal,attHdMiss,penaltyFaced,attIboxMiss,attIboxBlocked,attCmissRight,attBxRight,postScoringAtt,goodHighClaim,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,attMissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attFreekickPost,attCmissHigh,clearanceOffLine,attFreekickMiss,bigChanceScored,attGoalLowRight,goalAssistSetplay,goals,goalAssistOpenplay,goalFastbreak,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attPenGoal,attIboxGoal,forwardGoals,attHdGoal,goalAssistDeadball,sixYardBlock,attSetpiece,defenderGoals,goalAssistIntentional,attGoalLowLeft,attOboxGoal,attLfGoal,attSvHighRight,attGoalLowCentre,accuratePullBack,attIboxPost,attHdPost,errorLeadToShot,ownGoals,attIboxOwnGoal,punches,attGoalHighRight,secondYellow,penGoalsConceded,attPostLeft,attCmissHighLeft,attCmissHighRight,foulThrowIn,attObxLeft,attSvHighLeft,attGoalHighLeft,attFreekickTarget,attPostRight,attFreekickGoal,attPenTarget,attLgRight
29,360752,2012-03-17 15:00:00,"Craven Cottage, London",25690,Away,Swansea City,Fulham,3,0,W,1,0,0,0,,,71.0,3.0,51.0,24.0,2.0,,2.0,187.0,3.0,3.0,1.0,9.0,5.0,187.0,148.0,44.0,10.0,1.0,7.0,2.0,,,1.0,2.0,15.0,17.0,,13.0,2.0,51.0,48.0,218.0,,0.0,101.0,7.0,2.0,,1.0,55.0,98.0,6.0,137.0,,13.0,3.0,1.0,137.0,5.0,189.0,880.0,6.0,5.0,23.0,30.0,1.0,9.0,,0.0,4.0,3.0,13.0,47.0,1.0,,88821,3.0,398.0,9.0,420.0,,12.0,37.0,2.0,2.0,6.0,8.0,11.0,5.0,78.0,613.0,8.0,6.0,,15.0,101.0,,1.0,0.0,6.0,2.0,,1.0,0.0,3.0,,61.9,12.0,5.0,,6.0,2.0,62.0,2.0,700.0,18.0,14.0,26.0,3.0,14.0,295.0,9.0,49.0,8.0,74.0,28.0,,3.0,25.0,,10.0,3.0,6.0,,,2.0,,,,1.0,,,,,,3.0,1.0,,,2.0,1.0,,1.0,,3.0,4.0,1.0,,,,1.0,1.0,,,,3.0,,,,,,1.0,2.0,,3.0,3.0,,,3.0,,3.0,2.0,3.0,,2.0,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
30,360767,2012-03-24 15:00:00,"Liberty Stadium, Swansea",20509,Home,Swansea City,Everton,0,2,L,0,0,0,0,1.0,,58.0,1.0,38.0,27.0,7.0,,1.0,143.0,5.0,5.0,1.0,8.0,1.0,159.0,141.0,46.0,11.0,2.0,12.0,1.0,,,,2.0,17.0,13.0,,13.0,3.0,34.0,41.0,234.0,1.0,0.0,123.0,10.0,2.0,,1.0,54.0,88.0,3.0,111.0,1.0,14.0,6.0,5.0,127.0,8.0,141.0,739.0,8.0,2.0,19.0,28.0,4.0,12.0,,1.0,3.0,5.0,27.0,61.0,3.0,,88821,1.0,246.0,7.0,277.0,,10.0,36.0,5.0,1.0,3.0,14.0,7.0,6.0,56.0,475.0,11.0,2.0,,8.0,68.0,,,0.0,3.0,2.0,2.0,,0.0,5.0,,62.0,22.0,2.0,1.0,3.0,3.0,49.0,3.0,554.0,15.0,11.0,22.0,7.0,16.0,294.0,10.0,33.0,12.0,93.0,24.0,2.0,8.0,18.0,1.0,9.0,3.0,6.0,,2.0,3.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,1.0,2.0,,2.0,3.0,,,,,3.0,2.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,360776,2012-04-01 16:00:00,"White Hart Lane, London",36174,Away,Swansea City,Tottenham Hotspur,1,3,L,0,1,0,0,1.0,1.0,59.0,2.0,27.0,17.0,7.0,1.0,,169.0,7.0,11.0,1.0,8.0,2.0,164.0,146.0,49.0,11.0,3.0,3.0,,,,,2.0,16.0,17.0,1.0,11.0,5.0,50.0,32.0,189.0,1.0,0.0,90.0,12.0,4.0,,,60.0,79.0,5.0,118.0,,11.0,2.0,2.0,140.0,13.0,158.0,805.0,5.0,1.0,15.0,25.0,,6.0,,0.0,2.0,3.0,27.0,32.0,1.0,,88821,2.0,346.0,9.0,374.0,,8.0,57.0,1.0,2.0,6.0,12.0,7.0,5.0,40.0,528.0,10.0,11.0,2.0,6.0,79.0,,1.0,0.0,7.0,4.0,3.0,,0.0,4.0,1.0,59.3,26.0,4.0,,6.0,5.0,48.0,6.0,609.0,9.0,20.0,15.0,4.0,7.0,251.0,8.0,48.0,6.0,68.0,26.0,5.0,3.0,22.0,2.0,6.0,3.0,22.0,,5.0,7.0,,,1.0,,,1.0,,,,1.0,2.0,2.0,,2.0,2.0,,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,,1.0,3.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
32,360787,2012-04-06 16:30:00,"Liberty Stadium, Swansea",19874,Home,Swansea City,Newcastle United,0,2,L,0,1,0,0,,1.0,62.0,1.0,68.0,8.0,11.0,5.0,6.0,211.0,4.0,14.0,3.0,15.0,8.0,256.0,134.0,38.0,19.0,1.0,7.0,1.0,,,2.0,1.0,26.0,10.0,7.0,6.0,5.0,55.0,36.0,477.0,1.0,0.0,215.0,10.0,,,1.0,101.0,182.0,9.0,164.0,3.0,21.0,8.0,3.0,132.0,3.0,281.0,1081.0,13.0,2.0,17.0,18.0,,5.0,,1.0,1.0,6.0,26.0,78.0,,,88821,5.0,362.0,12.0,373.0,,5.0,38.0,5.0,,2.0,17.0,2.0,5.0,72.0,835.0,8.0,5.0,2.0,5.0,83.0,,1.0,0.0,,,2.0,1.0,0.0,2.0,,77.0,26.0,5.0,1.0,2.0,5.0,74.0,7.0,912.0,10.0,10.0,23.0,6.0,17.0,565.0,11.0,54.0,3.0,168.0,38.0,,4.0,13.0,2.0,15.0,2.0,20.0,,,7.0,,,2.0,,2.0,2.0,,,,,3.0,2.0,,3.0,4.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,
33,360795,2012-04-11 20:00:00,"Kiyan Prince Foundation Stadium, London",17557,Away,Swansea City,Queens Park Rangers,0,3,L,0,1,0,0,2.0,,54.0,1.0,42.0,25.0,3.0,,2.0,162.0,7.0,5.0,3.0,8.0,2.0,134.0,147.0,37.0,11.0,1.0,3.0,,,,2.0,,24.0,14.0,2.0,13.0,8.0,32.0,34.0,198.0,1.0,0.0,106.0,9.0,1.0,,3.0,30.0,80.0,6.0,108.0,,16.0,3.0,,135.0,9.0,135.0,732.0,4.0,4.0,13.0,30.0,4.0,11.0,,0.0,4.0,2.0,23.0,57.0,,2.0,88821,6.0,279.0,10.0,301.0,,9.0,38.0,,1.0,6.0,19.0,9.0,2.0,58.0,470.0,10.0,10.0,4.0,16.0,75.0,,,0.0,6.0,2.0,3.0,2.0,0.0,3.0,,59.8,20.0,1.0,,6.0,6.0,47.0,9.0,539.0,10.0,9.0,20.0,3.0,17.0,262.0,7.0,30.0,6.0,77.0,16.0,4.0,6.0,16.0,1.0,6.0,3.0,12.0,,4.0,9.0,,,,,,,,,,3.0,2.0,2.0,,3.0,5.0,,1.0,,,,1.0,,,1.0,2.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
34,360807,2012-04-14 15:00:00,"Liberty Stadium, Swansea",18985,Home,Swansea City,Blackburn Rovers,3,0,W,2,0,0,0,,1.0,59.0,,33.0,20.0,9.0,4.0,5.0,160.0,5.0,9.0,5.0,17.0,8.0,173.0,142.0,44.0,22.0,2.0,2.0,3.0,,,1.0,3.0,30.0,13.0,3.0,10.0,7.0,43.0,39.0,242.0,2.0,0.0,132.0,8.0,,,4.0,68.0,93.0,8.0,95.0,1.0,23.0,3.0,4.0,132.0,5.0,184.0,810.0,13.0,3.0,13.0,18.0,2.0,9.0,,0.0,,9.0,25.0,64.0,,,68815,7.0,312.0,16.0,337.0,1.0,6.0,34.0,,2.0,9.0,16.0,3.0,3.0,50.0,549.0,13.0,5.0,2.0,6.0,64.0,,2.0,0.0,3.0,2.0,,2.0,0.0,2.0,,73.2,23.0,3.0,1.0,9.0,4.0,47.0,7.0,612.0,10.0,12.0,20.0,10.0,16.0,305.0,15.0,40.0,3.0,109.0,31.0,1.0,2.0,19.0,,17.0,3.0,16.0,,1.0,7.0,,,1.0,1.0,2.0,1.0,,,,2.0,2.0,2.0,,5.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,,1.0,1.0,3.0,,1.0,,,,1.0,,3.0,2.0,,,2.0,,2.0,1.0,2.0,,3.0,,,,1.0,,,2.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,
35,360812,2012-04-21 15:00:00,"University of Bolton Stadium, Bolton",25401,Away,Swansea City,Bolton Wanderers,1,1,D,1,1,0,0,,2.0,67.0,1.0,27.0,42.0,10.0,7.0,1.0,151.0,4.0,12.0,2.0,19.0,4.0,121.0,162.0,48.0,26.0,4.0,10.0,2.0,,,1.0,,28.0,8.0,1.0,21.0,10.0,29.0,18.0,207.0,3.0,0.0,119.0,8.0,1.0,,1.0,36.0,88.0,11.0,79.0,2.0,18.0,5.0,4.0,141.0,6.0,129.0,717.0,17.0,4.0,16.0,24.0,12.0,16.0,,1.0,4.0,8.0,18.0,52.0,2.0,,88821,4.0,207.0,12.0,224.0,,10.0,36.0,4.0,5.0,8.0,18.0,4.0,5.0,45.0,410.0,19.0,5.0,1.0,27.0,74.0,,1.0,0.0,8.0,,1.0,2.0,0.0,,4.0,61.9,14.0,2.0,4.0,8.0,13.0,47.0,10.0,480.0,7.0,8.0,8.0,9.0,18.0,284.0,18.0,27.0,3.0,91.0,30.0,4.0,8.0,14.0,1.0,22.0,2.0,17.0,,4.0,10.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,4.0,9.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,,1.0,,3.0,4.0,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,4.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,
36,360825,2012-04-28 15:00:00,"Liberty Stadium, Swansea",19408,Home,Swansea City,Wolverhampton Wanderers,4,4,D,4,2,0,0,,3.0,69.0,,24.0,30.0,3.0,3.0,,159.0,3.0,11.0,,8.0,7.0,111.0,142.0,46.0,11.0,,5.0,1.0,,,1.0,,12.0,14.0,2.0,18.0,2.0,28.0,21.0,164.0,,0.0,96.0,8.0,1.0,,,61.0,51.0,6.0,108.0,,10.0,4.0,,130.0,12.0,138.0,690.0,5.0,5.0,10.0,29.0,5.0,10.0,,2.0,3.0,2.0,15.0,49.0,2.0,,88821,4.0,272.0,6.0,296.0,,7.0,33.0,3.0,1.0,10.0,11.0,5.0,2.0,53.0,433.0,8.0,4.0,,25.0,82.0,,,0.0,6.0,2.0,4.0,2.0,0.0,3.0,,55.0,10.0,3.0,3.0,10.0,2.0,41.0,2.0,516.0,7.0,12.0,11.0,2.0,12.0,232.0,5.0,28.0,7.0,63.0,22.0,3.0,6.0,20.0,4.0,11.0,2.0,15.0,,3.0,2.0,,,,,1.0,,,1.0,,,3.0,1.0,,1.0,2.0,,1.0,1.0,4.0,,1.0,,1.0,1.0,,,,,,5.0,,,,,,1.0,3.0,,4.0,3.0,,,3.0,,3.0,2.0,4.0,,3.0,1.0,2.0,,,,,3.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,
37,360835,2012-05-06 16:00:00,"Old Trafford, Manchester",75496,Away,Swansea City,Manchester United,0,2,L,0,2,0,0,,4.0,57.0,2.0,30.0,45.0,9.0,7.0,2.0,143.0,1.0,3.0,1.0,11.0,6.0,96.0,148.0,37.0,13.0,3.0,10.0,2.0,,,1.0,1.0,12.0,17.0,4.0,27.0,3.0,11.0,25.0,110.0,1.0,0.0,68.0,6.0,3.0,,,26.0,41.0,7.0,74.0,,9.0,2.0,2.0,130.0,18.0,89.0,627.0,11.0,4.0,21.0,29.0,6.0,16.0,,0.0,11.0,4.0,22.0,35.0,,,88821,2.0,220.0,7.0,254.0,,12.0,51.0,4.0,,4.0,8.0,10.0,4.0,50.0,329.0,12.0,9.0,,24.0,61.0,,2.0,0.0,16.0,3.0,2.0,1.0,0.0,1.0,,40.2,18.0,1.0,,4.0,3.0,38.0,3.0,402.0,20.0,19.0,14.0,4.0,10.0,160.0,6.0,10.0,2.0,45.0,18.0,5.0,10.0,20.0,2.0,11.0,3.0,10.0,,5.0,3.0,,,1.0,,2.0,1.0,,1.0,,,,,,2.0,,,2.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,1.0,,,,
38,360845,2012-05-13 15:00:00,"Liberty Stadium, Swansea",20605,Home,Swansea City,Liverpool,1,0,W,0,0,0,0,,,64.0,1.0,59.0,20.0,4.0,1.0,3.0,168.0,2.0,8.0,2.0,9.0,4.0,163.0,146.0,34.0,13.0,2.0,5.0,2.0,1.0,,1.0,1.0,17.0,14.0,1.0,15.0,5.0,49.0,38.0,208.0,1.0,0.0,108.0,7.0,2.0,1.0,,77.0,85.0,7.0,99.0,,12.0,5.0,1.0,141.0,7.0,176.0,809.0,5.0,4.0,11.0,24.0,6.0,7.0,,1.0,3.0,2.0,29.0,55.0,1.0,,68815,5.0,326.0,7.0,350.0,,12.0,36.0,2.0,1.0,5.0,22.0,6.0,8.0,79.0,532.0,5.0,4.0,3.0,15.0,73.0,1.0,1.0,0.0,5.0,4.0,,1.0,0.0,,,62.4,28.0,3.0,1.0,5.0,5.0,46.0,6.0,606.0,9.0,15.0,21.0,4.0,13.0,273.0,11.0,47.0,2.0,77.0,32.0,2.0,7.0,19.0,,7.0,2.0,15.0,,2.0,6.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,3.0,3.0,,2.0,,,3.0,1.0,,,1.0,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
