element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
30,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,73,60072,135400,65113,5041,219847,Kai,Havertz
30,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,73,60072,135400,65113,5041,219847,Kai,Havertz
31,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,64,16944,93999,29937,12993,205651,Gabriel,Fernando de Jesus
31,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,25,0,0,0,1,0,0,0,1,0,0,0,-1,0.0,1.7,4.0,0.5,0,3,0,3,0,0.00,0.01,0.01,0.17,64,16944,93999,29937,12993,205651,Gabriel,Fernando de Jesus
266,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,45,0,0,0,0,0,0,0,0,0,0,0,4,1.2,2.3,2.0,0.6,2,0,0,2,1,0.00,0.02,0.02,0.41,72,-10875,1010740,18174,29049,232413,Eberechi,Eze
266,310,20,1,False,2026-02-18T20:00:00Z,2,2,26,False,25,0,0,0,1,0,0,0,0,0,0,0,3,0.0,2.0,4.0,0.6,0,1,0,1,0,0.20,0.01,0.21,0.17,72,-10875,1010740,18174,29049,232413,Eberechi,Eze
662,252,5,4,False,2026-02-12T20:00:00Z,1,1,26,False,90,0,0,0,1,0,0,0,0,0,0,0,13,29.4,2.8,0.0,3.2,10,5,3,13,1,0.00,0.01,0.01,1.51,53,162,17365,497,335,500040,Cristhian,Mosquera
662,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,162,17365,497,335,500040,Cristhian,Mosquera
666,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,90,0,0,0,1,0,0,0,1,0,0,0,2,2.2,15.3,6.0,2.4,1,1,0,2,1,0.00,0.41,0.41,1.51,88,482757,1806438,497352,14595,224117,Viktor,Gyökeres
666,310,20,2,False,2026-02-18T20:00:00Z,2,2,26,False,64,0,0,0,1,0,0,0,0,0,0,0,7,2.4,10.7,2.0,1.5,1,0,0,1,1,0.00,0.01,0.01,0.12,88,482757,1806438,497352,14595,224117,Viktor,Gyökeres
