gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accurateCross,attFreekickTotal,attMissLeft,attMissHighRight,cleanSheet,goodHighClaim,freekickTotal,hitWoodwork,attMissHighLeft,accurateFreekickCross,attBxCentre,bigChanceMissed,attSetpiece,attAssistSetplay,accurateCrossNocorner,attHdTotal,attHdMiss,totalHighClaim,attFreekickMiss,accurateCornersIntobox,attIboxMiss,attLfTarget,attLfGoal,goals,attIboxTarget,attObxLeft,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOneOnOne,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,bigChanceCreated,attHdPost,attHdTarget,goalAssist,accurateThroughBall,sixYardBlock,totalPullBack,goalsOpenplay,attFastbreak,attGoalHighLeft,attSvLowRight,attCmissLeft,attPostHigh,bigChanceScored,attGoalLowCentre,accuratePullBack,contentiousDecision,attRfGoal,attIboxGoal,foulThrowIn,forwardGoals,errorLeadToGoal,attGoalLowRight,punches,attHdGoal,attGoalHighRight,attPostLeft,goalAssistIntentional,attSvHighCentre,attGoalLowLeft,goalFastbreak,attSvHighRight,attFreekickPost,attOboxPost,attObxRight,attPostRight,attLgCentre,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,attCmissHigh,attLgRight,ownGoals,attIboxOwnGoal,penaltyWon,attPenGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,attFreekickGoal,secondYellow
28,695174,2014-03-01 15:00:00,"The MKM Stadium, Hull",24903,Away,Newcastle United,Hull City,4,1,W,2,0,0,0,,,51.0,,3.0,25.0,54.0,7.0,6.0,2.0,1.0,165.0,9.0,4.0,9.0,1.0,7.0,85.0,150.0,67.0,17.0,1.0,27.0,1.0,12.0,12.0,2.0,54.0,2.0,9.0,27.0,177.0,0.0,135.0,10.0,1.0,,2.0,44.0,62.0,6.0,74.0,,3.0,10.0,10.0,2.0,4.0,150.0,10.0,87.0,636.0,,7.0,18.0,8.0,301.0,19.0,10.0,36.0,1.0,2.0,2.0,3.0,25.0,394.0,82.0,,92170,138.0,6.0,158.0,4.0,10.0,11.0,61.0,,3.0,5.0,11.0,3.0,7.0,1.0,49.0,313.0,10.0,3.0,37.0,88.0,0.0,2.0,6.0,2.0,1.0,9.0,0.0,,51.6,24.0,4.0,2.0,5.0,4.0,42.0,3.0,411.0,8.0,10.0,11.0,6.0,14.0,265.0,11.0,9.0,37.0,87.0,18.0,4.0,36.0,12.0,1.0,13.0,1.0,20.0,4.0,4.0,3.0,2.0,1.0,2.0,,,1.0,1.0,,,,3.0,,,1.0,,,,1.0,,2.0,2.0,2.0,,4.0,1.0,,4.0,,,1.0,1.0,,1.0,,5.0,,3.0,,,,1.0,,1.0,1.0,4.0,4.0,,1.0,1.0,,3.0,3.0,1.0,,4.0,4.0,,1.0,1.0,,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,695186,2014-03-25 19:45:00,"St. James' Park, Newcastle",47622,Home,Newcastle United,Everton,0,3,L,0,1,0,0,,,64.0,,5.0,38.0,23.0,4.0,6.0,3.0,2.0,169.0,14.0,1.0,11.0,1.0,2.0,133.0,141.0,58.0,16.0,2.0,14.0,2.0,27.0,18.0,1.0,23.0,7.0,4.0,39.0,229.0,0.0,158.0,8.0,1.0,1.0,,56.0,80.0,5.0,74.0,1.0,2.0,20.0,13.0,4.0,1.0,141.0,7.0,116.0,709.0,,9.0,8.0,14.0,404.0,32.0,5.0,11.0,2.0,0.0,1.0,6.0,25.0,475.0,67.0,,92170,195.0,16.0,206.0,2.0,13.0,2.0,63.0,3.0,2.0,3.0,14.0,1.0,2.0,3.0,51.0,418.0,8.0,15.0,19.0,77.0,0.0,2.0,8.0,3.0,3.0,3.0,0.0,,54.7,24.0,4.0,2.0,3.0,7.0,53.0,9.0,492.0,14.0,15.0,24.0,7.0,20.0,313.0,8.0,4.0,13.0,115.0,23.0,2.0,11.0,23.0,3.0,13.0,3.0,26.0,2.0,5.0,9.0,6.0,,1.0,,,1.0,,,1.0,,7.0,2.0,,2.0,4.0,2.0,2.0,1.0,,2.0,6.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,695193,2014-03-15 15:00:00,"Craven Cottage, London",25664,Away,Newcastle United,Fulham,0,1,L,0,0,0,0,1.0,,62.0,1.0,4.0,29.0,30.0,3.0,5.0,2.0,3.0,156.0,11.0,5.0,10.0,,3.0,112.0,175.0,71.0,12.0,,20.0,3.0,33.0,20.0,1.0,30.0,7.0,20.0,36.0,188.0,0.0,139.0,6.0,1.0,1.0,3.0,48.0,79.0,6.0,64.0,1.0,1.0,26.0,17.0,12.0,2.0,175.0,4.0,108.0,694.0,,10.0,12.0,9.0,330.0,19.0,8.0,17.0,3.0,0.0,3.0,4.0,29.0,424.0,73.0,1.0,92170,160.0,11.0,180.0,1.0,17.0,11.0,54.0,2.0,1.0,12.0,15.0,8.0,7.0,1.0,63.0,339.0,11.0,7.0,30.0,97.0,0.0,3.0,9.0,1.0,1.0,6.0,0.0,2.0,61.1,25.0,5.0,1.0,12.0,4.0,54.0,7.0,440.0,9.0,15.0,16.0,5.0,28.0,293.0,5.0,18.0,26.0,82.0,24.0,4.0,17.0,22.0,,11.0,3.0,19.0,4.0,9.0,7.0,9.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,7.0,3.0,,,9.0,1.0,1.0,3.0,1.0,,3.0,,,,2.0,,,1.0,,,1.0,,1.0,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
31,695207,2014-03-22 15:00:00,"St. James' Park, Newcastle",51588,Home,Newcastle United,Crystal Palace,1,0,W,0,0,0,0,,,64.0,,1.0,40.0,25.0,8.0,9.0,1.0,2.0,212.0,9.0,3.0,15.0,,8.0,201.0,151.0,54.0,21.0,4.0,24.0,,26.0,12.0,1.0,25.0,8.0,27.0,45.0,358.0,0.0,189.0,4.0,1.0,,,63.0,91.0,9.0,96.0,1.0,2.0,18.0,24.0,2.0,3.0,151.0,5.0,203.0,942.0,,14.0,6.0,11.0,613.0,31.0,4.0,13.0,,0.0,2.0,6.0,26.0,699.0,70.0,,92170,273.0,16.0,291.0,2.0,24.0,10.0,64.0,6.0,1.0,8.0,10.0,3.0,10.0,4.0,56.0,625.0,8.0,6.0,12.0,94.0,0.0,2.0,5.0,1.0,,1.0,0.0,1.0,72.7,26.0,3.0,2.0,8.0,5.0,72.0,9.0,712.0,11.0,17.0,24.0,8.0,19.0,447.0,9.0,25.0,21.0,143.0,22.0,2.0,13.0,17.0,,18.0,3.0,23.0,2.0,11.0,9.0,6.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,7.0,3.0,,,5.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,,1.0,6.0,,1.0,2.0,,1.0,6.0,,1.0,,1.0,,,3.0,,,1.0,4.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
32,695216,2014-03-29 15:00:00,"St. Mary's Stadium, Southampton",31360,Away,Newcastle United,Southampton,0,4,L,0,1,0,0,1.0,,58.0,1.0,,26.0,17.0,3.0,1.0,7.0,2.0,146.0,13.0,1.0,4.0,1.0,2.0,109.0,149.0,41.0,5.0,2.0,13.0,1.0,18.0,12.0,,17.0,3.0,22.0,37.0,183.0,0.0,102.0,6.0,6.0,1.0,,66.0,56.0,3.0,97.0,,1.0,15.0,21.0,5.0,1.0,149.0,17.0,91.0,631.0,,3.0,9.0,12.0,342.0,19.0,7.0,9.0,1.0,1.0,2.0,1.0,22.0,427.0,55.0,1.0,92170,176.0,10.0,202.0,1.0,21.0,11.0,52.0,5.0,,1.0,11.0,6.0,3.0,,50.0,354.0,5.0,8.0,22.0,80.0,0.0,2.0,7.0,6.0,4.0,4.0,0.0,1.0,47.5,21.0,2.0,,1.0,2.0,46.0,5.0,443.0,12.0,17.0,20.0,1.0,17.0,259.0,4.0,18.0,9.0,64.0,33.0,3.0,9.0,14.0,3.0,2.0,3.0,21.0,3.0,11.0,5.0,5.0,1.0,,,,2.0,1.0,,,,1.0,,,1.0,3.0,,,2.0,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,695227,2014-04-05 15:00:00,"St. James' Park, Newcastle",52081,Home,Newcastle United,Manchester United,0,4,L,0,1,0,0,1.0,,55.0,,,17.0,25.0,7.0,5.0,,2.0,143.0,5.0,,10.0,1.0,4.0,79.0,129.0,45.0,14.0,2.0,12.0,2.0,23.0,10.0,,25.0,2.0,17.0,29.0,157.0,0.0,99.0,16.0,,1.0,1.0,35.0,62.0,5.0,63.0,,3.0,21.0,13.0,6.0,5.0,129.0,6.0,93.0,569.0,,9.0,14.0,18.0,290.0,18.0,5.0,15.0,2.0,1.0,,5.0,21.0,359.0,48.0,,92170,151.0,14.0,164.0,6.0,13.0,9.0,46.0,1.0,,2.0,12.0,2.0,5.0,1.0,38.0,303.0,5.0,7.0,24.0,78.0,0.0,4.0,5.0,,4.0,5.0,0.0,1.0,43.6,18.0,1.0,2.0,2.0,2.0,43.0,4.0,378.0,18.0,9.0,15.0,8.0,16.0,237.0,7.0,13.0,17.0,62.0,28.0,4.0,15.0,18.0,3.0,12.0,2.0,9.0,4.0,9.0,4.0,5.0,,2.0,1.0,,,,,1.0,1.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,,,,3.0,1.0,,,4.0,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,695236,2014-04-12 15:07:00,"bet365 Stadium, Stoke",27400,Away,Newcastle United,Stoke City,0,1,L,0,1,0,0,1.0,,58.0,1.0,3.0,26.0,25.0,6.0,5.0,2.0,1.0,183.0,14.0,,9.0,,1.0,112.0,144.0,64.0,13.0,2.0,27.0,,20.0,13.0,1.0,25.0,5.0,22.0,47.0,179.0,0.0,116.0,11.0,1.0,,2.0,44.0,47.0,4.0,76.0,,3.0,15.0,18.0,5.0,3.0,144.0,6.0,101.0,698.0,,9.0,13.0,11.0,375.0,35.0,13.0,14.0,,1.0,2.0,5.0,30.0,458.0,65.0,,92170,211.0,8.0,231.0,3.0,18.0,8.0,56.0,5.0,1.0,3.0,18.0,4.0,7.0,3.0,56.0,386.0,12.0,5.0,30.0,78.0,0.0,2.0,4.0,1.0,1.0,6.0,0.0,2.0,51.1,27.0,3.0,2.0,3.0,5.0,48.0,5.0,472.0,11.0,14.0,18.0,7.0,29.0,261.0,6.0,21.0,19.0,72.0,15.0,5.0,14.0,19.0,,10.0,3.0,17.0,5.0,10.0,5.0,4.0,,,1.0,,1.0,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,4.0,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
35,695247,2014-04-19 15:00:00,"St. James' Park, Newcastle",51057,Home,Newcastle United,Swansea City,1,2,L,1,1,0,0,,,71.0,,1.0,22.0,32.0,6.0,5.0,,2.0,185.0,5.0,1.0,12.0,1.0,4.0,84.0,161.0,66.0,14.0,,23.0,4.0,18.0,14.0,2.0,32.0,2.0,16.0,38.0,193.0,0.0,160.0,6.0,,3.0,1.0,60.0,44.0,5.0,78.0,2.0,5.0,16.0,18.0,7.0,4.0,161.0,4.0,93.0,664.0,,10.0,29.0,25.0,314.0,29.0,13.0,11.0,4.0,2.0,4.0,7.0,16.0,420.0,81.0,1.0,92170,141.0,8.0,154.0,2.0,18.0,6.0,52.0,5.0,1.0,3.0,17.0,6.0,6.0,,49.0,328.0,9.0,7.0,37.0,98.0,0.0,1.0,8.0,,2.0,10.0,0.0,,47.2,15.0,4.0,,3.0,1.0,52.0,2.0,440.0,25.0,9.0,17.0,9.0,27.0,304.0,7.0,13.0,30.0,91.0,28.0,4.0,11.0,24.0,2.0,11.0,3.0,13.0,4.0,13.0,2.0,6.0,,3.0,,,2.0,,,1.0,,8.0,,2.0,1.0,5.0,2.0,1.0,2.0,,1.0,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
36,695251,2014-04-28 20:00:00,"Emirates Stadium, London",60023,Away,Newcastle United,Arsenal,0,3,L,0,2,0,0,,,55.0,,,27.0,38.0,5.0,3.0,5.0,2.0,151.0,13.0,3.0,8.0,1.0,3.0,91.0,127.0,56.0,8.0,1.0,15.0,,16.0,14.0,1.0,38.0,,15.0,22.0,141.0,0.0,71.0,8.0,2.0,1.0,3.0,44.0,56.0,4.0,62.0,2.0,1.0,16.0,14.0,6.0,3.0,127.0,17.0,90.0,601.0,,8.0,6.0,12.0,307.0,26.0,5.0,23.0,1.0,2.0,3.0,4.0,25.0,373.0,36.0,,92170,178.0,7.0,195.0,3.0,7.0,7.0,49.0,4.0,2.0,3.0,10.0,3.0,2.0,1.0,54.0,316.0,8.0,6.0,27.0,69.0,0.0,1.0,14.0,5.0,3.0,1.0,0.0,,38.5,23.0,4.0,,3.0,1.0,38.0,,394.0,12.0,7.0,13.0,4.0,22.0,215.0,5.0,13.0,18.0,39.0,20.0,5.0,23.0,18.0,3.0,8.0,3.0,27.0,5.0,7.0,,3.0,,,2.0,,2.0,,,,,2.0,1.0,,,3.0,,,2.0,,,1.0,1.0,,,2.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,6.0,,,,
37,695267,2014-05-03 15:00:00,"St. James' Park, Newcastle",50239,Home,Newcastle United,Cardiff City,3,0,W,1,0,0,0,,1.0,57.0,,5.0,23.0,37.0,9.0,2.0,2.0,2.0,142.0,12.0,3.0,17.0,,6.0,103.0,135.0,69.0,22.0,6.0,29.0,1.0,24.0,17.0,,37.0,6.0,18.0,32.0,194.0,0.0,120.0,9.0,2.0,,1.0,61.0,48.0,13.0,58.0,,,18.0,10.0,5.0,3.0,135.0,12.0,106.0,641.0,,11.0,15.0,15.0,320.0,30.0,6.0,18.0,1.0,1.0,6.0,4.0,22.0,396.0,55.0,1.0,92170,143.0,12.0,155.0,2.0,10.0,14.0,65.0,2.0,,1.0,7.0,4.0,7.0,,45.0,330.0,6.0,12.0,23.0,93.0,0.0,4.0,6.0,3.0,,6.0,0.0,,53.8,17.0,2.0,2.0,1.0,11.0,53.0,10.0,409.0,15.0,9.0,19.0,5.0,17.0,278.0,16.0,15.0,29.0,81.0,20.0,,18.0,22.0,,12.0,3.0,19.0,,9.0,10.0,7.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,,,5.0,,1.0,4.0,4.0,3.0,,1.0,,3.0,2.0,,,3.0,3.0,,1.0,4.0,,1.0,,,1.0,,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,,2.0,1.0,,1.0,,,3.0,1.0,,,1.0,3.0,,2.0,,,2.0,2.0,,,2.0,,2.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
38,695274,2014-05-11 15:00:00,"Anfield, Liverpool",44724,Away,Newcastle United,Liverpool,1,2,L,1,0,2,0,,1.0,59.0,1.0,2.0,23.0,26.0,3.0,2.0,3.0,1.0,112.0,9.0,1.0,5.0,,2.0,87.0,126.0,45.0,8.0,1.0,13.0,,12.0,18.0,,26.0,2.0,9.0,23.0,110.0,0.0,64.0,16.0,2.0,,,35.0,46.0,3.0,53.0,3.0,1.0,10.0,9.0,4.0,2.0,126.0,6.0,81.0,515.0,,3.0,9.0,15.0,252.0,32.0,6.0,17.0,1.0,3.0,3.0,2.0,18.0,311.0,50.0,,97612,154.0,6.0,172.0,9.0,9.0,10.0,50.0,2.0,2.0,3.0,14.0,7.0,4.0,1.0,52.0,261.0,8.0,10.0,27.0,83.0,0.0,1.0,6.0,2.0,2.0,,2.0,1.0,33.8,11.0,,,3.0,3.0,40.0,2.0,333.0,15.0,8.0,11.0,3.0,15.0,173.0,4.0,9.0,10.0,34.0,13.0,2.0,17.0,19.0,2.0,6.0,3.0,16.0,2.0,7.0,2.0,3.0,1.0,1.0,,,2.0,1.0,,,,3.0,1.0,,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,1.0,2.0,,,2.0,,,2.0,,1.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
