gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attFreekickTotal,freekickTotal,contentiousDecision,goalAssist,outfielderBlock,expectedGoalsFreekick,errorLeadToShot,attObxdLeft,attCmissHigh,attemptsConcededObox,attAssistSetplay,goalAssistIntentional,attFreekickMiss,attLfTarget,attSvHighLeft,attMissHighLeft,sixYardBlock,accurateFlickOn,handBall,postScoringAtt,goalAssistOpenplay,hitWoodwork,attOboxPost,attSvHighCentre,attPostRight,forwardGoals,savedObox,foulThrowIn,attHdTarget,penaltyConceded,ptsDroppedWinningPos,attCmissRight,attIboxPost,attOneOnOne,penaltyWon,punches,attPostHigh,attCmissHighLeft,goalFastbreak,attSvHighRight,attPostLeft,attIboxOwnGoal,errorLeadToGoal,secondYellow,penaltyFaced,penGoalsConceded,attHdPost,goalAssistDeadball,attObxLeft,attFreekickTarget,clearanceOffLine,ptsGainedLosingPos,attFreekickPost,attCmissHighRight,attObxdRight
25,2562143,2026-02-07 17:30:00,"St. James' Park, Newcastle",52032.0,Home,Newcastle United,Brentford,2,3,L,1.0,2.0,0,0,0.0,58.0,0.0,1.0,1.0,1.7469,28.0,31.0,6.0,2.0,10.0,3.0,0.0,1.0,152.0,0.0,4.0,10.0,2.0,3.0,11.0,,4.0,100.0,127.0,59.0,16.0,3.0,16.0,1.0,1.0,1.0,,1.0,2.0,21.0,6.0,1.0,1.0,31.0,9.0,7.0,31.0,1.6254,189.0,1.0,,0.0,0.0,133.0,14.0,0.0,1.0,1.0,1.0,,1.0,,54.0,58.0,6.0,59.0,,4.0,13.0,10.0,6.0,0.0,0.0,7.0,2.0,127.0,2.0,6.0,0.0,117.0,624.0,,8.0,8.0,24.0,4.0,328.0,16.0,6.0,16.0,,2.0,5.0,1.27493,12.0,402.0,65.0,,,34.29,432422,6.0,166.0,3.0,5.0,1.0,184.0,8.0,118543.76,1.0,,6.0,4.0,49.0,0.0,,1.0,1.0,9.0,0.0,15.0,4.0,1.0,1.0,56.0,351.0,18.0,6.0,19.0,6.0,64.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.0,,2.0,3.0,0.0,2.0,,3.0,53.8,11.0,2.0,2.0,,10.0,4.0,36.0,9.0,,428.0,4.0,11.0,11.0,8.0,32.0,3.0,6.0,265.0,11.0,7.0,23.0,99.0,29.0,2.0,16.0,9.0,1.0,3.0,7.0,5.0,14.0,2.2434,2.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0432,1.0,,,5.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,2.0,,,1.0,3.0,4.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,
26,2562153,2026-02-10 19:30:00,"Tottenham Hotspur Stadium, London",59773.0,Away,Newcastle United,Tottenham Hotspur,2,1,W,1.0,0.0,0,0,0.0,46.0,0.0,1.0,8.0,1.5867,24.0,26.0,4.0,6.0,17.0,1.0,2.0,2.0,124.0,1.0,8.0,3.0,2.0,1.0,10.0,,5.0,85.0,130.0,57.0,21.0,1.0,12.0,2.0,1.0,1.0,,2.0,4.0,34.0,15.0,0.0,1.0,26.0,12.0,3.0,24.0,0.7275,168.0,1.0,,0.0,0.0,136.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,61.0,7.0,43.0,,1.0,22.0,16.0,4.0,0.0,0.0,6.0,2.0,130.0,,10.0,0.0,87.0,564.0,,7.0,1.0,53.0,3.0,264.0,22.0,8.0,18.0,,2.0,3.0,1.2353,14.0,316.0,53.0,1.0,,35.5,538207,10.0,117.0,2.0,15.0,5.0,129.0,10.0,115011.87,0.0,,8.0,7.0,48.0,0.0,1.0,1.0,2.0,4.0,1.0,19.0,1.0,1.0,0.0,45.0,277.0,13.0,9.0,14.0,9.0,45.0,1.0,0.0,0.0,,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,,6.0,47.2,12.0,3.0,4.0,1.0,5.0,9.0,29.0,12.0,2.0,339.0,3.0,8.0,12.0,7.0,36.0,5.0,5.0,244.0,9.0,2.0,18.0,98.0,12.0,1.0,18.0,23.0,0.0,1.0,7.0,5.0,11.0,2.4833,1.0,8.0,12.0,1.0,,,,1.0,1.0,8.0,,,,,6.0,2.0,1.0,,,,,3.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
27,2562160,2026-02-21 20:00:00,"Etihad Stadium, Manchester",52187.0,Away,Newcastle United,Manchester City,1,2,L,1.0,2.0,0,0,0.0,50.0,0.0,1.0,3.0,1.1039,27.0,18.0,5.0,2.0,8.0,5.0,1.0,4.0,123.0,0.0,4.0,3.0,1.0,2.0,10.0,,7.0,94.0,115.0,49.0,13.0,,13.0,5.0,1.0,1.0,1.0,3.0,3.0,13.0,10.0,0.0,1.0,18.0,3.0,5.0,25.0,1.8598,141.0,,,1.0,0.0,99.0,13.0,0.0,3.0,1.0,0.0,1.0,1.0,,47.0,61.0,10.0,58.0,2.0,1.0,10.0,11.0,5.0,0.0,0.0,3.0,3.0,115.0,,10.0,0.0,100.0,549.0,,8.0,5.0,20.0,8.0,293.0,14.0,5.0,8.0,1.0,5.0,1.0,0.532987,12.0,353.0,45.0,,1.0,36.05,538207,2.0,168.0,,6.0,4.0,182.0,5.0,112389.02,0.0,,5.0,7.0,61.0,0.0,3.0,1.0,5.0,10.0,0.0,7.0,2.0,,0.0,59.0,305.0,12.0,14.0,17.0,4.0,55.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,0.0,3.0,1.0,4.0,45.2,10.0,1.0,2.0,4.0,10.0,3.0,29.0,5.0,,375.0,8.0,11.0,13.0,3.0,22.0,1.0,1.0,206.0,7.0,4.0,16.0,65.0,24.0,,8.0,18.0,0.0,2.0,4.0,4.0,13.0,0.6235,,5.0,5.0,,1.0,1.0,1.0,,1.0,2.0,0.0313,,,,5.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,2562173,2026-02-28 15:00:00,"St. James' Park, Newcastle",52514.0,Home,Newcastle United,Everton,2,3,L,1.0,2.0,0,0,0.0,46.0,0.0,0.0,1.0,0.6783,10.0,11.0,10.0,6.0,7.0,2.0,0.0,1.0,213.0,1.0,4.0,12.0,2.0,2.0,10.0,,7.0,134.0,152.0,48.0,17.0,4.0,26.0,3.0,,1.0,1.0,3.0,1.0,30.0,5.0,0.0,2.0,11.0,6.0,14.0,24.0,2.8706,328.0,3.0,,1.0,0.0,227.0,15.0,0.0,2.0,,1.0,1.0,,,100.0,85.0,8.0,98.0,,,24.0,16.0,10.0,1.0,0.0,4.0,3.0,152.0,,5.0,1.0,142.0,782.0,,8.0,1.0,32.0,5.0,496.0,16.0,1.0,4.0,1.0,2.0,2.0,0.672999,27.0,568.0,67.0,,,33.74,449434,3.0,186.0,1.0,20.0,2.0,207.0,8.0,107670.36,2.0,3.0,6.0,4.0,80.0,0.0,,0.0,,4.0,2.0,16.0,3.0,1.0,0.0,31.0,510.0,7.0,12.0,10.0,3.0,59.0,,0.0,0.0,,,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,4.0,,2.0,66.1,24.0,1.0,5.0,2.0,4.0,4.0,46.0,7.0,,587.0,5.0,19.0,8.0,6.0,39.0,,3.0,410.0,9.0,14.0,16.0,182.0,21.0,,4.0,13.0,0.0,3.0,11.0,5.0,20.0,1.0288,,6.0,7.0,,,1.0,1.0,,2.0,1.0,0.0332,1.0,,1.0,4.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,1.0,
29,2562182,2026-03-04 20:15:00,"St. James' Park, Newcastle",52184.0,Home,Newcastle United,Manchester United,2,1,W,1.0,1.0,1,0,0.0,46.0,1.0,0.0,1.0,2.5331,32.0,30.0,4.0,2.0,8.0,4.0,1.0,1.0,136.0,1.0,5.0,4.0,2.0,4.0,8.0,,5.0,88.0,129.0,60.0,12.0,,20.0,2.0,2.0,2.0,,2.0,1.0,15.0,14.0,0.0,1.0,30.0,2.0,5.0,30.0,0.7237,149.0,1.0,,0.0,0.0,108.0,15.0,0.0,4.0,3.0,0.0,,3.0,,48.0,59.0,5.0,66.0,2.0,2.0,13.0,18.0,4.0,0.0,0.0,2.0,3.0,129.0,2.0,8.0,1.0,91.0,574.0,,5.0,11.0,23.0,9.0,280.0,24.0,5.0,17.0,,2.0,3.0,1.05676,21.0,354.0,48.0,,1.0,36.29,538207,1.0,147.0,2.0,8.0,1.0,164.0,6.0,109415.85,1.0,,9.0,12.0,53.0,0.0,,0.0,,1.0,1.0,14.0,4.0,2.0,1.0,74.0,291.0,16.0,7.0,29.0,1.0,67.0,2.0,0.0,0.0,,,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,,1.0,45.1,19.0,,2.0,2.0,1.0,1.0,29.0,2.0,,381.0,9.0,6.0,19.0,6.0,19.0,2.0,3.0,232.0,9.0,4.0,22.0,71.0,18.0,1.0,17.0,18.0,0.0,1.0,8.0,4.0,10.0,2.4822,1.0,9.0,2.0,1.0,,,,,1.0,5.0,,1.0,,1.0,6.0,2.0,,,1.0,,1.0,,2.0,,,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,
30,2562188,2026-03-14 17:30:00,"Stamford Bridge, London",39587.0,Away,Newcastle United,Chelsea,1,0,W,1.0,0.0,0,0,0.0,38.0,1.0,0.0,,1.4816,17.0,29.0,4.0,2.0,3.0,3.0,0.0,3.0,118.0,0.0,2.0,6.0,1.0,1.0,7.0,,5.0,80.0,108.0,47.0,7.0,1.0,16.0,1.0,1.0,,3.0,1.0,,12.0,9.0,0.0,3.0,29.0,1.0,4.0,24.0,0.4396,116.0,,1.0,0.0,0.0,104.0,10.0,0.0,2.0,1.0,0.0,,2.0,4.0,67.0,31.0,6.0,53.0,1.0,,11.0,13.0,4.0,0.0,0.0,2.0,,108.0,1.0,10.0,0.0,80.0,496.0,,5.0,2.0,12.0,7.0,250.0,17.0,3.0,16.0,3.0,2.0,1.0,0.684947,17.0,307.0,54.0,2.0,1.0,35.01,449434,2.0,145.0,,7.0,1.0,159.0,6.0,114327.07,1.0,,6.0,13.0,41.0,0.0,2.0,0.0,,5.0,1.0,11.0,4.0,1.0,0.0,51.0,259.0,9.0,5.0,16.0,,56.0,1.0,0.0,0.0,1.0,,0.0,0.0,,8.0,1.0,1.0,0.0,0.0,1.0,,1.0,32.9,13.0,1.0,4.0,,5.0,1.0,22.0,1.0,4.0,331.0,7.0,4.0,9.0,1.0,22.0,1.0,1.0,184.0,4.0,4.0,16.0,66.0,9.0,,16.0,16.0,0.0,0.0,6.0,3.0,13.0,1.406,,6.0,1.0,1.0,,,,,1.0,7.0,,1.0,,,12.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
31,2562202,2026-03-22 12:00:00,"St. James' Park, Newcastle",52253.0,Home,Newcastle United,Sunderland,1,2,L,1.0,0.0,0,0,0.0,45.0,1.0,0.0,1.0,0.5437,19.0,38.0,8.0,3.0,8.0,4.0,0.0,1.0,146.0,0.0,7.0,4.0,1.0,3.0,12.0,,4.0,94.0,125.0,53.0,16.0,3.0,13.0,1.0,2.0,,1.0,2.0,3.0,23.0,9.0,0.0,2.0,38.0,7.0,4.0,20.0,2.5376,143.0,,,0.0,0.0,108.0,8.0,0.0,2.0,2.0,0.0,,2.0,1.0,62.0,32.0,6.0,49.0,,1.0,16.0,17.0,8.0,0.0,0.0,10.0,3.0,125.0,1.0,11.0,0.0,114.0,612.0,,8.0,5.0,22.0,6.0,312.0,13.0,6.0,23.0,1.0,1.0,6.0,0.848887,19.0,376.0,49.0,,,33.9,232826,4.0,192.0,,4.0,,212.0,1.0,108467.9,1.0,,4.0,7.0,41.0,0.0,,0.0,1.0,4.0,1.0,14.0,3.0,3.0,0.0,57.0,328.0,19.0,5.0,28.0,4.0,63.0,2.0,0.0,0.0,,2.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,3.0,,4.0,59.9,18.0,2.0,3.0,2.0,4.0,4.0,33.0,9.0,1.0,403.0,6.0,7.0,10.0,8.0,34.0,4.0,4.0,214.0,9.0,4.0,17.0,72.0,25.0,2.0,23.0,13.0,0.0,2.0,7.0,6.0,14.0,1.2892,2.0,4.0,9.0,1.0,,2.0,2.0,,1.0,6.0,0.0827,,,1.0,6.0,3.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,
32,2562209,2026-04-12 14:00:00,"Selhurst Park, London",25141.0,Away,Newcastle United,Crystal Palace,1,2,L,1.0,0.0,0,0,0.0,52.0,1.0,0.0,2.0,1.2255,20.0,16.0,1.0,5.0,5.0,3.0,1.0,,168.0,0.0,1.0,8.0,1.0,3.0,4.0,,3.0,144.0,164.0,48.0,7.0,1.0,16.0,1.0,,1.0,2.0,1.0,1.0,20.0,4.0,0.0,1.0,16.0,4.0,7.0,36.0,3.2208,191.0,,,0.0,0.0,159.0,12.0,0.0,1.0,,0.0,,4.0,1.0,83.0,71.0,3.0,69.0,,,16.0,32.0,2.0,0.0,0.0,4.0,,164.0,1.0,9.0,0.0,161.0,728.0,,2.0,8.0,14.0,12.0,419.0,17.0,1.0,7.0,2.0,3.0,1.0,0.254065,28.0,518.0,64.0,,1.0,34.84,201666,3.0,247.0,1.0,8.0,2.0,268.0,5.0,114633.71,0.0,1.0,9.0,8.0,49.0,0.0,4.0,0.0,,7.0,1.0,12.0,5.0,,0.0,54.0,437.0,16.0,1.0,15.0,,69.0,,0.0,0.0,1.0,,0.0,0.0,,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,58.8,21.0,1.0,7.0,,7.0,3.0,39.0,4.0,1.0,542.0,12.0,12.0,14.0,1.0,34.0,,1.0,294.0,1.0,6.0,18.0,100.0,19.0,1.0,7.0,6.0,0.0,2.0,4.0,5.0,17.0,1.1348,1.0,9.0,4.0,1.0,,1.0,1.0,,1.0,3.0,0.0396,,,,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0
33,2562222,2026-04-18 15:00:00,"St. James' Park, Newcastle",52109.0,Home,Newcastle United,Bournemouth,1,2,L,0.0,1.0,0,0,0.0,43.0,0.0,1.0,5.0,1.124,22.0,25.0,1.0,5.0,11.0,1.0,0.0,1.0,161.0,0.0,5.0,7.0,1.0,2.0,5.0,,3.0,101.0,152.0,58.0,12.0,,24.0,2.0,1.0,1.0,,,1.0,19.0,8.0,0.0,,25.0,2.0,9.0,26.0,2.0121,177.0,1.0,,0.0,0.0,160.0,11.0,0.0,,1.0,0.0,1.0,2.0,,52.0,59.0,2.0,67.0,,,17.0,21.0,1.0,0.0,0.0,3.0,1.0,152.0,1.0,7.0,0.0,107.0,639.0,,4.0,4.0,41.0,2.0,328.0,14.0,2.0,11.0,,2.0,3.0,0.679516,22.0,410.0,66.0,,,35.82,449434,6.0,174.0,1.0,12.0,4.0,196.0,5.0,117954.81,1.0,1.0,10.0,12.0,67.0,0.0,,0.0,1.0,7.0,1.0,17.0,9.0,2.0,0.0,57.0,346.0,12.0,7.0,22.0,1.0,59.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,53.5,18.0,1.0,2.0,1.0,7.0,5.0,30.0,2.0,,436.0,2.0,13.0,15.0,4.0,26.0,2.0,3.0,259.0,6.0,7.0,24.0,108.0,20.0,1.0,11.0,15.0,0.0,2.0,7.0,5.0,19.0,1.5912,1.0,10.0,2.0,1.0,,,,1.0,,3.0,,,,,5.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,2562226,2026-04-25 17:30:00,"Emirates Stadium, London",60204.0,Away,Newcastle United,Arsenal,0,1,L,0.0,1.0,0,0,1.0,43.0,0.0,0.0,2.0,0.1023,18.0,21.0,7.0,1.0,6.0,3.0,0.0,2.0,166.0,0.0,4.0,3.0,0.0,4.0,10.0,,3.0,134.0,115.0,47.0,13.0,3.0,10.0,2.0,,,2.0,2.0,,18.0,7.0,0.0,1.0,21.0,2.0,4.0,34.0,0.8719,219.0,1.0,,0.0,0.0,138.0,10.0,0.0,1.0,,0.0,,3.0,1.0,31.0,87.0,6.0,82.0,1.0,2.0,16.0,18.0,7.0,0.0,0.0,4.0,3.0,115.0,2.0,6.0,0.0,104.0,664.0,,7.0,1.0,20.0,12.0,402.0,14.0,2.0,9.0,3.0,2.0,3.0,0.976543,11.0,464.0,63.0,1.0,,36.06,432422,4.0,200.0,2.0,9.0,2.0,221.0,4.0,116720.72,0.0,,12.0,8.0,38.0,0.0,2.0,0.0,1.0,6.0,0.0,9.0,3.0,2.0,0.0,48.0,415.0,13.0,5.0,15.0,2.0,60.0,,0.0,0.0,,,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,3.0,,3.0,54.8,7.0,,4.0,2.0,6.0,5.0,33.0,2.0,1.0,486.0,12.0,7.0,16.0,5.0,29.0,1.0,2.0,283.0,9.0,3.0,18.0,109.0,17.0,1.0,9.0,14.0,0.0,0.0,9.0,4.0,11.0,0.9999,1.0,12.0,2.0,,,,,,,5.0,,,,,5.0,2.0,,,,,,,1.0,2.0,,,,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,2562243,2026-05-02 15:00:00,"St. James' Park, Newcastle",52099.0,Home,Newcastle United,Brighton and Hove Albion,3,1,W,2.0,0.0,0,0,0.0,46.0,0.0,0.0,,4.2116,18.0,44.0,1.0,3.0,12.0,3.0,1.0,3.0,124.0,1.0,5.0,9.0,3.0,2.0,10.0,,6.0,41.0,115.0,53.0,13.0,1.0,10.0,3.0,3.0,3.0,1.0,1.0,1.0,13.0,9.0,1.0,,44.0,2.0,4.0,25.0,0.8955,69.0,2.0,,0.0,0.0,56.0,10.0,0.0,2.0,3.0,0.0,,2.0,1.0,30.0,31.0,6.0,29.0,,1.0,11.0,9.0,1.0,1.0,0.0,6.0,,115.0,5.0,10.0,1.0,43.0,436.0,,6.0,5.0,24.0,6.0,149.0,21.0,4.0,27.0,1.0,3.0,4.0,1.17059,13.0,209.0,24.0,1.0,1.0,35.93,200089,2.0,100.0,3.0,3.0,2.0,120.0,4.0,112116.6,0.0,,4.0,14.0,35.0,0.0,2.0,1.0,1.0,10.0,2.0,17.0,5.0,2.0,0.0,46.0,164.0,11.0,6.0,17.0,1.0,56.0,3.0,0.0,0.0,2.0,,0.0,0.0,2.0,10.0,3.0,3.0,1.0,0.0,4.0,3.0,2.0,32.3,11.0,1.0,3.0,3.0,11.0,1.0,27.0,2.0,1.0,237.0,6.0,6.0,14.0,6.0,19.0,1.0,6.0,130.0,8.0,4.0,22.0,35.0,9.0,1.0,27.0,11.0,2.0,1.0,9.0,4.0,14.0,3.1578,1.0,4.0,2.0,2.0,1.0,,,,3.0,3.0,,,,,3.0,1.0,2.0,,1.0,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
37,2562263,2026-05-17 17:30:00,"St. James' Park, Newcastle",,Home,Newcastle United,West Ham United,0,0,D,,,0,0,1.0,49.0,2.0,0.0,4.0,2.3304,19.0,14.0,6.0,4.0,9.0,7.0,1.0,3.0,173.0,1.0,4.0,6.0,3.0,1.0,14.0,1.0,7.0,124.0,146.0,48.0,15.0,2.0,15.0,2.0,2.0,1.0,,2.0,,18.0,17.0,0.0,2.0,14.0,5.0,12.0,33.0,0.7856,206.0,1.0,,1.0,0.0,163.0,8.0,0.0,2.0,2.0,1.0,,,2.0,57.0,58.0,12.0,84.0,1.0,,13.0,14.0,6.0,0.0,0.0,4.0,1.0,146.0,3.0,10.0,0.0,122.0,708.0,,10.0,1.0,43.0,8.0,392.0,22.0,1.0,8.0,,1.0,2.0,1.63223,27.0,475.0,52.0,3.0,,34.77,538207,4.0,212.0,,9.0,,237.0,4.0,119901.02,2.0,1.0,4.0,10.0,51.0,0.0,3.0,0.0,2.0,11.0,3.0,19.0,6.0,1.0,0.0,49.0,414.0,10.0,8.0,12.0,1.0,60.0,2.0,0.0,0.0,1.0,,0.0,0.0,,1.0,6.0,2.0,1.0,0.0,3.0,3.0,1.0,55.2,25.0,,4.0,4.0,11.0,6.0,32.0,9.0,2.0,503.0,8.0,13.0,17.0,2.0,35.0,1.0,1.0,284.0,10.0,12.0,8.0,124.0,12.0,,8.0,24.0,0.0,0.0,14.0,5.0,13.0,1.7325,,4.0,9.0,3.0,,,,,3.0,4.0,,1.0,,1.0,5.0,1.0,3.0,,1.0,,,1.0,,,,3.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
38,2562268,2026-05-24 16:00:00,"Craven Cottage, London",,Away,Newcastle United,Fulham,0,0,D,,,0,0,1.0,42.0,0.0,0.0,2.0,0.1642,18.0,19.0,3.0,1.0,4.0,4.0,0.0,2.0,158.0,0.0,2.0,2.0,0.0,2.0,6.0,,2.0,124.0,112.0,45.0,7.0,,12.0,1.0,,2.0,,2.0,,16.0,11.0,0.0,1.0,19.0,4.0,6.0,22.0,1.8292,182.0,1.0,,0.0,0.0,101.0,6.0,0.0,1.0,,0.0,,2.0,1.0,57.0,55.0,4.0,88.0,,2.0,12.0,13.0,3.0,0.0,0.0,2.0,2.0,112.0,,10.0,0.0,138.0,682.0,,5.0,,19.0,10.0,422.0,16.0,2.0,13.0,,2.0,2.0,0.383026,11.0,478.0,43.0,1.0,1.0,35.17,449434,1.0,265.0,,8.0,1.0,283.0,3.0,111308.8,0.0,,8.0,15.0,43.0,0.0,2.0,0.0,1.0,12.0,0.0,16.0,9.0,,0.0,45.0,445.0,13.0,10.0,9.0,1.0,68.0,,0.0,0.0,,,0.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,2.0,,1.0,55.1,10.0,1.0,2.0,1.0,12.0,2.0,44.0,6.0,1.0,508.0,10.0,9.0,9.0,3.0,26.0,,1.0,241.0,5.0,6.0,16.0,76.0,12.0,1.0,13.0,14.0,0.0,1.0,5.0,5.0,9.0,0.3085,1.0,8.0,6.0,,,,,,,6.0,,1.0,,,11.0,1.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
