gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,savedObox,saves,attBxRight,divingSave,interceptionsInBox,attMissHighLeft,attMissHigh,savedIbox,attSvHighCentre,clearanceOffLine,effectiveBlockedCross,blockedCross,bigChanceScored,attGoalLowRight,shotFastbreak,ptsGainedLosingPos,totalFastbreak,contentiousDecision,errorLeadToShot,attFastbreak,attGoalHighLeft,attFreekickGoal,punches,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,goalsConcededObox,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attFreekickMiss,attOneOnOne,attMissHighRight,attFreekickTarget,accurateFlickOn,attCmissHighRight,shieldBallOop,attGoalLowLeft,goalAssistSetplay,attLfGoal,attGoalLowCentre,attLgRight,goalFastbreak,midfielderGoals,subsGoals,attLgCentre,attHdGoal,errorLeadToGoal,penaltyWon,attFreekickPost,attPostLeft,attPenGoal,attOboxPost,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,attCmissHighLeft,attObxRight,goalAssistDeadball,attSvHighRight,penaltySave,ownGoals,attIboxOwnGoal
27,2293077,2023-03-12 16:30:00,"St. James' Park, Newcastle",52240,Home,Newcastle United,Wolverhampton Wanderers,2,1,W,1,0,0,0,2.0,10.0,52.0,4.0,20.0,20.0,6.0,4.0,13.0,3.0,117.0,5.0,5.0,13.0,2.0,4.0,11.0,,,8.0,60.0,127.0,48.0,2.0,19.0,4.0,11.0,4.0,,1.0,1.0,,23.0,6.0,,2.0,20.0,8.0,4.0,34.0,144.0,,,0.0,133.0,11.0,1.0,2.0,2.0,1.0,46.0,49.0,8.0,50.0,1.0,15.0,13.0,6.0,2.0,,3.0,,127.0,3.0,3.0,75.0,514.0,9.0,2.0,49.0,1.0,1.0,5.0,230.0,16.0,1.0,8.0,2.0,,1.0,,3.0,25.0,285.0,38.0,,1.0,98747,7.0,99.0,2.0,10.0,,2.0,116.0,7.0,,1.0,8.0,7.0,53.0,2.0,,,8.0,1.0,18.0,4.0,2.0,40.0,238.0,10.0,11.0,,6.0,5.0,44.0,,,0.0,3.0,3.0,2.0,0.0,3.0,2.0,4.0,42.1,21.0,1.0,4.0,2.0,8.0,8.0,25.0,10.0,1.0,302.0,5.0,12.0,19.0,3.0,39.0,2.0,2.0,209.0,11.0,4.0,12.0,99.0,24.0,1.0,8.0,13.0,10.0,3.0,21.0,8.0,10.0,,2.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,5.0,5.0,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,
28,2293087,2023-03-17 20:00:00,"The City Ground, Nottingham",29362,Away,Newcastle United,Nottingham Forest,2,1,W,1,1,0,0,,18.0,61.0,5.0,14.0,9.0,3.0,5.0,12.0,2.0,156.0,11.0,5.0,9.0,2.0,5.0,12.0,,,4.0,119.0,145.0,64.0,,15.0,1.0,13.0,2.0,,1.0,,,26.0,11.0,1.0,,9.0,6.0,4.0,33.0,179.0,,,0.0,146.0,9.0,,,1.0,1.0,44.0,74.0,8.0,47.0,1.0,20.0,15.0,3.0,,,4.0,2.0,145.0,2.0,2.0,127.0,622.0,10.0,2.0,36.0,,1.0,8.0,338.0,19.0,,4.0,1.0,,1.0,,4.0,15.0,423.0,54.0,,,98747,10.0,184.0,1.0,15.0,2.0,1.0,208.0,5.0,2.0,,6.0,7.0,39.0,1.0,,1.0,7.0,1.0,16.0,3.0,6.0,39.0,358.0,16.0,5.0,1.0,10.0,1.0,69.0,,,0.0,3.0,3.0,2.0,0.0,5.0,1.0,1.0,61.6,14.0,,6.0,1.0,7.0,6.0,38.0,7.0,1.0,449.0,8.0,5.0,12.0,5.0,46.0,,3.0,267.0,9.0,3.0,25.0,110.0,29.0,2.0,4.0,15.0,12.0,2.0,16.0,6.0,7.0,,1.0,2.0,,,,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,
29,2293097,2023-04-02 16:30:00,"St. James' Park, Newcastle",52268,Home,Newcastle United,Manchester United,2,0,W,0,0,0,0,1.0,16.0,65.0,6.0,19.0,8.0,6.0,4.0,16.0,1.0,134.0,8.0,8.0,11.0,2.0,3.0,20.0,,1.0,6.0,83.0,124.0,59.0,,22.0,1.0,8.0,3.0,,1.0,2.0,1.0,16.0,15.0,,1.0,8.0,5.0,2.0,43.0,157.0,1.0,,0.0,124.0,8.0,,,3.0,,41.0,58.0,12.0,41.0,3.0,11.0,21.0,6.0,,,,4.0,124.0,3.0,5.0,85.0,547.0,15.0,2.0,45.0,2.0,2.0,11.0,251.0,25.0,2.0,6.0,2.0,,0.0,2.0,8.0,26.0,324.0,34.0,1.0,2.0,98747,6.0,115.0,2.0,8.0,2.0,2.0,140.0,4.0,,,9.0,7.0,43.0,1.0,,1.0,4.0,1.0,11.0,1.0,4.0,41.0,264.0,12.0,9.0,3.0,6.0,4.0,47.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,5.0,2.0,8.0,45.7,22.0,2.0,9.0,1.0,5.0,7.0,28.0,7.0,,343.0,11.0,9.0,21.0,9.0,34.0,3.0,4.0,219.0,10.0,2.0,14.0,85.0,25.0,,6.0,22.0,16.0,4.0,20.0,9.0,7.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,1.0,,,,
30,2293101,2023-04-08 15:00:00,"Gtech Community Stadium, Brentford",17107,Away,Newcastle United,Brentford,2,1,W,0,1,0,0,,15.0,62.0,2.0,30.0,27.0,2.0,1.0,8.0,2.0,143.0,4.0,3.0,6.0,2.0,1.0,9.0,,1.0,4.0,114.0,113.0,55.0,,10.0,,23.0,3.0,1.0,1.0,1.0,2.0,14.0,10.0,1.0,,27.0,5.0,5.0,43.0,203.0,,1.0,0.0,141.0,15.0,,,1.0,3.0,51.0,72.0,6.0,60.0,1.0,9.0,12.0,2.0,,,3.0,1.0,113.0,1.0,10.0,96.0,586.0,5.0,3.0,15.0,1.0,,7.0,329.0,25.0,1.0,17.0,1.0,1.0,2.0,2.0,3.0,12.0,393.0,50.0,1.0,,98747,5.0,141.0,1.0,5.0,1.0,1.0,157.0,7.0,1.0,,5.0,6.0,62.0,4.0,,2.0,6.0,1.0,11.0,2.0,2.0,58.0,341.0,10.0,9.0,3.0,10.0,3.0,54.0,2.0,,0.0,,6.0,1.0,0.0,,1.0,3.0,59.0,12.0,2.0,4.0,,7.0,2.0,30.0,5.0,3.0,413.0,7.0,5.0,22.0,4.0,29.0,3.0,3.0,270.0,6.0,4.0,20.0,105.0,24.0,1.0,17.0,19.0,6.0,5.0,17.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,,,1.0,4.0,,,1.0,1.0,,,2.0,3.0,2.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,1.0,,
31,2293110,2023-04-15 12:30:00,"Villa Park, Birmingham",42055,Away,Newcastle United,Aston Villa,0,3,L,0,1,0,0,,19.0,59.0,2.0,16.0,13.0,2.0,2.0,6.0,2.0,137.0,6.0,3.0,10.0,,1.0,7.0,,1.0,2.0,86.0,125.0,52.0,,8.0,1.0,8.0,1.0,3.0,,,1.0,15.0,11.0,,1.0,13.0,2.0,5.0,41.0,125.0,,,0.0,108.0,15.0,,,2.0,1.0,30.0,72.0,4.0,40.0,2.0,13.0,18.0,2.0,,,3.0,,125.0,1.0,10.0,99.0,537.0,6.0,3.0,15.0,,,7.0,261.0,25.0,2.0,7.0,,3.0,1.0,3.0,3.0,18.0,340.0,43.0,,2.0,98747,2.0,161.0,1.0,8.0,,1.0,180.0,10.0,,1.0,12.0,6.0,50.0,2.0,,4.0,3.0,,11.0,6.0,6.0,45.0,283.0,13.0,9.0,1.0,8.0,1.0,58.0,,1.0,0.0,1.0,7.0,,0.0,3.0,,1.0,48.0,18.0,1.0,7.0,,3.0,3.0,29.0,2.0,1.0,362.0,7.0,7.0,15.0,3.0,28.0,,3.0,197.0,5.0,5.0,11.0,68.0,24.0,,7.0,18.0,6.0,5.0,21.0,12.0,2.0,,1.0,3.0,3.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,3.0,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
32,2293129,2023-04-23 14:00:00,"St. James' Park, Newcastle",52252,Home,Newcastle United,Tottenham Hotspur,6,1,W,5,0,0,0,,13.0,62.0,8.0,33.0,8.0,6.0,4.0,19.0,2.0,167.0,6.0,8.0,16.0,6.0,2.0,21.0,,,8.0,132.0,113.0,52.0,,25.0,4.0,4.0,2.0,1.0,4.0,,3.0,20.0,7.0,,,8.0,7.0,4.0,40.0,274.0,,1.0,0.0,160.0,7.0,,,2.0,,78.0,75.0,16.0,86.0,,13.0,26.0,6.0,,,4.0,1.0,113.0,5.0,8.0,131.0,705.0,13.0,3.0,42.0,,,6.0,426.0,16.0,,4.0,4.0,1.0,0.0,3.0,5.0,12.0,493.0,58.0,2.0,,98747,13.0,180.0,3.0,7.0,1.0,,194.0,4.0,6.0,,14.0,8.0,40.0,4.0,,2.0,7.0,6.0,12.0,3.0,5.0,50.0,446.0,13.0,12.0,4.0,4.0,5.0,67.0,2.0,,0.0,,3.0,5.0,0.0,4.0,2.0,6.0,57.0,12.0,3.0,5.0,,7.0,12.0,51.0,9.0,,516.0,6.0,8.0,25.0,5.0,35.0,4.0,4.0,342.0,15.0,4.0,10.0,121.0,33.0,5.0,4.0,13.0,20.0,5.0,25.0,14.0,9.0,,,2.0,4.0,,,1.0,1.0,2.0,,,2.0,2.0,4.0,3.0,2.0,,3.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
33,2293131,2023-04-27 19:45:00,"Goodison Park, Liverpool",39248,Away,Newcastle United,Everton,4,1,W,1,0,0,0,,29.0,70.0,3.0,30.0,14.0,5.0,3.0,10.0,3.0,175.0,15.0,3.0,10.0,4.0,1.0,10.0,,1.0,8.0,109.0,182.0,41.0,,15.0,1.0,11.0,3.0,1.0,2.0,1.0,,21.0,7.0,2.0,1.0,14.0,10.0,3.0,46.0,135.0,,1.0,0.0,126.0,6.0,,,1.0,,51.0,56.0,7.0,69.0,1.0,11.0,26.0,5.0,,1.0,4.0,2.0,182.0,1.0,6.0,99.0,671.0,7.0,3.0,32.0,1.0,,9.0,319.0,38.0,3.0,9.0,2.0,1.0,1.0,3.0,3.0,29.0,425.0,42.0,,,98747,4.0,206.0,,6.0,2.0,,252.0,2.0,3.0,,7.0,11.0,48.0,,,1.0,13.0,4.0,26.0,7.0,5.0,62.0,338.0,8.0,13.0,1.0,14.0,4.0,76.0,1.0,,0.0,1.0,3.0,3.0,0.0,2.0,1.0,3.0,60.4,25.0,,4.0,3.0,13.0,4.0,47.0,14.0,1.0,452.0,9.0,11.0,21.0,3.0,30.0,1.0,1.0,221.0,9.0,2.0,9.0,86.0,14.0,3.0,9.0,14.0,11.0,5.0,17.0,7.0,14.0,,3.0,4.0,,1.0,,,1.0,1.0,1.0,,3.0,3.0,3.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,4.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,
34,2293149,2023-04-30 14:00:00,"St. James' Park, Newcastle",52234,Home,Newcastle United,Southampton,3,1,W,0,1,0,0,1.0,19.0,70.0,6.0,32.0,7.0,4.0,8.0,18.0,1.0,186.0,7.0,10.0,16.0,3.0,3.0,18.0,,,5.0,114.0,164.0,61.0,,22.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,33.0,7.0,,1.0,7.0,9.0,4.0,41.0,222.0,,,0.0,180.0,7.0,,,2.0,,65.0,76.0,10.0,58.0,2.0,24.0,25.0,4.0,,1.0,5.0,1.0,164.0,3.0,3.0,140.0,715.0,13.0,3.0,56.0,1.0,2.0,9.0,392.0,19.0,2.0,2.0,1.0,1.0,1.0,,8.0,23.0,481.0,73.0,2.0,2.0,98747,10.0,196.0,3.0,17.0,2.0,3.0,210.0,4.0,2.0,1.0,11.0,2.0,54.0,15.0,,1.0,4.0,2.0,24.0,1.0,2.0,54.0,408.0,8.0,17.0,4.0,7.0,5.0,71.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,7.0,1.0,5.0,63.4,23.0,3.0,7.0,3.0,4.0,8.0,44.0,11.0,,498.0,9.0,13.0,20.0,9.0,46.0,3.0,6.0,321.0,9.0,4.0,21.0,130.0,40.0,,2.0,17.0,14.0,4.0,26.0,11.0,11.0,,,2.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,2.0,,,,1.0,1.0,,,2.0,2.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
35,2293155,2023-05-07 16:30:00,"St. James' Park, Newcastle",50267,Home,Newcastle United,Arsenal,0,2,L,0,1,0,0,,20.0,57.0,3.0,16.0,11.0,3.0,2.0,9.0,3.0,138.0,9.0,7.0,12.0,,3.0,12.0,1.0,,5.0,78.0,138.0,58.0,,12.0,,12.0,3.0,,,3.0,,21.0,9.0,,2.0,11.0,7.0,4.0,37.0,165.0,,,0.0,120.0,16.0,,,3.0,1.0,40.0,66.0,8.0,58.0,,14.0,16.0,3.0,,,4.0,1.0,138.0,2.0,9.0,121.0,600.0,9.0,4.0,34.0,2.0,2.0,8.0,298.0,22.0,,6.0,,,2.0,2.0,4.0,26.0,373.0,44.0,,1.0,98747,7.0,157.0,2.0,7.0,,2.0,183.0,6.0,,1.0,5.0,6.0,57.0,1.0,,,7.0,,13.0,2.0,4.0,42.0,315.0,11.0,6.0,3.0,9.0,3.0,50.0,2.0,,0.0,3.0,4.0,,0.0,3.0,,4.0,54.3,21.0,1.0,8.0,1.0,7.0,3.0,25.0,9.0,1.0,395.0,8.0,13.0,15.0,4.0,36.0,4.0,1.0,233.0,6.0,4.0,17.0,85.0,20.0,,6.0,18.0,7.0,5.0,22.0,5.0,9.0,,,5.0,,1.0,,,1.0,5.0,,,,,,,,,,1.0,,,,,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0
36,2293166,2023-05-13 12:30:00,"Elland Road, Leeds",36955,Away,Newcastle United,Leeds United,2,2,D,1,1,0,1,2.0,29.0,55.0,3.0,19.0,21.0,6.0,4.0,12.0,1.0,173.0,14.0,4.0,18.0,2.0,6.0,11.0,,,5.0,110.0,148.0,71.0,1.0,18.0,3.0,11.0,2.0,2.0,,2.0,4.0,16.0,12.0,,1.0,21.0,4.0,5.0,37.0,186.0,,,0.0,157.0,14.0,,1.0,2.0,2.0,37.0,75.0,7.0,52.0,,12.0,20.0,6.0,1.0,1.0,1.0,2.0,148.0,,8.0,117.0,674.0,7.0,7.0,37.0,,,13.0,345.0,18.0,3.0,7.0,,2.0,2.0,2.0,4.0,23.0,430.0,49.0,1.0,,98747,6.0,183.0,,9.0,1.0,1.0,210.0,11.0,2.0,2.0,8.0,6.0,50.0,1.0,,2.0,4.0,,20.0,1.0,6.0,38.0,365.0,14.0,3.0,4.0,11.0,4.0,46.0,,2.0,0.0,2.0,2.0,2.0,0.0,1.0,,4.0,63.9,21.0,3.0,3.0,3.0,4.0,6.0,29.0,6.0,2.0,452.0,13.0,8.0,20.0,7.0,37.0,3.0,5.0,258.0,10.0,5.0,18.0,112.0,29.0,2.0,7.0,21.0,10.0,3.0,33.0,8.0,6.0,,,2.0,1.0,2.0,,,3.0,2.0,,,,,2.0,,,1.0,,1.0,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,2.0,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,
37,2293175,2023-05-22 20:00:00,"St. James' Park, Newcastle",52152,Home,Newcastle United,Leicester City,0,0,D,0,0,0,0,,14.0,58.0,3.0,34.0,9.0,8.0,7.0,15.0,3.0,198.0,10.0,4.0,9.0,,1.0,14.0,,,4.0,203.0,137.0,39.0,,23.0,3.0,13.0,3.0,3.0,,2.0,2.0,33.0,2.0,,1.0,9.0,11.0,6.0,49.0,447.0,1.0,,0.0,277.0,9.0,,,1.0,,103.0,152.0,7.0,85.0,,23.0,18.0,8.0,,,9.0,4.0,137.0,1.0,1.0,216.0,877.0,12.0,4.0,47.0,1.0,3.0,4.0,620.0,19.0,1.0,6.0,,3.0,2.0,,7.0,19.0,694.0,79.0,1.0,,98747,5.0,185.0,3.0,13.0,1.0,,203.0,7.0,,,4.0,1.0,46.0,3.0,,1.0,7.0,,16.0,,1.0,47.0,628.0,5.0,7.0,2.0,6.0,7.0,67.0,,,0.0,,1.0,,0.0,2.0,,4.0,77.6,19.0,2.0,2.0,2.0,7.0,6.0,54.0,12.0,,702.0,4.0,12.0,35.0,13.0,58.0,3.0,6.0,532.0,12.0,5.0,19.0,234.0,30.0,,6.0,6.0,16.0,3.0,14.0,4.0,12.0,,,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,1.0,,,
38,2293183,2023-05-28 16:30:00,"Stamford Bridge, London",40130,Away,Newcastle United,Chelsea,1,1,D,1,1,0,0,3.0,12.0,44.0,2.0,13.0,28.0,5.0,7.0,8.0,,126.0,6.0,2.0,14.0,1.0,,8.0,,,4.0,74.0,102.0,42.0,,13.0,2.0,6.0,3.0,,1.0,1.0,2.0,11.0,6.0,,,28.0,3.0,5.0,25.0,103.0,,,0.0,85.0,11.0,,2.0,1.0,,33.0,36.0,6.0,49.0,1.0,8.0,14.0,5.0,,,1.0,2.0,102.0,2.0,14.0,80.0,532.0,7.0,,22.0,,1.0,8.0,255.0,24.0,,11.0,1.0,,0.0,9.0,2.0,16.0,308.0,30.0,,1.0,81441,3.0,173.0,1.0,6.0,,,190.0,7.0,1.0,,6.0,9.0,52.0,,,1.0,7.0,1.0,14.0,9.0,8.0,30.0,274.0,9.0,14.0,,7.0,1.0,45.0,,,0.0,,10.0,1.0,0.0,2.0,1.0,,35.6,14.0,,2.0,1.0,7.0,4.0,33.0,3.0,,329.0,8.0,10.0,14.0,5.0,20.0,,2.0,150.0,6.0,4.0,5.0,57.0,11.0,,11.0,14.0,12.0,5.0,25.0,6.0,3.0,,3.0,5.0,2.0,2.0,3.0,1.0,,2.0,,1.0,4.0,4.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0
