gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,attRfTarget,attBxRight,attOboxTarget,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,contentiousDecision,attHdTarget,errorLeadToShot,sixYardBlock,punches,attSvHighCentre,blockedScoringAtt,accurateCornersIntobox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,attOboxBlocked,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,cleanSheet,goodHighClaim,goalAssist,totalKeeperSweeper,attRfGoal,defenderGoals,goalsOpenplay,attAssistSetplay,attIboxGoal,goalAssistIntentional,totalHighClaim,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,clearanceOffLine,goalsConcededObox,midfielderGoals,attFreekickTotal,freekickTotal,hitWoodwork,attFreekickTarget,attFreekickMiss,ptsGainedLosingPos,postScoringAtt,attIboxPost,attOboxGoal,accurateFreekickCross,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attPostLeft,attOboxPost,accuratePullBack,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,foulThrowIn,attIboxOwnGoal,attGoalHighLeft,errorLeadToGoal,attLgCentre,secondYellow,attPostRight,penaltySave,goalFastbreak,attGoalHighRight,attFreekickGoal,attCorner,attCmissHighRight,attPenTarget,penaltyWon,attFreekickPost
27,919157,2018-02-11 14:15:00,"St. James' Park, Newcastle",52309,Home,Newcastle United,Manchester United,1,0,W,0,0,0,0,1.0,65.0,,21.0,47.0,6.0,3.0,3.0,149.0,1.0,9.0,1.0,7.0,3.0,86.0,148.0,63.0,10.0,19.0,1.0,,2.0,8.0,13.0,47.0,,19.0,37.0,126.0,0.0,123.0,12.0,3.0,,45.0,42.0,4.0,47.0,8.0,30.0,4.0,148.0,1.0,12.0,79.0,580.0,6.0,10.0,13.0,12.0,235.0,33.0,1.0,8.0,29.0,0.0,7.0,3.0,18.0,341.0,60.0,,77359,2.0,126.0,,4.0,3.0,149.0,7.0,,30.0,2.0,61.0,,1.0,2.0,2.0,12.0,1.0,2.0,,63.0,251.0,12.0,18.0,33.0,74.0,,,0.0,1.0,10.0,4.0,,4.0,0.0,1.0,,,35.9,14.0,,3.0,1.0,2.0,31.0,,361.0,12.0,8.0,17.0,5.0,15.0,1.0,220.0,4.0,17.0,24.0,69.0,23.0,2.0,29.0,20.0,,6.0,3.0,13.0,2.0,17.0,,,7.0,1.0,,1.0,,,2.0,7.0,4.0,1.0,,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,919163,2018-02-24 15:00:00,"Vitality Stadium, Bournemouth",10808,Away,Newcastle United,Bournemouth,2,2,D,2,0,0,0,2.0,66.0,1.0,25.0,50.0,6.0,7.0,3.0,171.0,1.0,7.0,3.0,7.0,4.0,56.0,163.0,69.0,15.0,23.0,1.0,2.0,2.0,7.0,15.0,50.0,1.0,13.0,43.0,117.0,0.0,108.0,10.0,2.0,,36.0,64.0,4.0,58.0,6.0,12.0,3.0,163.0,4.0,10.0,53.0,562.0,6.0,10.0,19.0,13.0,225.0,31.0,,9.0,31.0,4.0,4.0,3.0,17.0,309.0,64.0,1.0,77359,3.0,118.0,3.0,3.0,2.0,143.0,7.0,1.0,12.0,11.0,57.0,,4.0,4.0,,27.0,8.0,4.0,3.0,74.0,234.0,12.0,9.0,32.0,86.0,,1.0,0.0,,8.0,2.0,2.0,4.0,0.0,1.0,,,36.8,11.0,,3.0,1.0,,40.0,1.0,338.0,13.0,12.0,21.0,6.0,17.0,3.0,202.0,9.0,11.0,29.0,57.0,27.0,4.0,31.0,21.0,2.0,10.0,3.0,11.0,4.0,6.0,1.0,1.0,8.0,,,1.0,,2.0,1.0,8.0,3.0,,,,,,,5.0,,,2.0,1.0,,1.0,1.0,2.0,,4.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,2.0,,1.0,,,,,,2.0,2.0,,,1.0,,,,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,
29,919177,2018-03-03 17:30:00,"Anfield, Liverpool",53287,Away,Newcastle United,Liverpool,0,2,L,0,1,0,0,1.0,66.0,,18.0,18.0,2.0,1.0,1.0,145.0,2.0,23.0,,5.0,2.0,68.0,160.0,63.0,7.0,29.0,,,,7.0,7.0,18.0,2.0,6.0,34.0,95.0,0.0,73.0,9.0,,,53.0,38.0,3.0,40.0,5.0,9.0,2.0,160.0,,12.0,62.0,507.0,5.0,9.0,7.0,14.0,199.0,34.0,,5.0,11.0,0.0,8.0,2.0,22.0,291.0,50.0,,77359,1.0,115.0,,3.0,1.0,139.0,6.0,,9.0,9.0,71.0,,5.0,1.0,5.0,13.0,2.0,1.0,1.0,71.0,208.0,7.0,8.0,29.0,85.0,,,0.0,4.0,8.0,1.0,2.0,2.0,0.0,2.0,,1.0,29.1,18.0,1.0,,,5.0,28.0,3.0,315.0,14.0,12.0,10.0,2.0,14.0,1.0,183.0,4.0,5.0,21.0,35.0,23.0,2.0,11.0,12.0,2.0,4.0,3.0,37.0,2.0,8.0,3.0,,6.0,1.0,,2.0,1.0,4.0,1.0,6.0,1.0,,,,,,,3.0,,1.0,,,,,,,1.0,3.0,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,919189,2018-03-10 15:00:00,"St. James' Park, Newcastle",52246,Home,Newcastle United,Southampton,3,0,W,2,0,0,0,1.0,60.0,1.0,21.0,35.0,4.0,5.0,2.0,163.0,2.0,8.0,2.0,8.0,5.0,50.0,158.0,60.0,7.0,20.0,1.0,,1.0,9.0,10.0,35.0,2.0,8.0,37.0,100.0,0.0,93.0,10.0,2.0,2.0,33.0,59.0,5.0,36.0,7.0,17.0,3.0,158.0,3.0,3.0,56.0,499.0,3.0,12.0,13.0,16.0,178.0,22.0,,8.0,17.0,0.0,1.0,2.0,28.0,276.0,59.0,1.0,77359,3.0,90.0,1.0,2.0,,113.0,5.0,,17.0,14.0,54.0,1.0,1.0,1.0,3.0,16.0,3.0,5.0,1.0,80.0,188.0,9.0,10.0,37.0,87.0,1.0,1.0,0.0,1.0,6.0,1.0,,4.0,0.0,1.0,2.0,1.0,37.0,26.0,1.0,5.0,1.0,3.0,32.0,2.0,305.0,16.0,8.0,14.0,2.0,22.0,2.0,201.0,2.0,7.0,28.0,45.0,22.0,4.0,17.0,15.0,,6.0,3.0,14.0,4.0,10.0,2.0,,2.0,1.0,,1.0,1.0,,,2.0,,,,,,1.0,,,1.0,,2.0,2.0,1.0,3.0,,3.0,,,1.0,3.0,,,1.0,3.0,3.0,1.0,,,3.0,1.0,2.0,3.0,3.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,3.0,,2.0,,,,,,,,,1.0,,,,,,,
31,919201,2018-05-09 20:00:00,"Wembley Stadium, London",54923,Away,Newcastle United,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,59.0,2.0,33.0,22.0,3.0,10.0,6.0,155.0,8.0,7.0,1.0,11.0,3.0,65.0,153.0,62.0,14.0,18.0,3.0,1.0,3.0,16.0,15.0,22.0,3.0,9.0,29.0,113.0,0.0,113.0,8.0,4.0,,37.0,53.0,4.0,41.0,13.0,13.0,5.0,153.0,,8.0,58.0,496.0,9.0,14.0,21.0,3.0,195.0,28.0,,12.0,14.0,3.0,1.0,7.0,17.0,293.0,66.0,1.0,92170,7.0,106.0,,8.0,1.0,140.0,6.0,,13.0,6.0,49.0,,2.0,1.0,3.0,16.0,3.0,5.0,1.0,80.0,211.0,10.0,11.0,45.0,73.0,1.0,2.0,0.0,2.0,6.0,4.0,1.0,2.0,0.0,7.0,,4.0,37.1,11.0,3.0,1.0,,3.0,33.0,4.0,319.0,3.0,8.0,17.0,9.0,27.0,6.0,195.0,7.0,8.0,24.0,63.0,21.0,5.0,14.0,21.0,1.0,10.0,2.0,11.0,5.0,8.0,4.0,1.0,4.0,1.0,,,1.0,,3.0,4.0,2.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0
32,919209,2018-03-31 15:00:00,"St. James' Park, Newcastle",52261,Home,Newcastle United,Huddersfield Town,1,0,W,0,0,0,0,1.0,76.0,,31.0,27.0,5.0,10.0,,213.0,4.0,4.0,2.0,12.0,3.0,149.0,181.0,48.0,18.0,17.0,2.0,,4.0,17.0,11.0,27.0,2.0,25.0,40.0,238.0,0.0,150.0,9.0,,,82.0,72.0,6.0,72.0,15.0,22.0,8.0,181.0,3.0,1.0,148.0,793.0,10.0,8.0,22.0,15.0,456.0,30.0,1.0,4.0,13.0,1.0,2.0,6.0,30.0,566.0,79.0,2.0,77359,6.0,233.0,3.0,7.0,1.0,260.0,3.0,,22.0,4.0,55.0,1.0,2.0,3.0,1.0,23.0,3.0,4.0,2.0,68.0,467.0,10.0,6.0,27.0,93.0,2.0,1.0,0.0,,3.0,,,3.0,0.0,3.0,,,63.0,27.0,,8.0,1.0,1.0,60.0,3.0,582.0,15.0,9.0,19.0,9.0,24.0,5.0,339.0,13.0,22.0,18.0,86.0,35.0,3.0,13.0,16.0,,15.0,3.0,19.0,3.0,4.0,3.0,2.0,7.0,1.0,1.0,,,1.0,1.0,8.0,4.0,,,,,,,6.0,1.0,,1.0,1.0,,,,1.0,,4.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
33,919218,2018-04-07 15:00:00,"King Power Stadium, Leicester",32066,Away,Newcastle United,Leicester City,2,1,W,1,0,0,0,,59.0,,20.0,27.0,2.0,2.0,,139.0,2.0,4.0,3.0,5.0,4.0,49.0,154.0,48.0,8.0,31.0,2.0,,1.0,11.0,6.0,27.0,5.0,7.0,30.0,86.0,0.0,76.0,14.0,,,43.0,33.0,4.0,34.0,6.0,16.0,2.0,154.0,,6.0,50.0,447.0,2.0,11.0,5.0,14.0,150.0,32.0,,9.0,15.0,3.0,1.0,1.0,27.0,246.0,47.0,,77359,1.0,78.0,,4.0,,109.0,10.0,,16.0,11.0,63.0,1.0,2.0,3.0,,15.0,2.0,4.0,1.0,67.0,162.0,7.0,10.0,35.0,73.0,1.0,,0.0,,7.0,,1.0,3.0,0.0,1.0,2.0,2.0,33.7,19.0,,4.0,,,28.0,5.0,272.0,14.0,3.0,16.0,3.0,17.0,,174.0,4.0,7.0,24.0,39.0,18.0,5.0,15.0,13.0,1.0,5.0,3.0,10.0,5.0,4.0,5.0,,5.0,,,,,2.0,1.0,6.0,3.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,2.0,,,,2.0,2.0,,2.0,,2.0,1.0,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
34,919228,2018-04-15 13:30:00,"St. James' Park, Newcastle",52210,Home,Newcastle United,Arsenal,2,1,W,1,1,0,0,2.0,62.0,1.0,22.0,29.0,5.0,6.0,2.0,136.0,1.0,6.0,1.0,6.0,4.0,54.0,151.0,57.0,8.0,20.0,1.0,2.0,1.0,7.0,16.0,29.0,1.0,10.0,41.0,85.0,0.0,83.0,11.0,,1.0,37.0,29.0,6.0,44.0,6.0,12.0,,151.0,1.0,8.0,40.0,465.0,4.0,9.0,17.0,15.0,163.0,26.0,,6.0,10.0,1.0,4.0,,18.0,247.0,48.0,2.0,77359,3.0,89.0,,5.0,,117.0,7.0,,12.0,12.0,65.0,,3.0,1.0,3.0,14.0,7.0,3.0,1.0,66.0,173.0,8.0,9.0,26.0,67.0,,1.0,0.0,1.0,5.0,1.0,1.0,5.0,0.0,1.0,1.0,,28.2,15.0,,4.0,1.0,3.0,30.0,2.0,274.0,15.0,16.0,18.0,2.0,20.0,1.0,164.0,3.0,9.0,21.0,44.0,23.0,4.0,10.0,22.0,1.0,7.0,3.0,15.0,4.0,7.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,,,2.0,,1.0,,2.0,,,1.0,,1.0,,1.0,2.0,,,,2.0,,,,1.0,2.0,,2.0,,2.0,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
35,919237,2018-04-23 20:00:00,"Goodison Park, Liverpool",39061,Away,Newcastle United,Everton,0,1,L,0,0,0,0,,73.0,,26.0,30.0,3.0,5.0,,190.0,5.0,11.0,2.0,7.0,2.0,57.0,193.0,67.0,9.0,30.0,2.0,,1.0,23.0,13.0,30.0,5.0,6.0,34.0,108.0,0.0,111.0,11.0,,1.0,45.0,66.0,5.0,47.0,18.0,23.0,6.0,193.0,,7.0,68.0,570.0,6.0,7.0,25.0,13.0,221.0,37.0,1.0,11.0,23.0,1.0,3.0,2.0,26.0,342.0,65.0,,77359,3.0,127.0,1.0,11.0,,165.0,4.0,,23.0,5.0,61.0,1.0,4.0,1.0,4.0,20.0,2.0,,2.0,81.0,230.0,10.0,9.0,44.0,82.0,,1.0,0.0,2.0,4.0,,1.0,3.0,0.0,3.0,,1.0,43.5,19.0,,3.0,1.0,4.0,27.0,6.0,362.0,13.0,9.0,14.0,4.0,33.0,2.0,220.0,5.0,4.0,27.0,53.0,28.0,2.0,23.0,19.0,1.0,4.0,3.0,15.0,2.0,8.0,6.0,1.0,4.0,1.0,,,1.0,,,4.0,2.0,1.0,1.0,,,1.0,1.0,3.0,2.0,2.0,,,,,,,,2.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,919248,2018-04-28 15:00:00,"St. James' Park, Newcastle",52283,Home,Newcastle United,West Bromwich Albion,0,1,L,0,1,0,0,1.0,62.0,,30.0,15.0,6.0,9.0,1.0,194.0,11.0,9.0,3.0,14.0,2.0,150.0,172.0,71.0,17.0,21.0,1.0,,6.0,32.0,13.0,15.0,5.0,11.0,49.0,272.0,0.0,198.0,8.0,1.0,2.0,62.0,112.0,6.0,76.0,27.0,27.0,17.0,172.0,2.0,6.0,160.0,798.0,13.0,6.0,23.0,11.0,448.0,28.0,,5.0,7.0,1.0,1.0,8.0,27.0,556.0,85.0,2.0,77359,6.0,206.0,2.0,8.0,1.0,234.0,7.0,,27.0,9.0,58.0,,3.0,,2.0,15.0,3.0,7.0,,68.0,467.0,11.0,12.0,25.0,83.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,,0.0,8.0,,5.0,63.5,25.0,4.0,2.0,,2.0,43.0,5.0,580.0,11.0,12.0,26.0,9.0,50.0,5.0,378.0,5.0,11.0,28.0,141.0,29.0,,7.0,23.0,1.0,13.0,3.0,15.0,,15.0,5.0,2.0,8.0,,1.0,1.0,,,1.0,8.0,3.0,,1.0,1.0,1.0,,1.0,6.0,3.0,,,,,,,,,4.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
37,919261,2018-05-05 15:00:00,"Vicarage Road, Watford",20375,Away,Newcastle United,Watford,1,2,L,0,2,0,0,,64.0,,45.0,16.0,3.0,7.0,6.0,188.0,8.0,9.0,1.0,6.0,1.0,159.0,164.0,50.0,9.0,17.0,,,1.0,30.0,5.0,16.0,5.0,16.0,51.0,242.0,0.0,180.0,11.0,3.0,1.0,70.0,106.0,3.0,87.0,25.0,20.0,12.0,164.0,1.0,9.0,143.0,761.0,4.0,4.0,25.0,8.0,456.0,32.0,,3.0,8.0,1.0,2.0,3.0,25.0,558.0,65.0,1.0,92170,1.0,240.0,,12.0,1.0,261.0,6.0,1.0,20.0,3.0,44.0,,3.0,3.0,7.0,17.0,2.0,2.0,,77.0,474.0,9.0,2.0,21.0,77.0,,,0.0,3.0,2.0,6.0,2.0,1.0,0.0,5.0,,2.0,60.8,23.0,2.0,3.0,2.0,7.0,41.0,5.0,577.0,8.0,9.0,31.0,4.0,35.0,2.0,346.0,4.0,15.0,25.0,131.0,22.0,,8.0,8.0,2.0,7.0,3.0,14.0,,7.0,5.0,3.0,2.0,,1.0,,,,2.0,2.0,1.0,1.0,,,,1.0,,4.0,3.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,
38,919268,2018-05-13 15:00:00,"St. James' Park, Newcastle",52294,Home,Newcastle United,Chelsea,3,0,W,1,0,0,0,2.0,59.0,,23.0,10.0,4.0,6.0,2.0,135.0,1.0,6.0,1.0,10.0,6.0,100.0,137.0,45.0,16.0,25.0,1.0,1.0,5.0,15.0,10.0,10.0,2.0,12.0,44.0,179.0,0.0,132.0,11.0,2.0,2.0,70.0,69.0,6.0,67.0,13.0,20.0,3.0,137.0,2.0,4.0,104.0,585.0,8.0,1.0,15.0,18.0,306.0,25.0,,2.0,4.0,0.0,1.0,4.0,20.0,386.0,57.0,1.0,92170,3.0,138.0,1.0,8.0,1.0,159.0,6.0,,20.0,7.0,69.0,,2.0,,2.0,9.0,2.0,2.0,,63.0,316.0,9.0,15.0,27.0,63.0,1.0,4.0,0.0,2.0,2.0,2.0,,,0.0,1.0,,1.0,41.9,16.0,,5.0,,2.0,30.0,4.0,406.0,18.0,12.0,27.0,5.0,29.0,1.0,262.0,11.0,10.0,11.0,89.0,25.0,2.0,4.0,19.0,,15.0,3.0,12.0,2.0,14.0,4.0,1.0,9.0,1.0,,2.0,,2.0,,10.0,4.0,,,,,,1.0,5.0,,,2.0,1.0,,,2.0,3.0,,4.0,,1.0,,,1.0,,2.0,,2.0,,2.0,,3.0,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
