gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,accurateKeeperSweeper,attMissLeft,divingSave,attSvHighLeft,interceptionsInBox,attHdTarget,totalKeeperSweeper,attSetpiece,attAssistSetplay,punches,handBall,attLfGoal,attGoalLowCentre,attBxRight,freekickCross,sixYardBlock,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,forwardGoals,goalsConcededObox,attGoalLowLeft,contentiousDecision,attSvHighCentre,goalAssistOpenplay,midfielderGoals,attRfGoal,goalsOpenplay,attLgLeft,cleanSheet,attSvLowLeft,accurateFreekickCross,errorLeadToShot,attFreekickTarget,attCmissHighRight,errorLeadToGoal,attGoalLowRight,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,attFastbreak,foulThrowIn,attObxLeft,attOneOnOne,attGoalHighLeft,attSvHighRight,attLgCentre,penaltyWon,attPenGoal,accuratePullBack,attGoalHighCentre,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attObxdLeft,attPostRight,attPenMiss,goalFastbreak,attObxdRight
27,2210535,2022-02-26 15:00:00,"Selhurst Park, London",24203,Away,Burnley,Crystal Palace,1,1,D,0,1,0,0,,,33.0,67.0,1.0,,,32.0,22.0,3.0,2.0,2.0,3.0,,163.0,17.0,2.0,6.0,1.0,3.0,2.0,,1.0,76.0,173.0,48.0,,5.0,2.0,12.0,1.0,,,17.0,,5.0,,,22.0,4.0,3.0,39.0,149.0,1.0,0.0,106.0,16.0,1.0,51.0,72.0,1.0,50.0,,13.0,13.0,3.0,,5.0,1.0,173.0,,6.0,,75.0,,545.0,,10.0,8.0,,20.0,238.0,19.0,,14.0,10.0,,2.0,5.0,1.0,26.0,351.0,65.0,,98747,1.0,98.0,,6.0,120.0,13.0,13.0,5.0,51.0,1.0,,2.0,5.0,,14.0,5.0,2.0,1.0,77.0,245.0,5.0,10.0,41.0,3.0,92.0,0.0,2.0,5.0,2.0,1.0,,,1.0,2.0,0.0,1.0,,1.0,40.8,18.0,,7.0,,5.0,2.0,,45.0,4.0,1.0,364.0,20.0,,9.0,18.0,2.0,31.0,1.0,1.0,261.0,2.0,3.0,25.0,53.0,32.0,,10.0,12.0,,1.0,,3.0,10.0,,,7.0,4.0,,,,1.0,,1.0,1.0,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
28,2210542,2022-03-05 15:00:00,"Turf Moor, Burnley",19439,Home,Burnley,Chelsea,0,4,L,0,0,0,0,,,24.0,66.0,1.0,,,17.0,13.0,2.0,3.0,4.0,1.0,1.0,124.0,14.0,2.0,4.0,,2.0,3.0,,1.0,50.0,137.0,51.0,1.0,6.0,2.0,15.0,1.0,,,17.0,,11.0,,,13.0,3.0,3.0,37.0,120.0,,0.0,110.0,12.0,,39.0,65.0,2.0,53.0,,14.0,14.0,2.0,1.0,4.0,,137.0,,5.0,,58.0,,452.0,2.0,6.0,16.0,,9.0,184.0,27.0,,5.0,8.0,,2.0,6.0,1.0,14.0,269.0,57.0,,98747,2.0,76.0,1.0,8.0,94.0,6.0,14.0,2.0,49.0,,,1.0,4.0,,13.0,6.0,,2.0,49.0,194.0,7.0,9.0,21.0,,54.0,0.0,,2.0,,,,,4.0,,0.0,2.0,,1.0,27.4,11.0,1.0,10.0,1.0,4.0,3.0,,22.0,5.0,,285.0,9.0,,6.0,15.0,2.0,20.0,,2.0,208.0,2.0,3.0,15.0,59.0,23.0,3.0,8.0,25.0,,4.0,4.0,2.0,12.0,,3.0,6.0,5.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210552,2022-03-12 15:00:00,"Gtech Community Stadium, Brentford",16984,Away,Burnley,Brentford,0,2,L,0,0,1,0,1.0,,25.0,100.0,1.0,,,22.0,20.0,4.0,3.0,3.0,1.0,,188.0,14.0,4.0,1.0,,1.0,3.0,1.0,1.0,51.0,205.0,45.0,1.0,7.0,,24.0,,1.0,1.0,33.0,,9.0,,1.0,20.0,7.0,2.0,71.0,119.0,,0.0,135.0,10.0,2.0,35.0,80.0,,73.0,2.0,26.0,12.0,4.0,1.0,11.0,2.0,205.0,1.0,7.0,,61.0,,561.0,3.0,7.0,22.0,1.0,10.0,227.0,47.0,,5.0,8.0,,1.0,7.0,3.0,15.0,353.0,77.0,,98747,1.0,123.0,2.0,14.0,148.0,3.0,12.0,4.0,52.0,1.0,,4.0,2.0,,13.0,6.0,,,89.0,238.0,6.0,3.0,29.0,1.0,96.0,0.0,2.0,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,3.0,,1.0,45.1,9.0,1.0,7.0,2.0,2.0,1.0,1.0,29.0,9.0,2.0,373.0,10.0,1.0,6.0,17.0,5.0,45.0,1.0,2.0,258.0,3.0,1.0,23.0,65.0,38.0,,8.0,15.0,,2.0,5.0,1.0,11.0,,,6.0,9.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,
30,2210562,2022-04-21 19:45:00,"Turf Moor, Burnley",17384,Home,Burnley,Southampton,2,0,W,2,0,0,0,1.0,,20.0,66.0,1.0,1.0,1.0,27.0,24.0,5.0,6.0,11.0,4.0,2.0,151.0,9.0,6.0,10.0,2.0,1.0,13.0,,6.0,69.0,154.0,48.0,,16.0,2.0,12.0,3.0,1.0,2.0,21.0,1.0,8.0,,1.0,24.0,9.0,6.0,45.0,130.0,,0.0,113.0,7.0,1.0,57.0,67.0,9.0,58.0,1.0,12.0,23.0,5.0,,4.0,1.0,154.0,4.0,10.0,,76.0,1.0,543.0,8.0,5.0,30.0,1.0,6.0,234.0,25.0,1.0,2.0,17.0,2.0,2.0,4.0,4.0,23.0,337.0,49.0,,98747,8.0,120.0,5.0,7.0,146.0,4.0,23.0,6.0,41.0,,2.0,3.0,8.0,1.0,7.0,1.0,3.0,1.0,68.0,244.0,7.0,7.0,15.0,8.0,77.0,0.0,1.0,10.0,2.0,1.0,,,,,0.0,2.0,1.0,6.0,43.0,20.0,2.0,1.0,1.0,8.0,6.0,,29.0,10.0,1.0,354.0,6.0,,10.0,16.0,4.0,22.0,4.0,2.0,229.0,4.0,4.0,16.0,62.0,28.0,1.0,17.0,15.0,1.0,,8.0,3.0,15.0,,1.0,8.0,10.0,4.0,1.0,,,,,1.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,
31,2210572,2022-04-02 15:00:00,"Turf Moor, Burnley",20388,Home,Burnley,Manchester City,0,2,L,0,2,0,0,1.0,,20.0,43.0,2.0,,,26.0,22.0,1.0,1.0,2.0,4.0,,106.0,13.0,2.0,3.0,,2.0,3.0,,1.0,51.0,109.0,37.0,,3.0,,13.0,,,,7.0,,10.0,,1.0,22.0,1.0,1.0,48.0,72.0,,0.0,62.0,11.0,2.0,26.0,50.0,1.0,33.0,,6.0,25.0,1.0,,3.0,,109.0,,13.0,,45.0,,366.0,2.0,6.0,4.0,,7.0,145.0,15.0,,4.0,9.0,,1.0,3.0,2.0,9.0,208.0,35.0,,98747,2.0,89.0,,2.0,105.0,7.0,25.0,12.0,34.0,,,5.0,2.0,,15.0,5.0,9.0,,52.0,159.0,5.0,3.0,8.0,1.0,51.0,0.0,,8.0,2.0,,,,2.0,1.0,0.0,1.0,,2.0,23.3,8.0,2.0,4.0,,2.0,,,24.0,1.0,2.0,235.0,7.0,,6.0,25.0,2.0,8.0,1.0,2.0,137.0,,1.0,20.0,28.0,12.0,2.0,9.0,11.0,,2.0,2.0,3.0,4.0,,2.0,15.0,1.0,,,2.0,2.0,1.0,3.0,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2210588,2022-04-10 14:00:00,"Carrow Road, Norwich",26361,Away,Burnley,Norwich City,0,2,L,0,1,0,0,1.0,,20.0,69.0,1.0,,,37.0,19.0,7.0,3.0,11.0,4.0,2.0,184.0,5.0,8.0,10.0,,4.0,11.0,2.0,4.0,78.0,187.0,72.0,1.0,18.0,3.0,27.0,2.0,1.0,,36.0,1.0,12.0,,2.0,19.0,7.0,5.0,65.0,190.0,1.0,0.0,188.0,10.0,,58.0,78.0,5.0,72.0,4.0,29.0,16.0,7.0,1.0,16.0,2.0,187.0,1.0,9.0,,78.0,1.0,633.0,11.0,5.0,31.0,1.0,12.0,273.0,34.0,,11.0,10.0,,1.0,5.0,6.0,29.0,391.0,86.0,,98747,6.0,101.0,1.0,12.0,129.0,5.0,16.0,6.0,53.0,2.0,,3.0,3.0,,12.0,8.0,3.0,3.0,89.0,283.0,12.0,7.0,38.0,4.0,84.0,0.0,2.0,6.0,3.0,,,1.0,2.0,,0.0,8.0,,5.0,55.1,26.0,3.0,2.0,1.0,3.0,5.0,,37.0,7.0,,412.0,12.0,1.0,5.0,27.0,9.0,55.0,,6.0,319.0,10.0,4.0,27.0,112.0,25.0,1.0,10.0,23.0,,1.0,12.0,3.0,15.0,,1.0,5.0,7.0,2.0,2.0,,2.0,,3.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,2.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
33,2210599,2022-04-17 14:15:00,"London Stadium, London",59958,Away,Burnley,West Ham United,1,1,D,1,0,0,0,,1.0,27.0,45.0,,,,25.0,25.0,1.0,6.0,8.0,5.0,,139.0,15.0,4.0,2.0,1.0,3.0,4.0,3.0,1.0,69.0,129.0,37.0,,9.0,,15.0,,1.0,,20.0,1.0,5.0,,,25.0,4.0,8.0,33.0,152.0,1.0,0.0,118.0,11.0,2.0,44.0,49.0,1.0,64.0,4.0,16.0,11.0,1.0,,3.0,1.0,129.0,,17.0,,53.0,1.0,491.0,3.0,3.0,20.0,1.0,7.0,225.0,18.0,,10.0,16.0,,2.0,7.0,3.0,12.0,302.0,61.0,1.0,98747,5.0,89.0,1.0,12.0,104.0,6.0,11.0,11.0,39.0,2.0,,1.0,4.0,,16.0,4.0,6.0,,64.0,237.0,9.0,8.0,30.0,3.0,74.0,0.0,1.0,13.0,7.0,1.0,,1.0,1.0,1.0,0.0,3.0,,2.0,39.0,11.0,,1.0,,4.0,2.0,2.0,37.0,4.0,2.0,325.0,7.0,,3.0,11.0,6.0,28.0,1.0,4.0,241.0,1.0,6.0,15.0,74.0,13.0,4.0,16.0,11.0,1.0,1.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,,2.0,,2.0,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,
34,2210604,2022-04-24 14:00:00,"Turf Moor, Burnley",19246,Home,Burnley,Wolverhampton Wanderers,1,0,W,0,0,0,0,2.0,1.0,30.0,73.0,1.0,,,17.0,16.0,3.0,4.0,10.0,4.0,2.0,150.0,14.0,4.0,6.0,1.0,,12.0,1.0,5.0,69.0,143.0,44.0,,14.0,,12.0,2.0,,1.0,12.0,,14.0,,2.0,16.0,3.0,2.0,26.0,129.0,,0.0,93.0,8.0,1.0,47.0,64.0,8.0,48.0,3.0,9.0,14.0,4.0,,4.0,2.0,143.0,1.0,6.0,,57.0,,530.0,10.0,5.0,18.0,,15.0,231.0,24.0,1.0,7.0,6.0,1.0,3.0,5.0,4.0,15.0,304.0,41.0,2.0,98747,5.0,115.0,,5.0,145.0,2.0,14.0,6.0,56.0,4.0,,5.0,7.0,,13.0,4.0,1.0,,47.0,240.0,7.0,10.0,20.0,2.0,55.0,0.0,,6.0,3.0,1.0,,,,1.0,0.0,3.0,1.0,2.0,35.9,10.0,1.0,6.0,1.0,7.0,4.0,,26.0,3.0,1.0,324.0,15.0,,16.0,9.0,5.0,22.0,1.0,3.0,191.0,8.0,2.0,11.0,63.0,30.0,2.0,6.0,20.0,,,11.0,3.0,18.0,,2.0,8.0,3.0,4.0,1.0,1.0,2.0,,3.0,,1.0,1.0,1.0,,2.0,,,3.0,,,,,,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,
35,2210618,2022-04-30 15:00:00,"Vicarage Road, Watford",20738,Away,Burnley,Watford,2,1,W,0,1,0,0,1.0,1.0,26.0,66.0,,1.0,,31.0,25.0,5.0,5.0,12.0,1.0,2.0,160.0,16.0,6.0,2.0,2.0,3.0,8.0,1.0,6.0,89.0,181.0,54.0,1.0,17.0,3.0,30.0,4.0,,2.0,20.0,,9.0,,,25.0,6.0,7.0,37.0,165.0,,0.0,145.0,9.0,,53.0,72.0,6.0,54.0,1.0,14.0,22.0,5.0,1.0,5.0,2.0,181.0,1.0,10.0,,93.0,,596.0,4.0,8.0,35.0,1.0,8.0,254.0,29.0,1.0,3.0,12.0,2.0,2.0,2.0,2.0,27.0,368.0,66.0,,98747,6.0,110.0,,8.0,147.0,6.0,22.0,11.0,61.0,,,,1.0,,16.0,4.0,5.0,1.0,65.0,269.0,13.0,6.0,17.0,4.0,79.0,0.0,1.0,5.0,1.0,2.0,,,1.0,2.0,0.0,4.0,2.0,4.0,53.5,20.0,2.0,4.0,,1.0,6.0,,39.0,6.0,,396.0,8.0,,8.0,20.0,5.0,36.0,2.0,3.0,269.0,8.0,5.0,23.0,86.0,27.0,,12.0,16.0,1.0,1.0,9.0,3.0,10.0,,,10.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,2.0,3.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
36,2210624,2022-05-07 15:00:00,"Turf Moor, Burnley",20891,Home,Burnley,Aston Villa,1,3,L,0,2,0,0,4.0,1.0,27.0,68.0,2.0,,,40.0,10.0,5.0,6.0,9.0,4.0,,150.0,12.0,4.0,8.0,1.0,1.0,11.0,1.0,6.0,113.0,138.0,50.0,,14.0,1.0,17.0,2.0,,2.0,15.0,,6.0,,3.0,10.0,3.0,5.0,51.0,141.0,,0.0,98.0,13.0,,47.0,62.0,5.0,60.0,3.0,12.0,22.0,5.0,,5.0,1.0,138.0,1.0,8.0,,101.0,,593.0,6.0,3.0,21.0,,8.0,314.0,28.0,,4.0,4.0,1.0,1.0,3.0,6.0,18.0,403.0,49.0,1.0,98747,6.0,194.0,,6.0,217.0,12.0,22.0,3.0,49.0,2.0,,1.0,8.0,,13.0,4.0,2.0,3.0,67.0,331.0,11.0,6.0,16.0,3.0,84.0,0.0,3.0,5.0,2.0,1.0,,,3.0,2.0,0.0,2.0,1.0,5.0,49.0,14.0,4.0,5.0,1.0,8.0,1.0,,48.0,4.0,,424.0,8.0,,9.0,30.0,7.0,29.0,2.0,6.0,222.0,3.0,4.0,16.0,58.0,26.0,,4.0,16.0,,3.0,9.0,3.0,12.0,,,10.0,4.0,,3.0,1.0,1.0,,1.0,1.0,3.0,2.0,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,,,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,
37,2210637,2022-05-15 12:00:00,"Tottenham Hotspur Stadium, London",61729,Away,Burnley,Tottenham Hotspur,0,1,L,0,1,0,0,1.0,,23.0,53.0,2.0,,,30.0,25.0,1.0,3.0,7.0,6.0,,117.0,14.0,4.0,3.0,,2.0,6.0,1.0,1.0,57.0,114.0,53.0,,8.0,,24.0,1.0,1.0,1.0,13.0,,7.0,,,25.0,1.0,4.0,26.0,130.0,,0.0,97.0,8.0,3.0,54.0,40.0,1.0,43.0,3.0,12.0,8.0,1.0,,7.0,,114.0,1.0,12.0,1.0,82.0,,467.0,3.0,9.0,17.0,1.0,8.0,205.0,18.0,,4.0,7.0,,2.0,7.0,5.0,15.0,271.0,58.0,1.0,98747,3.0,95.0,1.0,3.0,108.0,5.0,8.0,9.0,49.0,1.0,,2.0,5.0,,11.0,9.0,4.0,1.0,67.0,221.0,12.0,9.0,19.0,,71.0,0.0,,8.0,5.0,,1.0,,1.0,2.0,0.0,4.0,,3.0,31.7,10.0,3.0,1.0,2.0,5.0,1.0,1.0,35.0,2.0,3.0,299.0,8.0,,5.0,13.0,6.0,26.0,,5.0,204.0,2.0,2.0,21.0,56.0,23.0,7.0,7.0,17.0,,1.0,3.0,2.0,7.0,,7.0,6.0,2.0,1.0,2.0,1.0,3.0,,,,2.0,5.0,3.0,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,
38,2210644,2022-05-22 16:00:00,"Turf Moor, Burnley",21361,Home,Burnley,Newcastle United,1,2,L,0,1,0,0,1.0,1.0,21.0,60.0,2.0,,,23.0,13.0,2.0,5.0,9.0,4.0,2.0,154.0,17.0,7.0,8.0,1.0,1.0,8.0,,5.0,69.0,170.0,47.0,1.0,12.0,1.0,19.0,3.0,,3.0,23.0,,7.0,,1.0,13.0,8.0,3.0,39.0,154.0,,0.0,143.0,8.0,,64.0,54.0,6.0,48.0,1.0,15.0,24.0,3.0,1.0,3.0,1.0,170.0,1.0,5.0,,73.0,,542.0,7.0,13.0,22.0,,4.0,228.0,22.0,,4.0,3.0,,1.0,,2.0,35.0,323.0,63.0,,98747,7.0,92.0,1.0,12.0,111.0,5.0,24.0,8.0,51.0,,,5.0,3.0,,13.0,3.0,4.0,1.0,60.0,239.0,9.0,3.0,14.0,2.0,69.0,0.0,,2.0,2.0,1.0,,,2.0,4.0,0.0,4.0,,3.0,51.4,26.0,1.0,7.0,1.0,3.0,3.0,,29.0,8.0,,344.0,4.0,,9.0,12.0,4.0,40.0,3.0,3.0,256.0,4.0,3.0,19.0,85.0,25.0,,3.0,11.0,,2.0,9.0,2.0,21.0,,,11.0,8.0,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0
