gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissLeft,attSvLowLeft,attHdTarget,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attCmissHighLeft,attSvLowRight,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,goalsConcededIbox,postScoringAtt,attIboxPost,attOboxTarget,attMissHighRight,attSvHighRight,attOboxGoal,goodHighClaim,attHdPost,hitWoodwork,penaltyConceded,attCmissLeft,attPostHigh,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,accurateThroughBall,errorLeadToShot,attOboxOwnGoal,ownGoals,totalThroughBall,errorLeadToGoal,attGoalLowRight,ptsGainedLosingPos,punches,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,freekickTotal,attGoalHighCentre,attGoalHighLeft,attHdGoal,attFreekickPost,attFreekickTarget,attOboxPost,attGoalHighRight,attObxdLeft,attCmissHighRight,attSvHighLeft,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,accuratePullBack,attSvHighCentre,attOneOnOne,penaltyWon,defenderGoals,attPenGoal,attCmissHigh,attObpGoal,clearanceOffLine,attFreekickMiss,penaltySave,attPostLeft
28,1059977,2020-02-29 15:00:00,"St. James' Park, Newcastle",52219.0,Away,Burnley,Newcastle United,0,0,D,0,0,0,0,,,67.0,,2.0,2.0,22.0,20.0,2.0,,5.0,4.0,,147.0,,3.0,7.0,,6.0,,,73.0,181.0,64.0,7.0,22.0,,1.0,,,,18.0,7.0,20.0,7.0,7.0,30.0,132.0,1.0,0.0,115.0,9.0,1.0,,1.0,57.0,53.0,3.0,42.0,1.0,,11.0,16.0,2.0,3.0,1.0,181.0,,,12.0,61.0,533.0,5.0,8.0,11.0,7.0,203.0,15.0,,10.0,11.0,,,3.0,11.0,3.0,28.0,299.0,72.0,98747,2.0,83.0,7.0,99.0,3.0,,16.0,7.0,54.0,2.0,5.0,,21.0,9.0,1.0,2.0,75.0,212.0,10.0,5.0,1.0,40.0,1.0,91.0,0.0,3.0,11.0,2.0,,2.0,0.0,1.0,,46.0,18.0,5.0,5.0,3.0,33.0,7.0,323.0,7.0,14.0,10.0,4.0,26.0,2.0,3.0,242.0,5.0,5.0,34.0,55.0,35.0,,4.0,11.0,14.0,5.0,1.0,12.0,4.0,6.0,7.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,2.0,2.0,,,,,,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1059983,2020-03-07 17:30:00,"Turf Moor, Burnley",20496.0,Home,Burnley,Tottenham Hotspur,1,1,D,1,0,0,0,2.0,1.0,69.0,1.0,1.0,6.0,23.0,21.0,8.0,5.0,13.0,1.0,,166.0,,8.0,12.0,1.0,9.0,,8.0,83.0,169.0,75.0,21.0,17.0,4.0,,,,3.0,32.0,16.0,21.0,3.0,4.0,42.0,148.0,,0.0,123.0,16.0,,,1.0,82.0,40.0,7.0,53.0,3.0,,29.0,8.0,8.0,11.0,2.0,169.0,2.0,,4.0,76.0,623.0,7.0,4.0,30.0,13.0,275.0,22.0,2.0,5.0,12.0,,,5.0,5.0,2.0,26.0,361.0,85.0,98747,5.0,140.0,17.0,154.0,9.0,1.0,8.0,5.0,54.0,2.0,4.0,1.0,24.0,9.0,1.0,1.0,79.0,280.0,11.0,9.0,2.0,30.0,5.0,88.0,0.0,1.0,5.0,,1.0,1.0,0.0,6.0,,45.0,20.0,4.0,4.0,9.0,41.0,3.0,378.0,13.0,9.0,17.0,4.0,39.0,2.0,2.0,256.0,13.0,2.0,29.0,65.0,36.0,1.0,1.0,12.0,24.0,13.0,2.0,17.0,1.0,5.0,4.0,,1.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,,,1.0,1.0,,1.0,,3.0,1.0,,,3.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,2.0,,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,1059996,2020-06-22 20:00:00,"Etihad Stadium, Manchester",,Away,Burnley,Manchester City,0,5,L,0,3,0,0,,,38.0,,2.0,,26.0,12.0,1.0,1.0,,2.0,,118.0,,,8.0,,,,,59.0,107.0,37.0,1.0,18.0,,,1.0,,,4.0,7.0,12.0,1.0,5.0,36.0,78.0,,0.0,68.0,7.0,,,,38.0,29.0,,70.0,2.0,,3.0,10.0,1.0,,1.0,107.0,,,11.0,75.0,434.0,,5.0,3.0,9.0,232.0,21.0,1.0,4.0,7.0,,1.0,1.0,4.0,,13.0,293.0,49.0,98747,,168.0,3.0,183.0,5.0,,10.0,12.0,46.0,2.0,2.0,,12.0,8.0,3.0,,71.0,246.0,7.0,9.0,,21.0,,64.0,0.0,,3.0,,,1.0,0.0,,,28.3,12.0,1.0,2.0,,26.0,1.0,322.0,9.0,6.0,19.0,1.0,13.0,,,143.0,,5.0,11.0,28.0,10.0,,,7.0,11.0,,2.0,14.0,,7.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,5.0,,,,,4.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,1060002,2020-06-25 18:00:00,"Turf Moor, Burnley",,Home,Burnley,Watford,1,0,W,0,0,0,0,1.0,,64.0,,,,19.0,36.0,1.0,3.0,7.0,3.0,,181.0,1.0,4.0,4.0,1.0,7.0,,5.0,93.0,164.0,69.0,9.0,40.0,4.0,2.0,,1.0,3.0,10.0,8.0,36.0,1.0,9.0,50.0,153.0,1.0,0.0,124.0,13.0,,,,74.0,66.0,4.0,64.0,1.0,,9.0,11.0,2.0,3.0,1.0,164.0,2.0,,7.0,86.0,610.0,6.0,6.0,15.0,10.0,289.0,18.0,1.0,4.0,23.0,1.0,,1.0,1.0,3.0,21.0,396.0,83.0,98747,5.0,149.0,6.0,175.0,9.0,,11.0,7.0,72.0,3.0,9.0,1.0,9.0,3.0,3.0,,85.0,298.0,15.0,4.0,,29.0,,92.0,0.0,1.0,7.0,4.0,1.0,,0.0,3.0,1.0,55.2,20.0,1.0,10.0,,31.0,1.0,424.0,10.0,8.0,14.0,4.0,28.0,1.0,2.0,259.0,4.0,8.0,41.0,60.0,29.0,1.0,2.0,23.0,11.0,8.0,1.0,12.0,2.0,5.0,1.0,,1.0,3.0,1.0,,2.0,,,,3.0,,1.0,,,1.0,,,2.0,1.0,,,1.0,,,,,,4.0,,1.0,,,,,5.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0
32,1060016,2020-06-29 20:00:00,"Selhurst Park, London",,Away,Burnley,Crystal Palace,1,0,W,0,0,0,0,3.0,,47.0,,2.0,1.0,24.0,35.0,1.0,5.0,7.0,4.0,,134.0,,1.0,9.0,1.0,5.0,,4.0,82.0,123.0,56.0,8.0,13.0,2.0,2.0,,,2.0,12.0,12.0,35.0,1.0,4.0,38.0,137.0,1.0,0.0,98.0,13.0,3.0,,2.0,54.0,63.0,3.0,61.0,2.0,,11.0,20.0,1.0,3.0,,123.0,,,10.0,77.0,545.0,4.0,2.0,9.0,9.0,262.0,21.0,,1.0,13.0,1.0,,1.0,7.0,2.0,21.0,331.0,59.0,98747,3.0,136.0,6.0,152.0,11.0,,20.0,8.0,45.0,,1.0,,7.0,7.0,3.0,2.0,69.0,272.0,12.0,7.0,,19.0,1.0,67.0,0.0,3.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,41.6,14.0,3.0,1.0,1.0,25.0,1.0,354.0,9.0,5.0,15.0,3.0,21.0,,3.0,214.0,1.0,4.0,19.0,52.0,16.0,,3.0,13.0,16.0,5.0,1.0,17.0,3.0,11.0,1.0,,,,2.0,,,,,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,
33,1060022,2020-07-05 12:00:00,"Turf Moor, Burnley",,Home,Burnley,Sheffield United,1,1,D,1,0,0,0,,1.0,51.0,,1.0,,35.0,36.0,4.0,4.0,5.0,2.0,,157.0,,4.0,5.0,1.0,7.0,3.0,4.0,92.0,161.0,49.0,9.0,32.0,1.0,1.0,,,1.0,16.0,7.0,36.0,3.0,5.0,47.0,148.0,,0.0,121.0,8.0,1.0,,3.0,64.0,35.0,4.0,77.0,,3.0,13.0,18.0,4.0,5.0,2.0,161.0,2.0,1.0,7.0,78.0,606.0,5.0,9.0,13.0,7.0,283.0,15.0,,7.0,20.0,1.0,,0.0,4.0,3.0,29.0,382.0,73.0,98747,3.0,150.0,5.0,177.0,4.0,1.0,18.0,6.0,67.0,2.0,9.0,,16.0,3.0,2.0,,82.0,294.0,13.0,15.0,1.0,27.0,,81.0,0.0,2.0,9.0,1.0,1.0,4.0,0.0,3.0,1.0,47.4,23.0,3.0,9.0,,32.0,3.0,404.0,7.0,8.0,18.0,5.0,26.0,1.0,3.0,243.0,5.0,5.0,25.0,65.0,21.0,,5.0,20.0,9.0,7.0,2.0,9.0,5.0,12.0,3.0,,,3.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,,,,1.0,2.0,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,1.0,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,
34,1060041,2020-07-08 18:00:00,"London Stadium, London",,Away,Burnley,West Ham United,1,0,W,1,0,0,0,1.0,,57.0,,,1.0,18.0,45.0,,2.0,8.0,4.0,,149.0,,6.0,8.0,1.0,7.0,1.0,4.0,78.0,145.0,64.0,8.0,34.0,3.0,,,1.0,,18.0,14.0,45.0,3.0,2.0,37.0,178.0,1.0,0.0,114.0,7.0,3.0,,1.0,77.0,50.0,4.0,76.0,1.0,1.0,15.0,19.0,,7.0,,145.0,,1.0,15.0,92.0,619.0,5.0,10.0,18.0,9.0,297.0,26.0,,5.0,24.0,1.0,,1.0,9.0,3.0,22.0,376.0,60.0,98747,5.0,131.0,7.0,157.0,5.0,,19.0,10.0,72.0,5.0,3.0,1.0,13.0,6.0,2.0,1.0,59.0,303.0,7.0,13.0,1.0,23.0,,75.0,0.0,,10.0,5.0,1.0,5.0,0.0,5.0,1.0,46.8,18.0,3.0,3.0,1.0,30.0,3.0,395.0,9.0,13.0,16.0,3.0,25.0,1.0,3.0,256.0,4.0,2.0,32.0,81.0,20.0,1.0,3.0,24.0,17.0,7.0,1.0,14.0,3.0,13.0,3.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,2.0,,2.0,,,,,,,,3.0,,,,,,,4.0,,,1.0,1.0,,,1.0,,,,4.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,
35,1060045,2020-07-11 15:00:00,"Anfield, Liverpool",,Away,Burnley,Liverpool,1,1,D,0,1,0,0,,,63.0,1.0,3.0,2.0,21.0,36.0,1.0,2.0,5.0,8.0,,132.0,,,4.0,1.0,3.0,,2.0,54.0,153.0,36.0,6.0,16.0,,,,,,19.0,4.0,36.0,6.0,3.0,39.0,63.0,,0.0,82.0,4.0,4.0,,2.0,66.0,23.0,2.0,41.0,6.0,,13.0,7.0,1.0,,,153.0,,1.0,16.0,38.0,436.0,2.0,6.0,10.0,14.0,146.0,31.0,,4.0,22.0,1.0,,2.0,9.0,1.0,12.0,234.0,59.0,98747,2.0,95.0,11.0,125.0,3.0,1.0,7.0,15.0,42.0,3.0,3.0,,9.0,7.0,8.0,,86.0,158.0,6.0,12.0,,25.0,2.0,74.0,0.0,,12.0,5.0,1.0,1.0,0.0,,1.0,29.2,7.0,3.0,3.0,2.0,20.0,6.0,265.0,14.0,6.0,10.0,2.0,25.0,,1.0,159.0,4.0,3.0,15.0,29.0,16.0,1.0,1.0,22.0,11.0,3.0,2.0,8.0,1.0,2.0,6.0,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1060053,2020-07-15 18:00:00,"Turf Moor, Burnley",,Home,Burnley,Wolverhampton Wanderers,1,1,D,0,0,0,0,,1.0,62.0,,1.0,2.0,30.0,21.0,2.0,2.0,7.0,4.0,,139.0,,4.0,3.0,1.0,8.0,,1.0,87.0,143.0,50.0,9.0,27.0,,1.0,,,,16.0,6.0,21.0,3.0,3.0,41.0,129.0,,0.0,107.0,10.0,,,3.0,54.0,52.0,4.0,55.0,,,13.0,16.0,2.0,7.0,,143.0,1.0,1.0,10.0,78.0,522.0,6.0,6.0,18.0,12.0,243.0,17.0,,7.0,13.0,,,0.0,3.0,4.0,24.0,340.0,68.0,98747,4.0,130.0,3.0,150.0,2.0,1.0,16.0,10.0,61.0,1.0,7.0,,10.0,4.0,7.0,1.0,76.0,255.0,7.0,16.0,2.0,27.0,,77.0,0.0,,8.0,3.0,1.0,4.0,0.0,3.0,,46.7,17.0,3.0,7.0,4.0,33.0,3.0,359.0,12.0,5.0,14.0,4.0,33.0,1.0,4.0,225.0,4.0,3.0,29.0,53.0,32.0,1.0,4.0,13.0,12.0,6.0,3.0,7.0,4.0,8.0,3.0,,1.0,,4.0,2.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,
37,1060067,2020-07-18 17:30:00,"Carrow Road, Norwich",,Away,Burnley,Norwich City,2,0,W,1,0,0,2,2.0,,50.0,1.0,1.0,6.0,30.0,8.0,9.0,7.0,14.0,2.0,,136.0,,6.0,4.0,2.0,18.0,,8.0,132.0,110.0,54.0,23.0,26.0,3.0,2.0,,,2.0,35.0,7.0,8.0,5.0,5.0,42.0,319.0,1.0,0.0,209.0,16.0,1.0,,,62.0,77.0,11.0,76.0,,1.0,31.0,16.0,9.0,15.0,3.0,110.0,2.0,,5.0,124.0,638.0,16.0,6.0,42.0,7.0,392.0,10.0,,7.0,4.0,1.0,,0.0,2.0,7.0,21.0,451.0,66.0,98747,8.0,91.0,16.0,99.0,4.0,1.0,16.0,4.0,51.0,1.0,6.0,,7.0,1.0,3.0,1.0,55.0,404.0,8.0,7.0,1.0,13.0,4.0,62.0,0.0,,6.0,1.0,2.0,3.0,0.0,6.0,1.0,57.7,18.0,5.0,6.0,8.0,35.0,8.0,468.0,7.0,5.0,19.0,7.0,56.0,1.0,4.0,404.0,14.0,4.0,32.0,171.0,29.0,1.0,2.0,4.0,13.0,16.0,2.0,5.0,2.0,7.0,8.0,,1.0,5.0,2.0,2.0,4.0,1.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,,,4.0,1.0,1.0,,2.0,,,,3.0,,,2.0,,,1.0,,,,1.0,,,,,,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,
38,1060073,2020-07-26 16:00:00,"Turf Moor, Burnley",,Home,Burnley,Brighton and Hove Albion,1,2,L,1,1,0,0,,1.0,51.0,,,2.0,28.0,3.0,3.0,5.0,10.0,2.0,1.0,132.0,,13.0,1.0,1.0,12.0,,2.0,105.0,149.0,52.0,13.0,36.0,1.0,1.0,1.0,1.0,1.0,37.0,11.0,3.0,6.0,2.0,38.0,165.0,,0.0,128.0,11.0,,,2.0,70.0,66.0,5.0,48.0,2.0,5.0,31.0,11.0,3.0,13.0,2.0,149.0,3.0,1.0,9.0,93.0,561.0,10.0,5.0,27.0,12.0,269.0,15.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,7.0,29.0,354.0,62.0,98747,6.0,131.0,16.0,152.0,3.0,,11.0,9.0,57.0,3.0,7.0,1.0,15.0,6.0,4.0,,73.0,283.0,10.0,5.0,1.0,23.0,2.0,73.0,0.0,2.0,7.0,2.0,1.0,,0.0,10.0,1.0,54.2,25.0,8.0,7.0,3.0,34.0,6.0,378.0,12.0,6.0,15.0,8.0,49.0,3.0,6.0,263.0,3.0,2.0,23.0,81.0,20.0,1.0,3.0,2.0,20.0,10.0,2.0,1.0,3.0,3.0,6.0,1.0,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,2.0,,4.0,3.0,,1.0,,,,1.0,,,2.0,,,,,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
