gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attIboxBlocked,accuratePullBack,attBxRight,attMissHighRight,divingSave,accurateThroughBall,sixYardBlock,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,totalOffside,attMissHigh,attCmissLeft,goalsConceded,possWonAtt3rd,penaltyFaced,penGoalsConceded,goalsConcededIbox,attOboxTarget,attHdTarget,ownGoals,attSvLowRight,attIboxOwnGoal,attLfGoal,attFreekickTotal,midfielderGoals,freekickTotal,shieldBallOop,handBall,attGoalLowLeft,attOboxGoal,attSvLowLeft,contentiousDecision,goalsConcededObox,ptsDroppedWinningPos,attGoalLowCentre,attSvHighRight,attPostLeft,attOboxPost,attPostHigh,attCmissHighRight,penaltySave,accurateKeeperSweeper,totalKeeperSweeper,accurateFreekickCross,punches,attFreekickMiss,ptsGainedLosingPos,errorLeadToShot,attObxLeft,attGoalHighRight,winningGoal,attSvHighLeft,attGoalHighCentre,keeperGoals,subsGoals,attPenGoal,attObpGoal,attFreekickGoal,errorLeadToGoal,secondYellow,penaltyWon,attFreekickPost,attOneOnOne,attFreekickTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
26,2128542,2021-02-27 20:00:00,"St. James' Park, Newcastle",,Away,Wolverhampton Wanderers,Newcastle United,1,1,D,0,0,0,0,1.0,,22.0,52.0,,,40.0,13.0,7.0,4.0,7.0,5.0,,138.0,11.0,6.0,19.0,1.0,2.0,12.0,1.0,4.0,103.0,135.0,64.0,14.0,2.0,13.0,2.0,,,1.0,1.0,,2.0,21.0,,3.0,13.0,5.0,5.0,39.0,184.0,,0.0,123.0,13.0,,1.0,,61.0,57.0,7.0,74.0,1.0,2.0,16.0,8.0,7.0,2.0,4.0,135.0,2.0,11.0,108.0,,600.0,10.0,1.0,25.0,2.0,6.0,324.0,17.0,1.0,8.0,9.0,1.0,0.0,6.0,5.0,16.0,401.0,32.0,94147,3.0,161.0,2.0,13.0,193.0,7.0,,8.0,8.0,55.0,,,3.0,,1.0,17.0,8.0,5.0,77.0,339.0,10.0,12.0,1.0,29.0,1.0,54.0,,,0.0,,3.0,5.0,1.0,,0.0,6.0,1.0,3.0,,52.4,15.0,,,1.0,3.0,3.0,1.0,31.0,5.0,1.0,423.0,6.0,10.0,25.0,7.0,,21.0,,3.0,251.0,7.0,4.0,21.0,94.0,23.0,,,9.0,14.0,1.0,12.0,3.0,27.0,,3.0,5.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,6.0,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
27,2128546,2021-03-06 17:30:00,"Villa Park, Birmingham",,Away,Wolverhampton Wanderers,Aston Villa,0,0,D,0,0,0,0,1.0,,22.0,62.0,,,30.0,29.0,5.0,1.0,5.0,1.0,1.0,150.0,11.0,5.0,8.0,,4.0,8.0,,2.0,93.0,139.0,46.0,10.0,2.0,16.0,2.0,1.0,1.0,,2.0,,2.0,24.0,1.0,7.0,29.0,2.0,7.0,36.0,182.0,1.0,0.0,99.0,13.0,1.0,5.0,,46.0,80.0,4.0,80.0,,,22.0,8.0,5.0,6.0,3.0,139.0,2.0,6.0,101.0,1.0,621.0,7.0,4.0,12.0,1.0,13.0,335.0,25.0,1.0,8.0,14.0,,0.0,3.0,4.0,19.0,401.0,45.0,94147,1.0,173.0,3.0,11.0,204.0,1.0,,8.0,9.0,57.0,,,1.0,,,16.0,3.0,4.0,65.0,350.0,12.0,6.0,1.0,22.0,2.0,59.0,1.0,,0.0,3.0,5.0,1.0,,1.0,0.0,4.0,,2.0,1.0,50.8,16.0,1.0,,,1.0,2.0,,41.0,3.0,,424.0,13.0,9.0,18.0,6.0,,24.0,1.0,2.0,244.0,7.0,5.0,15.0,75.0,29.0,,1.0,14.0,12.0,,4.0,1.0,22.0,1.0,4.0,3.0,,,,,1.0,1.0,,,,3.0,,,,,1.0,,,6.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
28,2128565,2021-03-15 20:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Liverpool,0,1,L,0,1,0,0,1.0,,34.0,82.0,,,44.0,13.0,2.0,1.0,8.0,3.0,2.0,174.0,14.0,6.0,11.0,,1.0,6.0,1.0,5.0,134.0,170.0,63.0,10.0,,19.0,3.0,,,,2.0,,1.0,29.0,,11.0,13.0,2.0,8.0,75.0,186.0,,0.0,106.0,17.0,,1.0,,52.0,82.0,5.0,84.0,3.0,1.0,27.0,22.0,2.0,9.0,,170.0,1.0,9.0,116.0,,714.0,5.0,6.0,23.0,,21.0,383.0,41.0,,5.0,10.0,,2.0,3.0,1.0,18.0,486.0,55.0,94147,8.0,222.0,2.0,17.0,267.0,8.0,,22.0,10.0,59.0,1.0,,5.0,,,22.0,3.0,8.0,75.0,402.0,10.0,10.0,1.0,17.0,2.0,71.0,,,0.0,,2.0,2.0,,2.0,0.0,5.0,,4.0,,52.7,15.0,1.0,,1.0,5.0,3.0,,41.0,3.0,,508.0,21.0,10.0,43.0,2.0,,35.0,1.0,2.0,270.0,4.0,7.0,24.0,78.0,28.0,,1.0,10.0,18.0,,7.0,4.0,15.0,1.0,11.0,3.0,,1.0,3.0,,,,2.0,,,,,,,2.0,,1.0,1.0,5.0,,,1.0,2.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
29,2128571,2021-03-02 20:00:00,"Etihad Stadium, Manchester",,Away,Wolverhampton Wanderers,Manchester City,1,4,L,0,1,0,0,,,20.0,53.0,1.0,1.0,24.0,26.0,1.0,2.0,5.0,7.0,,100.0,11.0,1.0,12.0,1.0,1.0,4.0,,1.0,82.0,101.0,45.0,6.0,1.0,13.0,,1.0,,,,,,7.0,,10.0,26.0,2.0,2.0,40.0,94.0,,0.0,48.0,5.0,1.0,,1.0,20.0,51.0,3.0,45.0,1.0,,5.0,9.0,1.0,2.0,,101.0,,19.0,82.0,,485.0,3.0,4.0,6.0,,7.0,236.0,28.0,,3.0,18.0,1.0,1.0,8.0,1.0,4.0,279.0,25.0,94147,3.0,164.0,,3.0,182.0,1.0,,9.0,9.0,48.0,,1.0,4.0,,,24.0,4.0,9.0,43.0,257.0,8.0,16.0,,7.0,1.0,42.0,1.0,,0.0,4.0,10.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,,27.9,4.0,1.0,,,4.0,3.0,,20.0,2.0,1.0,309.0,7.0,8.0,31.0,2.0,,8.0,,2.0,134.0,2.0,2.0,8.0,35.0,16.0,,1.0,18.0,17.0,1.0,4.0,2.0,18.0,1.0,6.0,2.0,1.0,1.0,2.0,,2.0,,4.0,,,1.0,,,,1.0,2.0,,4.0,,,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,
30,2128585,2021-04-05 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,West Ham United,2,3,L,1,3,0,0,1.0,2.0,26.0,68.0,,,37.0,14.0,5.0,5.0,15.0,3.0,2.0,184.0,12.0,9.0,17.0,2.0,2.0,16.0,2.0,5.0,177.0,127.0,64.0,20.0,1.0,25.0,2.0,,1.0,2.0,3.0,,4.0,31.0,1.0,9.0,14.0,4.0,5.0,45.0,275.0,,0.0,145.0,9.0,,1.0,,77.0,116.0,7.0,110.0,,3.0,27.0,16.0,5.0,13.0,3.0,127.0,3.0,8.0,157.0,1.0,826.0,11.0,1.0,30.0,1.0,9.0,536.0,32.0,2.0,3.0,5.0,2.0,1.0,,9.0,16.0,612.0,78.0,94147,9.0,286.0,2.0,13.0,309.0,7.0,1.0,8.0,3.0,54.0,1.0,,5.0,,2.0,15.0,1.0,3.0,63.0,552.0,8.0,9.0,3.0,11.0,2.0,85.0,,,0.0,,2.0,2.0,2.0,,0.0,6.0,2.0,6.0,,66.1,14.0,4.0,1.0,,5.0,2.0,,64.0,4.0,,628.0,9.0,7.0,19.0,13.0,,34.0,3.0,9.0,350.0,9.0,5.0,19.0,106.0,30.0,,4.0,5.0,20.0,1.0,15.0,3.0,21.0,4.0,8.0,4.0,,1.0,1.0,,2.0,2.0,2.0,1.0,,3.0,,,,1.0,1.0,2.0,3.0,1.0,,,3.0,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,2.0803,2.0154,1.17566,2.14889
31,2128589,2021-04-09 20:00:00,"Craven Cottage, London",,Away,Wolverhampton Wanderers,Fulham,1,0,W,0,0,0,0,,,29.0,48.0,,,26.0,23.0,2.0,2.0,5.0,3.0,,147.0,16.0,6.0,8.0,1.0,3.0,6.0,,3.0,112.0,136.0,54.0,7.0,,24.0,2.0,,,1.0,1.0,,1.0,20.0,,8.0,23.0,3.0,7.0,44.0,136.0,1.0,0.0,78.0,8.0,,4.0,2.0,42.0,67.0,3.0,77.0,2.0,1.0,17.0,15.0,2.0,6.0,2.0,136.0,,9.0,116.0,,663.0,2.0,2.0,9.0,,13.0,357.0,23.0,,2.0,14.0,1.0,0.0,3.0,3.0,23.0,428.0,55.0,94147,3.0,246.0,,7.0,280.0,3.0,1.0,15.0,11.0,55.0,,,8.0,,1.0,22.0,5.0,8.0,60.0,376.0,11.0,5.0,3.0,13.0,1.0,63.0,,,0.0,2.0,3.0,2.0,1.0,1.0,0.0,6.0,1.0,4.0,,50.4,20.0,2.0,,,8.0,,,38.0,4.0,2.0,452.0,13.0,11.0,21.0,4.0,,21.0,,2.0,192.0,1.0,7.0,16.0,51.0,10.0,,1.0,14.0,19.0,,2.0,3.0,15.0,1.0,5.0,4.0,,1.0,,,1.0,,1.0,,,3.0,,,2.0,1.0,2.0,,,3.0,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
32,2128605,2021-04-17 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Sheffield United,1,0,W,0,0,0,0,,,22.0,52.0,,,32.0,21.0,1.0,,9.0,2.0,4.0,159.0,13.0,5.0,8.0,1.0,1.0,9.0,,5.0,124.0,115.0,53.0,10.0,,11.0,3.0,2.0,,1.0,,,1.0,14.0,,9.0,21.0,3.0,4.0,39.0,161.0,1.0,0.0,88.0,8.0,2.0,2.0,1.0,34.0,63.0,6.0,78.0,,,11.0,8.0,1.0,,,115.0,1.0,5.0,118.0,,661.0,7.0,4.0,20.0,1.0,10.0,391.0,34.0,,6.0,13.0,1.0,1.0,4.0,3.0,27.0,459.0,39.0,94147,3.0,251.0,1.0,9.0,281.0,6.0,1.0,8.0,4.0,46.0,,,5.0,,1.0,10.0,3.0,3.0,63.0,407.0,15.0,8.0,1.0,20.0,1.0,63.0,2.0,,0.0,2.0,3.0,1.0,1.0,,0.0,3.0,1.0,1.0,,47.5,26.0,1.0,,1.0,5.0,2.0,,43.0,3.0,1.0,479.0,10.0,9.0,18.0,3.0,,18.0,2.0,3.0,212.0,9.0,4.0,15.0,63.0,12.0,1.0,3.0,13.0,15.0,,7.0,2.0,18.0,3.0,4.0,3.0,,1.0,2.0,,5.0,1.0,1.0,,,2.0,,,,2.0,1.0,,,1.0,,,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
33,2128615,2021-04-25 12:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Burnley,0,4,L,0,3,0,0,,,33.0,71.0,,,28.0,16.0,8.0,2.0,4.0,3.0,2.0,162.0,16.0,5.0,9.0,,2.0,8.0,,2.0,107.0,159.0,53.0,12.0,4.0,22.0,1.0,2.0,,,1.0,,2.0,27.0,,11.0,16.0,8.0,4.0,43.0,148.0,,0.0,75.0,8.0,2.0,1.0,2.0,39.0,73.0,5.0,82.0,1.0,1.0,19.0,21.0,8.0,5.0,3.0,159.0,,8.0,123.0,,663.0,7.0,2.0,11.0,,13.0,355.0,41.0,,4.0,12.0,,1.0,1.0,3.0,18.0,453.0,38.0,94147,2.0,226.0,,13.0,274.0,4.0,,21.0,8.0,56.0,,,6.0,,,13.0,6.0,3.0,69.0,369.0,8.0,12.0,1.0,29.0,3.0,71.0,2.0,,0.0,2.0,5.0,1.0,,,0.0,3.0,,1.0,,59.2,18.0,1.0,,,6.0,5.0,,36.0,8.0,2.0,474.0,13.0,7.0,21.0,5.0,,21.0,2.0,2.0,227.0,9.0,4.0,20.0,55.0,20.0,,1.0,12.0,16.0,,7.0,3.0,17.0,1.0,7.0,8.0,,2.0,1.0,,2.0,1.0,2.0,,,1.0,,1.0,,2.0,1.0,,4.0,2.0,,,4.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,
34,2128625,2021-05-03 18:00:00,"The Hawthorns, West Bromwich",,Away,Wolverhampton Wanderers,West Bromwich Albion,1,1,D,1,0,0,0,2.0,,23.0,85.0,,,21.0,16.0,7.0,5.0,13.0,2.0,4.0,181.0,7.0,7.0,13.0,1.0,5.0,14.0,,10.0,115.0,164.0,69.0,20.0,1.0,17.0,6.0,,,,4.0,,4.0,21.0,,13.0,16.0,6.0,5.0,34.0,216.0,,0.0,125.0,11.0,,6.0,1.0,51.0,72.0,9.0,64.0,1.0,,15.0,11.0,7.0,2.0,3.0,164.0,,6.0,107.0,,676.0,12.0,5.0,27.0,,7.0,347.0,34.0,,1.0,9.0,,0.0,2.0,5.0,14.0,443.0,51.0,94147,8.0,152.0,,7.0,188.0,5.0,,11.0,9.0,54.0,2.0,,7.0,,1.0,20.0,4.0,6.0,58.0,361.0,16.0,6.0,2.0,22.0,2.0,82.0,,,0.0,,5.0,3.0,1.0,1.0,0.0,4.0,,4.0,,57.6,13.0,1.0,3.0,2.0,7.0,4.0,1.0,44.0,6.0,1.0,467.0,7.0,13.0,15.0,6.0,,33.0,3.0,3.0,300.0,11.0,5.0,20.0,88.0,38.0,1.0,1.0,9.0,20.0,,18.0,3.0,21.0,1.0,5.0,6.0,,,3.0,,2.0,,2.0,,,,,1.0,,2.0,2.0,2.0,1.0,5.0,,,1.0,3.0,3.0,,3.0,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
35,2128635,2021-05-09 12:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Brighton and Hove Albion,2,1,W,0,1,0,2,1.0,,37.0,42.0,,,32.0,12.0,7.0,3.0,9.0,2.0,3.0,178.0,16.0,1.0,12.0,2.0,1.0,9.0,,6.0,142.0,121.0,38.0,16.0,3.0,18.0,1.0,,,1.0,,,1.0,25.0,,8.0,12.0,2.0,8.0,41.0,305.0,,0.0,207.0,12.0,,,,71.0,118.0,7.0,111.0,1.0,,23.0,21.0,7.0,4.0,1.0,121.0,1.0,5.0,138.0,,752.0,8.0,2.0,34.0,,9.0,483.0,21.0,,2.0,3.0,1.0,2.0,1.0,2.0,25.0,542.0,62.0,94147,6.0,202.0,1.0,19.0,215.0,8.0,2.0,21.0,9.0,54.0,1.0,,3.0,,2.0,13.0,,6.0,50.0,506.0,7.0,10.0,,4.0,2.0,52.0,,,0.0,3.0,5.0,2.0,2.0,,0.0,1.0,1.0,,,60.7,22.0,,1.0,,3.0,7.0,,36.0,10.0,,569.0,9.0,7.0,24.0,3.0,,37.0,,2.0,379.0,13.0,5.0,5.0,177.0,14.0,,,3.0,14.0,,13.0,3.0,20.0,,11.0,10.0,1.0,,4.0,1.0,2.0,1.0,1.0,1.0,,,,3.0,,,1.0,,1.0,4.0,,,1.0,3.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,
36,2128645,2021-05-16 14:05:00,"Tottenham Hotspur Stadium, London",,Away,Wolverhampton Wanderers,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,,18.0,56.0,,,21.0,23.0,3.0,5.0,12.0,9.0,1.0,122.0,6.0,3.0,10.0,,1.0,15.0,1.0,3.0,85.0,106.0,51.0,15.0,1.0,18.0,2.0,2.0,,,1.0,,5.0,11.0,,13.0,23.0,3.0,3.0,22.0,138.0,,0.0,71.0,11.0,2.0,2.0,,38.0,43.0,8.0,58.0,2.0,1.0,8.0,17.0,3.0,2.0,1.0,106.0,1.0,15.0,95.0,,547.0,13.0,3.0,23.0,,13.0,281.0,25.0,,2.0,14.0,,0.0,4.0,7.0,11.0,340.0,39.0,94147,4.0,163.0,1.0,4.0,185.0,6.0,,17.0,8.0,51.0,,,5.0,,,14.0,9.0,7.0,45.0,298.0,8.0,11.0,2.0,16.0,1.0,60.0,2.0,,0.0,5.0,10.0,6.0,,,0.0,2.0,,2.0,,38.1,8.0,,2.0,1.0,5.0,5.0,2.0,35.0,3.0,,360.0,13.0,8.0,12.0,7.0,,15.0,1.0,6.0,186.0,8.0,3.0,13.0,58.0,21.0,,1.0,14.0,20.0,,12.0,3.0,13.0,1.0,9.0,3.0,,5.0,4.0,,4.0,,5.0,,1.0,2.0,,,,3.0,1.0,1.0,2.0,3.0,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,2128650,2021-05-19 18:00:00,"Goodison Park, Liverpool",6068.0,Away,Wolverhampton Wanderers,Everton,0,1,L,0,0,0,0,,,31.0,57.0,,,30.0,10.0,4.0,1.0,5.0,3.0,3.0,144.0,13.0,5.0,19.0,,3.0,4.0,,3.0,152.0,156.0,52.0,9.0,1.0,24.0,2.0,,,,1.0,,2.0,35.0,,8.0,10.0,9.0,4.0,38.0,229.0,,0.0,136.0,11.0,,2.0,2.0,87.0,81.0,3.0,75.0,1.0,,27.0,19.0,4.0,10.0,2.0,156.0,,9.0,157.0,,750.0,3.0,1.0,17.0,,11.0,430.0,25.0,,4.0,9.0,,2.0,5.0,1.0,26.0,510.0,52.0,94147,4.0,222.0,,15.0,246.0,5.0,,19.0,3.0,69.0,,,10.0,,,22.0,5.0,3.0,58.0,446.0,11.0,13.0,1.0,19.0,4.0,78.0,,,0.0,1.0,7.0,3.0,,,0.0,3.0,,2.0,,59.0,26.0,,,1.0,10.0,4.0,,61.0,12.0,3.0,528.0,11.0,9.0,23.0,2.0,,29.0,2.0,,317.0,6.0,4.0,10.0,98.0,18.0,,2.0,9.0,12.0,,3.0,3.0,31.0,2.0,7.0,12.0,,,3.0,,1.0,,1.0,,,2.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,2128665,2021-05-23 16:00:00,"Molineux Stadium, Wolverhampton",4500.0,Home,Wolverhampton Wanderers,Manchester United,1,2,L,1,2,0,0,1.0,,30.0,59.0,,,24.0,7.0,4.0,2.0,10.0,2.0,1.0,178.0,15.0,5.0,12.0,1.0,,10.0,,4.0,167.0,124.0,43.0,14.0,1.0,12.0,3.0,,,1.0,1.0,,5.0,30.0,,11.0,7.0,5.0,2.0,39.0,274.0,,0.0,160.0,14.0,,,,59.0,120.0,5.0,82.0,,,25.0,14.0,4.0,8.0,3.0,124.0,,6.0,144.0,,744.0,8.0,,26.0,,10.0,492.0,23.0,,1.0,4.0,1.0,4.0,,5.0,20.0,556.0,68.0,94147,7.0,237.0,,17.0,250.0,12.0,1.0,14.0,7.0,47.0,,,4.0,,1.0,14.0,3.0,6.0,38.0,506.0,3.0,7.0,1.0,4.0,2.0,62.0,,,0.0,4.0,2.0,1.0,1.0,,0.0,4.0,1.0,2.0,,57.2,19.0,2.0,1.0,,4.0,4.0,,46.0,6.0,,571.0,10.0,3.0,22.0,6.0,,33.0,1.0,3.0,351.0,9.0,2.0,9.0,124.0,25.0,,,4.0,19.0,,12.0,3.0,23.0,,7.0,6.0,,1.0,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,2.0,7.0,1.0,1.0,2.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
