gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,attGoalLowCentre,attCmissRight,attOboxBlocked,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissHighRight,divingSave,interceptionsInBox,attMissHighLeft,attRfGoal,totalPullBack,attAssistSetplay,attFastbreak,attSvLowRight,attBxLeft,attGoalLowLeft,postScoringAtt,attIboxPost,bigChanceCreated,attPostLeft,attHdPost,errorLeadToShot,attSetpiece,totalOffside,goalsConcededObox,attGoalLowRight,accurateKeeperSweeper,secondYellow,attHdTarget,totalKeeperSweeper,sixYardBlock,attCmissHigh,defenderGoals,attSvHighCentre,errorLeadToGoal,accurateFreekickCross,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,attFreekickMiss,accuratePullBack,attObxLeft,attSvLowCentre,attOboxTarget,clearanceOffLine,attLgCentre,attSvHighRight,ownGoals,attFreekickTarget,attOboxPost,attPostHigh,attIboxOwnGoal,attObxRight,totalFastbreak,cleanSheet,attCmissHighLeft,attFreekickPost,penaltyWon,attPenGoal,attObpGoal,attCmissHighRight
28,321936,2011-02-26 15:00:00,"Molineux Stadium, Wolverhampton",29086,Home,Wolverhampton Wanderers,Blackpool,4,0,W,1,0,0,1,,3.0,2.0,63.0,4.0,,,29.0,38.0,7.0,9.0,2.0,202.0,8.0,10.0,4.0,2.0,15.0,7.0,110.0,179.0,44.0,,18.0,11.0,2.0,2.0,1.0,40.0,12.0,,24.0,4.0,31.0,39.0,265.0,1.0,0.0,214.0,17.0,,2.0,1.0,,2.0,91.0,83.0,11.0,90.0,,36.0,,10.0,2.0,165.0,4.0,117.0,749.0,12.0,11.0,,12.0,23.0,7.0,20.0,3.0,1.0,4.0,4.0,36.0,82.0,3.0,5700,4.0,168.0,,26.0,186.0,3.0,50.0,6.0,4.0,4.0,9.0,2.0,1.0,2.0,59.0,425.0,9.0,2.0,33.0,94.0,,1.0,,,0.0,1.0,4.0,,3.0,,7.0,0.0,6.0,2.0,1.0,1.0,58.5,33.0,1.0,3.0,4.0,7.0,50.0,11.0,3.0,519.0,9.0,16.0,21.0,4.0,23.0,2.0,2.0,373.0,7.0,31.0,10.0,162.0,28.0,2.0,,11.0,15.0,,,14.0,3.0,14.0,,11.0,,,1.0,,3.0,1.0,3.0,,1.0,,,,2.0,2.0,,1.0,1.0,1.0,,,,2.0,,,,,3.0,,3.0,,,,,1.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0
29,321946,2011-03-06 16:00:00,"Molineux Stadium, Wolverhampton",28669,Home,Wolverhampton Wanderers,Tottenham Hotspur,3,3,D,2,2,0,0,1.0,1.0,2.0,63.0,4.0,1.0,,21.0,26.0,7.0,7.0,,209.0,7.0,1.0,3.0,7.0,13.0,4.0,88.0,202.0,49.0,1.0,18.0,25.0,,2.0,2.0,30.0,17.0,,18.0,6.0,16.0,51.0,190.0,,0.0,162.0,11.0,,,,2.0,1.0,66.0,57.0,7.0,68.0,1.0,24.0,1.0,7.0,4.0,194.0,12.0,77.0,648.0,11.0,11.0,1.0,10.0,28.0,7.0,13.0,2.0,0.0,7.0,6.0,23.0,106.0,1.0,87835,7.0,129.0,1.0,15.0,147.0,9.0,66.0,3.0,4.0,1.0,9.0,8.0,2.0,1.0,60.0,312.0,11.0,10.0,32.0,108.0,,,,,0.0,,4.0,3.0,3.0,3.0,1.0,0.0,7.0,2.0,4.0,,53.1,20.0,2.0,2.0,5.0,6.0,44.0,7.0,2.0,442.0,8.0,17.0,19.0,8.0,25.0,,4.0,325.0,7.0,15.0,15.0,87.0,23.0,3.0,2.0,8.0,22.0,2.0,1.0,14.0,2.0,5.0,2.0,7.0,2.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,,,2.0,,,1.0,,,2.0,,4.0,,,4.0,,,,,,,,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,
30,321947,2011-03-19 15:00:00,"Villa Park, Birmingham",38965,Away,Wolverhampton Wanderers,Aston Villa,1,0,W,1,0,0,0,1.0,2.0,,57.0,1.0,,,19.0,44.0,4.0,6.0,,154.0,1.0,4.0,1.0,,4.0,3.0,58.0,182.0,55.0,2.0,8.0,13.0,1.0,2.0,,14.0,12.0,,21.0,2.0,12.0,33.0,128.0,,0.0,125.0,19.0,1.0,1.0,,,6.0,46.0,73.0,2.0,51.0,1.0,12.0,2.0,4.0,3.0,159.0,8.0,76.0,527.0,4.0,11.0,,15.0,17.0,5.0,26.0,,3.0,4.0,2.0,13.0,75.0,1.0,5700,1.0,102.0,,8.0,116.0,10.0,50.0,3.0,3.0,,5.0,3.0,3.0,3.0,59.0,229.0,17.0,5.0,29.0,103.0,,,,1.0,0.0,,8.0,2.0,1.0,,4.0,0.0,1.0,,,,41.5,12.0,,5.0,3.0,1.0,36.0,3.0,6.0,339.0,11.0,7.0,9.0,4.0,12.0,,1.0,237.0,2.0,12.0,16.0,64.0,21.0,,2.0,12.0,18.0,,,,2.0,11.0,2.0,3.0,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,9.0,,1.0,,,,,,2.0,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,
31,321962,2011-04-02 15:00:00,"St. James' Park, Newcastle",49939,Away,Wolverhampton Wanderers,Newcastle United,1,4,L,0,2,0,0,,,1.0,49.0,4.0,,,32.0,30.0,6.0,3.0,,168.0,5.0,1.0,1.0,6.0,12.0,3.0,80.0,170.0,57.0,1.0,16.0,14.0,2.0,3.0,1.0,30.0,15.0,,15.0,2.0,6.0,33.0,151.0,,0.0,137.0,10.0,,,,5.0,1.0,45.0,62.0,8.0,45.0,,28.0,1.0,11.0,2.0,155.0,10.0,81.0,570.0,9.0,23.0,1.0,5.0,16.0,15.0,15.0,1.0,3.0,5.0,4.0,21.0,91.0,1.0,5700,4.0,130.0,3.0,12.0,150.0,7.0,40.0,1.0,7.0,1.0,9.0,8.0,5.0,,60.0,276.0,17.0,2.0,35.0,91.0,,,,,0.0,3.0,5.0,3.0,1.0,4.0,11.0,0.0,5.0,1.0,3.0,,57.4,20.0,,3.0,7.0,8.0,50.0,3.0,1.0,374.0,4.0,9.0,15.0,5.0,30.0,,2.0,254.0,10.0,5.0,20.0,80.0,16.0,1.0,2.0,7.0,19.0,,3.0,8.0,3.0,6.0,2.0,4.0,1.0,,1.0,,4.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,,2.0,,2.0,2.0,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
32,321976,2011-04-09 12:45:00,"Molineux Stadium, Wolverhampton",28352,Home,Wolverhampton Wanderers,Everton,0,3,L,0,3,0,0,2.0,,,45.0,4.0,,,31.0,24.0,8.0,5.0,,181.0,9.0,3.0,,8.0,9.0,2.0,87.0,205.0,39.0,2.0,15.0,6.0,1.0,,,43.0,10.0,,11.0,12.0,10.0,38.0,191.0,,0.0,168.0,15.0,,,,1.0,3.0,75.0,67.0,5.0,60.0,2.0,32.0,2.0,18.0,4.0,192.0,6.0,79.0,615.0,6.0,7.0,,4.0,21.0,6.0,14.0,,0.0,1.0,4.0,37.0,91.0,,5700,4.0,109.0,,13.0,133.0,9.0,38.0,,4.0,,10.0,4.0,3.0,1.0,66.0,291.0,14.0,3.0,29.0,98.0,,,,1.0,0.0,2.0,6.0,2.0,,3.0,2.0,0.0,6.0,,2.0,,64.4,33.0,1.0,2.0,4.0,7.0,48.0,13.0,3.0,407.0,3.0,9.0,15.0,6.0,23.0,4.0,2.0,317.0,7.0,9.0,7.0,100.0,12.0,,2.0,7.0,15.0,,1.0,7.0,3.0,10.0,2.0,13.0,,1.0,,1.0,3.0,,,,1.0,2.0,1.0,2.0,,,3.0,,,1.0,,,,,,,,,4.0,2.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
33,321983,2011-04-26 19:45:00,"bet365 Stadium, Stoke",27030,Away,Wolverhampton Wanderers,Stoke City,0,3,L,0,2,0,0,2.0,1.0,,51.0,2.0,,,39.0,37.0,2.0,4.0,,186.0,5.0,7.0,,1.0,6.0,1.0,124.0,182.0,56.0,,7.0,9.0,1.0,1.0,1.0,22.0,9.0,,23.0,6.0,36.0,25.0,245.0,,0.0,160.0,13.0,,,1.0,,,79.0,93.0,3.0,83.0,1.0,16.0,,5.0,2.0,168.0,13.0,118.0,712.0,5.0,17.0,,12.0,20.0,14.0,29.0,,2.0,1.0,3.0,29.0,91.0,,7635,1.0,166.0,,11.0,191.0,9.0,42.0,1.0,4.0,,12.0,2.0,5.0,1.0,64.0,406.0,14.0,1.0,36.0,84.0,,,,1.0,0.0,2.0,7.0,3.0,,3.0,4.0,0.0,4.0,,1.0,,64.4,24.0,1.0,1.0,4.0,2.0,43.0,11.0,,511.0,9.0,14.0,12.0,4.0,22.0,1.0,2.0,342.0,1.0,34.0,24.0,103.0,23.0,,1.0,16.0,11.0,,3.0,2.0,3.0,14.0,1.0,11.0,1.0,,,1.0,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,321996,2011-04-23 15:00:00,"Molineux Stadium, Wolverhampton",28825,Home,Wolverhampton Wanderers,Fulham,1,1,D,1,0,0,0,1.0,1.0,,60.0,1.0,1.0,,21.0,28.0,4.0,3.0,,149.0,7.0,6.0,1.0,3.0,10.0,4.0,71.0,175.0,56.0,,11.0,16.0,2.0,1.0,,20.0,12.0,,17.0,3.0,16.0,22.0,140.0,,0.0,126.0,17.0,,,2.0,4.0,1.0,78.0,35.0,4.0,43.0,4.0,17.0,,3.0,3.0,163.0,13.0,55.0,516.0,7.0,11.0,,19.0,24.0,11.0,11.0,1.0,2.0,4.0,6.0,15.0,76.0,,5700,6.0,78.0,,10.0,97.0,12.0,56.0,3.0,1.0,,12.0,6.0,5.0,,56.0,211.0,20.0,7.0,40.0,98.0,1.0,,,,0.0,3.0,5.0,1.0,1.0,1.0,5.0,0.0,6.0,1.0,2.0,,42.4,14.0,1.0,1.0,1.0,1.0,41.0,3.0,2.0,318.0,16.0,11.0,6.0,6.0,20.0,1.0,3.0,241.0,4.0,14.0,16.0,69.0,21.0,1.0,3.0,6.0,14.0,1.0,1.0,4.0,3.0,12.0,4.0,3.0,3.0,1.0,,1.0,,,,,1.0,3.0,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,2.0,3.0,,,3.0,,,3.0,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
35,321998,2011-05-01 12:00:00,"St. Andrew's Stadium, Birmingham",26072,Away,Wolverhampton Wanderers,Birmingham City,1,1,D,1,1,0,1,3.0,1.0,1.0,56.0,4.0,,,27.0,20.0,4.0,8.0,1.0,163.0,6.0,3.0,1.0,,6.0,2.0,62.0,186.0,42.0,,11.0,26.0,,2.0,1.0,34.0,9.0,,11.0,1.0,20.0,30.0,182.0,,0.0,164.0,17.0,,,,,3.0,83.0,57.0,4.0,49.0,2.0,33.0,,12.0,3.0,177.0,3.0,86.0,545.0,6.0,17.0,,8.0,25.0,11.0,13.0,,3.0,1.0,2.0,27.0,104.0,1.0,7635,4.0,84.0,,20.0,103.0,11.0,58.0,1.0,8.0,,14.0,5.0,4.0,,63.0,260.0,10.0,3.0,46.0,94.0,,,,,0.0,1.0,,,1.0,1.0,6.0,0.0,5.0,,,,57.1,18.0,,1.0,8.0,4.0,40.0,2.0,3.0,360.0,7.0,10.0,17.0,5.0,31.0,1.0,2.0,291.0,3.0,20.0,18.0,99.0,17.0,1.0,1.0,6.0,11.0,,1.0,,3.0,8.0,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,3.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,
36,322016,2011-05-08 12:00:00,"Molineux Stadium, Wolverhampton",28510,Home,Wolverhampton Wanderers,West Bromwich Albion,3,1,W,2,0,0,0,,3.0,3.0,63.0,1.0,2.0,,29.0,26.0,6.0,8.0,2.0,137.0,10.0,8.0,3.0,6.0,11.0,7.0,62.0,156.0,60.0,2.0,14.0,8.0,2.0,,,27.0,24.0,,14.0,8.0,14.0,33.0,144.0,1.0,0.0,124.0,10.0,1.0,1.0,2.0,3.0,,79.0,45.0,9.0,50.0,2.0,19.0,2.0,9.0,1.0,144.0,7.0,78.0,551.0,6.0,12.0,,24.0,23.0,6.0,11.0,3.0,3.0,3.0,2.0,19.0,77.0,1.0,7635,2.0,106.0,1.0,7.0,117.0,16.0,54.0,2.0,5.0,1.0,6.0,8.0,10.0,2.0,64.0,240.0,7.0,21.0,27.0,87.0,,,,,0.0,3.0,4.0,2.0,2.0,1.0,3.0,0.0,6.0,1.0,3.0,,45.4,14.0,2.0,7.0,5.0,3.0,39.0,8.0,1.0,327.0,14.0,12.0,15.0,4.0,18.0,4.0,3.0,237.0,3.0,13.0,15.0,69.0,23.0,2.0,1.0,5.0,30.0,,1.0,7.0,3.0,11.0,1.0,8.0,1.0,,2.0,2.0,2.0,,1.0,,,1.0,1.0,,1.0,2.0,2.0,,1.0,3.0,,,,3.0,,,,2.0,5.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,
37,322024,2011-05-14 12:45:00,"Stadium of Light, Sunderland",41273,Away,Wolverhampton Wanderers,Sunderland,3,1,W,1,1,0,0,2.0,1.0,2.0,53.0,2.0,2.0,1.0,29.0,42.0,4.0,7.0,,157.0,7.0,1.0,3.0,3.0,8.0,4.0,53.0,189.0,48.0,,13.0,12.0,1.0,,1.0,26.0,14.0,,22.0,5.0,12.0,31.0,133.0,,0.0,115.0,22.0,,,,3.0,1.0,63.0,48.0,4.0,40.0,2.0,21.0,,6.0,1.0,169.0,4.0,68.0,530.0,4.0,14.0,1.0,11.0,23.0,11.0,26.0,3.0,0.0,5.0,4.0,26.0,77.0,,7635,7.0,90.0,2.0,12.0,116.0,13.0,55.0,1.0,2.0,1.0,9.0,10.0,4.0,1.0,54.0,216.0,8.0,6.0,30.0,93.0,1.0,1.0,,,0.0,2.0,5.0,,3.0,1.0,4.0,0.0,6.0,3.0,3.0,1.0,40.4,20.0,1.0,3.0,2.0,4.0,36.0,5.0,1.0,318.0,8.0,11.0,19.0,5.0,20.0,1.0,3.0,228.0,3.0,10.0,16.0,72.0,20.0,1.0,2.0,13.0,23.0,2.0,1.0,8.0,2.0,7.0,2.0,5.0,3.0,,,,2.0,,1.0,,,2.0,2.0,,1.0,,1.0,,,1.0,2.0,1.0,,2.0,,,,1.0,4.0,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
38,322036,2011-05-22 16:00:00,"Molineux Stadium, Wolverhampton",29009,Home,Wolverhampton Wanderers,Blackburn Rovers,2,3,L,0,3,0,0,,1.0,,43.0,3.0,1.0,1.0,29.0,26.0,5.0,8.0,2.0,163.0,11.0,2.0,2.0,5.0,10.0,4.0,73.0,194.0,29.0,,16.0,11.0,2.0,1.0,3.0,42.0,7.0,,11.0,8.0,5.0,36.0,164.0,,0.0,156.0,13.0,,2.0,,3.0,2.0,53.0,73.0,7.0,42.0,1.0,34.0,,14.0,5.0,179.0,10.0,82.0,572.0,4.0,18.0,,11.0,16.0,11.0,14.0,2.0,3.0,2.0,3.0,40.0,90.0,,7635,7.0,100.0,2.0,17.0,119.0,6.0,37.0,1.0,5.0,1.0,13.0,6.0,,,63.0,253.0,10.0,4.0,35.0,90.0,1.0,,,1.0,0.0,4.0,3.0,5.0,2.0,3.0,6.0,0.0,6.0,2.0,4.0,,58.3,33.0,3.0,2.0,5.0,4.0,41.0,8.0,2.0,360.0,6.0,4.0,12.0,8.0,30.0,5.0,3.0,283.0,2.0,5.0,7.0,90.0,13.0,,2.0,4.0,10.0,,2.0,8.0,3.0,7.0,2.0,8.0,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,3.0,,,4.0,,,1.0,1.0,,,2.0,,,,2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,
