gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,attBxRight,attOneOnOne,attMissHighRight,cleanSheet,penaltyWon,interceptionsInBox,attOboxMiss,subsGoals,hitWoodwork,accurateLaunches,totalOffside,attPenGoal,attCmissLeft,effectiveBlockedCross,blockedCross,attOboxGoal,attCmissHigh,attSvHighCentre,forwardGoals,goalsConcededObox,ownGoals,shieldBallOop,attIboxOwnGoal,postScoringAtt,goalFastbreak,attIboxPost,ptsGainedLosingPos,attGoalHighCentre,contentiousDecision,attPostRight,sixYardBlock,attGoalLowLeft,goalAssistSetplay,attPostLeft,attHdPost,defenderGoals,attSvHighRight,attGoalHighLeft,punches,goalAssistDeadball,errorLeadToShot,foulThrowIn,attObxRight,attHdGoal,attOboxPost,attCmissHighLeft,attFreekickGoal,ptsDroppedWinningPos,attFreekickMiss,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave
27,2367802,2024-03-02 17:30:00,"Kenilworth Road, Luton",11594.0,Away,Aston Villa,Luton Town,3,2,W,2,0,0,0,1.0,1.0,49.0,,,29.0,25.0,,1.0,12.0,2.0,4.0,147.0,4.0,9.0,3.0,,11.0,1.0,,8.0,110.0,106.0,44.0,,12.0,,15.0,5.0,1.0,1.0,1.0,2.0,2.0,12.0,9.0,1.0,,25.0,4.0,5.0,26.0,131.0,0.0,96.0,19.0,,1.0,,,,,6.0,42.0,38.0,7.0,78.0,,8.0,8.0,,,4.0,106.0,3.0,11.0,108.0,613.0,,7.0,6.0,22.0,,3.0,356.0,18.0,,16.0,3.0,1.0,4.0,6.0,4.0,20.0,414.0,49.0,1.0,,98980,8.0,252.0,1.0,4.0,1.0,273.0,19.0,,1.0,1.0,3.0,8.0,50.0,2.0,6.0,1.0,16.0,3.0,6.0,1.0,51.0,379.0,8.0,6.0,1.0,23.0,3.0,59.0,1.0,1.0,0.0,,,8.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,4.0,53.5,15.0,2.0,2.0,,6.0,,1.0,38.0,6.0,6.0,443.0,3.0,10.0,13.0,4.0,22.0,2.0,3.0,182.0,6.0,5.0,13.0,66.0,16.0,16.0,15.0,2.0,8.0,5.0,11.0,,3.0,6.0,2.0,1.0,,,2.0,1.0,,,,,,1.0,1.0,10.0,1.0,,,1.0,1.0,,,,2.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,2.0,1.0,,,2.0,,,2.0,,,,2.0,,,,,,,,,,
28,2367810,2024-03-10 13:00:00,"Villa Park, Birmingham",42310.0,Home,Aston Villa,Tottenham Hotspur,0,4,L,0,0,1,0,,1.0,49.0,1.0,4.0,15.0,10.0,3.0,5.0,7.0,1.0,,97.0,2.0,10.0,,1.0,7.0,,1.0,1.0,87.0,117.0,50.0,,10.0,3.0,4.0,1.0,1.0,,,1.0,,14.0,12.0,,,10.0,4.0,5.0,20.0,61.0,0.0,63.0,11.0,1.0,1.0,,,,1.0,1.0,11.0,35.0,6.0,43.0,2.0,10.0,21.0,3.0,,2.0,117.0,,7.0,76.0,480.0,,6.0,2.0,21.0,,9.0,213.0,20.0,,7.0,,,0.0,3.0,1.0,16.0,272.0,37.0,,,98980,3.0,180.0,1.0,7.0,,207.0,10.0,,,2.0,14.0,6.0,43.0,1.0,5.0,,11.0,2.0,4.0,,36.0,239.0,15.0,9.0,1.0,12.0,3.0,37.0,1.0,,0.0,,1.0,4.0,,,4.0,,1.0,1.0,,1.0,30.7,11.0,,5.0,1.0,5.0,7.0,,18.0,6.0,1.0,303.0,9.0,11.0,10.0,2.0,19.0,1.0,2.0,110.0,3.0,4.0,6.0,37.0,16.0,7.0,19.0,4.0,6.0,5.0,18.0,1.0,14.0,6.0,,,,,1.0,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
29,2367826,2024-03-17 14:00:00,"London Stadium, London",62461.0,Away,Aston Villa,West Ham United,1,1,D,0,1,0,0,,1.0,48.0,1.0,1.0,17.0,16.0,7.0,7.0,6.0,3.0,3.0,193.0,1.0,14.0,1.0,,10.0,1.0,,5.0,183.0,120.0,48.0,,13.0,3.0,10.0,2.0,,1.0,1.0,1.0,2.0,19.0,10.0,,2.0,16.0,6.0,16.0,32.0,293.0,0.0,185.0,12.0,2.0,,1.0,,,,1.0,54.0,74.0,7.0,108.0,1.0,13.0,23.0,7.0,,2.0,120.0,1.0,11.0,156.0,801.0,,8.0,2.0,32.0,,3.0,533.0,21.0,1.0,10.0,1.0,1.0,3.0,1.0,3.0,17.0,610.0,76.0,,,98980,3.0,270.0,,11.0,,292.0,6.0,,,4.0,8.0,7.0,40.0,1.0,2.0,1.0,6.0,2.0,7.0,,31.0,562.0,11.0,6.0,1.0,5.0,4.0,48.0,,2.0,0.0,,1.0,7.0,3.0,1.0,1.0,,0.0,,1.0,,69.4,15.0,,2.0,,2.0,4.0,,35.0,10.0,1.0,640.0,3.0,6.0,16.0,4.0,42.0,1.0,2.0,367.0,6.0,16.0,9.0,141.0,22.0,10.0,14.0,1.0,9.0,4.0,21.0,,8.0,11.0,1.0,1.0,1.0,,3.0,,,,,,2.0,1.0,,1.0,2.0,,,5.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
30,2367829,2024-03-30 17:30:00,"Villa Park, Birmingham",42640.0,Home,Aston Villa,Wolverhampton Wanderers,2,0,W,1,0,0,0,1.0,2.0,49.0,1.0,1.0,22.0,9.0,4.0,8.0,7.0,3.0,,112.0,4.0,11.0,2.0,5.0,9.0,,,5.0,124.0,96.0,54.0,,11.0,1.0,11.0,3.0,1.0,1.0,1.0,2.0,3.0,16.0,8.0,1.0,,9.0,4.0,3.0,24.0,143.0,0.0,87.0,11.0,1.0,1.0,,,1.0,2.0,2.0,38.0,40.0,5.0,54.0,,12.0,15.0,4.0,,2.0,96.0,2.0,10.0,118.0,573.0,,8.0,4.0,19.0,1.0,4.0,333.0,19.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,7.0,377.0,36.0,1.0,1.0,98980,3.0,220.0,2.0,8.0,3.0,232.0,11.0,,1.0,,7.0,8.0,53.0,2.0,8.0,1.0,9.0,3.0,6.0,,36.0,359.0,19.0,8.0,,6.0,1.0,51.0,1.0,,0.0,,1.0,4.0,2.0,1.0,,2.0,0.0,4.0,,2.0,48.3,7.0,1.0,8.0,2.0,8.0,2.0,,36.0,5.0,2.0,408.0,4.0,15.0,13.0,4.0,20.0,,2.0,192.0,1.0,3.0,8.0,61.0,10.0,4.0,16.0,,7.0,5.0,20.0,,7.0,5.0,,,1.0,,,1.0,,1.0,,,2.0,,,2.0,1.0,,1.0,2.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
31,2367846,2024-04-03 20:15:00,"Etihad Stadium, Manchester",53422.0,Away,Aston Villa,Manchester City,1,4,L,1,2,0,0,,,51.0,1.0,3.0,20.0,16.0,1.0,3.0,7.0,7.0,1.0,95.0,2.0,7.0,1.0,,8.0,,,3.0,94.0,103.0,36.0,,8.0,1.0,3.0,2.0,3.0,,1.0,,,11.0,8.0,,,16.0,3.0,5.0,21.0,90.0,0.0,54.0,13.0,3.0,4.0,1.0,,,,2.0,25.0,17.0,7.0,50.0,1.0,8.0,15.0,1.0,,1.0,103.0,2.0,20.0,98.0,512.0,,5.0,2.0,16.0,1.0,7.0,273.0,31.0,,10.0,1.0,,2.0,7.0,1.0,8.0,316.0,32.0,1.0,,549068,2.0,203.0,1.0,7.0,,225.0,12.0,,,,8.0,9.0,56.0,1.0,3.0,1.0,19.0,5.0,6.0,,39.0,291.0,6.0,15.0,2.0,13.0,2.0,32.0,3.0,,0.0,,1.0,2.0,6.0,1.0,4.0,,0.0,,1.0,2.0,33.0,7.0,1.0,2.0,2.0,3.0,4.0,,17.0,3.0,2.0,337.0,7.0,13.0,12.0,1.0,12.0,2.0,1.0,123.0,3.0,4.0,2.0,42.0,10.0,10.0,21.0,2.0,5.0,5.0,20.0,,8.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,,,3.0,1.0,,,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
32,2367848,2024-04-06 15:00:00,"Villa Park, Birmingham",42218.0,Home,Aston Villa,Brentford,3,3,D,1,0,0,0,,,44.0,,3.0,25.0,18.0,2.0,5.0,9.0,,,158.0,10.0,4.0,3.0,1.0,7.0,,,3.0,169.0,139.0,34.0,1.0,11.0,1.0,11.0,,,1.0,2.0,,1.0,37.0,4.0,,,18.0,9.0,3.0,32.0,322.0,0.0,229.0,15.0,,,,1.0,,,1.0,73.0,106.0,4.0,104.0,2.0,28.0,20.0,2.0,1.0,10.0,139.0,1.0,5.0,140.0,735.0,,4.0,3.0,32.0,,8.0,464.0,18.0,,12.0,2.0,1.0,2.0,1.0,3.0,13.0,540.0,54.0,,,98980,5.0,176.0,,18.0,,203.0,15.0,,,2.0,5.0,6.0,42.0,,3.0,3.0,15.0,3.0,2.0,1.0,49.0,488.0,10.0,5.0,1.0,10.0,4.0,47.0,,,0.0,,,3.0,,3.0,3.0,,0.0,8.0,2.0,3.0,70.0,11.0,1.0,2.0,,4.0,4.0,,27.0,11.0,1.0,571.0,8.0,7.0,17.0,4.0,47.0,2.0,3.0,405.0,3.0,3.0,11.0,189.0,16.0,12.0,8.0,3.0,6.0,4.0,8.0,,5.0,11.0,1.0,2.0,1.0,,2.0,,,,,2.0,1.0,,,2.0,,,,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,,,
33,2367859,2024-04-14 16:30:00,"Emirates Stadium, London",60350.0,Away,Aston Villa,Arsenal,2,0,W,0,0,0,0,1.0,,50.0,1.0,1.0,19.0,14.0,5.0,5.0,6.0,4.0,,150.0,1.0,10.0,2.0,2.0,6.0,,,2.0,102.0,126.0,46.0,1.0,11.0,4.0,12.0,,1.0,,1.0,,,15.0,7.0,,,14.0,5.0,5.0,33.0,131.0,0.0,93.0,7.0,2.0,2.0,,,,1.0,1.0,44.0,30.0,5.0,59.0,,10.0,21.0,5.0,1.0,1.0,126.0,3.0,11.0,114.0,605.0,,3.0,4.0,12.0,,9.0,324.0,29.0,,8.0,2.0,,1.0,6.0,,14.0,389.0,42.0,1.0,,98980,4.0,221.0,1.0,8.0,,253.0,4.0,,2.0,,10.0,14.0,44.0,3.0,,1.0,11.0,7.0,13.0,2.0,54.0,351.0,12.0,5.0,,27.0,2.0,47.0,1.0,,0.0,,,4.0,3.0,2.0,,2.0,0.0,1.0,2.0,1.0,48.5,9.0,1.0,4.0,1.0,,5.0,,25.0,6.0,1.0,425.0,9.0,10.0,17.0,4.0,23.0,,1.0,187.0,5.0,4.0,7.0,60.0,10.0,8.0,18.0,,6.0,2.0,21.0,,10.0,6.0,2.0,1.0,,,,,,1.0,,3.0,1.0,1.0,2.0,4.0,1.0,,,1.0,1.0,,2.0,,1.0,,,,,2.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,
34,2367868,2024-04-21 15:00:00,"Villa Park, Birmingham",42189.0,Home,Aston Villa,Bournemouth,3,1,W,1,1,0,0,1.0,,54.0,1.0,2.0,27.0,10.0,5.0,5.0,10.0,4.0,2.0,163.0,1.0,6.0,3.0,1.0,13.0,,1.0,5.0,127.0,116.0,38.0,,15.0,2.0,6.0,1.0,2.0,,3.0,1.0,3.0,12.0,6.0,,1.0,10.0,6.0,1.0,26.0,200.0,0.0,161.0,8.0,2.0,3.0,,3.0,,,2.0,51.0,50.0,7.0,87.0,3.0,6.0,12.0,5.0,,2.0,116.0,4.0,10.0,105.0,623.0,,9.0,2.0,37.0,,2.0,381.0,25.0,,6.0,3.0,,1.0,4.0,6.0,16.0,447.0,71.0,2.0,,98980,2.0,208.0,2.0,4.0,,230.0,4.0,,3.0,,3.0,8.0,33.0,2.0,2.0,3.0,10.0,4.0,7.0,,55.0,407.0,14.0,8.0,1.0,20.0,2.0,60.0,2.0,1.0,0.0,,1.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,,56.4,11.0,,3.0,2.0,2.0,4.0,1.0,38.0,8.0,3.0,482.0,2.0,5.0,17.0,6.0,37.0,,4.0,264.0,10.0,1.0,6.0,121.0,18.0,6.0,12.0,1.0,13.0,3.0,13.0,,3.0,8.0,2.0,2.0,,,1.0,1.0,,,,,2.0,,,4.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,
35,2367879,2024-04-27 20:00:00,"Villa Park, Birmingham",42354.0,Home,Aston Villa,Chelsea,2,2,D,2,0,0,0,,2.0,45.0,2.0,,17.0,16.0,1.0,3.0,8.0,3.0,1.0,103.0,2.0,5.0,2.0,2.0,8.0,2.0,,4.0,56.0,107.0,39.0,,9.0,,10.0,3.0,,1.0,1.0,2.0,1.0,5.0,4.0,,,16.0,1.0,,23.0,60.0,0.0,52.0,13.0,,,,1.0,1.0,2.0,1.0,24.0,20.0,4.0,42.0,1.0,4.0,9.0,1.0,,1.0,107.0,,8.0,67.0,413.0,,6.0,3.0,16.0,,1.0,183.0,26.0,,9.0,1.0,1.0,3.0,6.0,4.0,6.0,235.0,25.0,1.0,1.0,98980,4.0,149.0,,1.0,,168.0,11.0,,1.0,2.0,5.0,12.0,55.0,1.0,4.0,1.0,14.0,13.0,10.0,3.0,43.0,207.0,14.0,11.0,1.0,15.0,1.0,35.0,,,0.0,,2.0,4.0,1.0,2.0,2.0,,0.0,1.0,1.0,1.0,28.8,2.0,1.0,4.0,3.0,4.0,,,13.0,2.0,1.0,268.0,1.0,12.0,12.0,5.0,15.0,1.0,4.0,105.0,5.0,,11.0,28.0,8.0,9.0,10.0,1.0,7.0,5.0,14.0,1.0,5.0,2.0,,,,,1.0,,,,,,1.0,,,4.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,
36,2367890,2024-05-05 14:00:00,"American Express Stadium, Falmer",31596.0,Away,Aston Villa,Brighton and Hove Albion,0,1,L,0,0,0,0,2.0,1.0,33.0,1.0,,11.0,14.0,1.0,1.0,1.0,7.0,,119.0,,5.0,,,1.0,,1.0,1.0,124.0,111.0,43.0,,2.0,,7.0,1.0,,,,,,16.0,14.0,,,14.0,3.0,6.0,35.0,113.0,0.0,72.0,10.0,3.0,,,,,3.0,,42.0,37.0,1.0,73.0,1.0,13.0,13.0,1.0,,2.0,111.0,,11.0,127.0,599.0,,1.0,1.0,10.0,,9.0,361.0,13.0,,7.0,,,1.0,4.0,,17.0,419.0,39.0,,,549068,,270.0,,8.0,,289.0,3.0,,,1.0,7.0,8.0,42.0,1.0,3.0,,13.0,4.0,7.0,,29.0,383.0,13.0,10.0,,6.0,1.0,49.0,,1.0,0.0,,,7.0,6.0,,1.0,,0.0,,,,47.5,13.0,,,1.0,3.0,,,30.0,3.0,,443.0,9.0,8.0,12.0,1.0,26.0,,,170.0,1.0,5.0,7.0,44.0,16.0,7.0,18.0,1.0,1.0,4.0,14.0,,7.0,3.0,,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0
37,2367899,2024-05-13 20:00:00,"Villa Park, Birmingham",42241.0,Home,Aston Villa,Liverpool,3,3,D,1,2,0,0,,2.0,52.0,2.0,7.0,15.0,17.0,3.0,12.0,16.0,5.0,,129.0,4.0,17.0,3.0,3.0,16.0,1.0,1.0,5.0,106.0,112.0,54.0,,19.0,,5.0,2.0,2.0,1.0,3.0,1.0,3.0,13.0,7.0,,,17.0,4.0,2.0,34.0,132.0,0.0,97.0,11.0,3.0,2.0,,1.0,,1.0,3.0,56.0,33.0,11.0,49.0,2.0,9.0,13.0,3.0,,3.0,112.0,2.0,10.0,111.0,595.0,,11.0,3.0,40.0,,5.0,312.0,21.0,,6.0,3.0,1.0,1.0,3.0,5.0,16.0,365.0,39.0,4.0,1.0,98980,10.0,209.0,2.0,5.0,2.0,224.0,4.0,,1.0,2.0,9.0,4.0,45.0,4.0,8.0,3.0,14.0,5.0,3.0,1.0,35.0,337.0,15.0,8.0,2.0,5.0,2.0,46.0,2.0,,0.0,,1.0,4.0,3.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,41.2,10.0,,5.0,2.0,9.0,7.0,,27.0,5.0,3.0,395.0,5.0,11.0,17.0,7.0,22.0,1.0,6.0,184.0,5.0,2.0,9.0,70.0,15.0,6.0,13.0,3.0,15.0,3.0,27.0,1.0,9.0,5.0,,2.0,2.0,,2.0,,1.0,,,,1.0,2.0,,1.0,2.0,,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,2367913,2024-05-19 16:00:00,"Selhurst Park, London",25191.0,Away,Aston Villa,Crystal Palace,0,5,L,0,2,0,0,,2.0,40.0,1.0,,21.0,13.0,1.0,4.0,7.0,4.0,,120.0,3.0,5.0,,1.0,6.0,,1.0,2.0,143.0,101.0,34.0,,8.0,,9.0,2.0,,,,,2.0,10.0,2.0,,,13.0,4.0,2.0,32.0,93.0,0.0,53.0,8.0,2.0,,,,1.0,2.0,2.0,30.0,33.0,2.0,70.0,2.0,6.0,13.0,1.0,,1.0,101.0,2.0,10.0,130.0,601.0,,2.0,3.0,11.0,,2.0,379.0,22.0,1.0,3.0,,,4.0,3.0,4.0,17.0,439.0,27.0,1.0,1.0,646754,6.0,311.0,2.0,3.0,2.0,336.0,5.0,,,,1.0,7.0,40.0,1.0,8.0,,10.0,5.0,6.0,1.0,45.0,401.0,10.0,6.0,4.0,12.0,3.0,47.0,,,0.0,,3.0,2.0,3.0,,5.0,1.0,0.0,1.0,,4.0,46.0,16.0,4.0,,,8.0,,,24.0,4.0,3.0,463.0,2.0,13.0,19.0,6.0,12.0,2.0,5.0,137.0,,2.0,9.0,36.0,6.0,3.0,10.0,3.0,2.0,4.0,9.0,,1.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
