gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,goals,attBxRight,attSvHighLeft,freekickCross,goodHighClaim,attHdTarget,accurateFreekickCross,sixYardBlock,attRfGoal,totalThroughBall,goalsOpenplay,attAssistSetplay,attIboxGoal,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attGoalLowRight,attCmissRight,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attGoalHighRight,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,goalAssist,attFastbreak,goalAssistIntentional,attGoalLowLeft,goalAssistSetplay,attMissHighRight,ptsGainedLosingPos,secondYellow,defenderGoals,attCmissLeft,attCmissHighRight,attHdGoal,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighLeft,attSvLowRight,punches,attPostRight,attLfTarget,accuratePullBack,attSvHighRight,penaltyWon,totalPullBack,attPenGoal,attLfGoal,attFreekickTarget,forwardGoals,goalsConcededObox,accurateThroughBall,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attObxdLeft,foulThrowIn,goalAssistDeadball,attPenTarget,attLgCentre,attGoalHighLeft,attFreekickGoal,attObpGoal,attPostHigh,attGoalHighCentre,goalFastbreak,attHdPost,attOboxPost,penaltySave,ownGoals,attIboxOwnGoal,attPenPost
27,1059970,2020-02-22 15:00:00,"St. Mary's Stadium, Southampton",31478.0,Home,Southampton,Aston Villa,2,0,W,1,0,0,0,,59.0,31.0,15.0,14.0,8.0,13.0,1.0,5.0,148.0,4.0,14.0,4.0,19.0,9.0,76.0,153.0,79.0,1.0,28.0,6.0,23.0,3.0,,5.0,19.0,12.0,4.0,15.0,8.0,9.0,35.0,163.0,0.0,119.0,13.0,1.0,2.0,60.0,68.0,9.0,41.0,,12.0,12.0,15.0,1.0,2.0,4.0,153.0,3.0,,3.0,76.0,552.0,15.0,9.0,23.0,12.0,222.0,14.0,1.0,10.0,6.0,,1.0,3.0,10.0,26.0,315.0,58.0,,93100,9.0,75.0,3.0,5.0,2.0,95.0,8.0,12.0,4.0,57.0,,,3.0,11.0,1.0,4.0,3.0,74.0,234.0,17.0,8.0,36.0,5.0,86.0,0.0,2.0,6.0,1.0,,4.0,0.0,3.0,1.0,45.9,21.0,4.0,1.0,,3.0,8.0,44.0,9.0,341.0,12.0,,7.0,12.0,11.0,33.0,1.0,7.0,265.0,19.0,6.0,32.0,73.0,31.0,6.0,17.0,,20.0,3.0,20.0,6.0,9.0,,2.0,,2.0,1.0,1.0,5.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,,3.0,2.0,,1.0,2.0,2.0,4.0,,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,2.0,,,,,1.0,,,2.0,,2.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
28,1059981,2020-02-29 15:00:00,"London Stadium, London",59962.0,Away,Southampton,West Ham United,1,3,L,1,2,0,0,4.0,72.0,25.0,20.0,3.0,3.0,7.0,4.0,,193.0,7.0,13.0,2.0,7.0,2.0,120.0,190.0,64.0,,10.0,1.0,34.0,,,1.0,29.0,8.0,1.0,20.0,9.0,6.0,39.0,195.0,0.0,146.0,11.0,2.0,,98.0,54.0,5.0,78.0,4.0,20.0,23.0,3.0,,7.0,1.0,190.0,1.0,,10.0,130.0,737.0,5.0,10.0,29.0,13.0,375.0,27.0,,7.0,11.0,,1.0,2.0,2.0,25.0,501.0,79.0,,93100,4.0,202.0,,11.0,1.0,236.0,6.0,23.0,9.0,66.0,,1.0,4.0,14.0,4.0,5.0,,61.0,390.0,7.0,9.0,25.0,4.0,76.0,0.0,3.0,4.0,3.0,3.0,2.0,0.0,6.0,1.0,66.3,22.0,4.0,1.0,,4.0,5.0,41.0,9.0,521.0,13.0,,10.0,17.0,3.0,33.0,1.0,2.0,314.0,5.0,6.0,28.0,92.0,34.0,11.0,17.0,3.0,5.0,3.0,19.0,6.0,9.0,1.0,4.0,,1.0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
29,1059990,2020-03-07 15:00:00,"St. Mary's Stadium, Southampton",30096.0,Home,Southampton,Newcastle United,0,1,L,0,0,1,0,1.0,46.0,24.0,18.0,2.0,1.0,4.0,6.0,2.0,141.0,4.0,11.0,2.0,5.0,3.0,64.0,158.0,61.0,,6.0,,14.0,1.0,,,21.0,11.0,2.0,18.0,5.0,4.0,25.0,130.0,0.0,123.0,14.0,5.0,,64.0,47.0,4.0,36.0,,16.0,20.0,2.0,,3.0,,158.0,,2.0,11.0,57.0,502.0,3.0,6.0,11.0,10.0,184.0,19.0,,7.0,6.0,,0.0,4.0,1.0,24.0,268.0,64.0,,93100,,79.0,,12.0,1.0,93.0,8.0,20.0,7.0,56.0,,,1.0,20.0,3.0,5.0,,57.0,205.0,13.0,15.0,27.0,1.0,64.0,0.0,6.0,8.0,6.0,1.0,2.0,1.0,2.0,,38.0,17.0,5.0,,1.0,1.0,2.0,34.0,5.0,298.0,10.0,,11.0,12.0,1.0,23.0,2.0,1.0,226.0,3.0,3.0,19.0,73.0,15.0,6.0,19.0,1.0,4.0,2.0,15.0,14.0,5.0,,2.0,,,1.0,,1.0,1.0,,,2.0,,1.0,,2.0,,,,1.0,3.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,
30,1059998,2020-06-19 18:00:00,"Carrow Road, Norwich",,Away,Southampton,Norwich City,3,0,W,0,0,0,0,,74.0,19.0,16.0,7.0,11.0,14.0,1.0,6.0,146.0,4.0,18.0,3.0,16.0,9.0,75.0,166.0,72.0,2.0,22.0,1.0,13.0,4.0,1.0,,18.0,12.0,2.0,16.0,7.0,5.0,25.0,154.0,0.0,140.0,15.0,,3.0,59.0,49.0,12.0,48.0,,11.0,22.0,8.0,2.0,5.0,4.0,166.0,1.0,,5.0,64.0,552.0,11.0,9.0,33.0,17.0,220.0,28.0,2.0,8.0,10.0,1.0,1.0,5.0,4.0,27.0,315.0,66.0,,93100,8.0,80.0,2.0,6.0,,103.0,10.0,22.0,5.0,56.0,,1.0,,21.0,4.0,2.0,1.0,62.0,230.0,7.0,10.0,34.0,4.0,64.0,0.0,2.0,9.0,,,2.0,0.0,1.0,,45.0,21.0,6.0,5.0,,,7.0,25.0,7.0,333.0,17.0,,7.0,7.0,6.0,24.0,3.0,1.0,248.0,10.0,5.0,23.0,86.0,37.0,10.0,24.0,,16.0,5.0,30.0,11.0,7.0,1.0,6.0,,3.0,1.0,1.0,,,,,6.0,1.0,1.0,3.0,2.0,2.0,,,,1.0,,1.0,,3.0,,4.0,3.0,2.0,,,1.0,1.0,4.0,2.0,2.0,3.0,4.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,
31,1060009,2020-06-25 18:00:00,"St. Mary's Stadium, Southampton",,Home,Southampton,Arsenal,0,2,L,0,1,1,0,,47.0,29.0,8.0,4.0,4.0,8.0,3.0,1.0,133.0,5.0,9.0,1.0,8.0,3.0,103.0,137.0,53.0,,12.0,,16.0,2.0,,1.0,19.0,10.0,1.0,8.0,4.0,2.0,55.0,181.0,0.0,138.0,10.0,1.0,,72.0,58.0,3.0,86.0,1.0,15.0,17.0,4.0,,7.0,3.0,137.0,,1.0,6.0,113.0,608.0,7.0,6.0,20.0,12.0,330.0,14.0,2.0,,2.0,,0.0,2.0,5.0,29.0,414.0,67.0,,93100,3.0,169.0,,7.0,1.0,188.0,5.0,17.0,3.0,44.0,,2.0,3.0,12.0,4.0,3.0,1.0,63.0,345.0,14.0,8.0,6.0,1.0,63.0,0.0,3.0,6.0,,2.0,1.0,1.0,4.0,,52.6,23.0,8.0,3.0,,3.0,2.0,28.0,4.0,435.0,12.0,,4.0,24.0,7.0,29.0,1.0,4.0,266.0,7.0,2.0,13.0,86.0,20.0,2.0,17.0,2.0,9.0,4.0,15.0,6.0,4.0,3.0,2.0,,,1.0,,1.0,,,,2.0,,,,1.0,,1.0,1.0,,2.0,1.0,2.0,,,,,,3.0,,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1060020,2020-06-28 16:30:00,"Vicarage Road, Watford",,Away,Southampton,Watford,3,1,W,1,0,0,0,,72.0,21.0,28.0,5.0,2.0,6.0,,3.0,189.0,,9.0,5.0,7.0,7.0,102.0,175.0,85.0,3.0,11.0,,28.0,2.0,,,8.0,14.0,2.0,28.0,2.0,3.0,43.0,184.0,0.0,146.0,9.0,,,83.0,64.0,4.0,75.0,2.0,6.0,15.0,5.0,3.0,1.0,,175.0,2.0,,4.0,94.0,663.0,5.0,6.0,13.0,11.0,322.0,35.0,1.0,7.0,10.0,,0.0,5.0,3.0,29.0,436.0,66.0,,93100,1.0,150.0,2.0,4.0,,183.0,5.0,15.0,5.0,60.0,,1.0,1.0,19.0,5.0,2.0,,74.0,334.0,18.0,10.0,29.0,1.0,87.0,0.0,2.0,5.0,,1.0,1.0,0.0,,1.0,52.4,23.0,4.0,1.0,,1.0,1.0,39.0,3.0,460.0,11.0,,9.0,15.0,3.0,23.0,,2.0,285.0,9.0,2.0,38.0,88.0,30.0,10.0,20.0,1.0,7.0,2.0,13.0,6.0,3.0,,1.0,,3.0,3.0,,1.0,,,,1.0,3.0,1.0,2.0,1.0,1.0,,,,2.0,,2.0,,1.0,1.0,,1.0,4.0,,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,
33,1060029,2020-07-05 19:00:00,"St. Mary's Stadium, Southampton",,Home,Southampton,Manchester City,1,0,W,1,0,0,0,,61.0,24.0,57.0,4.0,1.0,3.0,6.0,3.0,113.0,,6.0,1.0,5.0,4.0,70.0,128.0,48.0,1.0,8.0,1.0,20.0,1.0,,1.0,5.0,13.0,2.0,57.0,2.0,2.0,27.0,95.0,0.0,74.0,6.0,4.0,1.0,46.0,40.0,4.0,58.0,11.0,3.0,11.0,5.0,1.0,1.0,1.0,128.0,1.0,,19.0,56.0,519.0,4.0,8.0,10.0,27.0,192.0,29.0,,10.0,29.0,,1.0,11.0,1.0,11.0,272.0,39.0,1.0,91047,1.0,114.0,1.0,2.0,,137.0,5.0,11.0,11.0,54.0,,3.0,3.0,13.0,7.0,7.0,1.0,59.0,209.0,7.0,12.0,28.0,,59.0,0.0,1.0,13.0,6.0,,1.0,0.0,,,26.3,9.0,5.0,1.0,,3.0,1.0,28.0,2.0,297.0,27.0,,8.0,7.0,3.0,10.0,,2.0,165.0,7.0,1.0,16.0,36.0,20.0,29.0,20.0,,7.0,2.0,14.0,8.0,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,3.0,,3.0,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
34,1060037,2020-07-09 18:00:00,"Goodison Park, Liverpool",,Away,Southampton,Everton,1,1,D,1,1,0,0,,50.0,31.0,12.0,5.0,3.0,11.0,3.0,2.0,191.0,7.0,11.0,5.0,9.0,4.0,108.0,143.0,57.0,2.0,16.0,3.0,21.0,2.0,1.0,,23.0,9.0,1.0,12.0,5.0,7.0,49.0,236.0,0.0,169.0,14.0,2.0,,89.0,64.0,5.0,117.0,2.0,18.0,18.0,5.0,2.0,9.0,1.0,143.0,1.0,1.0,5.0,102.0,697.0,7.0,5.0,41.0,13.0,405.0,19.0,,5.0,6.0,1.0,3.0,3.0,4.0,14.0,494.0,78.0,,91047,7.0,191.0,1.0,9.0,,210.0,9.0,18.0,7.0,56.0,,2.0,4.0,12.0,6.0,3.0,2.0,74.0,420.0,13.0,10.0,17.0,3.0,76.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,6.0,1.0,61.3,12.0,2.0,2.0,1.0,4.0,6.0,40.0,5.0,518.0,13.0,,9.0,17.0,6.0,34.0,1.0,4.0,331.0,10.0,6.0,20.0,120.0,23.0,6.0,13.0,1.0,10.0,3.0,14.0,6.0,5.0,1.0,3.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0
35,1060046,2020-07-13 20:00:00,"Old Trafford, Manchester",,Away,Southampton,Manchester United,2,2,D,1,2,0,0,1.0,60.0,24.0,16.0,2.0,1.0,7.0,2.0,1.0,178.0,2.0,9.0,,7.0,5.0,123.0,149.0,47.0,,9.0,,15.0,2.0,1.0,2.0,20.0,6.0,1.0,16.0,6.0,8.0,39.0,217.0,0.0,163.0,15.0,1.0,1.0,87.0,49.0,5.0,93.0,,14.0,22.0,2.0,,3.0,1.0,149.0,2.0,,4.0,116.0,684.0,4.0,7.0,19.0,12.0,393.0,22.0,,4.0,9.0,1.0,3.0,1.0,2.0,20.0,484.0,71.0,1.0,93100,2.0,197.0,,11.0,,213.0,7.0,22.0,8.0,57.0,,,1.0,17.0,4.0,4.0,,60.0,412.0,14.0,15.0,20.0,2.0,79.0,0.0,,4.0,1.0,2.0,1.0,0.0,1.0,1.0,52.5,17.0,9.0,1.0,1.0,1.0,2.0,44.0,6.0,510.0,12.0,,9.0,19.0,2.0,31.0,1.0,1.0,317.0,6.0,8.0,14.0,107.0,28.0,9.0,10.0,2.0,7.0,3.0,13.0,9.0,6.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,,2.0,2.0,,,,1.0,1.0,,,,,,1.0,,2.0,,1.0,,1.0,,1.0,,,2.0,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
36,1060060,2020-07-16 20:15:00,"St. Mary's Stadium, Southampton",,Home,Southampton,Brighton and Hove Albion,1,1,D,0,1,0,0,1.0,61.0,45.0,8.0,7.0,3.0,14.0,1.0,4.0,191.0,4.0,10.0,3.0,15.0,6.0,146.0,168.0,54.0,1.0,21.0,2.0,26.0,2.0,,3.0,20.0,12.0,3.0,8.0,7.0,12.0,57.0,269.0,0.0,209.0,6.0,,1.0,103.0,93.0,10.0,110.0,2.0,13.0,14.0,7.0,1.0,3.0,2.0,168.0,3.0,,10.0,150.0,787.0,11.0,2.0,31.0,9.0,480.0,23.0,,3.0,3.0,,1.0,4.0,5.0,27.0,579.0,95.0,,93100,6.0,225.0,3.0,8.0,1.0,246.0,4.0,14.0,6.0,57.0,,1.0,4.0,19.0,,2.0,,87.0,490.0,10.0,9.0,16.0,2.0,84.0,0.0,2.0,2.0,1.0,1.0,,0.0,2.0,,67.9,22.0,12.0,3.0,,4.0,8.0,47.0,8.0,597.0,9.0,,10.0,29.0,7.0,43.0,2.0,4.0,371.0,15.0,9.0,19.0,147.0,22.0,3.0,15.0,1.0,17.0,3.0,18.0,5.0,8.0,,6.0,,1.0,2.0,,2.0,1.0,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,3.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,1060062,2020-07-19 14:00:00,"Vitality Stadium, Bournemouth",,Away,Southampton,Bournemouth,2,0,W,1,0,0,0,,52.0,31.0,47.0,5.0,3.0,11.0,3.0,3.0,172.0,4.0,10.0,1.0,12.0,8.0,94.0,173.0,84.0,,16.0,1.0,37.0,4.0,,,13.0,12.0,2.0,47.0,6.0,5.0,24.0,160.0,0.0,119.0,11.0,2.0,,69.0,53.0,9.0,64.0,1.0,7.0,26.0,5.0,,3.0,1.0,173.0,3.0,1.0,7.0,77.0,634.0,8.0,10.0,30.0,10.0,267.0,24.0,,7.0,24.0,,2.0,4.0,3.0,24.0,383.0,53.0,1.0,93100,7.0,125.0,3.0,4.0,,167.0,8.0,26.0,7.0,68.0,1.0,1.0,5.0,8.0,4.0,3.0,1.0,74.0,281.0,11.0,3.0,31.0,4.0,72.0,0.0,3.0,12.0,3.0,,4.0,0.0,2.0,,57.0,16.0,3.0,2.0,1.0,6.0,5.0,36.0,6.0,407.0,10.0,,11.0,11.0,3.0,25.0,2.0,2.0,253.0,10.0,3.0,41.0,71.0,16.0,24.0,22.0,,11.0,3.0,16.0,8.0,6.0,,4.0,,2.0,1.0,,,3.0,1.0,,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,,4.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,3.0,2.0,,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
38,1060080,2020-07-26 16:00:00,"St. Mary's Stadium, Southampton",,Home,Southampton,Sheffield United,3,1,W,0,1,0,0,,56.0,22.0,8.0,6.0,5.0,7.0,2.0,1.0,198.0,,15.0,3.0,6.0,4.0,174.0,151.0,56.0,,13.0,2.0,19.0,,,,27.0,10.0,1.0,8.0,9.0,6.0,44.0,266.0,0.0,166.0,9.0,1.0,,98.0,69.0,5.0,122.0,,18.0,14.0,6.0,,4.0,3.0,151.0,,,5.0,190.0,864.0,5.0,1.0,34.0,7.0,566.0,18.0,1.0,2.0,2.0,,0.0,2.0,1.0,24.0,663.0,69.0,,93100,6.0,321.0,,12.0,,350.0,5.0,14.0,4.0,46.0,,2.0,3.0,10.0,,4.0,,57.0,587.0,15.0,6.0,14.0,1.0,71.0,0.0,3.0,1.0,2.0,1.0,,0.0,,,72.1,24.0,3.0,1.0,,3.0,6.0,47.0,9.0,684.0,7.0,,6.0,17.0,3.0,41.0,,,361.0,8.0,6.0,15.0,113.0,31.0,2.0,11.0,1.0,11.0,3.0,21.0,6.0,9.0,,4.0,1.0,3.0,,,2.0,,,,,3.0,,2.0,,3.0,,,,1.0,,1.0,2.0,2.0,,,1.0,,,,,,,,,1.0,,1.0,,,2.0,3.0,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
