team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
14,Liverpool,11,False,43,Man City,0,3,5,True
43,Man City,11,True,14,Liverpool,3,0,3,True
1,Man Utd,11,False,6,Spurs,2,2,3,True
4,Newcastle,11,False,94,Brentford,1,3,3,True
17,Nott'm Forest,11,True,2,Leeds,3,1,2,True
6,Spurs,11,True,1,Man Utd,2,2,3,True
56,Sunderland,11,True,3,Arsenal,2,2,4,True
21,West Ham,11,True,90,Burnley,3,2,1,True
39,Wolves,11,False,8,Chelsea,0,3,3,True
3,Arsenal,12,True,6,Spurs,4,1,3,True
7,Aston Villa,12,False,2,Leeds,2,1,3,True
91,Bournemouth,12,True,21,West Ham,2,2,2,True
94,Brentford,12,False,36,Brighton,1,2,4,True
36,Brighton,12,True,94,Brentford,2,1,3,True
90,Burnley,12,True,8,Chelsea,0,2,3,True
8,Chelsea,12,False,90,Burnley,2,0,2,True
31,Crystal Palace,12,False,39,Wolves,2,0,2,True
11,Everton,12,False,1,Man Utd,1,0,4,True
54,Fulham,12,True,56,Sunderland,1,0,2,True
2,Leeds,12,True,7,Aston Villa,1,2,3,True
14,Liverpool,12,True,17,Nott'm Forest,0,3,3,True
43,Man City,12,False,4,Newcastle,1,2,3,True
1,Man Utd,12,True,11,Everton,0,1,3,True
4,Newcastle,12,True,43,Man City,2,1,4,True
17,Nott'm Forest,12,False,14,Liverpool,3,0,4,True
6,Spurs,12,False,3,Arsenal,1,4,5,True
56,Sunderland,12,False,54,Fulham,0,1,3,True
21,West Ham,12,False,91,Bournemouth,2,2,4,True
39,Wolves,12,True,31,Crystal Palace,0,2,3,True
3,Arsenal,13,False,8,Chelsea,1,1,3,True
7,Aston Villa,13,True,39,Wolves,1,0,1,True
91,Bournemouth,13,False,56,Sunderland,2,3,3,True
94,Brentford,13,True,90,Burnley,3,1,1,True
36,Brighton,13,False,17,Nott'm Forest,2,0,3,True
90,Burnley,13,False,94,Brentford,1,3,3,True
8,Chelsea,13,True,3,Arsenal,1,1,4,True
31,Crystal Palace,13,True,1,Man Utd,1,2,3,True
11,Everton,13,True,4,Newcastle,1,4,3,True
54,Fulham,13,False,6,Spurs,2,1,3,True
2,Leeds,13,False,43,Man City,2,3,5,True
14,Liverpool,13,False,21,West Ham,2,0,3,True
43,Man City,13,True,2,Leeds,3,2,2,True
1,Man Utd,13,False,31,Crystal Palace,2,1,3,True
4,Newcastle,13,False,11,Everton,4,1,3,True
17,Nott'm Forest,13,True,36,Brighton,0,2,3,True
6,Spurs,13,True,54,Fulham,1,2,3,True
56,Sunderland,13,True,91,Bournemouth,3,2,3,True
21,West Ham,13,True,14,Liverpool,0,2,3,True
39,Wolves,13,False,7,Aston Villa,0,1,4,True
3,Arsenal,14,True,94,Brentford,2,0,3,True
7,Aston Villa,14,False,36,Brighton,4,3,4,True
91,Bournemouth,14,True,11,Everton,0,1,3,True
94,Brentford,14,False,3,Arsenal,0,2,5,True
36,Brighton,14,True,7,Aston Villa,3,4,3,True
90,Burnley,14,True,31,Crystal Palace,0,1,3,True
8,Chelsea,14,False,2,Leeds,1,3,3,True
31,Crystal Palace,14,False,90,Burnley,1,0,2,True
11,Everton,14,False,91,Bournemouth,1,0,4,True
54,Fulham,14,True,43,Man City,4,5,4,True
2,Leeds,14,True,8,Chelsea,3,1,3,True
14,Liverpool,14,True,56,Sunderland,1,1,2,True
43,Man City,14,False,54,Fulham,5,4,3,True
1,Man Utd,14,True,21,West Ham,1,1,2,True
4,Newcastle,14,True,6,Spurs,2,2,3,True
17,Nott'm Forest,14,False,39,Wolves,1,0,2,True
6,Spurs,14,False,4,Newcastle,2,2,3,True
56,Sunderland,14,False,14,Liverpool,1,1,4,True
21,West Ham,14,False,1,Man Utd,1,1,4,True
39,Wolves,14,True,17,Nott'm Forest,0,1,3,True
3,Arsenal,15,False,7,Aston Villa,1,2,4,True
7,Aston Villa,15,True,3,Arsenal,2,1,4,True
91,Bournemouth,15,True,8,Chelsea,0,0,3,True
94,Brentford,15,False,6,Spurs,0,2,3,True
36,Brighton,15,True,21,West Ham,1,1,2,True
90,Burnley,15,False,4,Newcastle,1,2,3,True
8,Chelsea,15,False,91,Bournemouth,0,0,4,True
31,Crystal Palace,15,False,54,Fulham,2,1,3,True
11,Everton,15,True,17,Nott'm Forest,3,0,3,True
54,Fulham,15,True,31,Crystal Palace,1,2,3,True
2,Leeds,15,True,14,Liverpool,3,3,3,True
14,Liverpool,15,False,2,Leeds,3,3,3,True
43,Man City,15,True,56,Sunderland,3,0,2,True
1,Man Utd,15,False,39,Wolves,4,1,2,True
4,Newcastle,15,True,90,Burnley,2,1,1,True
17,Nott'm Forest,15,False,11,Everton,0,3,3,True
6,Spurs,15,True,94,Brentford,2,0,3,True
56,Sunderland,15,False,43,Man City,0,3,5,True
21,West Ham,15,False,36,Brighton,1,1,4,True
39,Wolves,15,True,1,Man Utd,1,4,3,True
3,Arsenal,16,True,39,Wolves,2,1,1,True
7,Aston Villa,16,False,21,West Ham,3,2,3,True
91,Bournemouth,16,False,1,Man Utd,4,4,4,True
94,Brentford,16,True,2,Leeds,1,1,2,True
36,Brighton,16,False,14,Liverpool,0,2,4,True
90,Burnley,16,True,54,Fulham,2,3,3,True
8,Chelsea,16,True,11,Everton,2,0,3,True
31,Crystal Palace,16,True,43,Man City,0,3,4,True
11,Everton,16,False,8,Chelsea,0,2,3,True
54,Fulham,16,False,90,Burnley,3,2,2,True
2,Leeds,16,False,94,Brentford,1,1,3,True
14,Liverpool,16,True,36,Brighton,2,0,3,True
43,Man City,16,False,31,Crystal Palace,3,0,3,True
1,Man Utd,16,True,91,Bournemouth,4,4,3,True
4,Newcastle,16,False,56,Sunderland,0,1,3,True
17,Nott'm Forest,16,True,6,Spurs,3,0,3,True
6,Spurs,16,False,17,Nott'm Forest,0,3,3,True
56,Sunderland,16,True,4,Newcastle,1,0,3,True
21,West Ham,16,True,7,Aston Villa,2,3,3,True
39,Wolves,16,False,3,Arsenal,1,2,5,True
3,Arsenal,17,False,11,Everton,1,0,3,True
7,Aston Villa,17,True,1,Man Utd,2,1,3,True
91,Bournemouth,17,True,90,Burnley,1,1,1,True
94,Brentford,17,False,39,Wolves,2,0,2,True
36,Brighton,17,True,56,Sunderland,0,0,2,True
